上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
上海交通大学留学桥怎么样，有读过的吗？, 很适合语言成绩不理想，专业选择没有想好的学生。能帮助学生选择更合适的留学项目。 
如何评价上海交通大学的土木工程？, 同济土木工程专业国际排名创历史新高    上面是同济官网2013年的关于QS专业排名（18名）的一个报道，这说明无论QS排名准不准确，至少同济是认帐的。当年，上海交大排名全球（36名）  下面是2011年的排名  下面是2012年的排名    也就是说按照这个排名，2011，2012年上交还略高于同济，2013年，同济超过了上交。  而国内教育部排名的是同济要强于上交。这说明不同的评价体系下，会有不同的排名，上交与同济有不同的风格。而上交的土木工程也是很强的。  在我看来，同济的风格是大而全，上交的风格是小而美。
自己村的坟地里挖出的老东西用上交郭嘉吗？或者上交郭嘉根据那些法律法规？,先不说这个，你为啥要去挖你们村的坟
上交和哈工程的核工程?,单说专业，哈工程
如何评价上交军事理论老师陆建忠的评分方式？,诶……我好像陆老师军理八十多诶…… 记得当时提前交卷好多来着…… 其实我觉得 军理课好好上了 题目好好答了 有话也可以好好跟老师说 “自己觉得”是个很虚的话不是吗
如何评价上海交通大学医学院八年制4+4？,建议先去查一下“医学前景”“医学赚钱么”“医学累不累”“医生具体干啥”。。。再看你是不是真心要做医生 可不是你想象的看病，治病救人那么简单哦
清华or浙大or上交or北航or西交or华科or工热所动力工程及工程热物理，读研哪一个更好一些？,我这是被邀了？受宠若惊。。。  我是西交叶轮机械的博士生，做的也是燃气轮机换热方向，所以可能对题主有些参考价值吧。  先从整体上来说，能动专业的话，西交应该是可以排全国第一的，在清华之上，胜在全面，几乎包含了热能动力的所有方向。但其实各方向还是有差距的，比如西交这边，两位院士是在热流方向的，叶轮机械并没有如此重量的人物。而清华叶轮机械方向是有院士扛大旗的。  西交这边，近几年也开始跟风疯狂搞燃气轮机了，毕竟汽轮机这块可以做的东西不太多了，而燃机近年还是大火，尤其换热冷却相关的东西。  西交这边主要是搞CFD的，实验台有是有，不过主要手段还是CFD。说到实验台，清华有一套好实验台，应该是压敏漆的实验台，每年清华的学生都疯狂拿那个台子刷文章。。。北航有一个更高端的台子，是能转的，不过好像是做二次空气系统的，我不太了解，国内的工热年会也不太见北航的来，可能是涉密？不好随便说  而且西交搞的燃气轮机，大部分应该都是地面重型燃机，航空发动机这块，更贴近军工方面，还是西工大要更强。比如找工作的时候，军工方面的企业也都是只在西工大设点，然后西工大各种优先收本校简历，排到外校人家说简历收满了如此之类的事情几乎每年都能听到。  工作的话，现在应该大都是去研究所，各种数字打头的研究所分都分不清，制造厂方面，三大厂虽然最近都在努力搞燃机这块，但好像对于我们的毕业生吸引力还不是很大。另外说下商发，感觉上是要搞个大新闻，而且国家两机重大专项这块扯皮扯了这么多年，也差不多定下来了，前景感觉是有点好的，不过建议谨慎乐观。  这里不得不说句题外话，搞了这行就要有心理准备，我们和IT啊经管啊之类的同学比起来，真的就是屌丝。请题主提早做好心理准备，否则毕业的时候，看到码农同学这个进了腾讯那个进了阿里，然后一看自己，各种研究所年薪十万，心理落差不要太大。。。  燃机算是敏感专业，出国交流可以，但是直接去读学位好像比较麻烦，国外的老板们也不会给你燃机方向的课题，也就是说出了国可能不太容易继续搞燃机，当然我并没有深入了解过出国的事情，仅供参考。
在上海交通大学军训是一种怎样的体验？,一段尘封的往事。  1987年，上海交大第一届去往闵行校区就读的学生被拉入大山军训，历时36天。军训期间出了重大事故，一辆运载学生的大篷车起火，仅有几人生还。为了纪念一名因救援学生而殉职的战士，电院以他的名字命名了一个班级。  彼时通信不发达，消息全线封锁。去世学生的父母在事发很久后才经由学校的信件闻知此事。部队的人员设置亦因此变动。从各种角度来说，这都是一场彻头彻尾的悲剧。  请允许我在此为那十几位年轻的学长沉痛默哀。  至此以后，上海交大再无外训。
求推荐合适于准备上海交通大学自招的书籍？,自招的书网上很多的，还有过去华约的试题应该也能找到，这些就够你刷了。另外物理有精力可以稍微看看大学教材，另外历年联赛复赛题目可以刷刷简单的
如何评价上海交通大学 小编荣耀8 ？,他现在被踢走了……原因嘛……你懂的(╯3╰)
通信专业，大三狗，去清华上交直博还是保本校研（也是C9某校）或是考研？,同大三信息专业，不请自来。 首先，你在本校保研边缘，很有可能过不了清华上交的初试，有老师强力推荐另说，没有推荐的情况下，我们院排名前5-10%的同学都没有绝对的把握能过夏令营。 其次，直博项目中途放弃是没有硕士学位的，这也是我校一学长当年拿到清华直博offer却放弃选择保研本校的原因。 最后，没考虑好做不做学术，推荐先读一个硕士。
上海交通大学土木工程夏令营考试考哪些科目？,你好，我准备参加上交2017年的夏令营，能不能咨询你一下？
有一个/一大群上海交通大学的女性朋友/同学是一种怎样的体验？,哈哈哈哈哈商科妹子有话要说！  其实在我大一刚进去上专业课的时候，感觉在坐的大约2/3都是妹子，男生反倒比较稀有…当时我还在想，他们说「交大男女比例7比1」到底是几几年的数据。  直到！！！！！！  在食堂吃饭被男生们挤成了狗QAQ！！！！！ 几乎看不到几个长发的妹子！！！！！ 放眼望去！都是！男生！啊啊啊！    毕竟图样图森破啊我实在是太天真了！  上通识课的时候进教室，基本黑压压一片都是男生…所以说这才真实反映了我交真实的性别比例    其他院的情况我完全不了解！但是有一张很经典的图！我们开学典礼！是这样的！  来吧我们一起玩个游戏叫「找你妹」！！！没错就是这么残酷！！！  好了言归正传说女性好友的事情… 其实就算在我们院这种女生多于男生的地方，妹子好像也不怎么找同院的男生。 到目前为止，我们这一届的院对坚持下来的，好像也就一到两对的样子。     但男生女生之间关系普遍都挺好，男生基本高帅富，女生基本白富美。 讲真，男生穿衣挺有品位，女生几乎个个都会把自己打扮得漂漂亮亮的，就算不是化妆，在穿衣打扮上也明显不是随随便便的。  不仅颜值普遍高，学霸也是妥妥的~不管是英语还是presentation的能力在全校应该都属于比较领先的水平~而且在安泰，如果你考在80分以下，基本收拾收拾资料准备重修吧，不然GPA比起别的学霸真的没法看…  气质来说，比如在路上我看到个背着工科的什么尺子或者电路板之类的东西、骑车过去的妹纸，显然跟安泰的就不是很一样…  然后就凑成了安泰内部其乐融融的女生之间搭CP的情况！ 没错我跟我女票就是这样暗搓搓地成了的！（误 寝室里二对二掐CP互相拆散什么的我会说吗！会吗！！   一个女生！早上！拎着四五份早饭！迟到进教室！简直常见！ 因为数分课！你不在六点半去占座！不要想看清黑板上的字！！ 所以就愉快地分工合作！你占座来我买饭！大家轮流早起！是不是很机智！    再说男生！！ 比如！有个男闺蜜型的！一大堆女性朋友！是跟男生女生关系都好得不得了的那种！ 其实就是脾气特别好！问他借作业抄来者不拒！要笔记随便复印！要答疑随便戳微信啊！ 简直小天使有没有！学霸也就算了！脾气还辣么好！ 事实证明愿意帮助别人的人，别人也会很乐意帮你的！ 他有次只是在群里说了句掉手机求帮转！ 瞬间！我的票圈就全部被这条内容刷屏了！就是那种往下拉十几页都是同一个内容的那种！ 比教主结婚都扩散的快！ 最关键掉的还不是他自己的手机…他也只是帮别人转的…    有几个妹子的票圈封面直接就是跟他的合照！ 现在已经换掉了！大概是这样的！   超羡慕他们的友谊QAQ感觉是很要好的姐妹呢  嗯这个蓝森他现在还是单身
传家宝如果是文物的话，需要上交嘛？,传世文物归个人所有，也无需去开具证明。 文物传世有自己的规律，保存状态也和近期出土的文物有差异，认真辨认是可以辨认出来的。 譬如，一般不会有人将冥器作为传家宝。
请问上海交通大学法硕（非法学）在哪个校区？,      上海交通大学一共有5个校区，法硕（凯原法学院）在徐汇校区。      1.徐汇校区：上海市徐汇区华山路1954号，可以坐地铁1号线或者9号线到徐家汇站下，16号口出来，然后左转步行5~10分钟；      2.七宝校区：上海市七莘路2678号，可以坐地铁9号线到七宝站下；      3.卢湾校区：上海市重庆南路227号，可以坐地铁10号线到新天地站下；      4.长宁校区：上海市法华镇路535号，可以坐地铁11号线或10号线到交通大学站下；      5.闵行校区：上海市东川路800号，可以坐地铁5号线到东川路站下，5号口出，步行10米到东川路地铁站公交站，坐江川5路3站，在东川路环路站下车。 
刚开始工作，会上交工资给家里吗？,我今天也遇到了，妈妈提出给一部分交给她，我拒绝了，妈妈有点生气，觉得我是白眼狼。我坚持的理由是：我必须掌握自己的财富支配权，家里的贴补我直接出，不由“上交工资”来体现，我是打算入职后就承担家里一部分的开销，因为也住家里用家里的，其他要孝敬爸妈的钱，出去吃饭买单都可以是我，但我绝对不上交工资，哪怕每个月固定500都不行，我需要的是独立理财能力和独立支配权。
为什么陌陌上交不到真正需要的朋友？,lz你的需求不太适合陌陌。 因为你找错地方了。有去夜店找铁哥们的么？
关于上海交通大学药学院研究生的学硕和专硕?,本人是13年考进交大药学院的。首先针对你说的科目来说，我知道的是今年14年考试的科目比13年做了一些变动，像是选择化学综合这一块，13年是有机必考，物理化学和分析化学二选一，但今年14年就是全考，没有选择的余地，当然你选生物综合的我就不太清楚了。其次，专硕学说不是一开始就能定的，因为交大每年在统考前会有一批推免的学生，而且的推免的学生里最后定下来也不全都是学硕，也有专硕。当然统考进来的学生学硕的名额就比较少了，具体的是专硕还是学硕是看你统考的分数还有你进来后复试的分数的。最后就是学硕和专硕不是一开始就能选择的，至少我去年不是的。
你认为上海交通大学那个专业最好？,必须要来安利一下我大电院，电子信息与电气工程学院！
重医麻醉保研上交麻醉希望大吗 在哪查上交历年的考研分数线？,泻药，不懂。
清华，北大，复旦，上海交通大学，浙大，本科生的生活是如何的，丰富多彩吗？,啊哈哈欢迎来浙大。活动超多超会浪，一天学习24小时，一周学习7天，一年学习2周。
如何看待上海交通大学 14 级 CS 国奖学生盗用他人 jaccount 帐号一事？,更新：很多同学说，这种学校内部的丑闻不应该挂到知乎上，把当事人的声誉都搞臭。我觉得没有人想到这一步啊。一月初的时候在群里问，你为什么不站出来？给过你无数次机会了，很多CS14和13的同学都看到了聊天记录，为什么不早点站出来道歉？学校也想把这件事往小了处理不想闹出来，行，那为什么许同学给教务处发的邮件石沉大海？至少给她打个电话说学校知道了会为你主持公道的也好吧？弄到最后只能学生自己写文章发声，反而有人指责题主？  我也很难办啊.jpg  反正学校也不是一次两次了，估计这次也是窝在背后不肯出现，让当事人的道歉书挂着就算这事完结了，等到事情热点过去了，又是一片歌舞升平。  大家一起建设世界一流大学:)    原文：  看了下今天这个问题下的回答，真是众生相…什么样的都有…本来不想评价这种事情，更何况其中一位学弟前两天还刚问我要过去年的算法作业…想想还是讲讲自己的看法吧…还是没忍住。 1. 当事人的做法的确是错误的，这种盗用他人账号发邮件还被查出来，查出来还互相甩锅，简直是一出闹剧。不要说什么这只是吃香难看的问题，往大了说这是盗用他人隐私的违法行为。 2. 许同学的做法是没有问题的，不存在说什么给不给别人留后路的问题，自己都不给自己考虑后路了还要别人为你考虑？犯错了就应该挨打，如果学校不愿意挥鞭子那就让我把鞭子交给到所有人手中。在这一点上我不支持也不反对许的做法。至于挂到网上这件事，我可以为许同学作证她在1月初的时候就在2014届CS群里询问过这方面的事情了，当时还劝说当事人主动站出来承认，否则就教务处见吧，并且在之后的几天内不断的在群里说起这件事，结果是怎样的你们也知道，不要说他们没有看见，他们也是参与讨论的人。这样的情况下还在贼喊捉贼，诚然总是抱有侥幸心理，但是作为CS的学生真的不知道查起来有多么容易么？而许在查询到当事人的IP之后并没有立马公布出来，而是先写邮件到教务处希望教务处能够处理，可惜交大的教务处你们也是懂得，不得以才出此下策。   但是往深了想我觉得挺悲哀的。据我所知某位当事人已经是CS系的rank1了，还要为了软工的一次小测的5%的分数。让我惊诧于CS系的竞争已经这么激烈的同时，也为很多同学和学弟学妹唯GPA论的态度感到非常悲哀。是啊，GPA可以决定很多东西，决定奖学金的多寡，分专业的排名，以及最重要的，出国的机会。所以才会干出盗取别人账号来发邮件求拉分这种事情吧。毕竟GPA高了才能在出国的时候相比于别人有更大的竞争力吧。想到了多年前看过的《上海交通大学生存手册》中的“交大的教育在崩塌”，这两年我越来越佩服  @Filestorm  学长的见解，也只恨自己没有早点醒悟。  更者悲哀的是，如果这次没有许在微信公众号上的发声，只怕这次事情又会大事化小小事化了就没有下文了吧。交大的作风大家总是知道的，总是乐于装一只把头埋在沙子里的鸵鸟，等到脸都被打肿了才出来不痛不痒的提出解决方案，随后骗的一片欢腾，“交大还是重视XXX的”。许在自己的权益被同级的学生侵犯之后，本来这种对学校老师毫无利益侵犯的学生之间的争执，交大仍旧是宁可装作一片祥和的样子，也不愿捅出来解决它。最后逼得学生只能自己去互联网上发声。何等悲哀。  甚至我猜想，学校对于当事人这样成绩优秀的同学来说，总是倾向于一种保护的态度的，毕竟成绩好以后肯定能去一所好学校，这样系里某实验室里又多了一件饭桌上的谈资。要处理他们的说非但可能会影响学校系里的声誉，而且，多麻烦呀。  所以在这样一个问题下，在当事人因一己私欲，盗用他人账号，甚至可能危害到他人经济利益（jaccount是绑定校园卡甚至银行卡的），达到自己目的的行为，还有同情甚至洗地的答案，我是真的看不懂。犯错就要挨打天经地义，什么“在知乎上挂出来有没有考虑别人的未来和前途”，他自己做这种事情的时候有考虑过被发现后自己的前途了吗？自己都不考虑了还需要别人考虑？这不光光是吃相难看的问题，至少，我觉得我再怎么想去要分我也不会拿别人的账号去要的，何况还是偷来的：）我不觉得题主的做法做过了，我觉得只有更多这样的行动，校园里才会少一些沉默。  至于当事人，其实这件事很快就会过去的，网络热点事件总是这样的，来的猛去的也快，很快大家都会忘记你是谁，只是偶尔才会有人提起，“之前电院是不是还有人盗号balabala”。当然我更希望你在这件事情中心中想的不光是“这件事是否会影响我的gpa影响我出国”，这样才是有意义的。  额外多说一句，我一直很喜欢计算机，从幼儿园打游戏开始就是了，我很高兴我能生在这个计算机科学以及软件蓬勃发展的年代，当然我也很悲哀，我热爱的计算机科学，和你们一起生在了这个年代。
上海交通大学 ACM 的 Dreadnought 队伍怎么这么强？,我打算稍微写点鸡汤，让大家明白「他们为什么这么强」。  首先，Dreadnought 的三位队员是 Codeforces 上的 TankEngineer、rowdark 和 AngryBacon。三位同学在 CF rating 革命之前都 已经到过 2600+（也就是当时的 IGM），所以从 CF rating 的角度上看，只有清华的 Excited（WJMZBMR + TooSimple + VFleaKing）才差不多了。 这是说三位同学本身都有比较强的个人实力，几乎可以一个人 独立完成各种中前期题。  其次，TankEnginner 和 AngryBacon 是第四年参加 ACM/ICPC 了，rowdark 更是第五年参加了。TankEngineer 曾经是 13 年杭州（非正式）、13 年南京的冠军，WF 14 第六名。AngryBacon 是 13 年长沙、14 年广州的冠军。rowdark 是 13 年长春、14 年广州的冠军。AngryBacon 和 rowdark 也一起参加了 WF 15 铜牌。 与此同时，TankEngineer 和 AngryBacon 都参加过 Facebook Hackercup 的现场总决赛，三位同学今年更是一起在美国西雅图参加了 GCJ 的总决赛。 这里是说这三位同学身上都已经经过了各种大战小战，心理素质应该非常过硬。附加的一点是 TankEgnineer 曾是 魔法少女米拉库鲁队，AngryBacon 曾是 超新星 队的队长，本身也有在赛场上独当一面的能力。  最后，他们训练刻苦努力。请自行参考  Wiki - Dreadnought's Wiki    和  Dreadnought / Trainings   。  （划掉） 最后 -1 点，他们来过 ICPCCamp XD（划掉）
谁有上海交通大学的宿舍以照片啊?,  我想补充的是 交大每年等大四的搬出去后都会将旧的家具丢掉重新装修宿舍 所以大一那一年过来看到的床 柜子什么的都是全新的 交大就是这么壕 
上海交通大学的学长是不是都有毒啊？,这是道送命题
法国总统奥朗德为什么选择在上海交通大学演讲？,ParisTech在这其中的推动作用很大，奥朗德在交大演讲之前首先为交大和ParisTech合办的工程师学院揭牌来着，当天开场时在台上入座的三人分别是奥朗德、交大党委书记以及巴黎综合理工学院（ParisTech成员学校）的校长。况且若要说和法国联系紧密的中国大学，交大也恐怕不是最突出的，有些法国媒体至今还把交通写成Ziao Tong。。。所以不能说奥朗德是完全冲交大去的，更不完全是冲法国学校的世界排名。。。
工作的地方要求员工在工作期间上交手机合法吗？,谢邀，如果你的意思是工作场所禁止携带通讯工具，这个要求不违法。 至于要求上交手机，要视具体的行为分析。比如如何保管员工的手机，是提供储物柜还是？
谈半年的女友要求房子加名，工资卡上交，我该怎么办？,谢邀。  大概几年前吧，有一个央视的编导老师来找我们，是带着她老公来的。编导老师大大方方的走进来，她老公扭扭捏捏，见到律师好像十分不好意思。  案情很简单：   她和他结婚了，婚前没看房产证。  婚后看了房产证差点离婚，他们住的婚房，写的前女友名字。  前女友现在已经嫁了洋老公，人在国外。  前女友不同意房子过户回来。    结局也很简单：  我们把前女友告了，运气不错，把房子要回来了。   哥们大大方方给妹子过户吧，记得打官司时候联系我们。 
如何评价上海交通大学安泰经济与管理学院对2016年新生周日晚19:00-21:00集体自习阅读的要求？,今年事真多，大四表示从未经历。
南京大学文理工商医农在华五中样样不是顶尖，为何有资格和复旦上交浙大并列华东五校？, 我觉得只要学过物理的，都不应该怀疑南京大学物理学院的地位。  不知道当你看到梁昆淼、周衍柏这些老先生名字的时候心里有没有敬意，反正我有。 
环保局我上交了我的环评申请，两个月后没有给予我答复，我该怎么做？,环评文件包括环评报告书，报告表和登记表三种类型，根据环保部颁布的分类管理名录确定某项目编制的环评类型，一般环评文件都是由建设单位委托第三方具有环保部颁发的环评资质单位编写。首先我问下什么项目，然后你说你上交了环评申请？上交了啥？环评报告还是什么鬼！如果是上交了环评报告书或者报告表或者登记表，请问环保局进行网上公示了没？你如果上交的是委托专业机构编制的环评文件，那么环保局会进行审查（登记表现在在改革，各地执行情况不一致，大部分地区登记表备案就好了不审查；如果是环评报告书你上交环保局是开过专家会的报批稿，那么一般环保局也不会再审查因为专家已经把关了，一般直接公示；如果你上交的环评报告表，有可能环保局进行审查时发现诸多问题，那么环保局会和环评编制单位联系，要求编制单位进行修改完善后重新报批）！所以你得说清楚具体什么情况我们才知道怎么应对。根据我的经验，环保主管部门不会无缘无故拖延不审批，最简单的方法就是找你委托的环评编制机构，问清楚情况。重点是我觉得你提交的不是环评报告！然后手机码字，你懂的
上海交通大学与复旦大学如何超越清华北大成为我国超等大学？前后两对差距在哪？, 上海当首都才可能。 
如何看待周琦被上海交通大学录取？,咋回事？只有我一个人因为能跟姚明周琦这样优秀的人在一间教室上课感到小兴奋嘛（虽然当年和姚同学走叉教室了
能动学院的研究生是在西交读好呢还是去上交？,西交好
上交所与上交所固定收益平台的关系以及异同？,固收平台是大宗交易，上交所竞价交易是散量市场
如何评价上海交通大学的水平考？,嘛… 
上海交通大学有多少教授？,具体不知道，不过apply for professer时会有还几百个
非全日制工程硕士，085211计算机技术，学费上交8万、复旦6万、同济3.6万，为什么相差这么大？,因为上交复旦不缺优秀生源，或者学院领导不作为，没有为非全积极联系合作企业或者向校方申请专项资金。同济学费少则刚好相反。要么是因为制定招生计划时预计生源会不足，要么是校领导比较重视，申请了更多的资源。  建议参考因素: 1。是否解决非全的住宿问题，是否设计了奖学金。 2。是否与知名企业签订了校企合作计划。 3。是否推荐实习，是否要求调动档案，承诺毕业有三方有派遣。
上海交通大学和南京大学（国立中央大学）有什么关系？,思路理一下： 1、解放前，因为战乱，正统中央大学、金陵大学曾西迁重庆。 2、战乱时期，正统的都搬迁了，汪精卫自己办了一个伪中央大学， 江XX当时就读的是伪中大，地址在金陵大学旧址。 战争结束后，中央大学、金陵大学返回南京，伪中大解散，江XX转入上海交大 3、解放后，中央大学1949年更名南京大学。 4、1952年院系调整之前，南京大学、金陵大学是南京地区主要的大学。 ============== 1952年，南京大学、金陵大学院系调整，金陵大学是教会大学被国家统一撤销建制。 南京大学则保留文理学院，金陵大学文理学院并入南大， 南大其他的院系分出去，其中工学部分系科新组建南京工学院， 南京工学院在四牌楼中央大学旧址就地新建， 而南京大学则从四牌楼中央大学旧址搬迁去了金陵大学旧址 =========== 6、南京大学接管了中央大学、金陵大学和伪中大的全部档案，所以伪中大的学籍资料保留在了南京大学。南京大学则有了江的资料。
如何看待上海交通大学医学院禁止外卖？, 上海交通大学医学院精神文明网 生活园区管理条例、实施细则、入住协议书     首先这不是新招，10年你院就有这个规定了，这个公告只是按章执行而已，没有一点问题。个人希望能有医学院的同学来交流一下，这个入住协议的签署是否是普及的。  另外，这个规定实在脑残，希望你院学代会可以起点作用。  最后，“上课抓迟到查上课玩手机查旷课”是世界一流985该做的，只是世界一流985的学生需要被如此管理是一种悲哀，互勉。
如何评价上海交通大学校园原创歌曲《蜕变》？,谢邀。听着舒服就好，旋律缺陷音源缺陷在所难免，鼓敲得很自然啊。技术迭代太快。我这传统作曲玩编曲都怕扭了腰，还是得赶紧跑，不说了，已经被追上了，还不快跑。
上交所发布《通知》要求 10 个工作日内完成并购重组信息披露审核，对于上市公司并购重组有哪些影响？,谢邀 刚出的新闻，我就用手机简单回答一下： 首先把《通知》简单梳理一下：（文件梳理引自上海证券交易所） 一是明确对已取消行政许可的并购重组事项实行事后审核。不过考虑到要约收购涉及业务操作事项，对要约收购报告书全文仍作事前形式审核。 二是落实半年期过渡安排。过渡期内，上市公司披露非许可类重大资产重组预案，或者直接披露非许可类重组报告书草案后，应当同时申请股票停牌。停牌时间不超过十个工作日，上交所在十个工作日内完成信息披露审核。 三是强调事后审核发现问题公司需补充披露。《通知》明确，对于信息披露文件不符合规定的，上交所将要求公司予以说明，披露更正或补充公告，以及修订后的相关报告书全文或摘要。  交代完背景，谈一下看法：  1.这是由事前监管转向事中事后监管的逐步改革。 注册制一步步的在走，监管层逐渐放权，但是相应的属于注册制的一些配套措施就要逐步制定出来，比如关于重组的信息，这个极大的有关联到公司的利润和资产问题（这个我的另一个回答里面解释了重组对上市公司的影响  http://www.  zhihu.com/question/2657  1879/answer/35169041    ）熟悉注册制度的人都知道信息披露对上市公司的人重要性，因此在注册制全面实施之前，类似今天这个通知的法案会更加多的推出^_^  2.有利于上市公司、重组方、中介机构尽责，提高市场效率。 先看去年的一则新闻：    “据了解，目前上市公司并购重组审核最快的是5个月至8个月，最慢的是3年至5年。正常情况下，在证监会受理后，行政许可期基本上是一个月左右，但是在审核材料递交到证监会之前，还要经过其他相关部门的审批。”  看完新闻再对比这次的政策好坏就自在心间了！延续上面一个观点的思路，《通知》的确就是为注册制先行的一个小铺垫罢了，要说对上市公司重组的影响。那很轻易的就还是要回到注册制的优点上来。事后审批可以缩短停牌时间（停牌时间不超过10个工作日，上交所在10个工作日内完成信息披露审核。）可以让上市公司重组进度的推进，提高市场效率。  3.10天内的信息披露，还极大符合了注册制下投资者的知情权，也算是为目前我国A股市场信息严重不称的现状努了一把力吧-_-# 投资者通过阅读公告，能够对上市公司并购重组中的相关细节有更加深入的理解，这也是注册制度的精髓所在，了解监管机构的关注重点和交易的相关风险点，这是我们国家目前做的不好的，当然也是我们市场应该努力的方向。  大致先写这么多了，因为一收到邀请就写了 以后有必要再补充                                 Ryan Damon 2014/12/15 15：23
你是如何考上上海交通大学的？,高中谈了三次恋爱，分一次就决心要超过前任，到了高三就成了年级第一。
清华、北大、上交、浙大都出了哪些值得膜拜的知乎大牛？,个人总结，欢迎回复补充。   清华大学：  @韦思嘉 （貌似知乎唯一的活跃度高的清华妹子，超漂亮的女神姐姐） @曾加 （幽默型男神） @白如冰 (闷骚型男神）  @陈然  @蒋方舟  @矮大紧  @Raymond Wang  @王力乐  (感谢鱼弓王的补充）   上海交通大学：  @GayScript  @杨爱红    浙江大学：  @动机在杭州  @俞林鑫  @张旭良  @dy.zhao  @采铜  @曾博  @Kenneth    北京大学：  @李松蔚  @Wing  @何赟  @张浩千  @甜阁下 （感谢普拉思的推荐）    @韩东燃  @Luo Patrick  @朱晋玄  @曹文雯  @谢小龙   另外此题已经被某个神秘的无节操知乎群占领。哇哈哈哈，详情.....就不告诉你（0.0）  
上交所的收费项目中，过户费还存在么？,中国证券登记结算公司收取的A股交易过户费由目前沪市按照成交面值0.3‰双向收取、深市按照成交金额0.0255‰双向收取，一律调整为按照成交金额0.02‰双向收取。 这是2015年7月份的最新调整，百度百科可查。 染后 ，过户费只是股票交易手续费的一小部分。
如何在网络上交日本朋友呢?,Hellotalk
恋爱四年异地恋后让男朋友上交工资这个要求过分吗？,同学，你这还没领证呢，尚未缔结正式契约关系，风险很大的，要不这样，他上交工资，你出具欠条？
