南京航空航天大学高水平艺术团文化课考试难吗？,过两天南航见
北京航天航空大学HND怎么样？,更新 hnd这个项目的一些内容  1. 这个项目属于高等文凭diploma而非学位degree ，个人觉得相当于英国的大专教育吧，和本科是差的蛮多的。  2. 这个项目对接的学校名单 （都是英国排名中后位的 qs应该都是500+的） 如图啊 中留服官网上的       就这些是你续本用的 至于硕士嘛 就看你个人造化了 也有很多申请到前20的学姐学长们 *对了，申研的时候要附加你的hnd成绩单 各位好好学习争取pass  3. 至于回国户口这个问题  再贴一张图   明确指出hnd是不包含在内的   希望大家在报名前多了解一些这方面内容  多对比参考中介 前辈等多方方案与意见 采取最适合自己的哪一种 希望各位找到真正属于自己前行的道路  分割线……………………  又到了一年一度的招生季……  虽然对学院有挺多抱怨的地方，但是在所有hnd这个项目中北航是一个很好的选择。  有回答说我说的太负面，我承认，这个学院对于很大一部分人来说是种救赎，我想表达的不是老师不尽职尽责，而是我觉得这个学院现在提供的条件确实不进而退了，至于有些方面也的确是hnd制度的问题而不是学院。想必上面那位学长应该毕业很久了，不太了解现在学院的情况，据我所知都是今非昔比了……  事情嘛都是两面性的，毕竟好的方面学院宣传的都已经够多了，那我一定要吐槽吐槽不好的地方啦。  老师这方面嘛我觉得老师尽到教书的义务了，说实话我觉得学的很浅，但是修行看个人；我所有的班主任都是非常负责的，这个我拍胸脯保证，对学生也特别好。  现在的住宿条件的话那简直了……以前的住宿条件是不错的，但是现在具体什么样就大概是借宿在北航外围的一个技校里，呵呵，空调吹的风是臭的，没有校园网，有门禁，会断电，8人间上下床没有桌子，公共浴室厕所……建议报名前来学校实地考察一下下。  北航资源我们享用一部分而已，我们不属于中国大学生体制内的，能享用部分北航资源确实不错啦，但是食堂多收20%，教师和宿舍几乎和他们脱轨（now），图书馆不能借走书以及北航学生是不太看得起这个学院的这些事实。  关于未来嘛，每个人的规划和对自己的要求都是不一样的。身边不少人就只是混个英国的毕业证，这里的确不错啊，学业相对难度不大，又有老师催。但你到底想要什么只有你自己清楚，所以这个学院里也不乏特别努力的人，他们的确就算在这个学院里也可以过得比别人好。哦，对了，一个天天被班主任催着起床的人会是什么样的追求我就不吐槽了。  关于毕业证的问题，楼上学长说啦，几乎所有都拿了硕士毕业这一点。这个项目对接的英国大学的本科证国家不承认的好吗，你要是没有父母定好工作你只读过本科回来屁用没有的好吧。只承认你读的硕士而已……说到英语可能比很多直接出国的比好，他们是怎么进这些英国大学的，都是些什么英国大学这才是关键，为什么要和比自己差的人比啊……  先写这么多， 以后想到什么再补充， 有什么问题评论里解答哟～  我是在校生   分割线………………………………   以下原答案  一个巨大的坑……读了一年，说是和北航学生共享资源，其实差距很大，基本和他们脱轨，而且有一定的偏见……除此之外，学生质量真的良莠不齐，我在前面的班，学习氛围就不是很好，当然我不清楚正规大学的氛围，后面的班就大概有钱混日子的更多了吧。如果你想轻松过关拿一个国外的diploma而且不想开支太多，这是一个好选择，如果你想好好拼一把，不如自己直接出国……老师都是好老师，但是就算三年之后出了国还是不如自己从国外大一学的扎实，真心的……
很想知道南京航空航天大学空中交通管制老师的工资待遇呀，因为有人说一年几百万，经费随便用，真的吗？,虽然我不了解，但是还是想说一句话：吹牛又不上税，谁都会。   下次你把你朋友和她老公带到税务局个税窗口前再问这个问题。
本人打算2018年考研，目标院校深圳大学和南京航天航空大学。？,泻药  取决于你有多大决心在深圳发展。如果你有强烈的意愿未来在深圳发展，建议你报考深圳大学，因为在大学所在地你会更容易获得各种机会，包括不限于获得实习、就业机会、提前缴纳社保等等。  如果你不确定未来发展的城市，建议你报考南京航空航天，毕竟985 211的名气在这，会比深圳大学在择业就业上更有优势。  至于物价(不包括房价)，深圳略高于南京，但是真正日常开支取决于自己，我见过月均消费2k够用的，也见过5-6k还不够花的。除此之外，城市区域之间的差异有时候比两个城市间差异还要大。就未来发展而言，物价不应该成为你需要重点考虑的因素。  但是，谈到房价，这两个城市的差距就很明显了。深圳均价43k/m²，南京均价24k/m²，今年初的数据，由于调控，我想到现在为止应该变化不大。也就是说，深圳买房你至少要准备300万，而建筑面积相同的住宅在南京大约只要160万。  具体选哪所学校，题主要有自己的判断，不能听风就是雨，总想搞个大新闻；量力而行，综合考虑家庭经济条件、自身能力和未来的规划。
如何看待南京航空航天大学主楼新开的灯光?,永远只能靠这些东西出名，早晚药丸
南京航空航天大学的机电专业怎样，和东南相比呢？,东南吧，看院校风格~
陕西考生报考南京航空航天大学位次在全省多少？对女生有专业限制吗？(2017考生提问)？,㈠.在江苏省的排名一般来说是： 1.南京大学 2.东南大学 3.南京航空航天大学 4.南京理工大学 南航和南理工一直互掐，虽然我是南航的，但我公正的说近几年南航的收分一般是比南理工高的。    不过这排名也说明不了什么，每个学校有每个学校强势的科目。南理工的学科面要宽于南航，而南航的优势学科是机械，力学，飞行器（情怀学科），电气工程及其自动化等相关学科，计算机近几年将就吧。直升机很屌，南航有直升机旋翼动力学的国家重点实验室。   举个例子：上海交通大学，排名比南航屌多了吧，但是上海交通大学航空航天学院的招生老师依然到南航宣传，希望南航学生到他们那读研。毕竟国内航空航天类第一梯队就北航，哈工大，西工大，南航。  我看题主是陕西的，可以考虑一下西工大，因为上述四所只有南航不是985，只是985工程优势学科创新平台。我当初就被这个骗了，搞得我找调剂的时候很尴尬，因为南航不收非985的调剂生，包括本校生。  ㈡.专业限制应该是没有的，具体可以官网或者咨询招生办。不过考虑就业，可能有的专业，有的地方有些许影响。  最后，祝愿你能找到心仪的学校～
北京航空航天大学英语专业怎么样?, 很差，非常的差。  北航文科收分越来越高，在很多省已经接近甚至超过北外了。有多少想不开？要去北航读英语而不去北外？就算不去北外，也可以找到很多比北航好的英语系。京内可以考虑外交学院、北师大、贸大，分数低一些的可以考虑北二外、北语言。京外选择更多，上外、南大、厦大、武大、中山、华师、华中师大等等，分数低一些的也有广外、川外。总之北航绝不是学英语的好选择。  为何？  （1）师资水平差：  语言学是北航外院的招牌，但是院长是学术混子，著名语言学家卫乃兴即将退休，青年才俊林允清出走北二外，语言学都立不住了，更别说翻译系、文学系了。至于新办起来的修辞系，全系只有一个老师。  （2）本科生教学水平低：  给本科生上课的就是两种老师，一种是混吃等死的，上课很随便，反正没有什么追求；另一种是忙于科研，自己的职称要紧，因而给本科生上课不走心。四年下来，值得听的课不超过5门。最好的课是北外请过来的教授上的，但是北航觉得他太贵，现在已经不请了。  （3）管理水平糟糕、官僚气重：  培养计划一学期一变，每变一次都让你担心无法毕业。从这一点就可以看出这个学院有多瞎做事，显然培养计划的修改不能溯及既往，不仅反映了学校自身没有成熟的培养方案，在学生管理上也是很随意。类似的事情有太多，数不完。  （4）外院地位奇低：  北航是个工科学校，文科系既没钱、也没有地位，基本就是用来平衡男女比例的。好事轮不到外院，奖学金也少得可怜。  （5）北航学校不行：  北航大环境太差，学生没什么尊严，就读体验非常烂。这个你在知乎上搜搜就可以看到很多，那些回答我大部分同意。 
南京航空航天大学MBA怎么样？,      项目特色  方向特色化  面向大中型企业的项目管理和高技术管理方向，通过提高MBA 学员的执行力和创新力，着重培养其国际战略意识和精细管理技能;面向创业者的金融投资与财务管理方向，着重培养MBA学员的投资理财能力和把握风险的市场运作能力;面向文化产业界和欲进入咨询培训业的准白领设置的文化产业管理与咨询培训方向，通过提高学员的沟通能力和适应力等商业技能，为他们从事此行业提供职业素质和商业技能保证;面向航空系统的航空运输管理方向，着重培养MBA学员的运筹和组织能力。  师资社会化  南航MBA实行双导师制，对MBA核心课程的授课教师有严格的考核体系，将邀请知名企业家和外聘教授参与教学，定期举行专题讲座。学校计划每年投入不少于 30万元，组织考察学习国内外知名管理学院MBA教育的经验，并已制定了教师留学计划，每年将派遣3-5名MBA教师出国学习，引进国际师资，与多　　所国际知名大学签署互换学生、互派师资、客座讲学等协议。部分课程双语教学。  课程最优化  南航MBA在遵守全国MBA指导委员会的要求下，在保证MBA学生掌握管理学和经济学基础知识和技能的基础上推出课程精品菜单(部分教材采用全英文版)，增加了企业最前沿最实用的内容，详见培养方案。  实践专业化，教学模式多样化  建设大型教学实践基地。我校已在32家企事业单位建立了教学实习基地。将要与国内外著名公司合作，为MBA学生开辟一流的实习基地，同时为今后 MBA学生就业开辟渠道。举行多种沙龙活动和丰富多彩的联谊活动，组织英语演讲俱乐部、咨询俱乐部、金融俱乐部、金点子俱乐部等。积极参加中央台及各种有组织的对话、论坛及年会等活动，成立MBA联合会。  硬件设施人本化  多媒体教室、案例教室、阅览室、语音房及其他设施等齐备;有丰富的软件系统，如可供学生模拟经营企业的沙盘模拟训练系统等。  人才职业化  南航MBA通过系统学习先进的管理知识和情景对抗教学，各种有价值的讲座、对内对外交流、实习、拓展训练等提升学生的沟通力和领导力，全面培养学生的团队精神以提高学生的适应能力和应变力。提倡全人教育，注重学生商业道德和社会责任教育，通过创建学习型组织和案例讨论，培养掌握估计最新动态、具有国际交往能力与国际接轨，又适合中国国情和传统文化的职业经理人队伍。帮助每位MBA学员了解自己，制定合适的职场计划，建立对外沟通平台，拓展职业渠道。   南京航空航天大学MBA项目    
如何才能在南京航空航天大学办理一张校园卡（我非南航学生！）？,我有一张，还有学生证，南航到现在也没有回收哟。
文科生应该在南京航空航天大学和华南理工大学中如何选择？,我能想到的任何一方面，都是华工强于南航阿，广州比南京好，综合实力华工比南航好，工科整体实力华工比南航好，唯一华工处于劣势的是，华工的分数要求高些
你为什么后悔到南京航空航天大学读书？,后悔跟题主这种人在同一个学校读书，丢人。
如何评价南京航空航天大学自动化学院李志强这个人？,你好，我是李志强本人。 针对于你提出不完美的事实，提出严厉谴责。 哪怕我说的是概率long（四声）   已举报！
如何评价南京航空航天大学周慧成？,其实两边的调调我都很不喜欢，一边是毫无干货的反讽和人身攻击，一边一副“虽然他没情商但是他很耿直啊”的洗白。在两边的共同努力下，周慧成同学被塑造成了一个完全不知道怎么和人类沟通却坚持自己的“道义”的傻呵呵的武僧形象，听起来真是很像日本动漫啊。 我估计对于你们塑造的这个定位，他自己也是不爽的。  既然这个题目问的是评价，那我就评价一下吧，先纯粹说比赛能力，然后再谈其他。 这几年南京的比赛不少，也有机会看了周慧成的一些比赛，坦白讲，这次喷他的辩手，一半是打不过他的，我是很认真说这句话的。南航这几年在张海波的带领下，已经形成了自己的风格，一般南航的比赛，立论思路比较诡异但不算诡辩，资料准备比较充分认真，然后靠辩手素质硬拼比赛，立论的诡异点被拆掉就输，没被拆掉大多就能赢。现在南航这套阵容，丁娅文和严文凯是核心（当然严文凯才回国还没恢复），周慧成则是负责干脏活的。干脏活是指场上有些需要强行扣的帽子是他扣、强行扯平的论点是他来、强行推进的思路由他推，这不是一个贬义词，马薇薇02年就是干脏活的。在他的职能上，他干得其实还不错，他的环节基本能恶心到对方，或者强行推出自己的东西，作为一个执行手，至少在目前一片萧条、菜鸟互啄的南京，也不算太差吧。 当然要说什么大局意识、现场交锋、爆破论点，那他确实还差得远，不过喷他的各位扪心自问一下，你们又能好到哪里去呢？大二的周慧成和大三的周慧成相比，其实也是有不少进步的，至少自捅率少了很多，虽然除了自己的一亩三分地外，并不会对队伍做出什么额外的贡献。如果硬要排名的话，周慧成在南京13级里面肯定是能进前20的，但肯定是进不了前10的（当然他肯定坚信自己是前几位的，蛤蛤蛤）。当然这种排名毫无意义，比他更优秀的辩手，放在南航的打法体系里面，未必能发挥更大的作用。 我挺看不惯这几年南京的一点就是，明明大家都很弱，却非要相互吹捧。比如仙林高校捧出的所谓“南京第一”周军，我想周军同学自己也是不好意思接这个头衔的，首先我并不觉得周军比南师大的陈书琦、南审的杨午&amp;王天奇、河海因为内部原因不出来打的13、工大的马雷厉害，只是南京的队伍都不怎么看比赛了；就算周军确实属于厉害的一批，但江苏不只是有南京啊！这几年的苏皖，如果没有罗斌，南京队伍已经很难在自己的主场保持自己的尊严了，前年被矿大横扫，去年被苏大横扫。也不想想人家的环境、资源比我们恶劣得多，却被人家虐成这样，还怎么好意思封神。这里没有黑周军的意思，我很喜欢他这样在努力中不断进步的辩手，但非要说他是南京第一，那南京也太丢人了。 扯远了，总得来说，周慧成确实不强，但也不弱，至少喷他的辩手，大多没资格喷他菜。  当然另一方面，他被喷也是活该的，原因简单归纳的话，就是眼高手低。 其实周慧成包括严文凯，在这次事件中这么得罪人，有一个很重要的原因，是因为他们的眼界并不只局限在南京，他们去过上海打过捭阖全国赛，他们全队会到南审看世锦赛，他们也会关注新国辩等比赛，至少他们知道，南京本地打的这些，很多都算不上辩论赛。 但他们错在，如果他们自己的实力和威望也不能服众，那就不适宜出来说话。这就好比姚明可以在新闻发布会喷队友不努力、比赛准备有问题，陈江华如果出来说这个那就活该被喷死，道理是一样的。因为接触了更高层次的东西（包括张海波毕竟也算见过大场面的老教练了），南航的辩手确实一个个心气都很高，但如果你们的实力没有跟上，你们批评他人的时候，就会有一种莫名其妙的违和感。尤其是周慧成同学，总是一副前辈的语气，作为一个13级队员，大家都觉得莫名其妙。 南航的辩手，讲认真的，很努力、一直在进步，从13年刚建队发展到今天的地位，在南京已经算很不错的了，而且以后的发展前景也很好。但是如果不把自己的优越感戒掉，这次的亏吃完了，下次还得吃。我知道你们平时接触的都是圈中的前辈，他们指点江山是因为他们的战绩足够、资历足够，但你们，现在，请谦逊一点。 江宁区赛输后不服发文，我可以理解，这次市赛你们的种种表现（比如吐槽评委），我也可以理解，但要说年轻气盛、比较耿直、原则性强那是有点抬高你们自己了。我相信你们的初衷确实是好的，但初衷是好的，不代表做的就是对的。大家都在这个圈子混，做人成熟点真的蛮重要的。  言尽于此吧。 当然肯定有人问我，那答主你凭什么指点江山呢？ 哦，那是因为我匿名了，哈哈哈哈哈。
如何看待南京航空航天大学体育课强制下载"ME动"用于打卡且十周内打三十次？,还好啦，就当锻炼身体了。总比之前要在15分钟内从东操和西操打卡，并且固定打卡时间，有时排队都要排5分钟好
西南大学和南京航天航空大学？,南航不清楚，西大的工商管理找工作看运气，英语要好，大多数都是有银行这一块，其实西大舞台不大，要慎重。
如何评价南京航空航天大学经管学院教务员郑茵香？,作为文明人  用不带脏字的语言评价不了。
南京航空航天大学，211，英语专业，均分86，雅思7，想去英国读研有哪些好学校推荐？,先考虑好想读的专业再考虑学校  简单点按照近几年专业排名往好的去申请就行了
我是南京航空航天大学飞行器设计与工程的学生，想问一下专业的就业前景？,现在饱和了，那是相当惨。饱和指的是各主机所和商飞之类，前几年盘子扩得太大，这几年招的人少了。题主如果不是想找江浙沪地区，中航工业的工厂和研究所全国各地还是很好去的额，比如成飞，沈飞，景德镇、贵州研究所之类。但想去东部沿海工作一半要读研，现在僧多粥少你还得优秀吧。
南京航空航天大学的工业设计怎么样？,我就是这个学院的辅导员哇，欢迎欢迎，假期有时间多学学素描，这个可是最重要的技能。
南京理工大学 南京航天航空大学 苏州大学 河海大学 华东理工大学 请问各位学长学姐这些大学的住宿条件？,网上的图 希望能帮到你  
你是怎样在南京航空航天大学找到男／女朋友的？,他参加我们协会的比赛 我是组织者，他是参赛选手 那年我大一，他大二  我们协会有一片儿他同学 同专业的，同班的，同寝的 所以互相知道有这么个人  我大二，他大三那一年 社联要组织个活动 他组了个团队（他是社联的） 我们才正式认识  过程中朝夕相处  就酱..  多参加活动总会认识异性朋友哒 当然，主动创造环境+积极面对非常重要 还有就是双，发现美的眼睛❤️ 我到现在都还记得 我们正式认识的第一天的那第一眼 我GET到他魅力点的那一刻 （已分，除了祝福他我还能说啥）  2017.05.05
我是该去重庆大学还是去南京航空航天大学呢？,计算机专业来南航吧， 补充一点，南京可是努力成为中国第一软件城市。 重大厉害在985，建筑，经管等。 南航这几年的计算机科学与技术学院发展挺快的，也就是从我们4院分出去的16院。哈哈
在南京航空航天大学就读是怎样一番体验？, 将军大道29号，是南航将军路校区。   南航学子们喜欢明故宫校区的历史气韵，但是大多数本科生还是把青春留在了江宁。   1999年，南航将军路校区迎来了它的第一批本科生。   那时候的江宁还很荒凉，翠屏山还是座荒山，附近的小区除了江南文枢院就是太平花苑以东一些楼房。校车开进一片大工地，眼前一栋教学楼、一座食堂、三栋宿舍还有几间民房就是所有，再往前，除了土坡还是土坡。   尘土飞扬的青春一转即逝，当年的学生再回来，走在一栋栋拔地而起的新楼之间，才发现已过去好几个春秋。   将军路校区一直在扩张。一个被高速公路一分为二的学校，住西区和南区都像在谈异地恋。  偌大的校园不让骑自行车，于是很多学生get滑板新技能，代步的同时还能装装逼。至于不会滑板的孩子，每天只能用双脚丈量这片热土，微信步数轻轻松松突破20000。   不知道多少学子跟南航的第一张合影和最后一张合影，都是以主楼为背景的。年月不同，角度不同，记忆却是相同的。   待了四年，每天都能看见空中轰隆隆飞过的直升机，却始终没有看到主楼脱去沉重的水泥墙衣，从神秘的B1层点火发射，奔向长空牧群星。   主楼前那块熟悉的刻着“智周万物 道济天下”八个金字的校训石，每次路过，总是不由自主念上一遍。老学长们回来，会下意识地去摸一摸，感觉到掌心已经不是原来的泡沫手感，心里还有些许的失落。有人说，之前那个泡沫做的校训石在一个大风天被吹跑了。   许多学生还记得当年的录取通知彩页上，211工程，985优势平台等字眼让人心神动摇。   四年之后，才痛彻地领悟211就是211，就算用优势平台跟985扯上了半毛钱关系，211依然清清楚楚地写在你的脸上，在申请外保或找工作的时候往往给你一万点暴击。   但是这不妨碍南航学子拥有一颗985的心，进入南航，就是从一所高中跳入另一所高中。你听过大三下学期还要考三门必修、两门选修的人吗？见过大四上学期还有两门必修、三门选修的人吗？高中两年没学过物理，进了南航却要一边抱着航空航天概论狂背空气动力学公式，一边怀疑自己上辈子定是折了边角翼三条翼的天使。   每到考试季，南航的自习室一个萝卜一个坑。教室放眼望去都是黑压压一片，像个晚自习辅导员一样在课桌间徘徊半天，终于找到个位子坐下来。习惯性地扫视一圈，嗯，今天这个自习室居然有三个女生，完美！   那些年，南航学子把勤奋的身影留在了校园的每个角落，冬天在二号楼冻成狗，边学多跺脚；中午从东区自习室出来吃个饭，再回去居然忘记早上待的是哪个教室；兴冲冲跑到4101准备通宵自习，结果不到十二点就已经困得神志不清……   拖拖拉拉盖好的高大上图书馆，让许多恰巧毕业的学子捶首顿胸，终究跟这盖了四年的图书馆失之交臂，只能从学弟学妹的朋友圈去瞻仰空中花园和咖啡厅了。   男航有光棍桥、光棍广场，男女比例可见一斑。女生宿舍前拉起了长长的条幅“南航男女七比一，七个男生呵护你”。   情侣也是可以见到的。尤其是在博园的小路，多少男女在此相拥相吻，难舍难分，不小心乱入的单身狗总会摸到一脸的血。夜色朦胧的砚湖，长椅上成双成对的身影，走一圈总要感叹砚湖不浅。   五六月份的樱花广场，花开如云，情侣也如云，花下的长椅单身狗更是没有资格去坐上一坐了。   南师的美女，南航的饭。两年前南航的招生宣传，食堂大叔大妈成了代言人。在南航，食堂竟已跟大西门的Mi-8T直升机站在了同等的高位。  对此，南航学生的内心是纠结的，他们羞于用低级的美食而非高级的学术招揽人心，却又日日迷失于大南航七个食堂之间，再也找不到一个瘦子的归路。   那时候，经常光临二食堂的香锅，比起香锅的美味，更想念那个卖香锅的姐姐。六食堂菜包肉包三丁包，吃过之后再也吃不下其他食堂的包子，当年一度成为大家早起上课的动力。 住在东区的学生大多靠四食堂维持生命，早饭最爱杂粮煎饼，外带土耳其烤肉饭最方便。还有一食堂的铁板饭、二食堂的山西面馆、三食堂的瓦罐汤、东清真堂的脆皮鸡、五食堂的“小飞”…… 那些年，食堂的阿姨每每认识几个熟面孔，来了看都不看，就打好了常吃的几样菜，那种默契也真是让人感动。 食堂虽多，但是家花总是不如野花香。这时候，几个室友就会结伴晃到北门外，那个美食多得像热带雨林的后街正在对面守候。   每个南航人大概都记得跟后街的初次相遇，大市场被三轮车、摩托车和各种流动性摊子占据了大半，迎面的水果摊冬天有诱人的大草莓，夏天则可以从那抱回一个脆甜的西瓜几个人围着吃。   记忆里后街的地面总是积着来历不明的污水，瓦亮的灯泡照亮了一家家生煎、炒饭、鸡蛋灌饼、烤鱿鱼、花甲、炸土豆的摊位，缭绕的烧烤油烟、混杂着各种食物的味道，组成了后街夜晚最生动的表情。   名声在外的南航粥店，菜单上花样繁多，每一种都尝试过，常吃的还是皮蛋瘦肉和香蕉牛奶燕麦粥。聚餐的话一群人会杀到小四川，15块钱一盆的酸菜鱼特别下饭，千张皮包的京酱肉丝抢着往嘴里塞。 这几年，除了后街，旁边的托乐嘉在南航的人气也一天比一天旺了。后街和托乐嘉，一批又一批的南航学子在这里欢聚、谈笑、离别。离开的学生终结了一段时光，而很快又有新的故事将它覆盖，青春的筵席就像那些此起彼伏的招牌，永不散场。 南航人也会经常出没胜太路、新街口，赶不上校车的时候还需要各种折腾去明故宫。  地铁没开之前，北门外留下了多少等待148﹑105区间和盛中线的回忆，那些挤公交挤到怀孕的日子曾经是南航人心里挥之不去的痛。  S1通了之后，去市中心只要半小时，一大群人在雨花台前呼后拥追赶公交的画面只能去老南航人的记忆里翻找了。 每年的元旦前夜，国旗广场会燃起熊熊的篝火，零点时烟花准时在南航的夜空绽放。看完烟火，这一年才算过完，新的一年就此开始了。 晾衣架通向过去，也通向每一个晴好的明天。  时间在南航打了一个褶，青春悄悄地藏在了里面。    微信公众号：南京有个号     微信ID：njxz365   
南京航空航天大学计算机考研好考吗？,南航分还挺低的…
南京航空航天大学国防生在哪个校区？,一般国防生是一二五院有，本科前两年在江宁校区，后两年在明故宫校区。
关于在南京航空航天大学辅修的问题？,谢邀，可以报个自考
南京航空航天大学本部B6宿舍是全南京最差的宿舍么？,不知道，我在东大那边四个人一个宿舍，带独立卫浴。
南京航空航天大学电气工程及其自动化研究生想考外校，有什么要求？,不论是面试还是笔试，校内保研还是外校外推到浙大，在这一环节的主要内容都是专业课和英语。面试时的英语一般是英语自我介绍。如果是电气工程及其自动化方向（ZJU电气学院研究生研究方向还包括电机与电器、电力电子与电力传动、电工理论与新技术、控制理论与控制工程、高电压与绝缘技术、电路与系统学科、系统分析与集成学科），专业问题基本上将会包括：电力系统稳态/暂态分析、发电厂电气部分、高电压技术、控制理论。大学本科各门专业主干课成绩也会看，比如电力系统稳态/暂态分析、发电厂电气部分、高电压技术、控制原理、微机原理，etc。
就网络空间安全这个专业来说，北京交通大学和南京航天航空大学哪个好一点？,北交吧
南京航空航天大学从飞设（航天）转飞设难度如何，谢谢？,今年来看，十分容易。达到规定线几乎就可以了。但是飞设作为南航的顶尖专业，还是不能太放松自己的成绩呀。
如何评价北京航空航天大学的戴子弋和雅典杯？,戴姑娘只是个可怜人罢了。  雅典杯的幕后统治者是褚冠华而不是她；雅典杯上翻江倒海惹得褚大老板和他的幕僚们不高兴的是RCC而不是她；在安理会上训斥代表引发不愉快的人是我不是她；在日本内阁因为“没有对阁员微笑”而招致阁员们反感的是艾笑和老冀，也不是她。  但是她却是那个被推上了风口浪尖，替雅典杯背了黑锅的人。  嘲笑“垃圾学校垃圾专业”的危机团队和RCC“不配给日本内阁写危机”的是某高贵的复旦学生；怒斥RCC“一半离职一半打游戏”的是某血统纯正的日本内阁成员；要求全体主席团成员不许发布和转发雅典负面信息的是某学委负责人；全程无间道，在褚冠华面前说尽了戴子弋坏话的人得到了“雅典英雄”的称誉；这里面还有一个从天而降的褚大老板，连证据都没有，就要依着“雅典宪章”、凭着小报告来撤掉戴子弋的职。  可如今当圈里人嬉笑着、观赏着、玩味着雅典杯那些匪夷所思的笑话时，却是她的名字写在雅典杯的旁边。  无比伟大、无比正确的褚大老板，以及他忠实又值得信赖的幕僚们哟！当你们手执法西斯的权杖，把威严与权力带给民主的雅典的时候，是哪一只卑微的模鬼撩动了你们脆弱的心房，使得你们把比那阿尔卑斯山还沉重的罪责，施加给一个没有还手之力的人？看看你们说的话、做的事，你们把一个为雅典杯从前到后忙碌着的小姑娘逼到不得不反过来痛骂自己曾经付出的努力，我必须承认，这是你们的胜利。  看过戴姑娘昨天的日志，我只是越发觉得她可怜。作为一个改革家，为雅典杯做出许多贡献，却被说成“背叛了褚冠华对她的培养”，落得今天这个地步。显然她并没有做好像革命家一样流血牺牲的准备。  确实是辛苦你了，退圈保平安。  利益相关：被戴姑娘面到RCC来划水的某垃圾学校垃圾专业的人，主要负责打游戏和离职，兼顾雅典牌自动推演机的维护工作。
怎么样在南京航空航天大学中找到优质男朋友？,建议修改问题：怎么样在南京航空航天大学中找到劣质男朋友？
南京航空航天大学电气工程研究生就业前景怎么样？,请问楼主这个问题是哪年的？我是今年调剂到南航，本科关山口，可以交流一下。
高三学生国航飞行员招收通过后，如果进入了南京航天航空，大学毕业后工作包分配吗，前期薪资怎样？,不包分配你就偷着乐吧。
