为什么高翎资本的张磊向耶鲁大学捐款 888 万美元，但是没有捐给另一所母校中国人民大学？,这得看赵家的孙子想在哪儿念书，他捐完了以后，某赵家的孙子就保送进了耶鲁。
中国人民公安大学的犯罪学继续深造毕业后可否帮助刑警破案？犯罪心理学不是应该对了解罪犯很有帮助吗？,说实话，帮助并不大。  如果你犯罪心理学毕业做警察，那你一般就是去刑侦做预审，但真正接触到了你就会发现，专业知识还是少用为妙，老师傅在实践中教给你的远比你在专业课上学到的多得多。  能用上专业的时候是在你写调研写论文的时候，领导会对你讲，你是公大的高材生，又有犯罪心理学背景，写几篇调研肯定不在话下吧。于是不管你喜不喜欢或者不管这东西是不是应该这样写，你都得把它写出来，此处便能体现出你专业背景的用处。因为事情老同志做了，而且做得比你这年轻人好，但他们写不出，写出来也不如你写得漂亮写得通，这一途径可以证明你的价值。  单独说一下犯罪心理画像。小案子用不上，大案子轮不到你。在几十年前公安队伍中就有很多人用这一技术，只不过是当时心理方面用的较少，更多的是从痕迹学等方面来找依据，当时这个名词叫“犯罪脸谱”或“罪犯画像”。如今在刑事侦查过程中不借助心理分析，利用其它技术办普通案子完全够用。大案子需要用时，如果你想 i can i up ，那你得先慢慢熬，在这一领域成为专家。  建议：  一个忌讳：不要卖弄专业知识，尤其是不要自信地去分析正在办的案子。因为讲得通很容易，讲得对很难。 每次利用专业的时候，等到结果出来拿专业知识往上套，去起辅助作用，证明自己的同事工作方法合理工作结果正确。前段时间湖南衡山的连环杀人案，我们一群同事坐一起吹牛，我单从新闻上获知的内容就能讲出一大通合理的分析，但给同事们讲完后我特意强调，刚才说的完全是吹牛讲笑话，本人概不承担任何责任，尤其是不保证分析地是正确的。  一个建议：多写调研，多发论文。 前文已经说过这事证明你价值的途径，如果你以后真的想走这条路，那你资历什么的都熬到了你也得给别人信服你的理由。这个时候你可以列出你从业以来的研究成果，自信地称以从事相关研究多少多少年，在什么什么档次的地方发表过调研或论文多少多少篇。至于研究的方向，建议从嫌疑人共性和受害者共性入手，没法更具体地给你讲，毕竟我曾经给别人提过这个建议。如果你单位的层次比较高，那你可以把研究做得大一些，比如地理性差异，甚至不同民族的跨文化差异等，这一类研究是现在比较需要有人来做的。
在中国人民公安大学就读是怎么一番的体验？,有好些人评论了，那我就把话先放到前面，公大模式僵化而落后，一切以公务员考试作为四年学习指向，四年下来基本没学到有用的东西，要说什么情商领导力之类的屁话，拜托去看看别的学校学生，情商不是只有在讲究哥们儿义气和逢迎讨好和互相倾轧的环境下会有，事实上，一个风气自由开放的学校才更容易培养出高情商的人。况且单论那些从一开始就一心当警察的人，不在乎是不是学到了多少知识的人，自己想想在公大到底学到了多少警体技能？说句难听的，公大这方面的课可能还没有普通大学的体育选修课时间多。都是实话，你说是吗？下面是原答案     很烦躁，我是女生，然而我身边的女生low到一个极点，基本都是乡镇二等中学或是四线城市来的，都是不学无术的，家境又都不怎么样，回到宿舍里讨论的话题就是哪个区队的哪个女生长得还不错(然而在我眼里很不咋地)，哪个男生家里好有钱，哪个师妹是婊子她勾引有钱师弟，哪个女生好阔绰今天买衣服花了好几千(这算个吊？)。众所周知公大出了个金师妹，英语竞赛全国第四，在公大被捧上神坛了都，我只是想说，这个英语水平虽然还可以但在我高中同学那里就是个很一般的水平，公大是有多low才会把这么个别的学校很一般的人捧成红人？呵呵 还有，在这个学校爱学习的人会被当做是异类，我指的是真正的学习，不要跟我提公大的期末考，考的什么玩意儿？就是提前两个星期背个题库然后p都没学到的，平常上课内容也是极low，什么公安群众工作，公安组织，课本内容写的跟小学生教科书一样(都是公大出版社写的)。要是爱上图书馆可能会被当做不合群，去图书馆的也多是看公务员考试和司法考试的，极少有真正学习的(当然，这么个学校也让人没法学习)。在这里的合群就要付出浪费时间的代价。 有个申请上港中文master的女生，结果这事儿成了新闻了，呵呵。(放在别的普通一本就是再普通不过的了)。 如果想当警察，可以别的大学毕业了再考，而若是在公大，基本路就被锁死了，什么都没学到当然只有考公务员了。 哦，听说现在公安院校要开始统一考试了，公大的优势更是没有了。呵呵，可以预见，生源质量会进一步降低。 总而言之，别考公大，无论是从功利还是从非功利的角度。 你们说我说的哪一条不是客观存在的？评论说我bb，拜托，你们自己说说，这是个正常大学？无论是学校体制还是学生间的舆论环境，哪一条适合人的自由发展？OK，你们说这就是日后公安队伍的常态，在公大是给你提前适应，那所以说嘛，在公大把你的路锁死了，也就只能当警察了，眼界见识还特别短。总之公大很low，以前同学，学习好的特别好，长得好看的特别好看，爱打扮的很会打扮，会玩的很会玩，公大的人感觉大部分都不怎么有水平。你们要说我看不起小城市的，其实也不是，我喜欢不断提升自我的人，又是小地方又是不思进取真让我敬佩不起来，以为自己来了所谓公安系统最高学府就不得了了，说句实话，咱们学校自己什么水平咱们自己知道，对吧？我们比地方警校好多少？有些地方警校学到的不比我们少，那我们比普通大学呢？呵呵，从知识到见识，我们比得过？更别说出国的了。       OK评论我看了，有个评论说我嚼舌根，我很负责任的讲，我不是这种人，人品这种东西我很看重，我绝不是那样的女生，事实上在公大我见过太多背后中伤别的女生，男生面前一套女生面前一套的女生在公大也不少。我也可以很负责任的说，不是我不懂，而是她们不懂，身边真有乡镇二等中学毕业找关系来了公大以为她自己跻身权贵之列的女生，当了个区队干部以为自己相当了不起，我说起朋友在国外上学她认为我在看不起她，事实上我只是想说国内教育质量不行举个例子。这叫什么？这叫小农思想，叫井底之蛙，叫奴性。哦对了，宿舍里很热衷于讨论哪个师弟家很牛逼，哪个女生很婊去勾引学生会主席去勾引有钱人。按照那个评论的逻辑，我作为“大城市”的应该是个精明势利的人是吧？事实上，她们在说这些的时候我完全不参与，为什么呢？1.我觉得太low了 2.我的中学同学们知道了我现在在这么个地方跟一群low bee讨论这些怕是要笑了。中学同学里牛逼的人太多了，搞不懂来了公大为啥明明是大学却那么low 3.这么背后嚼舌根，自己是有多不行啊，连这些我觉得很不怎么样的东西都要拿来讨论 你说的在公大出类拔萃，那好，金师妹名声大，她算吧？公大出了个金师妹，首先是肯定她能在这么个环境里坚持对的事情，但是呢，光是英语好就被捧上神坛，可想而知整体水平有多低。负责任的讲，金师妹这么个女生在公大是被孤立的(我当然知道，具体不说了)，真正钻研学习的人在公大是不受主流欢迎的。在公大出类拔萃是要付出比在外面多的代价的。 什么叫嚼舌根呀？嚼舌根是为了个入党为了个奖学金就可以到队长那里打小报告的，是在男生面前诋毁别的女生的，是自己不学还要排挤真正学习的人了，是看到别的女生长得还可以就各种骂婊的。 在公大这么个又相对封闭又没有学习氛围的地方，可能女生们就爱这样吧，哎…… 你热爱这里，OK，你爱吧，但是稍稍跟外面的世界一对比，诸位，自己说说，到底哪种价值观是落后的哪种价值观是先进的，自己辨别吧。 好的大学，是可以让你见到更广阔的世界的，可是公大，我只能说，对我来说，是倒退，严重的倒退。不知是不是对这位评论的人来说他见到了更广阔的世界，让你更丰富更精彩，如果是的话，那我只能说，标准不要太低了。 我从来没有看不起乡镇来的或是小城市的人，而是看不起明明什么也没见过还要认为自己很厉害的人，都上大学了，就不要坐井观天了，这个世界很广阔，世界上的大学不是只有公大一个，事实上公大的标准在外界基本上根本不适用，这就是个比较封闭的地方，多接触一些人，多学习，你会发现，世界很美好的。
陕西省中国人民公安大学每年女生录取几名，分数线大概是多少？,招生计划官网会有。分数线新浪教育上面也有。   http://  zhiyuan.edu.sina.com.cn  /query/yxxq/       我也是陕西的，公大还是不错的。往年录取最低分一般过一本线20分左右，女生要求更高一些，越高越好。
请问中国人民大学和中国政法大学的法律硕士(非法学)选择哪个好？,虽然我是法大的，但还是要说，肯定人大好啊，不过人大面试要比法大严，如果求保险就法大吧。
其他学校女生对中国人民公安大学男生有什么看法或认识吗？,钓鱼帖，妥妥的。
在中国人民大学读会计学硕（硕博连读5年）是一种怎样的体验？,大坑慎入，虽然现在还没有人有资格回答你的问题
中国人民大学转专业的流程是怎样的？,在找某个跟我们学校有关的问题时偶然路过这里，顺便回答下。  我是人大里的转专业的人。但是非主流，我从日语转到计算机，跟大部分想转经济金融法律新闻的不大一样，不需要那么高的成绩。其实我当时的成绩是倒数10%，转过来以后的成绩是正数10%。  那个很长的回答已经回答得很不错了，我只是补充一下，虽然转专业要求上会写很高的要求，但对于小众的院系，主动过去问问比较好。像我转的信息学院，要求上些要学过数A，拿4.0，总绩3.7以上。但这些要求并没有实际的强制力。只要转出院系、接受院系、校教务三方同意，不违反学校的转专业规定，全都是可以转的。事实上近几年转进信息学院的，没有一个符合条件的。  总之，转专业这是各个院系行情都不一样，时间卡得死，一不小心或者一个迟疑或者一个不争取，也就错过了。搞不好就影响一辈子了。建议想转的一定要时刻注意，多多了解。  估计搜到这个贴的都是师弟师妹，不匿了，有需要了解的可以私信我。
请问 中国人民大学，武汉大学，复旦大学，中国传媒大学，四所高校的新闻传媒研究生哪个更好？,我提供一个新颖点的思路，  读中传的新闻学最好，  因为新闻学已经完蛋了。  --------------------  从跑路的速度来看，  我校学子最喜欢背叛本专业。  所以，如果你一定要读新闻学，  欢迎来中传。  你毕业时很可能跑去搞互联网了。
¿文科生如何才能考上中国政法或者人民大学？,别邀，我是理科班考入人大金融的，当年放弃清北是因为他们那时的金融专业太烂，哦，又在吹牛，我闭嘴吧。  没啥建议，读书主要靠天分，努力不一定有用；啥，我有啥天分？效率高，神经状态秒切，你做得到吗，长时间注意力集中。  文综是啥？当年俺对文史知识一窍不通，脑子里都是阿芙家的撸、拉个郎日这些黄颜色的知识，书写比你风骚。历史知识都是八百人大教室的党史课里听来的。  你这名字不改，其他神仙保佑不了你，这路神仙，呵呵，只能保你进白石桥民族学院。
想学涉外警务去中国人民公安大学怎么样？,涉外在读，手机码字。 首先公大要求一本分数线往上50分左右，女生要求更高。首先看看你成绩能不能达到吧？ 其次，体测无非就是身高体重八百米五十米跳远仰卧起坐，还有身体的协调等等一系列，比较严格，至于标准自行百度。 每年公大会发招生简章，在各省的招生人数和专业，及时关注，涉外近几年招的女生不少。 喜欢英语的话来涉外确实是不错的选择，涉外自由度在ppsuc算比较高的，领导也比较开明，周围也有很多同学谋求自身的发展。 体能的话，看你自己，并不是每周那么严格地跑五公里，因为天气啦开会啦种种原因，并不很严格。 最后，如果不那么确定，公大是个来了很有可能后悔的学校，因为确实在学风后勤管理体制等方面，要改善的地方还有不少，但要真心实意地想当警察，那么来公大涉外确实是个好选择。在这里你会发现一个不一样的警校。
如何评价中国人民公安大学的军训？,女票也是17级的萌新，昨天就彻底失联了。。。。留下我对着微信发了一天呆。。。。
有人上过余履雪老师的课么？目前在中国人民大学讲授法理。?,不怎么样。
二三流大学报考中国人民大学研究生会有限制么?,没有，年年来许多二三流大学，我校基本一视同仁。
男朋友在中国人民公安大学读书并和你异地恋是一种什么样的体验？,男友最近越来越娘了我会说吗 好吧 开个玩笑  习惯了之后 没觉得有什么不一样 他那个小身板 站在我身边我也没觉得哪里有安全感 只是收到这种图的时候 会觉得 我的男友可能和别人不一样 这样的感受    可能因为高中就认识的缘故 所以在和别人说我的男友是公大人 被其告诫 “小心他们都是骗小姑娘”的时候 心中笑笑 原来这所学校的风评居然如此 大概所有有公大男朋友的姑娘 手里 都会有这两样东西吧 贴着警号的公大小熊    高米店南的照片      大一时候在一起  那个时候我对公安大学充满好奇 做了许许多多的功课去研究 恨不得每个月都去一趟北京 我想 站在一旁看他们集合队列 一下子被一百多个穿着警服的男孩子突然注视 应该不是每一个女孩子都能体会的到 也曾有过 去一趟北京 下午区队有事 只见面半小时就不得不离开我的时候出现  那个时候他甚至都没办法和我说一句再见  最难过的一次是 跨年那天去找他 队长不批隔夜假 我自己一个人 在北京小旅馆里 一个人看着窗外 在电话里 相互说话 安慰 迷迷糊糊睡着跨年的经历吧 今年就在一起四年了 公大对于我来说 是个 很美丽的校园 公大人在我看来也净是些可爱的人  可能因为我爱的人在那里吧     愿所有男友是公大人的姑娘都能幸福
如何评价中国人民公安大学？,        这是我们那届一个哥们儿，平时为人虽然嘻嘻哈哈不太正经，但毕业临走那一天他对着学校郑重下跪磕头，临走我们才知道他第一次高考到了一所普通法学，浑浑噩噩的度过一段时间后退学再次高考，第二次考上了公大，他说四年要没有公大各种条条框框的约束让自己被迫去早起、跑步、整理内务，最后估计自己又是废人一个。         说这个并不是说公大有多好，但我看来至少也没有些人说的那么差，因为你们总是在觉得别人家的大学有多好，事实上大学靠的还是自己，公大是一所纪律院校，适合真正有志于警察的人，要学习这里也有很多专业老师，不过不要把自己的懒散归责于学校，这锅还是不能让学校来背，再好的学校要学习也要靠自己。有些人我也不知道有没有毕业，说学校不适合当前公安行业的需要，那么请你告诉我当前公安行业需要什么人？如果你们实在觉得自己受不了大一就退学吧，还有的是机会，我们区队就有退学之后考上很好学校的。         如果你还在学校，那么就像有评论说的，自己去多看点书，多和老师交流，有机会多出学校看看拓宽自己的视野，再不济研究生考北大人大机会也都很多呀，在那儿抱怨个什么劲儿？可能学校校风近来被一些队长带歪了，还是去适应吧，你要庆幸自己较早接触社会了，能适应你就是人才。         最后说一句，自律得自由，受不了约束不要来，不想当警察不要来，觉得学校条件差不要来。任何时候现实和理想都是有差距的，真正的英雄是认清社会以后依然热爱生活。说的现实一点，如果你没有水平做科研搞创业，公大至少保证你毕业可以轻松进入公务员序列，如果进来了又不想当警察还是可上可下，名校去读研深造啊。        最后的最后再提醒一下，当前社会转型期公安工作形势严峻，只有热爱才没有自我伤害，入坑需谨慎，就酱紫。 
清华大学、北京大学、中国人民大学等名校毕业生找工作是怎样一种经历？, 牛津剑桥本科毕业的来答一个 一样的经历希望失败痛苦挣扎 学校好了你的期望值也高了 只不过是在不同的平台上 一样和比你优秀比你差一点的人竞争 一样经历自信-受打击-觉得不公平-觉得自己不行-坚持-拿offer做intern天天networking-左右衡量患得患失-慢慢工作中找到自己的领域和自信 越是好学校的人越是不习惯失败 看到的机会越诱人 选择的余地更大 越容易折腾自己 总体上来讲和一般院校的毕业生比只有更挣扎的  -----------------  具体讲一些经历吧  到了大三 各种公司都会来做campus event 基本大三一年午饭都可以在这些公司的networking session解决 大部分公司都是供学生挑拣的 但一流的投行和咨询是挑拣学生  想去投行的大一就去投行实习 那种一两周的春季实习 有人能拿3-4个实习 高盛摩根等等 拒掉时间重复的 然后一个春假做3个实习 然后大二做一个暑假实习 心心念念的等return offer 等到的走上高盛-顶级私募资金-走上人生巅峰的道路 没等到的大三只好再去挤campus event  一般MBB咨询比投行招的人少更难进 在牛津剑桥也是千里挑一 每到这些公司networking event半个学校都会出动 然后offer寥寥 其他人只好去面二流的咨询公司  四大快消什么的基本都是是在什么offer也没有拿到用来保底糊口的  -------------------------------------  反正学校出身给了你门票 进了门之后竞争一样激烈，一样有金字塔 
中国人民公安大学的毕业生在社会上有什么竞争力？尤其是放弃当警察的情况下,跪久了都站不起来了。 不知道算优势还是劣势。
内蒙古文科生，想要报考中国人民公安大学禁毒学专业，怎样劝说家人？,特别善良的孩子……     你这个问题因为我不是很了解，所以我才叫你提问，然后我帮你召唤警察叔叔回答。  但是你的提问没有问出你想了解的，所以我这里帮你重新发出来，希望有知道的警察叔叔可以帮帮你吧。  据我所知就是公安学校不是你学了什么专业，就会分配到什么部门，学校毕业后统一都是下基层派出所实习。  瘾君子太多了，等你以后做了警察，见得多了也麻木了，那个时候，我还希望你能记得今天你说的这些，帮帮他们。 你能帮助他们的就是努力抓光毒贩，努力工作，以后工作中抓住他们的时候，稍微把他们当个人看待，就够了。 至于打击报复，在我们国家内地，基本上是没有毒贩这么嚣张的，中国没有墨西哥或者电视剧里面那种脚踏金三角，手伸金新月的大毒枭。  希望你坚守初心，我能有一个学习成绩这么优异的小粉丝，我也很开心。 我希望未来有一天，看见你穿着制服，站在领奖台，旁边一个上了年龄的，肩膀上一个麦穗一个星的警察叔叔，给你颁“抓获最多毒贩的好警察”奖状吧。  祝你一路顺风，归来仍是少年。   
中国人民大学财经类硕士研究生期间如何奋斗才牛逼！？,三战才考上，你不具备牛逼的天赋。
中国人民大学文学院的考研试题有着怎样的特征？,人大近十几年以来一直注重基础，难度比较适中，大综合时代的偏、难、怪仅局限于填空题的几道。  16年开始由大综合变小综合，考试题一度低幼，分数线飙至365。  17年考生应该享受到了难度跳崖式的变化，今年是我所了解到最考知识广度的一年。 只翻看、背诵参考教科书的同学今年可能会悲伤。 当然，鉴于结果还未公布于众，今年的分数线也很难预测。  不知道18年的同学会怎样，毕竟改革后的套路还没最终形成，但多学多看永远是王道。
