2017云南考生高二本线30分可以上云南财经大学吗？,高等职业普通本科可以上
在云南财经大学读书是一种怎样的体验？,现在来重新看一年以前的回答，面对大一的自己。对于财大，还有一些想说的。  看到各路校友在这个问题下的回答和种种争论，也是感慨万千。两年以前的事情历历在目，关于自己所在的学校和城市与高中同学的巨大落差，大学同学对于本科学校的评价（可以说是中差评吧），只要你身在云南财大，这些似乎都从来没有停止过。  “从此不争辩，只拍桌走人。”面对这个问题，我贯彻的一直都是这个原则。听过了太多对财大和高考失利的抱怨，我很厌倦。过去已然是过去，不知这分毫必争又是意义何在？  我也曾经不喜欢自己的学校，曾经为了高考擦线而过崩溃大哭，又或者曾经走进过复读的教室最后却接到了这所云南高校的录取通知书。我最终也不过是平静的接受了这一切。在我大学期间最迷茫不知所措的时候，也让自己保持了一种状态。始终向上，在一条路上走下去。这种状态在财大温水煮青蛙的环境下对我弥足珍贵。我似乎很少会质疑自己过去所做的选择，也从不后悔。我知道不管当时的高考让我身处哪里，我现在所走的路都会是同一条。性格塑造生活状态，而学校资源平台改变的都只是很小的一部分。在财大认识了很多大学霸，真的超级多，如果你没有感受到，可以问一下自己生活圈子是不是太小了 和学霸们没有重合点(つд⊂)  关于回答中很多人提到的考研问题。我的计划中是没有考研这一项的。原因是我对于研究生考回本省读书这一愿望微乎其微，再者不想提前给自己背负枷锁吧。希望开开心心读书上学考证刷GPA，研究生实在是一座很难跨越的大山啊，况且山的另一头也并不是海。虽然财大的确是有很多考研成功上名校的典型案例，但也得问自己一句这个人为什么会是我呢？考研艰辛，长路漫漫。干巴爹(•౪• )  今年开始上注会的专业课了，转专业的同学学霸简直不要太多好嘛（酱紫我们压力很大的） 上的是财管、会计、审计。财管老师非常厉害，讲课思路清晰楞是把一门最难的财管讲成了最易懂的专业课，很棒的老师。审计老师很好玩哦，我觉得审计有些枯燥乏味，暂时体会不到审计的精髓，这门课和实际结合的太紧密了，需要真枪实练。CPA会计让人发愁，从基础会计直接跳过来简直觉得难炸天了好吗！！一笔又一笔复杂的会计分录，长到难以置信的题目，当然还有月考…………（都是泪）不过学过这个之后再去看初级会计的内容，我表示这种感受很美妙啊。  学生会今年我已经退了，退了所有的部门。修完了选修，现在是大闲人很幸福(≧∇≦)/  然后我去年说的一些差异问题（个人感受） 就我对比来看，身处北京上海等一线城市的同学，的确在实习、找兼职方面都有更多的资源和优势（非常大的优势）。高中同学可以靠做家教赚足生活费，实习机会由许多很厉害的企业提供。然而这个还是一个水平线的问题，你可以选择去北上广深获得那个水平线，或者是在昆明一样也有很棒的机会（我不想说只要你自身足够优秀）。厚积薄发，闷声发大财啊同学们。至于眼界，我算是明白了和学校什么的没有太大关系。有的人可以跳出去看世界，而有一些就是拧拧巴巴走不出来。外部的推动力和自身强烈出走的愿望，无法区分高下吧。 还有很重要无法回避的一点，他们的确接触到了很多优秀的人。（各式各样的长得好看学霸还多才多艺的）毕竟如果你在清华，找个男朋友，拉出来也是清华的ლ(╹◡╹ლ)而现在你在云南财大。校友这个东西吧很奇妙，再优秀的校友更多的可能也是八竿子打不着的关系。但是你的朋友圈确实实实在在存在的，也是最能反映你现在生活的。志同道合的人（或者臭味相投的人）总是会聚在一起happy的，这群人才是最能影响你的未来能帮你走向人生巅峰的。所以，从现在开始，来，举起你的双手，我们一起来解放舍友打王者荣耀的爪子，逼她学习吧！ 今日鸡汤完毕ヽ(*・ω・)ﾉ 我只是不希望大家在这个问题下的回答都辣莫沉重。大学生嘛，那么老成是要整哪样？过好一生的方式有无限多种，怎样不是过活呢。纠结的太多，于身心无益。事事顺意，给大家提前拜个早年咯。   2017.1.25 —————————————————— 不后悔来到财大，毕竟都是自己的选择。这是我想说的第一句话。 第二句不是所有的选择都是好的，考再好的研你的本科学历终究不会改变。 第三句    充实自己。什么样的环境都能走出不一样的人。  利益相关 外省人 专业会计CPA方向（据说今年会计院专业只剩下会计、审计和财管了，专业方向要等到大二分流再看。）  其实就我所了解，注会在云财实际上是一个相当尴尬的专业。来学校之前，就曾听人说过注会算是财大最好的专业。在外院的人看来，注会的学生进校是分数最高的那一批人，还经常被人叫学霸。（(ಡωಡ)天啦噜…… 蜜汁尴尬 我们专业的云南人录取分都高线控许多，基本都在六七十分左右，我舍友和另外一个文科男生高出90来分。这在云南其实是一个怪怪的分数，他们本可以去外省更好的学校，却为了财经大学会计专业的噱头来到了云财。 云财对外是二本招生，对于外省的同学来说，我认识的相当一部分人都属于高考失利一本掉档来到了这里。在高考中我们都是失意者，我们这两类人组成了注会这个专业。所以生源确实并不优秀，另外我大注会的学渣也是成批的，不好好学习的人多了去了。有目标有规划的是少数，这种情况在男生身上则更加明显。当然学霸是有的，但是也并不像外院的人所理解的：综合能力强、啥都能干干。往往对大学里的各种活动不感兴趣，不管是英语竞赛、演讲、辩论、知识竞赛，还是体育、历史，缺乏活力，也有可能是懒得参加吧 。更多的我觉得注会这个专业对于我们来说是一个有趣的怪圈，   刷GPA的动力相比会计院的其他专业明显不足，自我感觉良好，实际上并没有什么值得骄傲的：） 到底哪里来的自信。   先从就读体验谈起 各个学科 英语 云南本地的学生相比外省的学生英语差了一大截 昆明曲靖地区稍微好一点 曾经有个综合英语的老师 给我们翻译了一整个学期的英语课文 逐字逐句 可是他们的意思我都懂啊赫赫 :） 网课的形式挺好的但是确实没有考虑学生自主性等方面的问题 数学 我们专业要求学习理工类的微积分 线性代数 概率论等    环境宿舍教室这些硬件设施我都不想谈    接下来 学生会 各种学生组织 校学生会和院学生会我都呆过 对于那种拖沓繁琐的例会真是深恶痛绝 有时候觉得这次开会的时间是不是太短了会掐着表看一定要守到这个点儿才会散 还有我真的不懂大家都是同龄人为什么我看见主席一定要主动打招呼 这是什么个理儿谁能告诉我？？？ 反正我是不会的。你越让我叫我偏偏就不叫。 威信和尊重靠自己赢得 不是一张嘴皮子耍出来的 规章制度可以变 失去的人心却不会再回来   就读于 财大 你可以认识到 西南 和北京还有沿海地区的差异   昆明是一座懒散悠闲的城市    三线城市的生活远远没有一线的丰富多元化  当然这可能是优势  你看不到那些贫富差距  你无法真真切切的感受到巨大的生活压力  二环内64万一平米的学区房 你也看不到来自全国各地最优秀的学生  你不需要考虑将来 几年以后我要如何在这里生存下去  你的眼界注定就在这个圈里 打转。   没有强有力的竞争 人真的会退步   我们越过了高考的独木桥  如果现在放任这种情况的发生  我真的不敢想象。 当然你可以说地域对于学校的影响没那么大  请你可以看看  北京上海的高校讲座实习都是一把把  你接触不到那些  有时候就是一种失去   失去许多许多的可能性。你的城市你的学校资源让你看见的就只能是眼前这一点点  这是无法回避的  向来习惯先抑后扬 23333333333   来来来 还是谈点 轻松点的  云南的天空真的是太蓝了   七彩云南不是骗人的   真是美得很  一年四季春城没有凋谢过的花   前几天听一堆同学说江西武汉吉林那边儿都在下雪了  然而我大云南..真的那太阳都赶上正夏天的了   阳光就是让人的心情很好嘛  大学四年一定要逛遍这个神奇土地的每一个角落啊  毕竟以后再来交通费可是贵的很！不能放弃这个大好的机会  真的在财大就读我忧患意识真的好强烈...时时刻刻担心着我以后要如何就业...作为一个会计则更是如此 本省同学应该还好吧 毕竟是云南的财经院校 只是作为一个以后不在云南就业的人的角度来谈 祝各位校友好  财大也许没那么优秀  不过再多的抱怨也是过往烟云  你的生活最终是怎样尘埃落定  靠的还是你自己 而不是一纸文凭！ 与诸君共勉 希望财大越来越好   噢 对了！还有一种别样体验 这学校曲靖人真TM的多！  由于财大校友太多 就匿了  2016.3.11
我的小孩想报考云南财经大学的研究生，大家谁了解这个学校？,省内分高，省外分低，外省人看不起，本省人认可。比如会计和财经院，省内一本线上最少20分才能上，省外一本线甚至有的差十分……如果是云南人，打算云南工作，建议选择，不是的话还是多考虑考虑吧。学校还可以，关键在自己。如果本身本科学校不如财大可以来，如果比财大好建议西财或者上财。
今年被云南大学录取，需要带什么衣服？,昆明，春城，一年四季如春。  1.昆明所有大学都没有空调 2.冬季还是两颗星的冷(满分五颗星)，大东北来的根本不感觉冷。 3.夏季还算热，目前最高温度似乎没超过34℃。   所以，衣服你自己想着带(手动滑稽   )
如何看待云南大学博士证明电荷不存在这一事件？,我是在一个同学的说说里看到这个消息的。同学说的口气是:嗨，电荷都不存在了。 抱着一丝好奇，我去查了一下新闻，发现标题通通都是：中国科学家发现电荷并不存在，教科书或将改写。 恩，前面还要加上，震惊。 我的确被震惊了，但是我又想到，这么重大的发现，为什么没有转载国外媒体的报道呢？而只是在国内媒体里几乎复制般的发表新闻。 就我来说，其实也和大家一样，是希望国内真的能有什么拿的出手的国际科研发现的，但是我看了关于这个的新闻，当我看到新闻说是 云南大学的博士生 取得的发现时，我就有点怀疑了（当然，科研成果不能凭学历来评判）。同时虽然有英文论文稿件，但是却只有短短六页，而且引用的材料竟然只有大学物理第二版，这下子，真就让我震惊。 于是我去网上搜索这位“大神”。可以说，没有出乎我的意料，网上几乎查不到什么关于这个人的信息，就连云南大学博士生中是否有这么个人都无法得知。在一堆无关的搜索链接中，我试着往后翻了几页，然后我就看到了一个有趣的东西。【关于2012投稿经历和退稿意见。。。_凡无知】  http://  blog.sina.cn/dpool/blog  /s/blog_af2b8ff401015614.html       投稿人，皆为凡伟，而且是注释学校为云南大学的凡伟。之所以让我感到有趣，是因为那些被退稿的，都是他的一些学术报告或论文。洋洋洒洒不下几十篇，而且涵盖各类学术领域。但无一例外的，都是被退了稿的。 其中有一篇，名字好像叫《一些基本的生活常识便可以推翻相对论》。 对此，我只能表示呵呵。而且，到了这里我也已经看清了这个新闻的毫无营养毫无价值，以及新闻编辑者的随便刊登而不查证的处事方式——将“民科”的自认为正确的无理发现搞成了个大新闻。 现在我方才理解同学在说说中的口气是调侃。同时我也很庆幸这个新闻没有被传到国外，因为如果这个新闻被传到国外了，那么人们的反应只能是调侃与嘲讽，而且因为新闻带上来中国科学家的名义，甚至会让我觉得丢脸，丢了国人的脸，丢了中国科学家的脸。 如此闹剧竟能成大新闻，这让我对国内新闻媒体的下限又有了新的认识。
想大学毕业后去云南开咖啡馆现实吗？,开起来一个小而美的店还是很容易的 云南确实很舒服，以前的租金也便宜 现在靠近驴友聚集地的地方的房子也越来越贵了 可以自己算一笔账，算算投入产出 开店容易守店难 喜欢书店的氛围不代表你开了店你真的有时间每天去享受这个氛围 毕竟还是服务性行业，需要去和很多人打交道 如果想做可以先迈出第一步 我个人给点小建议啦： 1、先去看看云南这种类似的店生意怎么样，类似地段的参考比较重要 2、多去认识一些咖啡厅喝名宿的老板，聊天取经，有了一定的了解之后，差不多心里有数，想开的店大概多少投入 3、技术上的可以选择去学习咖啡、甜点、基础的食物，这部分也是可以雇人的，但是自己了解一些也是有用的。 4、多了解行业动态，大的发展趋势，保证自己开店或者守店的时候是相对跟紧潮流的，这部分的受众会更多一些。 5、还是要多思考多学习啦，多聊多问   其实我还是很喜欢云南的，晒晒太阳喝喝茶 看看雪山 哎呀，好日子啊
云南师范大学商学院怎么样?,再次强调，学校好不好都是冷暖自知。 ——————————————————————— 以下仅是个人感受和观点，不喜勿喷。  ps什么全国排名第六真的是名不副实。  首先学校的环境很糟糕 整个学校十分钟就可以走完，图书馆还在建设中，没有室内体育场，宿舍很拥挤，学校在我们住的宿舍楼对面建了所谓的留学生公寓，（盖了好长时间都没盖好，同样的时间隔壁学校都盖了好几栋）专门挑休息时间以及考前复习周来施工。再加上各种原因我得了脑神经衰弱。  学校位于省会城市周边一个小县城里的一个小镇上，交通各种不便，也没啥好玩的，只有一个专门卖批发货的小商场（从那里买的衣服穿了半年不到基本上全丢了质量很差），找不到任何一家专卖店。  然后说说学风 学校规定大一学生是必须上早晚自习的，但是时间越长去的人越少，到下学期所有人都默认没有早晚自习这种东西了。个人观点是:想学习的在哪都能学，不想学的无论在哪都没心思学习。  不知道别的学校英语课程如何设置的，我们大一的时候就是上课随便听听初中水平的听力，站起来念几句，期末随便考考听力和口语就过了。  无论在哪都有努力的人，这是不可否认的，但是在我们学校抱着能拿到毕业证就好的心态的人占多数。  接着我想说说周围的人 我觉得社会上对三本学校的一些负面评价并不是空穴来风。我们的老师中很大一部分是外聘老师。这些老师中有些只是抱着随便教教的态度，他们可能只是把教我们当做是打零工赚外快的手段而已。当然其中也不排除非常敬业的老师。本校的老师中，也有相当一部分是外强中干的，我是学中文专业的，我感觉其中有些还不如我高中时的语文老师。有的老师甚至一个人同时教好门课程，我认为这只适用于小学教学。。毕竟大学里有些课程专业性很强并不是像万金油一样随便了解一下就可以。  举个栗子，某老师，据他自己说是什么心理学和哲学硕士毕业的，还当了我们学院的什么主任。可他上课真的是。。。普通话严重不标准（他还给我们上过朗诵课==），点名还把同学的名字念错，上课就是照着ppt念，好多字经常念错，自己讲的时候还会犯常识性错误，比如秦始皇焚书坑儒以后儒家思想成为正统思想(╯‵□′)╯︵┻━┻，好歹高中时候也学过点历史吧，是当我们傻？ ——————————————————————  补充一下:如果我没记错的话，上网的费用是一个小时三角？  以前不清楚，我大一上学期的时候有几天学校乱扣一卡通里的钱，学生们还造过反。。
南京农业大学和南京工业大学云南大学该何去何从？, 毕业好几年了，当时我也在犹豫南工大和南农大，首先平台肯定是南农大比较高，若果没有特别喜欢的专业，我建议去南农大；南工大缺点就是不是211，若果对建筑学、材料、化工、土木、生物（可以参考学位授予点数量）比较感兴趣的或者说想学的，建议去南工大，毕竟这些专业都是比较强而且读研读博都有自己的授予点。也要看你的分数，像南工大好专业的进档分数，基本可以去苏大了，对专业没太多要求的考虑苏大也是比较不错的。另外徐州的中国矿业大学也是不错的选择啊，除了安全专业好像分数也不高，都可以考虑。最后，如果再给我一次机会，我可能就不会选择南工大，毕竟选择还是挺多的，谁知道呢？？ 
文科生在东北师范大学长安大学和云南大学怎么选？, 东北师范大学比这俩都强好多 地域上三座城市都发展得不好 所以看学校名声了呗 东师比这俩好多了 
跪求云南大学2015年和2016年考研617普通生物学和825生态学真题~？,你有前几年的？能不能分享一下^_^
在云南大学就读是怎样一番体验？, 这是一篇云大呈贡校区不完全美食攻略。  作为一个大三学姐，每次看到穿军训服的小朋友们规规矩矩坐在食堂里吃家常菜，我都吼心痛啊。想当年我也是这样，在无人指点的情况下，作为一个大一小萌新挨个窗户搜索好吃的，摸着石头过河。两年过去了，老子终于把两大食堂以及周遭的好吃的摸索透了，在这里给新同学们写写攻略，让你们少走弯路，多吃好饭。   地点：楠苑食堂   一楼卖砂锅米线的窗口，分量足，汤汁浓郁，顺带卖面条，饵丝一类，旁边还有很多小菜可以自己夹。  二楼曾经火爆一时的韩料窗口关闭了，现在可圈可点的是往里走那家卖馄饨的，他们家的馄饨皮薄肉多，有酸辣麻辣清汤几种口味可选择，六块还是七块一大碗。他家的辣子鸡拉面也吼吼吃啊，鸡块有点硬，不过汤头很香，面也筋道，分量不够添几块钱管饱。  馄饨窗口左侧是一家卖烧饵块的，外地的同学可以尝尝鲜，饵块是一种类似年糕的食物，分咸甜两种，內馅儿可加煎蛋，火腿，酱汁等，个人比较嗜甜。  三楼有一个小型自助餐厅，价格稍贵，种类繁多，人均十几块那样子。蒜蓉茄子，蒜蓉扇贝，辣卤金针菇，雪花酸菜鱼，红烧肉都是我的必点菜，他家的萝卜汤和燕麦粥真真是极好喝的， 不过这两样卖得比较快，得打早去。  自助餐厅旁边有一家快餐叫当麦基，他家的东西味道相当凑合，显著优势是便宜。我喜欢吃他家的香辣鸡翅和雪顶可乐，后者是冰可乐上面铺了厚厚一层奶油冰淇淋，一大杯，五块钱，真的好喝。  当麦基右手边有个卖饼的铺子，那家的甩手粑粑很不错，类似印度飞饼，但是外面更脆，内里更柔，我最喜欢吃菠萝味儿的，吃不腻。   地点：梓苑食堂   早餐的话主推一个卖面条，米线，饵丝的窗口，一碗二块二，自己按照个人口味添佐料，味道不错，基本上是云大人的早餐标配。  一楼的家常菜水平远超楠苑食堂，其中的蒜蓉娃娃菜超级好吃啊！然后各类菜的平均水平都还行，没什么显著雷区，窗口左边有卖芙蓉蛋和各类汤的，均价一块一碗，很下饭。  最左边的窗口卖卤米线，各类砂锅，冒菜一类，相当于大杂烩。里面潜藏着的惊喜很多，吃冒菜，食堂小姐姐会给你一个碗让你自己夹菜，能摞多高摞多高，只要它不倒下来，那些成功摞下来的菜就都归你，且在菜下面还有酸辣粉和面条，分量足到一个人根本吃不完。另外，酸汤猪脚米线也不错噢！  同一个窗口的拌面也好吃，煮好的面上铺着一层卤肉末和辣椒碎，再附送一碗骨头汤。把汤浇到面上，仔细拌匀，稀里糊涂一入口，贼香。  卤米线跟拌面同理，都要自己拌。个人偏爱粗米线，软糯鲜香，不粘牙。加个煎蛋就更好了。  过桥米线是一碗滚汤，自己把米线和各种作料推下去，直接烫熟，一大碗，主要是汤好喝，也不贵。  一楼卖豆浆的地方同时也卖豆沙薄饼，还有现烤的鲜花饼，烧饵块和手抓饼，都不错。豆沙薄饼俩人吃一个就够了，够甜够香，也够油，一整个下肚会很腻。他家的豆浆比楠苑的浓稠香甜，两块一杯。  豆浆旁边的小窗卖冰红茶和绿茶，也有西瓜汁和奶茶，奶茶味道跟外面的差不多，一大杯四块钱，不过没有珍珠和椰果，西瓜汁常年没有，据说是点的人太少了，摊手。  一楼需要隆重介绍的是小曾炒饭，就是卖红茶窗口的旁边那家。为小曾炒饭打call！！！  他家的新天地我到现在还没开发完，干锅鸡一份二十来块，配两份饭，足够两个人吃。还有酸汤猪脚烫饭，嗷，除了米线有点硬之外，味道真的没得说！以及他家的盖饭系列，真的好大一滩菜盖在上面，诚意十足。铁板系列的除了牛肉不好吃，其他的都不错，还配煎蛋。最值得推荐的就是我的最爱，砂锅系列！妈的水煮肉片砂锅和冒菜砂锅真的好吃得让人想飙脏话！吃了整整一个星期都吃不腻啊！才十块出头！配饭！太他娘划算了吧！  二楼的话，新同学可以去土耳其烤肉饭窗口发掘一下新天地，他家的特点就是管饱，十块钱，一盘饭，三荤三素任选，还配汤和小菜。味道都不错，就是我有点吃腻了，嘻嘻。  好了，把食堂里的搜刮得差不多了，咱们去学校外面的步行街逛逛。   地点：西门小吃街   一堆烧烤摊子里，数四川烧烤味道最好。推荐他家的龙舟茄子，建水鸡脚和一种黑乎乎的年糕（具体名字我忘了嘎嘎嘎），他家的梅子酒味道很棒，甜甜的，酒味不浓，适合几人对酌，但是切记不要贪杯，后劲儿可大了，我喝多了两次，每次喝完都觉得自己会飞~  往里走，是味多多。他家我主推水煮肉片饭，具体味道就不赘述，吃过都说好，就是有点辣。  关山餐厅是我的心头好，便宜，味道中上，且用餐环境相对较好。他家我主推海南鸡饭，番茄牛肉烩饭，水煮豆花肉片，以及八块钱1000cc的冻柠乐，基本没什么雷区。  关山对面是富源酸汤猪脚，记好了，吃左边那家。他家的汤锅系列在云大学子们中几乎有口皆碑，四个人吃一个中锅刚刚好，我们宿舍今天中午去吃的中锅，点了酥肉，瘦肉片，酸萝卜丝以及其他四五个菜，还要了半桶饭，一共一百二十块。  最里头卖寿司的那家，华夫饼好吃，焦脆，也卖冰的酸奶紫米露，我喜欢吃他家的炸虾天妇罗和樱花卷，还有鳗鱼饭也不错。   地点：南都步行街   出了南门，就是张姐烤肉拌饭，东北爷们儿开的点，分量足，烤肉，土豆泥，几样小菜配饭，管饱。  张姐左手边那个小巷子进去，有家关东煮，要减肥的小姑娘可以多多光顾。  南都步行街那个标志正对面，就是万州烤鱼。人均五十那样子，是学子们聚餐呀，恋爱呀最喜欢去的地儿，烤鱼外焦里嫩，有麻辣，豉香几种口味可选，作为山城人民的我，当然要为故乡特色打一波call。  再往里走，有家杨国福麻辣烫，新开的，造福东北学子。  杨国福旁边是一家重庆冒菜，我室友中了他家的毒，连吃了两个学期都还念念不忘。值得一试。  步行街下面还有一条街，当头就是一家榴莲蜜烤，贵，一份蜜烤二十五那样子，但是贼好吃，建议爱好榴莲的小朋友们可以多多尝试。  旁边有家哈鲜族，里面的各类蛋包饭挺好吃，酸奶紫米露也够浓稠，要谈恋爱的可以上楼。  直走，能看见一家金陵老鸭汤。他家的鸭血粉丝挺正宗的，汤头鲜美，可以让店家煮久一点，更可口。个人最爱他家的卤面，甜卤，拌着吃，嫌腻可以配一点免费的小菜。一般是凉藕或者土豆。  老鸭汤旁边有家天天煲，我是那里的常客，他家的螺蛳粉真的好吃爆炸，浓浓的酸笋味。当然，吃不惯酸笋的就不要往里凑噜。  再走几步，可以看见金花泡菜的招牌。他家主打各类麻辣泡菜，配白米饭，那个米饭是这附近一带最好吃的，拿锡纸盒包着，软糯香甜，也可以换成酸辣粉。  大致就是这些了。  其实区域越小，人们的胃口就越挑剔，想要判断一家店子是否好吃，最粗暴简单的法子就是看它在这一方小小天地里存活了多少个年头依然屹立不倒，没有倒下的，大抵就是有绝活儿了。  大三老学姐在此祝各位云大的小朋友天天开心，天天吃饱。  
云南大学学姐学长看过来～？, 保研是每个专业都可以保的  一般专业班级前5名可以保 去哪个学校可以自己选 再看学校考察  基地班名额会比较多 
如何评价昆明理工大学的排名超过云南大学？,先声明啊，我是昆工人。虽然说昆工的排名超过了云大，但是排名这种东西啊，不能太信。云大和昆工的方向不同嘛，昆工主要是工科强，云大都没有这些专业。我身边的人普遍还是比较欣赏云大，云大的历史久学术氛围好。一个大学的好坏，我觉得还是要看学习氛围，校园氛围。而且云大是211，这一点压死人，虽然国家又要建设双一流，但是这211，985的影响力是未来几十年都不能磨灭的。 先夸一下云大，但毕竟昆工是我的大学，看到他排名高还是开心的，但是希望昆工把目光多放在学术科技方面，咱虽然不是211，985，但是我们的实力也要看得过去，不要辜负自己的学生，学生也不要辜负自己的母校
如何评价云南大学成为第一批双一流大学？,我爱云大。 我在微博上看到很多难听的话，评价相当糟糕。 质疑云大入选的各位，我想请问一下，您是否来过云大？一所大学是否能载入双一流的名册，和它当地的旅游有直接关系吗？一所大学的好坏评判与您“偶然听说”云南不好有关吗？ 首先，云大为了能评上双一流，这几年来所做的改变和努力，诸位没看到没关系。但如果没有任何关于学术学风即和评析一个学校有关的理由，就这样含糊不清的贬低一所学校，是有失风度的。不知您就读哪一所大学，有着怎样的阅历才能有“云大不配”这种结论。 其次，目前尚未发现任何关于我校与双一流评选黑幕、作假的证据。双一流”的评选应当是有一定的标准和考量的，我相信教育部的审查会比各位拿着手机或者键盘打字的人更加的认真细致。 再者，无论云大能不能进入双一流，您的一味指责对您，对我们，都没有任何明显的好处。如果您纯粹是心里不爽想发泄，我们希望您生活愉快阖家欢乐。如果您是真的想提建议，欢迎浏览我们的官方网站留言。 最后，我们勇于接受批评，但我们不接受无理由纯粹的中伤。如果翻盘大学实力难到可以称作“痴心妄想”，如果进入双一流意味着排名重新洗牌，那我们绝对义无反顾，一往无前。 最后是迟到的七夕告白： 无论是否进入双一流，我的第一句话，和最后一句话，都言之由衷。 我爱云大。
东北 山东或者内蒙古有哪些大学招云南的艺考生?,高考时候你们会发一本填报志愿的书，那里面有你想要的答案。  现在问没用，每个省份每年的招生计划是不一样的。
