一名军医大学毕业的学生，他的未来可能是什么样的呢？,学霸考研，其他人嘛家里有钱就买断，有关系就分到医院，剩下的就只能去基层拔草了。
军校退学 (军医大学 预备役 无军籍) 考入地方大学毕业后工作会不会受限制？,14年31大退学，觉得重获自由是个明智的选择。
第三军医大学今年什么时候考研啊？跟统一考研时间不一样吗？⊙_⊙?,我不知道～本科在读，但不建议考它的研…有能力就去更专业更尊重医术的高等医学院校吧…来了的觉得不舒服，不值得    匿啦
军医大学五年制本科毕业后考研能否考地方院校。？,离开体制，随便考
大学如果读第四第二军医大之类的，之后出国方便吗，是否必须要进入军队。?,当然不便，需要向上级报备。军医还会被派到非洲这些地方援助，一般不到一年，回来后你就彻底残掉了
军医大学本科毕业分配单位类型有哪些？优劣拍个序呗?,头一次被人邀请回答问题，诚恐。 原则上，本科毕业都要去师一级以下单位的。 所以，咱就不谈原则上的事了，毕业分配是个各显神通的事，能上天也能入地狱，但汝之天堂，或许是彼之地狱，每个人的评价标准不一，好坏自然也是各异。 单位包括： 1，总部，别以为你学医，司政后装都有可能的。我知道的就有到总参、总政、总后的。没去过，里面是啥情况不太了解。但一般来说，这些单位都已经脱离临床了，走的是行政路线。行政嘛，就得有位子，总部一级的庙大，舞台有的是，看你能翻多大浪了。各种资源你有没有，会不会合理利用。没有资源，那就当个壮劳力，工作量会很饱满，接触的人事可能就是你以后的资源。如果这些你不考虑，单就军人职业来说，在这些单位，一般可以保证到团职以上的，提前转业风险小。缺点，人情世故，眼力劲是必备技能，没有的话，会不会不适。 2，军医大学附属医院，这单位你应该懂，如果你想做临床，搞科研，毫无疑问，基本是最好的去处了。缺点，工作压力大，医教研都得拿得出手，否则仍然可能提前脱军装，如果不介意穿不穿军装，就没啥缺点了。至于医疗行业普遍存在的缺点，我就不说了，毕竟当医生在现下的环境里生存状态就如此，没有谁能改变。另外，这些医院，子弟众多，近亲繁殖现象普遍，如果没有背景，你得付出更多的努力，但，不一定有效果。临床好说，附属医院主要还是拼科研，科研如今都是包工头的天下，如何跨过这个门槛形成良性循环很关键。你能想象科室主任没有课题，不能带研究生，然后拿不出科研成果，无法提升职称，学界名望等困扰吗，现实就有这样的例子。江湖水深，学术界也是江湖。如果不追求这些，在附属医院似乎没啥意思了，在哪里不是当医生，也就是成不成腕的区别。除开名望职称，收入高这是事实，然而和付出成不成比例难说。 3，军医大学基础部，医学研究，比附属医院工作量小，相对也轻松，但收入也少一些。主要面临职称，课题的问题。有科研天赋的人适合，有不少人还和临床医生合作共赢，承接科研外包，解决了科研课题和收入来源问题，SCI论文价格在那放着。 4，军医大学，行政，初始当队干，小干事，参谋等，一步步往上爬。随时都可能转业。本科阶段和这些人天天打交道，你应该了解，不多说。 5，研究院所，如空军医学研究所，海军医学研究所等。主要也是做科研，但听说官僚主义氛围浓，关系户多，干活的没几个。 6，总院，301，空总，海总等。好处在北京，相当于太医院，可能会接触到高层官僚。论医教研，301和军医大学附属医院难分仲伯，但可以通天的优势有时加分不少，比如让你转业，你要有人直接一个电话就搞定了。  7，中心医院 8，，疗养院 9，体检队 10，军校校直门诊 11，干休所  11，军区门诊部 12，军区联勤部，卫生部处等 13，各大单位卫生部门  13，训练基地 14，师医院 15，团卫生队 16，营卫生所 17，一线部队航医，海医 。。。。。。 目前想到这么多，具体的内容再说
军医大学毕业之后到底应该怎么走？,还是要先争取读研，如果实在不行毕业买断然后回家好好复习准备下一年的考研，考一所地方大学。既然选择学医，学历肯定是必须的，现在的当医生本科肯定远远不够。你学长和你说的没错就是这样的形势，一旦你进到这个体制里可以操控的东西就太少了，慢慢的你可能就接受这样的生活了，这样最可怕！所以要么留在本校继续读研然后直博，不过难度很大而且有些JY院校只能读基础，不过不管怎么说，博士毕业的分配肯定会比本科好。要么就买断，重新选择。 祝好运
如何看待第三军医大学抗议泸州医学院改名西南医科大学失败？,因为现在一边倒的舆论都是站在感情和主观的角度指责泸医，实际上泸医的行为是完全合法的。  三医大西南医院要获胜，到教育部告状没用，必须要中央军委向四川省政府施压，由四川省政府再次提起更名申请才行。  另外，这次原泸医的再改名是由“四川医科大学”改为“西南医科大学”，如果教育部撤销改“西南”的审批，原泸医依然是“四川医科大学”。
怎么看待上海第二军医大学或者说军校，有什么特殊之处？,快被裁了
第四军医大学口腔医院看病经历？,今天刚去了医院。  口腔正畸  不知道为什么国庆节病人特别的少，没有任何预约直接就在科室挂了号，五分钟就叫到我的名字了进去面诊了，前面好像只有两位病人。医生是普通医生不是专家，专家十一貌似休假吧。不过看到医院墙上医生的简历了，四医大博士，主任医师，大概四十多的样子。医生我是很信任的，毕竟是四医大。  开了单子做检查，化验和拍片都很少人。没有等待时间过去了就做了。顺利的出乎我的意料啊……本来以为十一人会超级多结果根本没人  领了医院的绿色本子，把检查结果拿给医生，科室的护士给我立了档案，预约了下次来分牙的时间然后就回家了，我九点到的医院，十一点半看完出来了……  顺利的真是很意外啊
军医大学学员分配是四总部中哪个总部管？,所有分配都是总参分配。
如何成为第四军医大学西京医院或者唐都医院的一名军医？,首先，你不能报考四医大，报了你就没希望了
请教一下第四军医大学毕业了是分配到哪里就业？这是军医学校里最好的大学吗？,本科生去基层部队，研究生的话我不知道 在我看来四医大是三所军医大学的老大，不因为别的，只因为我是四医大的
第三、第四军医大学怎么样？提前招生是什么意思？军医大和普通医科大有什么区别嘛？,回答一：学校怎么样？这个不用说，学校肯定是很不错的，培养出来的都是人才。but，在当前的制度体制下，这里培养出来的人才，多数是用来拔草喂猪当兽医的（没有骂人的意思）； 回答二：提前批，没记错的话就是比一本录取更早的一批，相当于插队优先录取。提前批录取失败的话，并不影响普通批次录取； 回答三：和其它医学院校的区别，主要体现的地方应该就是身份体制的不同吧。体制内的各种优点缺点都有，比如包分配工作（新西兰或者普吉岛），比如强调专制和服从。另外如果真心想学医行医的话，地方医学院校才是正道坦途，因为通过努力基本可以把命运掌握在自己手中。如果有（bu）幸被三四医大录取的话，那请尽量努力（尽人事），再听候命运的裁决（听天命）吧。 形象点的话：考上地方医大，就是城墙上的那个至尊宝；考上三四医大，就是身披铠甲的那只单身狗     备注：以上回答均排除jun二代，并且仅针对大多数样本  马上就高考结束了，此处复制一个以前的回答，谨供参考：  哪些人适合考军校，哪些人不适合考军校，这本身是一个很难回答的问题。首先应该从个人秉性出发考虑，其次从个人人生规划考虑，最后需要考虑的是家庭环境。  为什么先从人性考虑，因为就目前的政策制度来说，考入军校意味着接下来的十年甚至二十年都会在一个非常严苛的环境中生活工作，没有一颗坚强不屈的心很难适应和生存，这是前提。充满书生气的人是很难在部队出人头地的，因为这是一个个性被压制，人性被克制的环境。考军校要求的分数一般都比较高，高分的大多是众人眼里的天之骄子，如果加上心性聪敏孤傲不通世故（简而言之就是书呆子气），那就最好放弃考军校吧。因为这样的人毕业到单位工作后，有很多都变得郁郁不得志，心理出现问题甚至自残闹着离开的不少。但是这个地方不是想来就来想走就走的，退出离开很难。也只有个性坚韧、吃苦耐劳、情商较高的人，才能够在这里出人头地，光有智商是不够的。  再说说人生规划。每个人都有自己喜欢的事情，能够把兴趣和事业结合是最好的。高考的决定性作用无需多言，所以请慎重选择志愿填报，尤其是报军校。军校有很多专业和地方通用，例如通信、医学、电子等；也有一些特有的专业，例如指挥。但是，别天真以为考上了军校能在个人专业方面有所发展，除非你大学能一直保持专业前列保研和读博。为什么？举个简单的例子，现在的军医大学本科毕业，别指望分配到那些高大上的部队医院，基本分配的单位都是基层，每天做的工作就是看感冒腹泻和拔草扫地，这样的环境你能指望自己成为一名良医？更可悲的是，很多单位还强制阻断了个人提升能力的通道，就是禁止考研考博，一直等到你荒废了人生最宝贵的时光，到三十多岁四十岁再把你踢出社会重新奋斗。         写到这，也许有人存在幻想，说既然不如意，大不了退出不干了不行么？不好意思，你想得太简单了，选择退出真的很难。军校期间选择退学，需要赔偿二十万的违约金；工作后不满四年想要退出的，基本都是处分后复员；满四年后想退出的话，还会有一堆严控政策甚至土政策用来卡你。所以一旦等到你发现进错门之后，已经晚了。另外，不要相信什么国防生五年合约，很多签了合约的满期了一样不让人离开，为什么？因为你太渺小，违约方太强大，就算你想申诉合约也没有地方能够处理，这远远不像地方上法院处理一个个人或者一个公司那么简单。现在习大大提倡从严治军依法治军，下一步正在修改军官法，希望后面环境能够越来越法治和文明。         既然说到了人生规划中的职业发展，就顺便说一下目前待遇方面存在的一些怪现象。首先是个别地方经济激励适龄青年入伍，服役两年可以拿二十万，而目前一个军官服役十五年后退役也拿不到二十万，军官职业待遇已经与地方经济发展严重脱钩了；其次是部队对学历和知识的价值利用体现不明显，一个初高中毕业的28岁士兵和一个军校毕业的28岁军官可能拿着一样的工资，并且一个士兵复员退役获得的补偿可能是四十万而一个相同年限的军官只有二十万；此外还有对高学历人才的浪费和不公平，很多研究生博士生被丢在基层，日复一日做着一些初中生高中生都能做好的事务性工作，关键是可能做得还不如初中生高中生做得好，成为某些领导眼中的高智商低能力。         另一个问题，目前出现所谓的征兵难，倒推的原因部分是因为士兵配套服役政策远远走在了干部的前列——士兵进出的机制也比较规范和顺畅，就和水渠一样。合理有效的进出和流动机制，能够极大的调动人的主动性和岗位责任意识。否则就如同死水一潭，没有生机和活力，慢慢的变成温水煮青蛙。士兵政策的先进性，进而倒逼国家部门为了吸引兵源，推出了许多更加优待的政策，这些政策很多都仅仅针对服役士兵。反之，国家却没有类似政策照顾一下同样为国服役的干部，仿佛故意遗忘了一般。具体的比如上面说的一次性大额补助、每年4500的士兵职业年金、退役大学生士兵考研专列计划，等等。而我们的干部，除了部分可以干满年限到40多岁自主择业（这也是很多士兵期待得到的待遇，毕竟地方上高中生大专生就业也不好），其他安置的越来越多地被地方部门抱怨和排挤。不用亲身体验，想想就能够明白了，你见过哪些能够顺利推进的工作，却需要层层开会反复研究部署的？  再说说人生规划里的工作分配和婚姻问题。以前的时候学员毕业工作分配存在很多猫腻，尤其是徐郭在位的时期，具体就不说了。总之有许多人分配后背井离乡多年，很难指望再回到本省工作，交流调动没钱没关系非常困难。现在出了一个学员积分排名选岗分配的制度，相对于肯努力的同学来说是好消息，不努力的就做好准备去边疆奉献自己的青春吧。还有婚姻问题，这是一个老大难的问题，军校毕业后三十多岁还没有合适结婚对象的很常见，为什么？想想啊，军校里女生那么少，工作后周围又基本全是男同志，平时24小时待在封闭环境里，交际机会少之又少。就算结婚了，很多人的老婆都是一个人在辛苦照顾家庭，长期两地分居，军嫂真的很不容易。  最后说说家庭环境，什么样的家庭环境适合考军校？这个可能会说的有点不恰当，仅仅是一家之言，有权有钱的可以不用往下看。个人认为家庭比较贫困的可以考虑报考，毕竟可以省不少钱，如果肯吃苦耐劳的话，也能够在将来工作后有很好的发展。家境一般的，独生子女的，父母身体不好的，谨慎考虑吧，因为自古忠孝难以两全。至于指望当师长当将军的，或者有将军的女儿看上你的，中国梦强军梦你做梦。
如何看待二军医并入上海大学的传闻?,有资格当牛粪的不多，从金东寒调入(2015、7)，再到合并二军大，短短二个月，可以看出上大在上海和中央的位置，好学校，别不识宝，你被OUT了，要知道，金东寒可是中央候补委员，工程院士，船泊重工711所长，玩潜艇动力的，造出中国芯的，受过中央，国务院和军委表彰的，和部队关系密切的，重量级大家。上大速度，上大每一天都在创造奇迹。
夜盲症的人可以考军医大学吗？,不可以，军校生毕业的条件是“不影响训练和作战”。夜盲症的话夜里紧急集合都搞不赢=_=
地方生报考第四军医大学利弊如何？,动荡中，谨慎。
云南考生理科578，提前批有机会上第三军医大学吗?, 云南，我男票12届，今年毕业。当时一本线465，他588，提前批录的临床医学，对比一下分差，应该差不太多。 
为什么三所军医大学界别不同？,为什么三医大成正军了，一军大撤了后三所军医大不都副军级了吗。
怎样和军医大学男友处？,謝邀  請問你男友是有什麼異於一般人的性格嗎 ？因為我想怎麼相處跟他的學校好像沒有什麼太大的關聯⋯⋯⋯⋯
第二军医大学为什么不在广西招生？,南京军区的
作为军医大学的学生，毕业后却想做生意。应该有什么准备？,看准方向，最好还是和专业相关的 会比较容易入门。
第二军医大学毕业分配去向?,长征医院可以去吗
我是一名高三女生，身高158，想报考第二军医大学，毕业后女生的分配怎样？,入坑吧
