暨南大学保研率为什么那么低?, 因为暨南大学不是教育部直属的985高校。 
华南理工会计专硕怎么样？？？本来想考暨南大学的但还是觉得自己能力达不到。求指导。。。?,楼主还在吗？我以为看见第二个我……情况不要太一样 请问你现在怎么样？考上了吗？
暨南大学和广外的翻硕哪个好？,问了下考复旦的学长，他说只有脑子有包的人才会放着前者不去，去广外
2017年广东理科高考省排名9200，是选北邮电还是冲华南理工还是去暨南大学？？？,蟹妖，本来不想答的，但是第一次被邀请感觉还有点小激动，其他两个大学情况不了解，不过以9200的排名，北邮恐怕是来不了了。
二战想考新闻传播专硕一所稳妥的学校。目前在华东师范大学、重庆大学、暨南大学之间犹豫不定？请过来人赐教？, 第一，从学校排名来看，华东师范大学和重庆大学都是属于985和211，暨南大学属于211。  第二，，从地域来看，华师位于上海地区，有优越的资源，重大位于西南地区，暨大可以说是靠近东南亚，这三者的地理位置可以作为你的考虑因素。  第三，从新传专业角度看，这三所学校的新传排名都挺不错的，比如暨南大学虽说是个211，但是每年报考它的新传的人数是很多的。  第四，从新闻与传播的分支来看：重大的新闻与传播下面分为新闻采编业务、广播电视新闻、网络与新媒体、编辑与出版、广告与公关、媒介经营与管理。暨大的新闻与传播分为数据新闻、数字营销传播、网络与新媒体、公关传播、国际传播。华师的新传分为政治传播理论、政府公共关系、中国外交与国际传播、全媒体传播。  最后，从学费来看，暨南大学的新传专硕的学费是2万一年，重庆大学的新传专硕的学费要以学校官方信息为主，华师的新传专硕的学费是2.1万一年。     这些你都可以参考。 
暨南大学国际学院怎么样？,南校不清楚 珠暨別去 有伏
2017年广东文科587，省排1609. 纠结于中山大学的服从调剂还是暨南大学的王牌专业？,广东的话 能上中大绝不上暨大 今年文科缩招100人 你这个排名可能进不了档 B 志愿填暨大就好啦   一切看天 我1168 第一志愿哲学……
本人是外招生，即是港澳台招生，暨南大学的医学院的中医专业学费是怎样的，和内招生学费相同吗？,楼上的赵丹霖师弟可能对政策没那么了解，有些错误了，我下面来修正下吧！ 大家都是暨南人没有对师弟有意见的意思哈！望理解！ 首先我们来看看外招生的分类：外招生里有香港；澳门; 台湾; 华侨；华人；留学生等。  其中，香港，澳门，台湾籍学生在政策及法律上是被视为拥有中华人民共和国国籍的公民，是享有公民待遇的，所以学费是一样的，住宿费视乎住的宿舍是二人间，还是三人间，还是四人间以及新旧有所不同。详细请看1，香港学生招生简章 暨南大學2017年对香港招生簡章   ，澳门学生招生简章 暨南大學2017年对澳门招生簡章   ，台湾学生招生简章 暨南大學2017年对臺灣招生簡章     以及可以对比下对内地学生的招生简章 暨大招生简章   （注意上图内的国际学院的收费内地学生和港澳台学生的收费是一样的）  内地学生和外招生里的香港，澳门，台湾籍学生的学费是一样的。 那么不一样的是哪些同学呢？就是华侨，华人和留学生里 留学生很好理解，不赘述。 华侨指代的是其父母祖父母是中国公民， 其本人 属于尚未加入外籍的中国公民，但长期居于国外；包括已取得居住国永久居民身份者，称之为“ 华侨 ”，仍保留本国公民身份，仍然受到本国法律保护。也就是一个马来西亚的同学，其爸爸妈妈是中国公民，她成长在马来西亚，但是还没有取得马来西亚国籍，但是已经取得马来西亚永久居民身份，那么她就是华侨。 华人则更加简单，她血统上是华人，但是她已经取得外国国籍（例如马来西亚，新加坡，印尼等），法律上也不是中华人民共和国公民了，没有中国国籍了，她就是华人！ 华侨，华人，留学生的学费标准如下： 华侨及留学生招生简章      所以，同学们，清楚了吗？  至于说到在暨南大学医学院学医好不好，我最有发言权了，首先，澳门地区是绝对承认的，暨大毕业生回去，连考试都不用考就 可以当医生了（我也是醉了，他们没有执业医师考试之类的资格考试），不过本地人口少，医疗市场小，竞争激烈啊！得有真本事才行，所以好多都读到硕士研究生或博士研究生才回去进医院或者自己开诊所，本科回去的话，很多考公务员去了！  香港的话，也承认，中医的话没问题，好好学习，考过中医执业医师资格考试，然后就看个人的能力了，香港中医的发展前景，HK 的同学很清楚，政府是鼓励的，政府想发展中医药产业和中医院，大众还是逐步接受的，不过受到西医的打压和政策的限制。临床医学的毕业生回去要面临两地完全的不同的医学教育背景差异，要考过医师考试的话还需要付出巨大的努力，估计还要多花一两年时间认真复习和准备，考过考试！因为HK 完全是全英语教学的，所以读临床的话，最好去读国际学院的临床医学！ 台湾学生嘛！该地政府的确完全不承认。。。。。。。所以我有师弟，师妹们干脆在大陆当医生了，有中医。。。也有西医。。。也有很多追随父母的脚步。。。在大陆做生意或其他业务。。。。  至于学习好不好！说真的，还是那句话修行看个人，就硬件和师资而言，是很不错的，每年医学院所有专业才招一百多个本科学生，加上国际学院都不到两百人，其实比起国内绝大多数医学院的经常一个年级所有专业有几千甚至过万人而言，教学质量和办学条件肯定是好的，至于华侨医院嘛，是沦落到成广州的一般的三甲医院了，不过我觉得其实你一个本科生，随便县二级医院都可以搞掂实习和见习了，哪里需要杀鸡用牛刀？关键是带教制度和教学制度完善，其实本科，硕士，博士在那里进行临床训练和规范化培训是没问题的。不过讲真，还真是修行靠个人啊！  至于外招的同学不选择这里读医学的话，我建议中医可以考虑北京中医药大学，西医可以考虑北京协和或北大医学部，上海复旦大学医学部这些国内最顶级的医学院，但是要面临生活上可能多有不适应的地方多很多。至于如果只是中山医，南方医或者广州医，广州中医药大学级别的话，还是干脆在暨大医学院算了。。。。。一句话反正条件还是不错的，学习还是得靠自己啊！！ 希望能帮到你！！！
广东高考排名25000进华南理工，暨南大学的几率多大？,0
在暨南大学深圳旅游学院各专业学习是怎样的体验？,如果这个学院不是暨大的，估计二本分数才有人想来
暨南大学还是北二外？, 暨南大学不了解，北二外学校项目内的交换好像也没有特别特别厉害的大学可供你选择（别说北二外，很多大学的项目也没有去那种超级顶尖国外高校的）。如果是硕士留学的话就另说了，看你本科阶段成绩和社会经历了，不过据说去英国的话可能比较劣势，不容易申请到英国的好大学，申请美国的话应该没有什么影响，今年申请哈佛，耶鲁的也都拿到offer了 
暨南大学贴吧出现这一帖子是否属于种族歧视，该怎么办？, 本质上的确属于种族歧视  怎么办？不怎么办 楼主也管不了别人歧视不歧视啊 自己管好自己就够了 
中大，暨南大学，华理广东高等学府，特别是暨南大学，劣质香港生源涌入，如何确保内地学生的教育公平性？,题主你怎么修改了问题 你这样吹捧暨大是要引发骂战的。 强调一下，暨大不是广东第二，暨大只是一所日暮侨校。  PPS，华南理工的简称是华工不是华理。 PPPS，很怀疑题主这个问题的动机啊  pppps，暨大在内地的录取分还是蛮高的 。。。。。。。。。。。。。。。。。。。。 题主你还是too naive 如果你连录取难度的不公平都受不了，你怎么接受录取以后内外招在考试难度、奖学金、保研等一系列不公平。  利益相关：暨大内招在读
高考生对于暨南大学的文科专业选择？,我北方某省 高考比一本线高五十分......文科专业的话最好的肯定是新传院的啊，然并卵15届新传在我们省不招生.....文学院的汉基还是很不错滴，毕竟国家基地班吗，保研率比较高，如果你不喜欢数学的话，很好......王牌是经管类 会计，找工作方便啊有木有！然而会计 经管貌似都在南校 就是辣个传说中鸟不拉屎的地方......新传 文院今年都是一年珠海 三年广州 以后是四年都在广州.....要说条件吗 我现在在珠海 感觉很不错啊 虽然小 但很安静很美的说 平常活动很多 而且宿舍很棒有木有！本部的话 据我了解 生活气息浓厚 会经常有大妈出没...宿舍条件参差不齐 有的是很艰苦....不过本部图书馆不能更棒！     但我很想吐槽的是身为北方狗还是不太习惯这里的生活 首先太特么热了好吧 一年八个月再穿短袖 而且很晒很晒很晒！晒黑那是分分钟的事！还有饭太寡淡了....可能还是珠区食堂太小 选择少....对于北方妹子的我 饭的分量不敢恭维啊....早晨两笼包子不饱啊....包子没我家饺子大啊.....     好了 言归正传 暨大对于文科生来说还是很好的选择  而且在广东认可度还是很高的 有木有！              所以 这位小朋友！暨大欢迎你！
深圳大学在未来有无可能超越暨南大学？,至少在办学历史上不可能！
马上要暨南大学读mpacc，不知道会计专硕在广州就业去向如何？,     有没有人解答一下
暨南大学和华南师大关系怎样？,地理关系：隔着一条中山大道 交通关系：共享师大暨大站 省内排名：大概暨大第三华师第四
在暨南大学珠海校区选课是一种怎样的体验？,讲真，已经是辣鸡大学的学生了，理智一点的话我就应该在这个框架内规规矩矩的适应它，再怎么抨击学校都显得自己小肚鸡肠。但是被气得头昏脑涨无心学习的我还是只好来答题。 —————————————————————— 1.谈谈有趣的选课系统吧: 去年前年我选课都算是顺利，除了个人愚蠢原因导致的手慢选不上课。 今年的登录开放时间前半个小时就开始打不开教务处的主页（404错误） 之后连试四个内网页面，连续十分钟附加码错误错误错误。 好不容易登陆出来一个界面，给出来的是这个颇具玄学意味的字码 连续登了四十分钟没登上后大家表示直接放弃吧。  2.接下来是有趣的课程安排 我校有一本伟大的书籍，名叫《人才培养方案》 分为通识选修，通识必修，专业必修和知识群。 不同专业的需要选修的分数不同，以我的专业为例，需要修满160分左右，除上述必选课程外，有6分的自由学分。 大家每学期选修学分的最高上限是25分（还是在你绩点上4的前提下），这是为什么呢？ 因为——要防止你提前毕业嘛！ 提前毕业了怎么来给我校增收呢？  四本通识必修秉承着一条开课标准，大一思修近代史，大二毛概一年，大三马哲一学期。 我校居然也有交换生呢！然而交换只能在大三进行，并且所能转换的学分是每学期20分，意味着要去一年的同学们该怎样呢？ 答案当然就是——延毕啦！ 因为我校的课程秉承着上学期开了下学期不开的原则，少数必修是得不到转换的哟。 如此体贴人性化的服务极有可能使得我校成为广东延毕人数第一校。  3.最为有趣的资源分配: 自从2014年珠区不再招收经院管院的同学后，通识选修课的数量就降到了历史上的最低点。 得到选课优先权的大三大四同学自然就发现了神奇的商机。 校区之间资源的配置差别也早就是明面上摆着的事了，然而即便是一校之内不同学院，一院之内不同专业，差距也极为显著。 自认为是极大程度上赋予学生主动选择权的知识群课程选修，实际上由于相关课程建立根本不到位，有些专业只有几位相关领域的老师，许多课程都不予开设。 比如说，专修管理的老师被调去讲自己根本没有接触过的金融投资类的课程，许多基础必修的老师只能援以其他专科学校的老师来讲述。  选课制度是一个问题，但其实真正让人觉得恶寒的是一些所见和所闻。 我听到的是:“你有什么好生气的，我们都是这么过来的。” “抢不到课很正常好嘛慢慢刷就好了” “选课卖课反应的是供求关系理所当然啊，要不是有人愿意买谁会卖啊？”  所以说，这个制度没有问题=别人可以忍受它？  讲真，我完全不在意你选什么课，你爱分高课水的就去选，你觉得要保绩点你就把课都推到大四去上好了，你认为自由买卖课程能反应市场需求，聪明人从中获利何乐而不为，你们各取所需吧。 讲道理的话，最让人生气的一点大概是，没有触及自身利益的话，哪怕再糟糕的制度我们都只会放在那里不去理睬它而已。  大家不会把这当成一件应该改变的事情，我们逆来顺受，不少听我倒苦水的人告诉我说没事啦我们学校也是的哎呀哪个学校不麻烦。 我们就是笑笑吐槽刷个朋友圈几个校内的公众号又有新资源了。这一届的走完了下一届的继续受。 俗话说得好，嫁鸡随鸡嫁狗随狗嘛。  总之就是: 让市场来决定谁会上我校吧。 哦，对了，不止我校，可能还有千千万万个你校。  PS这是情绪激动下的产物，很多见闻只是一人之见，难免有失偏颇也不够逻辑清楚。 爱咋咋地吧。
找个暨南大学男生做男朋友是什么感受？,跟ex谈恋爱是我最错误的决定
统计专业的话，分数只能够到暨南大学和华东师大，不知道如何抉择？,我觉得看想去的专业和想去的地方 两个学校我都喜欢，看你自己选择
香港承认暨南大学本科吗？,認，睇唔起，有親戚讀。
16年考研，我英语专业，男票材料化学专业，一起考暨南大学的研妥当吗？ ?,谢邀。 我是从浙江考去暨大的本科生，考研的情况不是非常了解，主要回答题主关于暨大的情况。 1.关于报考人数：暨大的生源比较复杂，在大陆招收的学生不多，而香港，澳门学生和海外华侨很多，同时境外学生考暨大的难度远远低于大陆（我曾听说过香港学生可以无条件上暨大，不知是否属实），可能这种现象影响了大陆学生报考暨大的热情。另外，暨大的强势学科是经管和新闻，英语专业相对比较冷门，更别提材料化学了。 2.关于学风：暨大在大陆招收的学生分数比较高，这部分学生大多是比较优秀的，而在境外招收学生的门槛很低，生源良莠不齐，其中混文凭的人比例不算小，这两部分学生混在一起，学风相对有些浮躁。当然想学还是学的进去的。 3.关于考研出题范畴：这个真心不了解了，听说去年统计学专业课的题量很大，很多人没做完，题主能弄到暨大的考研真题是最好。另外感觉暨大在研究生招生时比较排外，面试时偏好本校学生（不过几乎每个学校都这德性） 4.不建议报考暨大的材料，私以为考好学校的弱专业没有必要，考上强势学科，跟一个牛导师，对以后的发展帮助很大。英语专业可以一试，毕竟是实用性的专业，暨大的语言环境还是不错的。 希望能帮到题主。
可以跨专业考暨南大学金融专业的研究生么？ ？,你是暨大学生么？我是暨大12级本科生.....同想考暨大金融研究生的说....握爪
暨南大学难考吗！？, 挺难的。。。。  当年我考了663分，在填志愿的时候我问我同桌：广东那个大学叫什么来着？  我同桌回答：JI南大学啊。。。                     2个月后我就踏上了去山东的火车。。。  数学好没用，地理、听力也很重要。 
有18年考暨南大学经济统计的研究生吗？,楼主请谨慎考虑，暨大经济统计的推免生一年一年增加，而且分数线也在飙升
有没有暨南大学校友微信群？,没有，不过暨大有个校友会，如果需要联系人什么的，可以到那咨询的。
华南理工MBAVS暨南大学MBA?,华南理工好很多啊，况且工商管理学科评估，华南理工也是华南地区数一数二。
谈谈你们是怎么考上暨南大学的？,就是因为提前批里边唯一一个不是国防生不是师范生的学校，那就试试呗…然后就录取了【微笑脸】
本人是一个普通二本本科的大三学生，想考2018年暨南大学金融学研究生。想问各位大神到底有多难？,难度肯定还是有的，暨南大学金融专业在南方这边还是挺好的，考的人每年都挺多的，所以竞争也很激烈。不过，只要努力，没有什么不可能的。我也是广州普通二本的，也是打算18考暨南大学金融，一起加油
文科生去台湾交换，淡江大学、国立台北大学、东海大学、世新大学、暨南国际大学这几所学校哪所比较适合？, 不用想当然是国立台北大学，国立台北大学在台湾位居文科第3志愿，不论是名声及学校排名及地理位置生活圈及交通方面都完全优于其他4所至少3个级别以上    �D�-W� 
暨南大学的毕业生们，你们现在过得怎样了?,大四，保研去厦大读会计学硕了，期望以后能走科研的路子
请问暨南大学文艺学博士竞争大不大？,比较大，性价比不高
中南大学和暨南大学哪一个更好？,暨大
暨南大学有二本专业么？,谢邀。据我所知在广东没有，但其他省份则不清楚。但暨大都是 211 了，而不是普通一本，我猜有这样专业的机会不大。   至于分数线，请自己在本省的《志愿填报指南》、《招生专业名录》两本书中查阅。这两本书，毕业班会订，就算你不买，也总有途径借到。  而且，分数线这东西在网上也很容易查到。都是准大学生了，这点基本的信息检索能力得有。
广东文科生今年考了606，过重本线33分，去了暨南大学，该不该复读？,暨南大学是211，广东来说基本和中大华工同一档，在广东就业还行。  回到正题 题主现在纠结的是高三吃老本上了个暨大，如果努力了不知道能上什么学校，或者比暨大更差的？  我个人建议 能走就走，暨大对于广东考生算一个挺好的大学。明年全国卷，难度没变，但是出题形式有改变，形势不容乐观。  我个人今年高考考砸了，在出成绩第二天就积极寻找复读学校了。  8月1号新一届高三开学了，如果你选择复读，就好好读。如果选择上大学就安安心心等通知。  勿忘初心。
暨南大学南校区有哪些选修课？,在选课平台可以查到哦 如果有需要的话我可以详细讲
暨南大学新闻学好吗??,新闻学是暨大的王牌专业，在全国很有声誉。
求问暨南大学的资产评估专业前景如何，想考其研究生，望解答谢谢?,同样，本人也想考暨南大学资产评估，不过感觉资料好少 
在暨南大学南校区举办的矢量商战如何？, 看一下选手们的感悟吧，这是最有力的。      我也有幸参加，虽然大多时间是在打酱油，但商战紧张的气氛也能感受的到，大家不停的谈判，合作，分析，一刻也停不下来，这种体会是以前所没有过的。     我觉得参加商战是了解商业运作的一个捷径，有可能的话可以去试一下。这个暑假也会有矢量商战，你可以关注一下他们的微信豪：complexor
2018计算机考研，武汉理工大学、暨南大学、南京理工、西南交大哪个性价比最高？真心求推荐？,对于不同的人来说，性价比是不一样的。根据你的基础水平，你当前的学校专业，你追求的目标，你希望未来发展的城市，这些。比如，对于你来说先赚5000是高性价比的决定，对于王健林来说先赚1个亿是高性价笔的决定。  所以，问自己几个问题：我现在是什么基础？我的学校专业如何？我想要考什么样子的学校？我希望在哪里发展？  最靠近你的综合答案的选择，就是对你来说，最高性价比的选择。
在暨南大学读临床医学是一种怎样的体验？,实习医院不错
在暨南大学校本部住金陵三栋是一种怎样的体验？,17新生得知自己要住金三并且看到图片就战战兢兢的来知乎上搜了，请问题主入住之后有什么感觉TUT
请暨南大学的校友们回答一下外招生是怎样的存在？好相处吗？是否都是土豪？外招们在当地如何评价暨大？,无意间看到这个，就像说一下。我就是暨大16的外招生。我身边有很多认识的外招生都是跟我一样今年读暨大。所谓的土豪也只是有些罢了，并不是大多数人都是有钱到令人发指。而且我们这些外招生，大部分都是常年在这边读书，学的都是这边的课本，然而高考却不允许我们参加。如果要我们回去考那些从小就不一样的教材，我们能答得有多好？看到网上很多人一杆子把外招生都定义的很差，就觉得很难受，其实我们可能就在同一个环境下接受同样教育的人，只不过身份不同，何必这样评价？
就新闻传播学专业的研究生教育而言，中山大学和暨南大学哪个质量好一些？哪一个更好考？,果断中大啊想什么呢！ 微博请关注@张志安，不出一个月妥妥被安利来我大传设。 想做学问，有各种大咖，你能数得到的，我们都有，不详述；超一流老师（你见过被虐的天天哭爹喊娘结课后有人难过得要哭这种事么。。。） 想开拓眼界，好多讲座的主讲来自香港、米国、欧洲哇～～～不出意外，每年都有米国活着欧洲那边的老师或者很牛的记者之类来我校上课，就正常上课。现在还tmd能去英法美澳做交换生了，港台也是有。 想结识人的，你来啊你来参加各种活动啊，你就认识各种大牛了……见到的机会很多 想玩的，你不来传射你等啥了！ 毕业之后想做媒体的，几乎可以随便挑。。。去实习了，只要你行就能留下来。 关键不是传射啊，关键是中大啊！可能性太多太多太tm多了啊！  唉～等啥了呢，实在是，快来！    ——————————————————————————————————  几百年之前的问题了，有奇怪的人乱喷就算了，还有人来点赞，我这暴脾气就上来了。  评论里说XXX说了我院不值得读。  。。。。。嗯？看我一脸懵逼。。。 因为有人说我院不值得读所以我院就不值得读了？ 这尼玛就说明我院不值得读了？你倒是讲点理由啊我了个去！   一个在这个学院当老师的人，说自己这个学院水平不行。 不好意思，我逻辑没理顺，究竟是这老师水平有问题呢？还是这特么就是一句无足轻重的废话呢？ 不爽别当老师啊！ 当了老师还说自己学院不行，不行自己能不能顶上去啊！自己也顶不上，还说个X啊！   还是这位同学你自己来读了我院，不巧没有得到重视因此很失望呢？ 但是大把大把的人呢，就是因为来我院，获得了重要的人生际遇啊！ 这究竟是我院不行，还是你自己不行呢？ 自己不满意自己都不敢说，还要借别人的口说； 借别人的话就罢了，结果还借了一句最没逻辑最没道理的话。 同学，诚实的说，这真的很不传射。 也很不张老师。 更不贺碧霄了。   话说回来，就算XXX水平可以，然后她说了我院不值得读。 SO WHAT ！！！ 我这儿不还写了好几百字说我院值得读吗！！！   所以了？我院值不值得读？ who 特么 cares 啊！ 你又不是上帝！  神烦说不出个123还叨逼叨的。 你就另开个帖，认认真真骂骂我院，讲道理讲逻辑，给题主一点参考。 特么在别人帖子下面唧唧歪歪酸不溜秋是个什么样！   不给别人添堵是成年人的基本道德。 既然念了我院，我看你应该也是个成年人了。 好好学习小伙子。
如何看待广州塔灯光庆祝暨南大学110周年校庆？,咦这位思想偏激怀疑论的小盆友 先看新闻好吗 是副市长的指示  暨大并没有花钱  暨大校庆社会各界校友鼎力相助怎么就阴谋论了呢(•́₃•̀) and我暨不归教育部直属 分不到什么建设资金 穷的一直靠企业赞助卖冠名权坚持建设更好的软硬件教育设施和创造更好的教育资源  and复旦校庆的时候校友也买了东方明珠的打广告 ✧ʕ̢̣̣̣̣̩̩̩̩·͡˔·ོɁ̡̣̣̣̣̩̩̩̩✧ 最后与其说高校浮躁攀比浮夸乱花钱不如想想教育资源分布不均衡  高校急缺教育建设资金的问题 行政和社会到底给高教建设带来了更多福利还是更多限制
暨南大学本科经管专业出国留学情形如何？,如果有留学咨询欢迎私信咨询。
广东18届编导考生考暨南大学难度怎么样？,要结合自身条件 题目年年都是那种类型 首先暨大编导系是广东编导专业最好的学校 招生人数也不多 建议先找到历年的招生简章看看 编导可以走艺考也可以走文化 看你是那种了 编导考试主要是以下这几种类型: ①文艺常识(选择题＋填空题) ②视听语言分析(影评) ③编写故事
广东理科611 暨南大学软件工程考得上吗？暨大的软件工程怎么样？,我是暨大15年軟工的外招生，全班60多人，男女比例7:3(工科麻，但暨大女生真的多).   大一科目難度我個人覺得很難，但內招生一般都沒問題。 聽班主任說這科前途很好，只要你不是在混日子，畢業後1w 多都很正常。 暨珠比起本部多一分寧靜，少一分熱鬧，但周邊吃的玩的也應有盡有。 雖然暨大吐嘈地方不少，但大學生活是很美好的，宿友之間的友情，部門之間的活動，考試的準備等等。。 最後一題，軟工主要是學編程的，要有一定的興趣和耐性支持，選了就不要後悔吧，
暨南大学研究生宿舍是怎样的？,题主是要备考研究生吗
在暨南大学，你是否有过因为香港学生的存在在校园内遭受不公平对待？,不太懂，标签为什么会有华工，这和我工有什么关系吗(￣▽￣)
如何评价暨南大学国际学院？, 暨南大学国际学院属于双语教学，学生和外国学生的交流很多，专业依托于各个专业院系的教师，但都是用英语进行上课，所以他们学生的英文水平都很高。国际学院属于暨南大学的热门学院，是很不错的。 
华南师范大学和暨南大学的计算机哪个更好？,这两所院校的计算机专业都不是优势专业。 如果是为了当老师的话建议还是华师，毕竟华师在教育界是比较出名的，对将来应聘更有好处。
如何评价暨南大学《马克思主义基本原理概论》的袁一达长期违反《暨大考试管理办法》，导致多人挂科无法毕业？,我看吵起来了 我来说几句吧 楼下有人看不起达哥  然而 北大哲学系毕业…吊打我等学渣了。达哥是珠海建校的首批老师。早几年财务独立还好，现在越来越穷了。说句不好听话的，珠区这个鬼地方，老师跑都来不及，达哥呆了十多年。暨大评副教授不难，个人走过一遍流程，标准可以见暨大可参照暨大评职称办法，但达哥一直是讲师（我院晓薇也是）。副教授月工资每月比讲师多1千多块。多少暨大老师为了这一千多块去搞所谓学术研究而忽略上课质量的（例如某D）。达哥这样的人，清心寡欲，不求名和利，我做不到，但我从心里佩服他。 还有人觉得马哲没用 是的 表面看是没有什么用，的确不给你工作、房子，这个跟理工科没法比 你觉得有技术才是硬道理 。你觉得没用 是因为你不会用，不代表没有用。实践是检验真理的唯一标准啊～宝宝们    人文院来为达哥正名 我觉得你们对达哥误解太深  首先，达哥这个人绝不是你们口中的老顽固。推崇规则就顽固啦？而且一开始就讲得很明白，该怎么上课，怎么算成绩。你非跟他对着干，被挂了怪谁？明确告诉你，挂不挂靠你自己，不是靠学校教学办法。老师没有通天技能帮你凑够60分呀～只有平时成绩可改，但是你也得差不多及格，不是？而且，我认识的老师挂科率有时超过达哥。也没听谁抱怨（微笑脸） 其次，我暨大垃圾老师多如牛毛，我院点名的有某D某H某R，这些老师课件渣渣，上课质量渣渣，就知道瞎逼逼。大家都报着反正不会挂的心情选的。达哥治学严谨，ppt每学期更新吧？网站资料也时常更新吧？而且讲真，你们真的不觉得其实马哲学了很有用么？一大群loser水了三年，突然让你好好学习，你说不行了。怪达哥？要脸不？ 私下了解一些达哥的事迹。达哥在老师们中风评很好，跟我院某位教授至交。讲个例子，我区某位老师在饭店吃饭，遇见达哥，两人并无交谈。达哥结账时顺便也帮这位老师结了。然而！那位老师都之前都不知道达哥全名。甚至惶恐以为达哥是弯的。不过听说今年达哥终于结束单身，结婚啦。 最后讲一点，不要觉得谁都对不起你的样子，试问，你有这个资格么？
如何看待澳門特首捐贈一億於暨南大學而市民毫不知情？,參見澳門基金會的新聞稿：  06/05/2016 09:08:46   暨南大學是我國第一所由政府創辦的高等華僑學府，多年來為澳門培育了2萬多名畢業生，遍佈澳門各行各業，為澳門的經濟發展、社會和諧穩定作出了重要貢獻。目前，每年約300名澳門學生升讀暨南大學。考慮到暨南大學在培養澳門人才方面的重要作用，也為了體現澳門同胞的感恩之情，進一步推動和支持人才的培養工作，為學生營造更好的教學環境，澳門基金會資助該校1億人民幣作為校園建設項目經費。  該資助款分兩年支付，2016年、2017年各支付5，000萬人民幣，支持暨南大學廣州校區傳媒教育大廈和番禺新校區（南校區）兩棟港澳學生宿舍。傳媒教育大廈建築面積12，000平方米，預算約1.5億人民幣。兩棟港澳學生宿舍樓總面積約39，600平方米，預算約1.42億。  澳門基金會近年大力支持本澳基礎教育和高等教育基礎設施的建設和完善。2015年，在這方面的投入超過15億澳門元。    這是澳門基金會作出之捐款，而不是澳門特首，也不是澳門政府。   澳門基金會是一個 獨立的法人財團 。 根據《澳門基金會章程》第六條規定：  第六條財政自主 一、基金會享有財政自主權。  二、為達至本身宗旨，基金會得依法：  （一）以任何方式取得或轉讓動產或不動產、或以任何方式對動產或不動產設定負擔，包括財務出資；  （二）接受贈與、遺產、遺贈或捐贈，但有關條件或負擔須符合基金會本身之宗旨；  （三）協商及訂立借貸合同以及提供擔保，使本身財產增值及達至本身之宗旨；  （四）利用本身資源進行穩健、低風險及合理回報之投資；  （五）在不影響風險及利潤之情況下，優先將款項存於澳門特別行政區政府之代理銀行；  （六）為正確管理本身財產及使之發揮最大效益而作出一切所需之行為。  三、基金會撤銷時，其財產歸澳門特別行政區所有。   澳門基金會享 財政自主權 ，只要符合其本身之宗旨。  根據《澳門基金會章程》第二條規定：  第二條宗旨 一、基金會之宗旨為促進、發展或研究文化、社會、經濟、教育、科學、學術及慈善活動，包括旨在推廣澳門之活動。  二、基金會主要在澳門開展活動，可與從事與基金會宗旨相符活動之機構或實體進行交流及合作，並在需要時按章程及其他適用法規之規定給予資助，唯該等機構或實體必須已依法成立及運作。   澳門基金會其中一項宗旨為促進及發展教育，亦可給予機構或實體資助。  從上述可見，今次澳門基金會對廣州暨南大學的捐款是合法及符合其宗旨，而且澳門基金會一直以來都對大量機構或實體提供資助。  最後，與今次事件無關，其實一個政府的所有開支，市民們都不可能完全知情，也不可能要求全部市民一人一票去決定是否作出具體開支。再者，澳門的稅收絕大部份是來自博彩公司，而澳門市民幾乎不用交稅。
如何看待刘仰对暨南大学广告系毕业照较真这件事？,我不知道大家是怎么看待毕业照这个概念的。  但是，我必须要说，你们去评价一个大学生的能力和学业成就，去看他们的毕业设计，毕业论文。  不要拿毕业照这种纪念品来说事儿。那是每个人青春结束的一个句点。无论是好的，还是不好的，读了16年，难道连怎么拍自己毕业照的权力都没有？  说到底，毕业照是自己的事情。怎么拍，是毕业生自己的权力。你们管不着。  我去求职，你可以对我的着装指指点点。但在家里怎么着装，怎么闹，是我自己的事情。  这件事，最有资格评判或者惩罚的是学校本身，但是学生已经毕业了。校方会因此而撤销大家的毕业证书么？如果否，那么这学校还有救，如果是，这所大学的确需要一些反省了。  另外，为什么自己的学生，在大学四年结束后，要以这种方式告别学校，也是校方应该反省的。  最后，至于公共事件？真可笑，居然有人说这是公共事件。人家的毕业照，无论贴在哪儿（无非是人人豆瓣之类），你们在网上到处转，你们问过上传者的意愿么？你们盗取人家的照片，还声称这是公共事件。还要对人家的私生活指指点点。  这是无耻。
暨南大学有基础医学吗，评价如何，就业方向？,并没有，至少本科是没有的，研究生好像有几个专业有。 暨南大学是有医学院的，每年招生还不少，但是发展是不健全的，暨南大学的医学院只有口腔，中医，临床三个专业。但临床人数众多，为什么呢？因为暨大是侨校，给予华侨和港澳学生很多名额，这些学生叫做外招生。所以临床分为临内（临床内招），临外（临床外招）。还有与各个医院合作的专业，临床省二医，临川深圳班。所以临床的人走在一起，大多都不认识。  题主想要学基础医学，但对这个了解又有多少呢？建议题主用闲暇时间，上网查下有关资料，找医专业的前辈们问问。医学是治病救人的活，需要长期的训练和知识积累，绝不是脑袋里面想一下，学个四年就能有所作为的。 高考选专业，了解后在慎重选择吧，你要为你今后的四年负责，假如你真有特别想做的事，那也不要受到别人影响，坚持自己的选择。 高三，加油！
