现大三 本科医学类 高中文科 政史地都不错 现在想跨专业考研 马哲 学校华中师范大学 求指导？,排名比较高，出路比较窄，三思后行
如何评价范冰冰在华中师范大学被要求离场？,想简要评论一下主流观点，并表达一下我的观点。  观点一： 得罪人。反驳：可笑。 科比也是临时取消了华中科技大学的粉丝见面会，放万千粉丝的鸽子，科比也得罪人了吗？   观点二： 华师安保不够还接活动。反驳：大学不会主动接活动，主办方申请，校方可以选择接受或者拒绝。记得 中南财经政法大学拒绝跑男 吧。所以安保这个事儿，肯定是主办方的事儿。  观点三： 炒作。这个我不是专业的，所以不评论。  观点四： 高等学府拒绝明星商业活动。反驳： 学校是不是一流跟接不接明星商业活动没有直接的因果关系 ，不会因为一场明星活动减少一场学术活动。  观点五： 华师学子一脸懵逼很伤心。反驳：虽然有很多骂声，但这并不会影响学校排名，专业水平和生源质量，真影响声誉的话学校会有公关方案出来。  我的观点： 大家看到现场照片了吧？这显然是一个小型活动，不可能是针对华师学子的。华师学生一万多号人呢，看会场最多也就容纳300人的样子。既然是小型非公开活动，又让大家知道了，安全隐患肯定是有的，这可不是华师师生的那点儿事儿，武汉千万民众当中的粉丝应该不少吧？记得因为贝克汉姆发生的踩踏事件吗？事止于此是个安全策略。总之，现在大家都平安，范爷也说，大家都不容易  补充： 有心人看活动预告就知道，这个活动的名称叫做“喜剧的挑战”幽默研讨会。研讨会大家能够理解么？就是一小撮人在那儿发表自己的观点和看法，并且讨论和辩驳。大学里研讨会应该算很正常吧！一般来说研讨会不需要大型安保吧！【所以 研讨会不需要备案！！！ 】没有备案就意味着不会出动警力，也没有大型安保。详细看报道的会发现，冰冰是中途出现的。所以问题来了，没有大型安保，以冰冰的知名度和影响力存在隐患哦。大家记不记得【 贝克汉姆在同济大学发生的踩踏事件 ！！！】这是有备案，有安保的情况下。这件事说到底是主办方的考虑不周，或者说偷懒。因为华中师范大学只是把场地 【租给】【某个至今不敢露面的奇怪组织】 开办活动。发现冰冰到场之后， 即时制止是对现场，对冰冰，对粉丝，对学校和师生的一种保护！（被小五毛骚扰，所以修改了一下）   作者：江岩岩 链接： 怎样看待范冰冰在华中师范大学被逼离场？ - 江岩岩的回答  来源：知乎 著作权归作者所有，转载请联系作者获得授权。
我本科是工科，现在大三。想跨专业考华中师范大学的心理学研究生，可以给一些建议吗？, 不知道你是想考学硕还是专硕？  学硕的话在考察五本专业课书籍的基础上还要考察《心理学报》以及《心理科学》的。  专硕的话大概是有11本参考书目。  作为一名跨考生希望你能多多听取过来人的建议不然真的很容易把握不住重点，又会有很多疑惑。  在你复习的过程中可能因为没有考心理学的小伙伴觉得孤独的，这些你都考虑过吗？  还有你看过哪些关于心理学的书籍呢？  建议你先买一本《普通心理学》看看能不能看得进去，再决定要不要跨考。 
华中师范大学的心理学研究生好考么？,你想考的学硕还是专硕呢？华中的心理学还是不错的呢~~学硕各个方向在20个左右，专硕会少一些。
华中师范大学人文地理（区域旅游与环境）专业考研?,谢邀~ 利益相关：华师人文地理硕士生  关于华师怎么样？一个字：好；两个字：很好；三个字：非常好！  关于专业，人文地理近几年缩招的厉害，但由于不考数学，报考量仍旧很大，竞争也会比较激烈。但个人认为，这是个很有前景的专业，无论是去做老师或进设计院，华师人文地理出去的专业素养都是挺不错的。区域旅游与环境专业是新开设的，未来发展如何目前不好评价。但有一点要明确，研究生未来的就业方向，很多时候不是简单的和专业挂钩，还与你导师的研究方向（最大影响因子）、个人的兴趣以及平日积累有关。  可能和就业挂钩说的有点远了，就你目前来说，考上才是最近目标。题主说“不是特别喜欢武汉这座城市。也觉得有一些不太喜欢华中师大的地方。”，如果这是影响你考研选择的因素，建议题主还是先踏实看书，等考上了，这些主观片面的观点也许会有所改变。比心。
如何评价华中师范大学广播台？, 谢邀 作为一个华师广播台的大二老学姐，我来给大家介绍介绍我们台吧        华中师范大学广播台，是华中师范大学党委宣传部重要的舆论宣传直属机构，也是华师传统的校园文化交流中心。华中师范大学广播台是全国高校广播工作联谊会成员单位、湖北省高校广播专业委员会副理事长单位。       自上世纪五十年代以来，广播台伴随着学校的风风雨雨和华师一起成长、壮大，并取得了辉煌的成绩。除主管老师外，常年有采、编、播人员（学生）五、六十人，来自我校文、理、工各个院系。现有常规固定节目八个，不定期特别节目五个。最值得一提的是：在我台工作过的学生毕业后，先后有4位到中央电视台主持过节目，有3位在中央电视《焦点访谈》等新闻栏目担任记者；还有的台友在《人民日报》、《解放军报》等新闻媒体做编辑、记者。据不完全统计，广播台历届台友中，共有百余人在各省市地方媒体和境外媒体工作。他们中的佼佼者还曾获得广电部主办的第一、二、三届全国金话筒主持人大赛的奖项。 　　华中师范大学广播台节目涵盖新闻、评论、文学、音乐、娱乐、体育等板块，已打造出《校园点歌台》《华广有约》《天下体育》《青春驿站》《新媒传音筒》等精品节目。每天平均播音时间达100分钟，其中自办节目达到80分钟以上，广播覆盖教学楼、学生宿舍、食堂、办公楼及部分家属区。除以上定期节目之外还有特别节目：《迎新专题》、《学者访谈》、《实习生园地》、学校重大活动专题、以及我们持续近三十年的优秀节目《桂子山话别》。  这些是我们华中师范大学广播台的辉煌历史，那么她的现状是怎样的呢？如果你加入到了这里，是不是可以收获你想要的美好呢？请容我细细道来~诸位也就可以各取所需，得到自己想要的信息啦！        华中师范大学广播台，简称华广之声，现有三个部门：播音、编辑和新媒体运营中心。其中，编辑和播音作为传统部门，负责日常直播节目的写稿和播送；而新媒体运营中心作为一支新生力量，主要负责我台在各新媒体客户端每天的管理和推送，除了推送日常精品节目，还接受来自校内的各式投稿，进行录制和推送。此外还值得大家注意的一点是，广播台是学校党委宣传部的直属机构，每个月的工作还会根据按劳分配原则得到相应的报酬~  接下来就是各个部门单独的介绍~   播音部  如前文所述，播音部主要负责大家在校期间每天四档广播节目的播送，让同学们在校园路上通过广播听到好听的音乐与声音，并获取新鲜的资讯。但播音的工作和展示平台并不止于此。我们有集集体灵感与才华迸发凝结而成的广播剧，感受声音的艺术；有校内各大活动的主持，享受聚光灯的光热；还有校级晚会的节目，唤醒心中沉睡的表演欲……总之，在这里，你不仅能得到播音的知识和实践，还能得到一个让自己的价值得到全方位体现的平台。你将遇见许多优秀的人，收获一群志同道合的好友。人的一生可能有许多后悔的事，但成为华广之声的一名播音员绝对不是其中之一！如果你喜欢播音，享受声音通过电波传出去的那种感觉，就不要犹豫，快来报名吧～  说了这么多，肯定会有人说无图无真相，那我们就上图！             工作中的播音们，是不是很认真呢？   工作间内常摆放着的《现代汉语词典》，是播音们的“红宝书”。   在校毕业晚会上，来自我台播音部的四位主持人以及舞台剧演员们合影   校主持人大赛前夕，学长学姐们在给小鲜肉进行“强化训练”。   除了认真工作，外出和其他高校交wan流shua也少不了哦！  篇幅有限，就不继续安利了！对播音感兴趣的小鲜肉们可以移步我台网易云音乐平台“华广之声”，上面放有我们往期的广播剧和优秀作品！也可前往我们的微信公众号“152声艺馆”，也有精华音频哦！     编辑部  编辑部主要负责广播台每天直播节目的稿件写作，同时也会根据一些节目的需要进行外出采访和材料收集，也是广播台的一个至关重要的部门。如果说播音部代表的是广播台对外展示的皮囊，那么编辑部就是广播台内里的血肉，两者缺一不可。一代代编辑们在幕后作出了无数的辛勤付出，用或文艺、或客观、或犀利的笔触，给广播台的节目带来了无数精彩与好评。编辑部现根据节目安排分为七个栏目组，热爱文字的小鲜肉们一定能找到自己喜欢的那一款！  凌晨赏析：  华中师范大学广播台-凌晨赏析栏目是一档主打散文随笔系列的节目。每周一至周五早七点二十分准时与大家见面，分别有“恋物志”、“散文驿站、“旅行日记”、“音乐之声”、“故人往事”五个板块。凌晨赏析，顾名思义是能在晨起的路上给人以美的感受的节目。迎着微风，伴着音乐，舒心的散文缓缓从各个喇叭口播出。一日之计在于晨，一日之音亦在于晨，愿你我都能伴着凌晨赏析的故事走入新的一天。  文学时空：      这是一档“以文载道”的广播节目。每周一的傍晚，文学时空的声音在校园里如约响起，从一纸淡墨说起，以笔端诚意揣摩文学中的纸短情长。宇宙、自然、生命；青春、友谊、爱情……  在文学的麾下，我们用笔锋丈量天地人和，我们用声音渲染诗和远方。  阅遍书海翰墨，写尽悲欢离合。  新闻组：  播报每周国内外的头条新闻和热点资讯；分为打榜新闻、一周关注、编辑视角三个板块。  青春驿站      主要关注校内外各种青春类型的话题，致力在轻松活泼的基调上，贴近校园文化，聚焦大学生们的生活兴趣点。  光影同行：  光影组下设“影视播报”、“主题放送”、“票房排行”、“电影百科”等多个板块，无论是冷门佳片、经典影片，还是院线热映、大热网剧，无论你是犀利影评style，还是文艺小众风，都可以流连于光与影的幕布之间，体味百态人生，看尽人世沧桑。爱电影，就来wuli最酷炫最有爱的光影同行栏目组吧！  新媒传音筒    我们是勤劳的小蜜蜂，活跃于微博，微信等各大网络平台。我们致力于分享最接地气的网络话题，你们最感兴趣的就是我们最关注的！    新媒传音筒作为华广之声改版后全新打造的栏目，正在不断地发展和完善。目前节目分为三大板块——本周热词，优秀公众号推荐，以及谣言粉碎机。    如果你喜欢编辑，如果你热爱文字，如果你对事物有独到的分析和见解，新媒传音筒给你发声的舞台，相信你们会在这里收获很多。小鲜肉和小仙女们快到学姐碗里来，我们一起营造理想国。  行走江城：  春雨又露显新秀，百花盛开寻你来  一座城，一个故事，穿过你的世界，携带花香和着雨露，也憧憬着细雨汇成芬芳，走过你曾走过的路，描写着现在，也镌刻着未来。  行走江城，一个专属于江湖人的栏目，你可以畅游在大江大湖的大武汉，写下你和武汉的专属故事，是风中的丝语，也有雨中的青涩。你可以游历这江城的饕餮美食，看裹着芝麻酱的热干面，在热气腾腾的时候最是美味，糯米里抠着的香菇豆腐和精肉，出锅的时候好一个完美翻身，金黄色的灿烂和美味扑面而来。  从美景里的踏马骑行，故事里的青葱光年，到美食里的饕餮色宴，行走江城可不愿错过你。  我携青葱岁月，风华正茂，等你顾盼生姿，清风徐来。  天下体育：  通过介绍我校校内各项体育赛事，开展专题报道活动，展示校园运动魅力，彰显华师学子阳光风貌。此外，栏目还积极关注国内外重点体育赛事的战况介绍，通过播报CBA、NBA、欧洲足坛的赛事  赛况，为热爱体育的同学们提供了了解的平台。欢迎大家的加入。   新媒体运营中心   　　新媒体运营中心是华中师范大学广播台下设的三大部门之一，是最年轻、最具活力的部门，现如今所运营的微信公众号更名为“152声艺馆”（微信号：huaguangzhisheng）。152声艺馆的定位是校园自媒体，是华中师范大学校园内第一家服务性网络电台组织。  　　新媒体部门的主要工作内容包括：152声艺馆微信平台的运营及维护（包括每天微信节目的录制、编辑与推送；微信公众号的日常维护与消息发布等），同时负责校园内热心听众投稿的推送任务等等。      图为我台新媒体运营中心成员剪辑微信节目音频文件。       图为在我台微信公众号上推送的各类精彩微信节目。  在新媒体运营中心工作的最大特点是什么？答曰：自由。  　　制作微信节目是我们工作的重点与核心，但节目的制作却并不是枯燥和乏味的。相比于华中师范大学广播台播音部的校园直播工作，我们做的是在微信公众平台上的录播节目。自主选材、自主写稿、自主播音是我们的最大特色，具有很高的灵活性，还会不定期制作广播剧。我们始终坚持以兴趣为基础，以责任为动力。  　　你愿意为大家分享些什么心得，就只管写下专属于你自己的话语；你愿意为大家送去怎样的声音，就只管在话筒前说出你最真实的想法。在新媒体运营中心，我们彼此之间，我们与每一位听众之间，都一直真诚相伴每一天。     　　也许你会问，加入新媒体会不会需要什么门槛呢？我们的回答是：如果你喜欢新媒体的话~come on！不要有任何的顾虑！  　　诚然，作为一名新媒体成员，需要一定的文字编辑能力，也需要好声音，但这些都是可以经过训练来提高的！如果你通过面试并进入了训练试用期，我们将会为你准备对录音业务水平、微信图文制作、微信后台管理以及音频软件操作等进行一定的教学。所以完全不用担心基础问题哟~     　　我们欢迎来自全国各地、全世界的小伙伴！！！  　　新媒体运营中心，有一位来自澳门、普通话却超标准的温柔萌妹子。（由于妹子害羞就不放图了，但可以在微信下方菜单找到她）     　　作为一个友爱团结的组织，聚餐是必不可少的，还有武汉老学姐带你逛江汉路~              咳咳，露露脸，重要的是关心作品……   新疆菜实在是太太太好吃了！  学弟学妹们还在等什么？！  我们欢迎热情自信的你、敢于发声的你、团结协作的你!  我们这个温暖的家庭等着你的光临。  让我们一同把生活的点滴，用最真诚的声音，送往每个人的内心深处~  新媒体运营中心欢迎你！     最后的最后，让我再说一遍最重要的事--华广之声2017纳新交流群：659460649大家有什么关于广播台或者关于华师的问题，都可以尽情在里面向学长学姐提问，老鲜肉们可都是相当热情的哦！此外，有关招新的具体安排以及后续的录取信息届时都将第一时间在群里发布~还在等什么，赶快点击加入吧！      
华中师范大学语言所的语言与应用语言学怎么样？, 语言所对本科学校没有偏见的~只要分数够高~这些都不是问题，我就是二本而且还是跨专业0.0也没什么问题~因为初试分数够高-。- 
2017自主招生被华中师范大学教育学类录取？进入学校后可以转专业吗？,特教就业现在越来越好了，上升趋势，反倒是教育学才不好就业！
上华中师范大学是否会和黑人同班？,华师的黑人学生全部归属国际交流学院。上课的时候可能会有几个选了这门专业课的黑人来听课，但你的行政班上绝对不会有黑人，大可放心。
华中师范大学什么专业可以当大学老师？,        华师大部分出来当老师，因为华师师范生就业的行业是强制性的，但是如果你不是师范生的话就不用当老师。专业很多，但是都不是很精，毕竟是培养老师的学校，要求学生的知识面要广。         如果不知道有哪些师范生专业，可以去网上查询，查询网址： 2017年华中师范大学各院系硕士研究生招生专业目录【汇总】 _ 聚英考研网              还有什么不清楚的可以直接加华中师大的考研交流群问下：175736249 
华中师范大学的阳光派遣生到底是真是假？,骗钱的，小心，不如专科
兰州大学，华中师范，川大历史院系本科考哪个好呢？, 没弄清楚你提问的具体指向。如果是考以上学校的本科，那只能看你的高考分数来量体裁衣了。但无论是高考还是考研究生，还是建议从就业和深造两个角度来考虑选择的问题。华师师范专业的本科就业率非常高，几乎可以达到百分百，但听说川大文科专业的就业情况很不理想了。而历史专业研究生就业情况目前非常严峻。高校就业已经是两头容易中间难。这三个学校各有所长，很难断定哪一个在历史学这个大类学科上有绝对优势，主要依据你的兴趣点去做选择。近代史选华师，古代史选川大，敦煌学选兰大。总的来说，好考的前景未必太好，前景好的肯定不好考。就社会接受度而言，985肯定要好于211，而学界的接受度主要看是看你的个人能力和导师影响力了。归结起来就是本科看学校，硕士看专业，博士看导师。跟据上面的这句话可以指导你求学过程中不同阶段如何作选择。 
怎么准备华中师范大学英语学科研究生考试？（如参考书目之类的）？, 可以搜优加考研关于华中学科英语的考情分析课，上面对华中学科英语的考研情况，考试内容，当然包括参考书，有一个全面的分析的。  来来来，给个链接  华中师范大学 学科英语考情分析 - 优加考研 - 最精准的考研专业课辅导 - Powered By EduSoho   
如何看待华中师范大学从下学期开始实行全天 14 节课的排课规定？,武大也是每天排14节，但授课单元内休5分钟，单元间休15分钟。 具体划分如下： 上午：1-2[8:00-9:35] 3-4/5[9:50-11:25/ 12:15 ] 下午：6/7-8[ 13:15 /13:55-15:30] 9-10[15:45- 17:30 ] 晚间：11[ 18:10 -18:55] 12-13/14[19:00-20:35/21:25]  按照这个方案，即使排满，学生在中午也有1小时[12:15-13:15]的休息时间，晚间则有40分钟[17:30-18:10]。  华中师大的方案 课间休息太长 了， 吃饭时间 被迫 压缩 。
学科语文专硕，去华中师范大学好，还是应该选浙江师范大学？,杭师大中文系师范学生，表示可以选择华东师范大学或者南京师范大学呀 。关于教师招聘你可以去看各地教育局的招聘信息，里面什么学校有什么要求都可以看看。
南师大，苏大和华中师范大学的学科语文选择哪一个比较好？,建议留在南京，南大招研会偏向江苏。
华中师范大学这次开运动会晚会(2016.11.3)你感觉怎么样？,作为一只即将毕业的大四老学姐，发自内心的说这是我在我师看到的最high的运动会  感想就是，我为我师自豪，还有呢，年轻真好，哎古
华中师范大学文学专业辅修历史好吗？,作为历院12级学渣一枚，愿意说道说道自己的陋见。上大一大二的时候，专业课上我和几个来自不同院系的同学曾经接触很多，令人失望的是他们大多是抱着一种得过且过的态度来辅修的，基本上不怎么来听课，考前问我要重点，我曾经一度怀疑他们是混证来的。题主若是对历史感兴趣并打算往这方面发展，建议辅修（你知道历院还是有很多大神老师的）。但若是单纯地喜欢，建议马上打消这个想法，因为文院的课业任务远比历院多的多的多！！！我几个辅修中文的同学已经被累成狗两年了。所以，建议考虑长远一些，就酱紫。
华中师范大学和湖南大学怎么选？,理想与现实的利与弊你已经分得很清楚了，如果你家不愁钱，学心理吧，愁钱，学金融。这还不好选择吗！心理学起来很有意思，但学的人太多了！转系不难，看个人能力。辅修双学位也没多难的要求，你也可以辅修武大金融，比湖大的好！
备选：兰州大学 ，北京林业大学 华中师范 中国海洋大学 成绩高出一本104 ，那么哪个大学更好一点呢？, 文科果断华师，中海北林看专业，兰大的优势在于是比较好考的985，保研名额多，考研出国也占优势。综上，文科华师，毫无疑问。理科中海洋，985而且地段还不错。想去北京的话北林，求稳的话兰大。 
【考研选学校纠结】本科不出名211，信息管理。想考情报学的研究生。1.中山大学2.华中师范大学？情况见下：,大家都没答在点子上~~~我先留个位，等晚上有空再来细讲。  一年以前考过华师，算是没怎么背书复习就去考的吧，我是一直到了大四开学才正式把专业课提上日程的。大三下都在“假装看英语”为了过六级。（后来低空飘过）最后就因为信息管理学实在太渣连100分都没有，国家线因此少了几分连调剂都不行收场（我英语当时没怎么做真题，只做过之前一年的真题，作文还没看，最后成绩还过线几分，真的觉得挺好笑）。相比之下情报分析方法那门，刚好我大三遇到了我们信管专业的一名老师（硕士华师信管系，当时还是系不是学院，他是信息经济学的，博士武大信管的管科），他刚好用了华师那本分析方法作为信息分析的课本（后来他还提到编者有一个是他老师），是他让我尽量考更好的（我当时只想考华南师范，因为广东的话还有中大但是太难考了所以只求有书读有学问继续做的机会而已）我就当时自己看书然后抄抄写写，记住一些重点。最后那门课，这么说吧，我当时有一些连书都没看完，空掉的那些都有二十分出头了，最后也有一百二十多。情报分析这门课吧，如果你有看过这些年的试题，真的大题都“都跟书本有关，但都不全，甚至只是字眼来自书本”这样的局面。我觉得这是一个好事，至少让你如果真的有关注的话，会有很好的发挥余地（碰巧情报的东西，如果是真的写起来看得出你是有看过别的东西的话很明显的，因为一般来说，不是对情报学很醉心的人不会整天去看那些情报学论文，观点）。刚好大三下学期开始跟着另外一位老师做实证研究的项目，就是要搜集各种数据放到SPSS分析，可以说情报类以后你不编代码都是这个路子（当然用AMOS更好，只是模型要做的很好，否则结果出不来你就等着论文没办法完结或者推倒重做），所以当时对于做综述是有一个过程的，因此答论述题写起来比较得心应手（虽然现场发挥可能逻辑不是很完善）。因为我没过初试，没去复试，华师只要过线都能去复试，但是会刷掉很多，因为情报名额相比图书馆或者档案会多一点，但是也不可能全收的。  再说到学校选择，情报学，你本科信管吗？如果不是，或者是，如果你以后确定要考专业技能找工作，情报真的很难给你带来很直接的就业机会（图书馆这种需要考事业单位的我暂时不在这里提及）：你会编代码吗？或者你以后愿意从事码农工作吗？不愿意的话就只有一条路了：去互联网公司做那些用户调研或者数据运营这一类，看公司，有的测重算法，那么还是码农，有的测重业务运营，那么就算对路。你说到985+博士点+不考数学，我记得好像是没有的。中大情报没有博士点并且要考数学，华师反而有博士点。但是说真的，这个小众学科，也就那么几个学校可能读起来会好些，哪几个比较好的我想你自己可以去搜一下。图情人对于中国图情现状，至少学校的现状要有所了解。  所以，与其说学校的名头，你最好想一下，你以后如果要靠情报学就业，那么你要学到的有哪些，情报太小众，又不算“显学”（比起图书馆学还是好一些的）。如果只是为了学校名头，那么只能考那几个985了。有人提到华科，明显就不是咱们这一行的。武大我记得好像刷过分很高的。暂时就想到这些，想到我毕业运回家里那一堆情报学的论丛类书现在很少派上用场也真觉得罪过~~~
如何看待范冰冰在武汉华中师范大学宣传新片被劝离？,华中师范大学位于桂子山下，与武大珞珈山隔珞瑜路相望，乃百年名校。“学为人师行为世范”，冯小刚借百年师范名校炒作，实乃下作之至。
有华中师范大学的教育类专业的硕士研究生吗，本人想考17年华师的教育类专业，有很多不懂的地方?,加油~加油~ 我也是打算考华中师范大学的研究生的，专业…教育类，具体方向待定吧(ㅍ_ㅍ) ヾ|≧_≦|〃不过我是2018年考研的o(●´ω｀●)o
华中师范大学的中外合办专业是怎么回事？,华师中外合作办学是教育部认可的，有2+2和4+0两种模式，分别是学前教育、生物科技、社会工作三个专业，如果选择4+0模式，在国内四年由本校教师授课，也有外方教师来校授课，大学毕业只能取得华师毕业证与学位证，而2+2模式除此之外还可获得合作大学的毕业证与学位证（前提是通过相应的雅思考试并在大三和大四在国外学习两年达到外方毕业要求）。   有问题的记得私信我，评论有时侯不提醒！有时候私信太多，只能回复排在前面的，不能一一回复哈！但是尽量！  啦啦啦，这就是本部毕业证啦！所有本部人毕业证都一样！ 
华中师范大学专业课挂了一科还能去武大辅修吗？,专业课挂科是不能辅修的呦同学，最起码大二是别想了，你可以大三试试，不过机率不高，还有，从北门到武大教五可有段路要走，每个周末早上七点起床想想脑袋都要炸
有一个华中师范大学的女朋友是一种怎样的体验？,华中师范大学相传着“爱在华师”的不朽传说，因而里面的妹子也算是当之无愧的主角，我是14年毕业于这里的研究生，很怀念学校的烂漫时光。  华师的男女比例达到3:7，也就是美女遍地开花，而且华师是一所师范类全国一流大学（目前第三），妹子的质量相当高。华师9月份的校园主干道上到处都是桂花的飘香，每年6月左右到处都是妹子拍照毕业的美景，华师的文化因素包含桂花，是它的校花，内设建筑都很有文化氛围（桂苑宾馆、桂香园食堂、桂苑之声等等）  华师是百年老校，时刻散发着古老的学术气息，有“仙气”的校园文化，那里三个校门都有地铁（广阜屯），来去都很方便，因而想认识那里的妹子，大门也总是敞开着，至于你是否有能力征服她们，就见仁见智了。  如果你的女友是华师的，你一定很幸福，而且你很有面子！
西安交通大学的文科和华中师范大学相比怎么样？应该选学校还是选专业？,你是相当大学老师还是中小学老师？前者去西交，要博士学位和海外经历，很难。后者去华师读师范就好。
华中师范大学的教育学研究生怎么样？,本人即将去学，好奇观望中
中央民族大学和华中师范大学 新闻与传播专业考研选哪个？,都不要选，考新闻做啥
华中师范大学中国农村研究院？,感觉就业面不是很大。
华中科技大学、华中师范大学、中国地质大学(武汉)和武汉理工大学MBA差异？, 谢谢邀请  武汉MBA 前三甲 武汉大学 中南财经政法大学 华中科技大学。 
如何评价华中师范大学圣诞节强制查寝不允许学生外出，这是否属于限制人生自由？,我们学校也是，简直奇葩的让人意外！
如何看待华中师范大学某社团关于发放作家大冰赠送苹果一事?,谢邀，我爷爷活了93岁，
如何评价华中师范大学的学生选课系统?,闪电般的系统 
考研想考华中师范大学思政，想问武汉和华师怎样？本科普通二本，三跨！理想当老师。请各位大神给点建议。？,楼楼有经验了嘛，求分享
华中师范大学到底是不是985？求求求大神！?,这个需要问？？不是。985创新平台≠985，锻炼下信息搜集能力吧。。
本人想考华中师范大学历史专业的硕士研究生，有什么好的建议吗?,华东师范大学近代史硕士研究生专业课指定用书，请大咖们指教！
我是湖北美术生想考华中师范大学教育学需要多少分？,呃，虽然我是华师大的，但我是华东师大啊！
每年华中师范大学文学院有夏令营活动吗？,没有
华中师范大学的347应用心理学书目是什么？, 应用心理专业为347心理学综合；   张老师推荐   【重点科目】  1．《普通心理学》，彭聃龄，北京师范大学出版社。【第四版，全部14章】  [美]理查德·格里格，[美]菲利普·津巴多 著；王垒，王甦 等译《心理学与生活》，人民邮电出版社，2003年版  2．《实验心理学》，郭秀艳、杨治良，人民教育出版社。【结合其他科目出设计题】  3．《社会心理学》（第三版），侯玉波，北大出版社。【金盛华老师的书作补充】  4．《现代管理心理学》（第四版），程正方，北京师范大学出版社。  5．《发展心理学》，林崇德，北京师范大学出版社。  6．《变态心理学》，钱铭怡主编，北京大学出版社。  7．《心理咨询与治疗》，钱铭怡，北京大学出版社。  【次重点科目】  1．《人格心理学》，美Jerry M.Burger著；陈会昌[等]，中国轻工业出版社。  2．《现代心理与教育统计学》（第三版），张厚粲，北京师范大学出版社。  3．《心理与教育测量学》，郑日昌，人民教育出版社。  4．《临床心理学》，王登峰，人民教育出版社。   距离17年考研90多天倒计时，需要模拟测评和大纲的同学可以私信张老师~     
中国政法大学和华中师范大学哪个好？, 中国政法大学。  法学走遍全国都不怕。 
上海大学与华中师范大学的比较?,顺着过来的  从名气上看，华中师范大学，211工程，985平台，教育部直属师范大学。到问题就在于他挂了个师范两个字，非师范专业就有点尴尬。上海大学是新兴211院校，势头很猛。  从资源上看，上海大学，地处上海，社会资源充足，而且最近几年上海大有倾其所有发展上海大学的意思。听说二军医都要给上海大学了。华中师范，教育部直属大学，资源充足，城市相对差点，但也不多。发展的话，无功无过吧。  从专业上看，华中师范大学，9大基础学科加上教育学，都比上海大学好，没什么可说的。其他的发展一般。上海大学偏应用，属于应用类大学，而非学术类大学。  从学校风气上看，华师传统，守旧。上海大学，活跃一些。  综上，报考教育相关和师范类专业，华中师大肯定好于上海大学。报考其他专业，综合城市与具体专业发展进行选择。  【个人意见仅供参考】 利息相关：寡(华)妇(中)屯师大在读。
是考研本校华中师范大学好还是保研去东北师范大学好，教育技术学专业？,东北师大是不错的，如果对考研感到比较焦虑，保研也是很好的选择啊，可以感受几年北方的生活。但如果想在华中师大那边就业的话，还是要选择本校读研，为了以后吧。个人意见。
华中师范大学金融硕士毕业之后一般去了哪里发展？,  经济管理学院2010届硕士毕业生就业工作汇报-华中师范大学经济与工商管理学院     我也在找，目前只看到这个~~ 
想报免费师范，华中师范与西南大学的哪个好？,谢邀 这两个学校我都不了解，所以没有办法帮你。 但是我可以给你一个建议，大胆走自己想走的路，年轻就有无限的可能，就算本科不满意，还有考研呢。
北师大研究生院珠海分院和华中师范大学，选哪一个？,来珠海吧。毕竟北师大。招生时间不长 所以分数不高。性价比很高的。
