北京理工大学的电子信息专业和北京交通大学相比哪个更好？, 泻药，虽人在北理，但毕竟不是学电子信息的，不方便做任何比较与评价。 
东北大学，山东大学与哈工大的威海校区，北京科技大学，武汉理工大学的cs专业怎么选？,我是哈工大威海的大四学长，我只知道我们学校的计算机就业非常好、工资高，威海这边的考研氛围也很浓厚，别的学校不了解。似乎能满足你的需求，应该不会后悔。 搜索阳光高考，里面有毕业生满意度的调查，其中有“就业满意度”，这个是毕业生实名验证，每人一票，只能评价自己专业，这个是我所知道的最靠谱的选专业依据，4分以上就算是就业比较好的专业。
请问下计算机科学本科是北京理工大学还是东南大学更好？, 东南大学好，南京地理很好，房价没有北京贵，适合学习发展，北京理工大学也不差 
华东理工大学和北京化工大学哪个化学较好？,华理只能说是一般般吧。也就是化工专业才排全国前三，也就是毕业的学生才占据江浙沪化工行业半壁江山，也就是被化工业内人士贴上踏实低调的标签，也就是以一个舅舅不疼姥姥不爱的211身份(你懂的)超越某些985，也就是才在三大世界高校排行榜挤进世界前500名，也就是这样，真没啥的。  PS: 目前经济形势这么差，能不学化工还是别学了吧，虽然华理化工很牛，但是在整个行业都不景气的大趋势面前也没辙啊。。。
在北京理工大学谈恋爱是一种怎样的体验？,学校里没有什么小树林。
考研报考北京理工大学的经济类专业怎么样？,北理工经济系本科在读。  我们的目标是：不留本校。  我们以上的学校是：北大清华人大复旦中财对外。 如果去不了以上学校，来北理还是不错的选择。  然而人文学院就要正式搬来良乡了，真的选择在良乡呆两年吗？
自动化专业电子科技大学与北京理工大学的抉择？,请你不要考自动化，都不好。关注电气工程、电力系统及其自动化，或者转计算机科学与技术或者软件工程
进北京理工大学徐特立面试问题？,北理徐特立……呵呵这种坑学院竟然还有人想着面试问题……你的学长学姐跑都来不及呢
在北京理工大学就读是怎样的一番体验（2017版）？,2017准大一 已被北理航空航天类专业录取，占坑先
在北京理工大学当学渣是一种怎样的体验？,作为一个在及格线上挣扎的学渣说一下自己的生活状态 逃课，但是画重点的课不逃。 玩游戏，但是考试前一个月别开电脑。 抄作业，但是考试前拿到的历年考卷要认真做。 最后，可以当学渣，但是千万别挂科，这是在北理的底线。 隔壁某系，保研名额8，全班未挂科人数7。 ——来自一个只是没挂过科的学渣    PS：老师都不会存心和学生过不去，请在考试前拿出高三的学习状态来    pss：不上的选修课记得去教务处退课啊。。。血的教训。
北京理工大学有哪些科创类组织？,宇航的有航模队，机电的有机器人基地，科创大本营，车辆的有方程式、巴哈、节能车等车队，三维成图空间等，光电有个创新基地，自动化有创新基地、机器人队，软件有创新基地，还有数学建模、飞思卡尔等比赛组织，看兴趣喽。更多详情可以私聊。
北京理工，天津大学的信息与通信工程招的都是些什么档次学校的学生？,北理工信通是一级国重，这其中主要是因为信号处理方向的强势，雷达信号方面全国一流，生源方面有从西电北交等学校保过来的，据说还有清华的。天大的通信好像不是很好的样子，生源不太清楚，不过作为985，保研生源的话肯定也是211和本校为主。我的建议是能去北理工雷达所就去北理工，如果不行再看其他方向。
怎样联系到北京理工大学足球校队教练给个试训机会?,去学校官网，找特长生招生的相关信息，找到相关电话号，自己联系。这些事如果没有关系，自己硬着头皮找，联系一切有关系的人。升高三了还是已学习为主吧，考上北理之后机会不是更大吗？
北京理工大学离世界一流大学有多远？,中关村校区离世界一流大学不远，可步行可骑车 良乡校区离的就很远了，只能坐地铁
北京理工大学珠海学院要超出本科线多少分？,泻药，你能不能说下你在哪个省，光说普通高中谁知道在哪里啊又不是全国同一分数线... 有几个同学在这个学校，有三个文科生一个理科生，三个文科生中两个是编导专业艺术生，一个是学法学。 艺术的话分很低，普通文在我们省是二本这样。 优点是风景好，师资也不错，硬件好。 不过生源:-)不要指望 我有个同学一直跟别人说她在北京师范大学 朋友圈一直里假装在北京:)  虽然是个例但是也反映了那个大环境的风气 客观来说 除了艺术学院 其他学院学风还是不错的吧…师资很不错的，近年发展挺好的  利益相关: 主观色彩特别重，因为情敌在这个学校:-) 那个女生在我们高中常年倒数外加绿茶属性 最后艺术进了北师珠的， 所以印象很不好 难免主观上非常不喜欢这个学校:-)
在北京理工大学读装甲车辆工程是怎样一番体验？,曾经我们这一级地武专业一个妹子转专业后，他们说的一句话流传甚广……“我校最后一个会开坦克的妹子走了。”
北京理工大学机械设计理论与方法考研怎么样？,先给你介绍几本参考书吧《理论力学教程》，电子工业出版社，水小平、白若阳、刘海燕，2013年 9月 《理论力学学习指导与题解》，电子工业出版社，白若阳、水小平、刘海燕，2014年3月 《机械制造工艺学》	机械工业出版社 王选逵	2007.01
北京理工大学足球队？,实力可以，体育特长生
大家对北京理工大学的看法?,作为北京理工大学在读大二生，专业也是我理较强专业，我觉得我还比较有发言权。先说楼上这些同学，如果不是非常了解我们学校，请不要妄下论断。        先说我们学校的硬件吧，现在我们学校大一大二在良乡校区教学，大三大四和研究生在中关村校区教学（地铁魏公村站下去就是），以后会渐渐向良乡校区转移。中关村校区是比较有年头的了，良乡校区是2007年落成的，非常非常大，还有很大一部分没有完全建成。良乡校区比较偏僻，但是硬件条件还是比较好的。这边景色也不错，校园里有湖有园林，在我去过北京这么多校区里面也算好的。        然后说说我们学校的水平。当时我高考的时候排在全省700（我们省教育一般），然后以前几名的身份被北理工的信息工程实验班录取。现在网上很火的一些排名，北理工排在30左右，学生水平排名也差不多。我自己认为是不大妥当。因为人才的潜力不会流失很快，当时入学时候的好学生不会很快就堕落。但是我们学校确实偏科比较严重，这我不能否认。如果你想学经济什么的，建议不要报。我们学校比较强的学院，信息与电子学院，自动化学院，机械与车辆学院，计算机学院，偏文一些的有外国语学院和艺术与设计学院。虽然我作为一个北理人很难做到完全客观，但是我们可以以自己的实力告诉大家我们绝对还是比较强的学校之一。        我们学校的学风我认为不错。和我去过的许多别的同档次985，211院校比起来我认为要好很多。我们学校风气整体来说确实比较淳朴，但是这并不等于屌丝太多吧==。我认为还是一个适合安心做学问的地方。我不敢妄自尊大说我们水平直追清华北大，其实北航我也觉得比我们强一些。不过我认为我们学校是和东南，天大，西工大，哈工大，华中科大这些学校是一个档次的。        总的来说还是比较适合理工科学生来入学。很多人说我们学校男女比例严重失调，其实也还好了。3700新生中大概有1200多女生吧（具体数据记不清了），而且现在早恋现象严重，真的大家都去大学里找对象么。        我很努力做到客观了，比较作为我理的学生，骨子里还是很有自尊心的。希望能帮到你。
北京理工大学的互联网创业氛围怎么样？, 喏 你看没人来回答， 就知道这氛围怎么样了 北京理工大学和北京邮电大学，差不多是一个量级 但在互联网这方面基本上完败，  　 一是 北邮本来在这方面是强势行业， 毕业生报酬又高，有钱校友 学长帮助扶持给钱也多，循环下来这方面就抵不过了。  　 二是 貌似北理强势的专业都和体制有关。 就那车辆，航天 他们牛人都是谈什么什么 503所， 小北方军工企业，多少多少重工船舶XX所， 这些牛地 工资高，有的算个体制内，北京户口的指标也多。 相比之下互联网就不多咯， 更不谈风险更大的创业了， 而且还有点闷声发大财的感觉，要门路要推引。   这就和互联网创业 必须造势，没东西也要搞出大新闻那种风气，很是不同了。   最后，感觉是理工气太重了， 太缺文了， 连校友之间交流都不多，实话 北理工出去的人干事确实强， 好多大企业 大部门，重要机构可能碰到理工的， 但基本不知道相互信息，太匮乏沟通了。  　 举个栗子，就拿药企生化相关，知乎上都对于生化类求职，评价是共识般的很不看好， 直到班上有同学本科拿里GSK和罗氏的offer销售月工资8500+ 才知道 ，全球前六 辉瑞，罗氏，GSK 等等都有师兄师姐，测序第一安捷伦也有前辈。 本科也能去拼一下，并不是无路可走。反观学校80%大四本专业学生还抱着 本科只能拿税前4000+， 不到硕士找不到工作这种想法了，宣传交流太差。  　　联网行业那些企业里面学生校友都多，BAT估计人也不少，但本校学生都不知道有前辈在里面，别谈外人了。 大牛和前辈都忙着做事去了，交谈和沟通 没放在心上，不算事 所以“文化”很是荒芜， 反而单位评价都高， 踏实能力强，肯干。校友和老师对于北理人做事的评价都挺高的，又还能吃苦，四年或六年的光棍苦 大部分能抗下来，类似制度不灵活后勤管理的苦 也够多， 而且作为理工院校，各类实验训练本来就是和实际问题打交道， 纸上谈兵的人一试就知道了。 所以我认为搞创业，北理学生解决问题的能力真是不虚其他高校的，但不仅没创业这个氛围，连有想法去着手搞的人都没几个。  　　学生都是踏实能干很认真，有点成亦萧何败亦萧何的味道。 作为理工工程类专业回答这个问题，感觉那些IT人 军工人真是很懒得于说话的。   ～～～～～～～～～～～～～～～～～  一家愚见，希望多多讨论。 
北京理工大学读装甲就业去向？,我是09级车辆工程，装甲之前叫地面武器，分数线比车辆工程专业低，奖学金也竞争没车辆激烈，保研的时候跟车辆是一样的，性价比最高，找工作很好找，一般都去北汽，为了户口
如何看待北京理工大学中关村校区暑假浴室两天开一次？,看到这个帖子，突然觉得有一点小反感。无非是学校的一个再正常不过的通知，动不动就被拉到知乎上面来讨论。觉得既没有必要，也对学校声誉无益，又不能解决问题。  暑假不是每天都开放浴室的学校太多了，这个政策既不是北理独创，也不是北理独家。  作为这个规定的直接“受害者”之一，不能每天洗澡的确不方便，but，but，好像不至于这么大惊小怪吧……  学校有那么多权益部门，有问题就反应嘛，这才是积极解决问题的方式。来知乎真没什么用……  //我绝对没有替学校说话，只是觉得一言不合就上知乎，其实跟那些网络上的无头喷子没啥差别。
北京理工大学考研/?,属于理工类在理科类比较难，仅此清华，北航。还要看个别专业。文科类一般@才思教育
本人理工女，要选签约大学，北京理工大学和天津大学哪个好？专业没有限制。个人比较喜欢高新科技类？,谢邀。 你如果对于编程有兴趣，可以考虑计算机科学和软件工程之类的专业。 北理工更偏向军工一类的方向，在传统工科和管理类来比较实力不如天大。但北京地域优势，更靠近互联网企业，实习机会多。推荐如果将来想从事非编程的互联网类工作，选择北理工，实习更方便，距离也更近。
北京理工大学有没有承诺服从调剂不退档这种事情？,本人也有类似疑惑，看了下其他院校如东南，华南理工，都有类似承诺。北京理工招生章程中没有明说，应该没有。这样的话志愿就比较难填了。
北京理工大学在本科阶段有哪些地方让你感到满意?,哪点不满意。。哪些满意。。嗯学校公关还是很机智的  ——————————— 1. 虽然社团自由度不高，基本是学生自己折腾，但依然相识相交到志同道合的伙伴 2.虽然每学期至少有一半的课程需要去蹭其他老师的课（特别是专业课），但这也说明一门课程至少还有一个老师是有认真上课的呢 3.虽然时间上课程设置不合理（因为两校区还是沿袭计划经济体制不曾变更不想再论），选择范围太少，上课与考试脱节，学习与应用脱节，但这都是挑战啊，这样更加锻炼了我们的适应能力和自我提升能力呀 4.虽然有那么多失望的地方，然而一想到好歹还是985呢，还有更多更多所谓的“高校”出产更大批量的产品，而我们也只是落差太大才会这么失望的，比下还是绰绰有余哒 5.虽然找老师办事一向繁琐而复杂，问辅导员的事情十有八九回复是“不知道”，但是多跑几趟多找些人总是可以解决哒，要相信领导 6.虽然上上下下把问题都捂着藏着，但是确实存在不少做事非常漂亮或者说话非常漂亮的老师 7.虽然几乎所有的场合都离不开“延安精神”，但这说明我们牢记历史不忘本嘛 总而言之，虽然学校没把学生当儿子看，好在我们也没把你当妈啊。自此一别，一拍两散，各生欢喜。
北京理工大学徐特立班大一学些什么课程？,数学分析 高等代数 c语言基础 机械基础 学术英语一二级 解析几何 常微分方程 近代史 专业导论 体育 思修 毛概  嗯……差不多就这些…… 哦！还有国学基础……
女生在北京理工大学单身是怎样的体验？,北理男女比例其实并没有那么失衡，而且女孩子基础颜值和素质都不低。 但是男生的话 基数是相对大了一点，质量相对女生就会有些力不从心。毕竟工科男孩子，有时候强行撩妹的手段都可以放在知乎上用来搞笑。 所以在北理女孩子单身挺正常的 而且很多有对象的也不一定是自己学校的。
你为什么不推荐高考考生报考北京理工大学？,这种毫无根据的臆测和梦话，居然给我看到了，题主是想来找骂的吗？ 已举报。
如何看待北京理工大学把一部分研3的学生，以“新生马上就要来了，没有你们的床位”为由，赶去住本科生宿舍？,谢邀。 先补充背景知识： 此次受害者为化工学院留在中关村校区的全体学生，包括研二、三，博士（2020年毕业的）。在马上开学的时候被强行迁至学校里最破的宿舍楼，男生六人间，女生四人间。    上图为女生宿舍之一，因为隔壁就是水房，空气湿度达65%以上。各种霉菌充斥，一进屋一股水气+发霉的味道。  相关背景：学校不是没有地方，硕博小区里还住着延期毕业的学生。连延期毕业的学生都有地方住，单单差这十几二十张床吗？扩招是按照床位来的吗？我是不信的。  学生们找过后勤集团，可惜当天下午就被开会镇压。“再有人通过此种方式上访，实验室将和ta断绝关系。”  因为有的实验室该去良乡而不去，所以学生会被针对。也许是最接近真相的事实了。  那么结论是什么呢？ 北京理工大学，作为一个985高校，并不爱惜自己的学生。 对一个学校来说，最重要的就是ta的学生了吧。十年树木、百年树人。北理近些年每况愈下，焉知不是不珍惜学生的恶果。  即将毕业，对学校最失望的一次，没有之一，虽然被迫搬宿舍的不是我。
哈工大和北京理工大学相比如何？,哈工大咋成天被黑…
在北京理工大学读研究生是怎样一番体验？,保密检查！
如何评价北京理工大学出版社出版的民国大师经典书系？, 北京理工大学出版社和烂书是同义词。 
报考北京理工大学（BIT）是错误的决定吗？,准学弟你好呀，你说你在知乎上面看到很多黑北理工的信息，不知道你有没有看到我，我也算是知乎北理工话题下一大黑子了。 但是，当我在知乎上黑北理工的时候，潜意识里用的对照组是清北交复和台湾清华（我曾在该校交换半年）这些一流大学。也就是说，北理工相比于这些学校，确实问题多多校方看起来也是不思进取所以让诸多在校生痛心莫及。 至于跟北邮比如何，我不知道。我认识一些北邮同学，他们都很优秀，我大体认为北邮和北理水平相当，都是二流大学，各有所长。去了北邮不会后悔去北理，去了北理也不会后悔去北邮。 不过考虑到你已经报了北理，我这里就得提出一些北理的优势，让你知道你的选择没错。 你在题干里提到了你对vr和无人驾驶车感兴趣，那你是来对北理了。 首先就VR来说，北理工光电学院的王涌天教授，是国内AR/VR领域的top级专家，你如果有机会去他的实验室实习，一定是大有裨益的。当然如果你只是想尝个鲜，那两校各自也应该都有相关的学生社团在做一些应用参加科创比赛之类的。 其次是无人车，（我这里默认你说的无人车不是飞思卡尔那种玩具，而是真的在路上跑，可以坐人的车）得益于北理工在全国范围内数一数二的车辆专业，学校拥有一支由博士生、硕士生、本科生组成的无人驾驶方程式赛车队。目前该车队的第一代赛车已经完成，并且在德国参加了比赛，应该是国内第一所涉足这个类型比赛的大学。 当然了，无论是王涌天教授的实验室，或是无人驾驶方程式车队，都是很牛的团队。学校提供了这些平台，至于能不能利用好这些平台，就看你自己的能力，你自己的造化了。 （ps：VR也好，无人驾驶车也好，和电子科学与技术专业内容关系不大） 第三，也是最重要的一点，   北理工所有宿舍有空调，北邮绝大多数宿舍没空调   。   所以同学你看啊，你应该庆幸你报了北理。 再说一句，不吹不黑，北理工虽然妹子少，但是质量奇高，美女多。   妥妥北理好
北京理工大学是所怎样的大学？,北京理工大学是 联合国备案的中国14所著名大学之一 首批国家确立的14所副部级院校之一 老师：我在网上看到北京理工大学的定位是这样阐述的: 首批211工程重点建设的15所大学之一 首批国家颁布的16所全国重点大学之一 首批建立研究生院的全国重点大学之一 第10所进入国家建设世界一流和高水平大学的985工程院校是的。 别看北京理工大学在全国的排名排在三十几名，但就业率非常好，知名度非常高。但专业相对不如排在前十的学校高，故综合排名不是非常靠前。 该校是第十所进入985的学校，也是国家重点建设的8+2工程院校，目标是国内一流，国际知名。每年教育经费为10亿元。另外，军事订货每年也有很多经费。 在北京，研究生部在中关村，占地1200亩，本科部在北京良乡，占地3000亩。学校学习气氛非常好，有道是，吃在清华，玩在北大，爱在北师大，累死在北理工。北理工的学习都非常刻苦，为北理式赢得了良好的声誉。
想知道北京理工大学通信工程专业研究生录取基本情况？,蟹妖。。。不过我不是北理的，而且我还是本科生。。。 
如何看待北京理工大学对于赵汐老师知乎内容的公关？,没有啊，那个问题还在的，搜赵汐就出来了。昨天大概消失了1个小时左右吧，后来就又出现了，不知道咋回事。
去北京理工大学读研？,还是看自己想法吧。。。据学长说，中科院的模式更像给导师打工，补助较一般高校来说，是偏高的，但会很累，基本就是三点一线的生活，论文压力比较大，但中科院的金字招牌对以后找工作会有很大帮助，，，来北理的话，也算还不错，普通高校都差不多吧，主要就是选个好老板，老板好，会过得舒服些。。。
北京理工大学生物专业怎么样？,机会很大！
如何评价北京理工大学的这门课程?,绝对是位好老师，我不匿了，这学期教我模电，上学期教我数电。。。虽然我是一个挣扎在及格线边缘的学渣，但是上课的时候能看出江老师很有责任心。至于这门课程安排我们学院学，我就。。。。。。感觉苦了老师也苦了我这样的学渣，但是挺理解的，毕竟学校要筛选保研名额嘛（正经脸）
在北京理工大学学法学、国际经济与贸易是一种怎样的体验？,哈哈，国际经贸毕业十多年的路过，顺便回答，从学校本身来说，我理很不错，至于专业，三年后你还有一次改变的机会，本科教育就那样了，啥专业都有学霸，说白了还是靠自己。好吧，我现在从事的工作跟学生阶段学的东西没半毛钱关系。
北京理工大学物理学院怎么样？,实力不是很强，远不如机械，车辆等专业。不过姚院长的团队感觉很不错。
如何看待北京理工大学校团委副书记赵汐的言论？,说个事儿，2014年团委取消了住在良乡的艺术团的同学往返于良乡与中关村的班车，赵汐口口声声每人每周30元作为路费补助，还每周刷身份证签到，到现在为止我们仍然没没拿到任何补助，最近由于我们马上毕业想要回我们应得的，于是找到赵汐，赵汐说肯定会给的，那时你们应得的，马上找人办，然后就再也没信儿了，打电话催了好几次，最后电话被拉黑  ♂️说这些不是想要回钱，主要是让大家看看他什么人性
北京理工大学珠海学院生存攻略？,1.带多点钱，没有什么是买不到的； 2.刚到宿舍，跟舍友刚认识后立马提出买洗衣机，要是等舍友的长辈走了，你说要买他们可能会说没钱拒绝你，当他们长辈在的时候他们一般会答应； 3.教材不用全买（甚至可以不用买），跟认识的师兄拿就行了。若没认识的师兄，去关注学校微博树洞，发条微博，一本5块收，很多人卖你（不要傻的跟学校买几十块一本）。 目前就想到这么多，想起来再补充…
北京理工大学珠海学院2015级军训比赛内定问题？,建议去西单大木仓上访
北京理工大学电子封装专业怎么样？,新开的专业，专业还是挺好的，11届刚列入卓越工程师计划，估计保研还是各种福利都会多一点吧，实习的话在大三暑假，去上海日月光实习，实习这方面算是材料学院最的。就是课程比较多，超出了一般本科生（貌似是120个学分），不过专业有点重要，更重要的是自己。
北京理工大学极速之星服务器是何原因造成？,根本就不是服务器，校领导想关 你能怎么办
北京理工大学中变态团伙反复出没，愈演愈烈，向校方反映后，该团伙仍多次进入校园，该如何应对？,我的高中校友就曾在北理工大学就读。 由于寒假没有回家，她的父母联系学校，学校咬定她已离校。然而转年春天，她出现在宿舍楼下的湖中。那又怎么样呢，到最后学校赔了一点钱就打发了她的父母。 想想真是讽刺，说是培养一个大学生社会要投资好多好多钱，要大学生们记得回报社会。然后就看着这些无还手之力的大学生这样被伤害，不出事前冷眼旁观，毫不作为；出了事最先做的不是调查事情真相，而是堵住受害者的嘴。呵呵。 如果没有发生意外，她现在也应该大四了。
北京理工大学和同济大学的计算机专业哪个好？,同问！
北京理工大学化学研究生怎么样？,北理化学一般，据我所知做电化学的也不多，比较好的是物理化学、纳米科学，当然好不好得看你找的老师了，最牛的当属曲良体和王博了，都是做纳米的。
湖南考生，可以上北京理工大学，不知道什么专业适合女生？,  学妹你好。   首先，专业的选择和毕业收入的关系不是绝对的，没人可以向你担保某个专业毕业出来之后的月薪有多少。个人努力很重要，选择有兴趣的更重要。   其次，适合妹子的专业是个很抽象的概念，希望你再补充清楚一点你心目中适合妹子的专业有哪些特点。其实我觉得性别不是局限你选择专业的主要因素，北理的男女比例大概有三比一，其实不是一个男女比例悬殊的学校，有很多优秀的理科妹子。如果是理科生，看兴趣选。如果是文科生，不建议报考北理。
北京理工大学怎么样？这些年中国在发展，它为何却退步了那么多？,忘了是在哪儿看到的这么一句话：  跟着苍蝇会找到厕所，跟着蜜蜂会找到花朵。和发光的人在一起，慢慢地你也会发光。一定要远离那些充满负能量的人，他们会在不知不觉中偷走你的梦想，使你渐渐颓废，变得和他们一样平庸。   我想，每个学校都会有这么一些坐吃等毕业的人，与此同时，肯定也有这么一群为了自己梦想不断努力奋斗的人，而且我相信，这部分人在我理还是占大多数的（至于能不能让大家都愿意相信，我还真没太大办法0.0）  另外，我想说的是，我们所看见的，不全是事实，我们所预见的未来，也不全是想象中的那样。 举个栗子： “学霸"A每次自习回宿舍都看到"学渣"B在打游戏，感慨B这整天打游戏，以后要怎么办呀。 其实，B有他自己想关注的新鲜事，有他自己认为更重要的任务，他每天把功课提前复习完毕，就开始折腾自己喜欢的事情，完后喊来好基友怒来一发刀塔。 于是，每次A回宿舍，都会看到一幅B抠着脚带领小伙伴走向胜利的画面。  我这么说，是因为我曾遇见过这么聪明又有自己想法的人（诶，我可不是A，我是学酥C...） 咳，这家伙能在别人之前做完功课，然后痛痛快快地去玩耍，这种技能当真可遇不可求_(:3」∠)_ 不过，上面的栗子是我添油加醋炒出来的...  当然，并非每个人都是如B这般深藏功与名，也许B其实就是个”整天游戏胸无大志“的人。但我们就能断定，未来的十年、二十年，他一定一事无成？他现在荒废着自己的时间，也许在未来的某个机缘巧合，经武林高手指点，打通任督二脉，从此升职加薪，当上总经理，出任CEO，迎娶白富美，走上人生巅峰呢！想想还真羡慕呢~  不过，我更愿意相信，每个人都能在不同的时期发挥自己的特长，展现自己最好的一面。毕竟，能来我理的小伙伴，肯定都不笨。  另外，如果实在很难赞同我的观点，下面这句话可以帮你减少不少麻烦呢~  所有的生活都是合理的，我们没必要互相理解。 （出自  @叶南秋  有什么办法能让微信用户在朋友圈里少发鸡汤文？ ）  我想说的，大概就是这样的味道，诶不对，是意思。   题主提到了那份万言书，想必你和那位作者一样，也看到了我理这些“阴暗”的一面，痛心疾首，但更多的应该也是爱之深责之切吧。不仅是我理，现在好多大学也都有各种各样的问题，这是事实不可否认，要做出改变的，除了学校，也有我们自己。  关于学术氛围，我不敢断言我理有多出色，但当我看到创新基地里同学为了比赛为了梦想埋头苦干时，看到一场学术会议结束后，大家围着报告人不停提问时，这种场面真的很让我心潮澎湃呢~~看见身边比自己流掰的人比自己还努力，我也会萌生要好好奋斗一把的冲动！  至于说我理最近几年到底是退步了还是进步，我没有调查也没有发言权。但若从你这两年所看到的“事实”和经历，就下了“退步了那么多”这个结论，这未免也太草率了些吧。  谁让母校是一个自己天天骂，却容不得别人骂一句的地方呢。   答了这么一大段，让我很欣喜也很惭愧。 我没想以后一定要有多出人头地，多为母校争光，也没想过要给我理出谋划策从此能迈入世界一流大学的行列。 我只想从自己好好做起，不求要做得多牛逼闪闪，但求做得问心无愧。 不给我理丢人，想必母校也不会不高兴吧┑(￣。￣)┍   一个优秀的人，是可以让周围人因为他的存在而获得更多的温暖和力量进而更热爱这个世界。他闪亮，不是为了亮瞎别人的眼睛，而是要照亮别人的路。  每个人都有自己的优点，希望大家能照亮彼此的路。  共勉。  ------------------------------------------------------------------------------------------------------------------------------------- 把第一次回答献给我理，打字手都情不自禁颤抖了(┬＿┬) 这上面没有涉密内容吧←_←咳，写一个能让自己满意的答案真难！ 实在佩服知乎上那些侃侃而谈的大牛呀~~
北京理工大学深圳研究院专升本怎么样？, 这个是北京理工大学的官网 北京理工大学 现代远程教育学院    你可以上去先自己了解了解，远程教育当然不如自考含金量高，但是自考真的很难。 
16级北京理工大学新生现场报到具体流程？,迎新网上自己看
如何评价北京理工大学取消女生节活动？,真的有人问呀… 我就说一个细节吧 某学生会贴出了初版通知又火速删除了 因为原文的“经基础教育学院领导开会协商决定”这句话碰到了某些灵道的G点 可能是觉得会让大家觉得这是领导的锅不太对吧 后来大家看到的通知这句话就变成了“工作组”经过多方考虑了 真的让我觉得这所越来越像高中的“大学”药丸
北京理工大学车辆工程本科生，想要考同济大学车辆工程研究生，请问要怎样准备呢？,       我后天参加车辆工程研究生复试，本科双非，报考的是985。具体那个学校不想说，但是我要告诉你，很难。有很多问题，我觉得你要考虑下1你本科北理工，为什么不争取保研呢？2你能确定能考到400分以上吗？你能拼过一大堆二战的嘛？3既然你本科专业已经很强了，你能承受失败后的后果吗？你甘心调剂吗？        是否一往无前，其实要看你自己是否足够强大。从开始考研到初试结束这段日子，其实应该是考研阶段最开心的日子了，因为你无所畏惧，但是考完后你会担心进不了复试，进了复试你又担心被刷，被刷了你还要像条狗一样找别人调剂，这才是最痛苦的。        我这段时间就是我最煎熬的时候，也许你出身比我好，不会遇到这些问题，但是这是一个过程，希望你能去经历，不管成功与否，都将毕生难忘。        我这里两天也想开了，得之我幸，失之我命，考的上就读，考不上就工作，这是缘分。哪怕我比国家线高100多分，这也是我的骨气！
北京理工大学赵汐副书记艺术修养很高么？,同学你是在另一个问题里新写过回复的吧？其实后两段也可以写到原回复里。虽然我觉得他艺术修养也就那样吧。。。不过还是要说这玩意见仁见智，毕竟春晚也有人喜欢啊！（大雾）艺术修养高低不是办活动、开通识课最重要的（毕竟他做艺术团这块儿工作多了，也不会特别特别差吧），工作态度、为人处事才是啊，这才是他最致命的问题。
北京理工大学的学生看左耳这部电影是什么感觉？,你问完这个问题之后是什么感觉？
北京科技大学和上海理工大学哪个好？,你想就在北京就业就选北京理工。上海理工大学机会多（鸡头，凤尾你选哪一个）
从北京理工大学退学是一种怎样的体验？,占个坑，希望没机会答这道题。
如何评价招商银行同意为北京理工大学的学生办理Master Card全币种信用卡的行为？,这个不针对某所学校 这个不针对某所学校 这个不针对某所学校  招行前段时间上线了学生卡的领取额度功能 领取额度的话起步价3k  注意：领取额度不一定成功 会要求办理全币种卡 代价就是人行征信上变在校学生  而且招行的全币卡海淘 出国线下刷汇率比较坑 需要注意。
