复旦大学的考古学专业怎么样？,题主先看看这几个比较直观的图片。 如果你是本科成绩还不错我建议你考吉大，包括研究生。 但你想冲刺考北大，个人觉得北大的研究生一般般，因为不值钱。而且有名的导师只收北大本校学生。因为北清都是本科生最值钱。这是过来人劝解你。 至于复旦大学考古学，题主你侧重文科还是理科，因为复旦大学考古学的重点研究方向是分子生物学考古，其他的方向不及吉大和两个山大。只能说是学校牌子在南方有点名气，但是专业水准中等。上海一带的考古内容很杂，贯穿中国古代。可研究对象不是很有针对性。但是如果你想学博物馆学可以考下试试。 然后看你是北方人还是南方人。你懂的…   再来看你对考古学研究是不是够专业，如果你想更多的下地田野考察，建议郑州大学，因为河南实地就可以考察。不用导师带都可以。   还有就是你考古的研究分类和阶段是哪部分，最好按时段来划分。因为技能和方法在研究生阶段基本上都是自学。   最后看你以后是想搞科研还是想混学历找工作。                   个人浅见 最后不知道题主是男是女，女孩子的话建议你时刻准备好spf50++的防晒霜… 不然每年夏天你都会因暴晒，会被误认为黑非洲… 希望帮到你。
上海儿童医院和复旦大学附属儿科医院哪家更专业？,上海复旦大学附属儿童医院
复旦大学心理学怎么样？, 复旦大学的心理学专业介绍：   复旦大学心理学系始建于1923年，2001年恢复本科生专业，2004年恢复建系。现有心理学一级学科硕士点、社会心理学二级学科博士点（社会学一级学科博士点下设）。研究生导师7人，其中教授2人，博士生导师2人。学科设置齐全、教学科研设施齐备、师资完善，已形成良好的教学、科研体系，与多所世界名校建立了广泛的交流和联系。 在培养过程中，注重学生对心理学理论、方法及专业课程的系统学习，以及严格规范的心理学研究的实践和训练，培养适应教学、科研以及社会发展需要的心理学专业的高级人才；提倡学生自主学习、合作学习和研究性学习，加强学科交叉发展的训练，使所培养学生在理论、方法和技术上，具备扎实心理学理论基础和独立开展心理学实证研究的能力。   主要学科方向： 1、社会心理学 2、基础心理学 3、发展与教育心理学 4、临床心理学   近年来主要科研状况和学术成果： 2005-2009年共出版专著、译著20余部，承担课题20多项（其中科技部支撑项目2项，国家自然科学基金项目及重大研究计划3项），发表论文百余篇（其中SSCI收录4篇，权威期刊4篇），各级各类科研获奖16项。   开设的主要专业课程： 实验研究设计、心理学研究进展、高级心理和行为科学统计、发展心理学专题、应用心理学专题、认知神经科学专题、实验社会心理学专题、心理分析与中国文化、社会认知神经科学、认知发展、高级心理测量、社会认知专题等。  
本科想学金融，去上海交大安泰经管学院还是复旦大学经济系好？,其实都不错。但是建议安泰。现在全国经管只认北大光华，清华经管，复旦经管，上交安泰。。安泰国际化程度更高。。。
复旦大学在国内的名气为什么这么响？,名字好听！！！  除了帝都两大高校以外 和我旦差不多分数的学校名字都太没特色 交大 浙大 人大  哪里有日月光华 旦复旦兮好听啊啊啊啊啊啊  想我当年考大学填志愿 我爸问班主任我可以上啥学校 班主任说上海的任何一所都行 老爸问我啥想法 我说肯定读复旦啊 名字多好听 反正都大差不差哈哈哈
高考志愿，冲不冲复旦大学的提前批?,当然是复旦，清北复交人浙科，七大名校
复旦大学附属华山医院宝山分院皮肤科专业吗？,经历过一次后，不得不来吐槽一下华山医院的有些作为。之前看到人家医闹什么的都觉得不可理解，但现在神了感受到了作为患者的心情。你们的专业没有问题，但是不是可以依仗着你们的人气就不把病人放在眼里呢？ 去年7月份去看皮脂腺痣，乘车两小时，排队挂号半小时，排队看病3小时，进去3分钟，医生就这么看下，就说切除吧，那好吧，交了钱后告诉我1月份再来手术。所以隔了大半年我就再次来到华山医院。到了后，预约换药间的负责的一女人看我的名字，就质问我；你怎么昨天电话没接？我都打了你两个电话了。当时就懵了，记忆中没有电话这件事，只好说不好意思。平时一般陌生来电我都不会接。后来查看电话确实有两个时间间隔极短的电话。过了一会，剃头师傅来了，我的皮脂腺痣长在头上，所以势必要剃掉一些头发，剃头过程中，师傅不小心把我那颗大的皮脂腺痣旁边的那颗小痣也剃掉了，（距离比较近）瞬间头上血淋淋。师傅说：哎哟，怎么还有一颗，她怎么也不跟我讲的啦。这时候没有做任何处理。大家都在质问我问什么不告诉他。其实这颗小痣确实陪伴我也有些时候，只是我当时觉得医生检查时应该会看到，如果需要开掉，医生会跟我说吧，即然没说，那么就没问题不需要开掉。我男票在一旁很担心，跟旁白的医生说她在流血，怎么不处理下。然而并没有人理他，还说，即然这里有一颗痣，能不能一起做掉。换药间的女人说：这个不可以的。这个你要问手术的医生的。并没有对割破我的痣而有任何抱歉。在哪种场景下，奇怪的是，我也觉得是自己错了，都没有提醒剃头师傅这边还有一颗。事后想想，  第一，检查的医生对旁边的其他部分没有细致检查是否有过失？第二，医院请的剃头师傅是否具有一定的专业知识，或者有过类似经验，在剃头时进行确认或询问？在我被剃头过程中，全程没有告知我将被剃掉多少头发，直径约为多少？ 当然，这在他们没有剃破我的头时，我也不觉得重要，反正都是头发，他们医生应该有数。   进手术间前，我男票找到医生，并说明情况后，医生同意补交费用，把两个一起剃了。 事后发现，那个本来感觉都不用切除的小痣手术价格不仅不便宜还贵了，过了半年就涨价了。也是呵呵哒。  接下来，就是手术期间。消毒后，我在手术床上趴了很久，此时我男票大概钱还没交好。医生开始闲聊起来，并且对话极有意思。涉及华山医院内部黑幕。这部分我就不讲了。医生手术感觉还是十分高明的。旁边的助手人也很好，很耐心地告诉你怎么做，声音也温柔。做手术的过程极为可怕，不疼，但能听到头皮被割裂的声音。我觉得人的承受能力在那时受到极大的考验。手术室的照明情况不佳，让我的手术没有那么顺利，皮脂腺痣的根找了比较久。但有赖医生的技术，还是顺利完成了。手术好后，对于手术后的注意事项也对我再三说明。 手术一天后，我就大老远的赶到华山医院来换药。因为住在郊区，所以路途甚远，近两小时。来了后，排队换药。轮到我后，进了换药间，一个女医生手脚麻利地戴手套、拆包装开始换药，面无表情地对我说：坐在椅子上。敷贴药膏拿过来。开始拆我的纱布，拆完后，帮我用酒精棉球消毒。然后，啪嗒一声，酒精棉球掉了，酒精里面的液体撒到了我的衣服上，我默默地看了一眼，她利索地用正戴着手套再给我换药的手捡起来，严肃地对我说：你的头好不要动吗？然后我乖乖地听话了。贴敷贴的时候，她发现贴不上去。就用两个胶带帮我贴了一下，然后告诉我：这个贴不上哦，戴个帽子。完成换药后，我男票进换药间，想问里面的医生几个问题，被负责的女人赶了出去：你待在这里干嘛啦，要问问题你去挂号问医生，没看到这个医生很忙的。此时，旁边的医生确实处理在处理一个问题就是签名的那个患者的敷贴太小，要重新买个大一点的敷贴。后来，我想到，为什么我的敷贴也贴不上，就不给我贴呢？ 后来回家路上，敷贴就移位了，并且都没有贴合伤口。我男票去帮我买了酒精棉球和绑带，帮我重新消毒和固定。 经历过这次手术后，让我意识到几个问题： 1.如果去医院，一定要有个处理问题比较细致，并会帮你问东问西的人在身边。如果当时没有我男票在身边，我一定不知所措。 2.对于你的疑问，医生做的不到位的地方，应该大声地指出，不要因为不想得罪医生而羞于表达。 3.想问的问题一定要提前想好，再医生问诊的时候提前说出来，把握好问诊的时间，因为出了门，他们可能就不会再回答你的问题了。 4.不能很凶，但气势上不能输人，人待人的差异就在于他看待你的地位不同，不能因为生病了，就畏头畏尾，蓬头垢面，虽然我是不能洗头而没有办法。 面临巨大流量的病患流，我想医院和医生一定也都不容易。但有时应有的道歉和妥善处理的细节会让我们患者看到医生的专业，也就对医生更敬重。医患关系也会更好。现在的某些医生或是里面的工作人员更像是领导或者是你的上级，令人不敢违抗。医院中也不乏态度好，待人友善，处事稳妥的医生。我希望遇到这样的医生不止是一种运气，而是一种可以预见的希望。
复旦大学大一学生去当兵好吗？,以一个 过来人 的身份谈下我的看法。 本科985，大二的时候选择参军，两年后复学继续学业，完全可以回答这个问题了。 ———————————————————————————————————— 先说意见吧， 个人不建议 。 说说我的看法和理由吧，或许个人情况不同，路只有自己走过了才知道是什么感受，仅供参考。 当时也是热血青年，理想主义者，从小也是从天朝各种宣传中对军旅充满憧憬，加上别的一些原因，当时毅然在几乎所有亲朋反对的情况下投身军队，做了两年的义务兵。不得不说，部队也是可以锻炼人的，但是现在回头想想，或许失去的机会成本更大，当然，也没什么后不后悔的，两年的时候说长不长，但部队的经历仍然对个人产生了一些影响，这些影响说不是好和坏，就当是人生的一场体验吧。当兵之后复学继续，本科结束找工作，期间各种艰辛，因为许多原因吧，有自己也有家庭的因素，工作一直不是很好，也深感这个社会形成的一套体系自有其存在之合理性。下面说说几个反对的理由： 1、关于年龄和时间。不知道你去当的什么兵种，也不知道是义务兵役还是士官或者是军官，如果你以后不打算在部队长期发展的话，个人觉得这几年比较浪费，我就深有感触，毕业后比同级的人年龄大，你同入校的同学已经在社会打拼了2-3年了，你跟他们的差距越来越大。同时，你在选择工作的时候，跟自己调整的时间也比较少，别人年轻如果行业或工作不如意打不了重新换行业换工作，你不行，年龄上有劣势，竞争优势较小，同时心理压力较大。 2、关于经验和资历。你如果不打算在部队发展，你在部队这几年的工作经验几乎是没有用的，同样以为这和你同龄的人相比，你少了几年的相关工作经验，你的同学可能经过两三年的工作，对于所从事行业有了一些积累，已经步入事业上升期，而你要从头开始，差距说不定会越来越大。这些以后可能需要你付出几倍的努力才能追上。 3、关于机会和资本。首先是机会方面，这方面我感受比较深，我同级同学毕业的时候正赶上银行业大扩张，大部分都可以进入银行得到一份还可以的 工作，而我延后两年毕业后这种扩张已经没有了，本科生已经很难进入银行业了，以我的视角看，我入学同级的同学本科毕业后的工作普遍比我晚两级的同学要好，当时他们还能进入一些比较不错的大国企，可两年后来学校招人的企业已经比较差了，这中间的差距可能一辈子也弥补不了了。另一个是关于个人财富积累的 ，不知道你准备去当什么兵，如果是义务兵的话两年没有收入，如果是士官或军官的话好点，但还是不如社会工资水平高，两三年，以你复旦的背景，至少是十几万的收入差距，同样，你以后毕业的时候，你同龄的同学可能已经买房买车找女朋友了，可你和他们之间差的不只是十几万的经济基础，可能更多，你要谈婚论嫁的时候基础比他们要差，同样条件的女生（或许题主是个女生？）可能就不会选择你，这是个很现实的问题。我之前也不是很在乎这个，但是等到了社会后才发现，经济基础决定上层建筑，十几万元的收入给你带来的安全感和自信是别的什么东西换不来的，别人开车去接女朋友的时候可能你只能骑个自行车穿梭在小巷子里。当然题主家产万贯当我没说。  年轻的时候对人生充满理想，总想着要不走寻常路，上了社会才发现，千篇一律的人生轨迹下或许有着其合理性，现在想想，社会给你的时间和机会真的是蛮少的，错过了那几年可能就是一辈子的差距。  不过，其实从另一个方面讲，每个人的人生都是唯一的，每一段经历都有着独特的感受，军旅生涯不同社会的一面也能让我们感受到人生的丰富与多彩，或许垂垂老矣之际回首往事，我会觉得那段经历让我人生多彩而无憾起来。人生无常，心随物换，是对是错谁说的清呢？
韩国成均馆大学和中国的复旦大学哪个厉害？,成大的韩国韩国学生和复旦的中国学生是一个level的 成大的中国学生平均水平是远远远远不如复旦的中国学生平均水平的，特别是本科，研究生是不如，博士的话可能还值得比较一下，但也是复旦中国学生胜。  复旦的韩国学生平均水平是远远远远不如成大的韩国学生平均水平的。  成大中国本科学生的平均水平应该向中国的三本看齐。
复旦大学和北京大学的学校传统及毕业生有些什么不同？,复旦是一所奇葩的学校。  念高中时，有一天看《萌芽》，读到这样一段话：复旦的美女交大的汉，同济的流氓满街转。那时我不争气地想：如果去上海念书，一定去复旦。 后来的故事，让我觉得选择没错，我越来越发现复旦是奇特的存在，特别是毕业来北京工作之后。  典型的复旦人，真的如楼上所说，像土狗一样，能互相嗅到相似的气息。这是一种怎样的气息呢？   有自我追求，能独立思考，对主流的事物存有一定怀疑；能看清政治深流，所以热爱消解权威；对精致生活孜孜以求，始终不放弃对生活品质的提升。    而其他高校，比如北大，骨子里是传统士大夫情节，热衷政治，天下家国，一身担当。    为什么复旦有独特气质？我认为主要原因有两点：  1. 复旦在上海，上海是大陆离商业文明最近的城市。 商业文明讲究效率，所以让人脑袋转得快，必须拎得清；商业文明天然与政治权力相对立，易养成看重金钱鄙视集权的习惯；商业文明习惯在个人与个人、组织与组织之间划清界限并制定规则，所以在上海，做生意更顺畅，攀兄道弟拉帮结派的事情可以不必做太多。商业文明追求物质奢华与生活享受，这也会对复旦气质产生影响。   2  复旦这所学校，一直有自由精神和人文情怀。 这些传统不同于儒家文化，它受 西方文化影响 更深，包括怀疑主义、理性思辨、启蒙运动等。   校长是一所大学的灵魂，有怎样的校长，就有怎样的大学。   复旦建校校长马相伯，生于1840年，教会学校出身，精通英文、拉丁文、法文等，曾层从事外交和洋务活动，曾先后去日本、朝鲜、美国、法国和意大利等国，深感中国之积弱，立志教育兴国。  复旦第二任校长，严复，译作《天演论》，为国人拓宽眼界认识世界立下大功。  复旦第三位校长，李登辉，毕业于耶鲁。   1917年，在校长李登辉主持下，复旦公学改为复旦大学，原有文理两科，新增商科（即商学院）。后人注意到，世界闻名的哈佛商学院设于1908年，复旦设立商学院，仅晚哈佛9年。1920年，美国哈佛、耶鲁两校开办教育系，李登辉同时在复旦试设教育科，可谓丝毫不落后于世界最先进的教育潮流。  这样一位校长，因为台湾一位名人，几乎不被人所知。有人如此评价李登辉：  “在中国近代教育史上，蔡孑民先生在北方首先树立思想自由的学风，而在南方，则复旦大学一直保持思想自由传统者，是先生最大的功劳。”   复旦历史上唯一一位女校长，谢希德，1921年生，获麻省理工博士学位。上世纪80年代，谢希德把许多学生送到美国留学，邀请里根总统访问复旦，建立美国研究中心，可谓领风气之先。  现在的复旦校长，杨玉良，专业是高分子，但他在各种公开场合所做演讲，都在强调自由与人文，以及大学对学术精神的守卫。   以下是杨玉良在2011届毕业典礼的一段讲话：  无论你们当初进入复旦的理由是什么，我们现在更需要省察的严肃问题是：复旦在这四年中给了你们什么！除了文凭以外，你们从复旦还得到了什么！这个问题涉及到教育的本质问题。  哲学家也是数学家的A. N. Whitehead说过，大意是：“抛开了教科书和听课笔记，忘记了为考试所牢记、所背的一切，剩下的东西才是最有价值的，剩下的东西才真正能够被称为是教育的。”对于复旦，我们都认为这剩下的东西应该是一颗自由而严谨、真诚而脱俗的心灵。复旦校友李泓冰女士曾经将其称为“自由而无用的灵魂”，并诠释为：“所谓‘自由’，是思想与学术、甚至生活观念，能在无边的时空中恣意游走；‘无用’，则是对身边现实功利的有意疏离。”  或许，乍一看来，你们在复旦学习的东西很多都看似“无用”，但我要说，很可能复旦给你们的这些貌似“无用”恰恰是最神圣的、最尊贵的精神价值。在本质上，“无用之用”常常胜于“有用之用”，因为精神价值永远高于实用价值，因为它满足人的心灵的需要，它将注入你们在座的每一位的终生。我在这里如此强调心灵，因为心灵的严肃和丰富是一切美德之源。1818年10月22日，黑格尔在受聘于柏林大学哲学教授职务时曾经说过：“ 世界精神太忙碌于现实，太驰骛于外界，而不遑回到内心，转回自身，以徜徉自怡于自己原有的家园中。 ”  这个“家园”就是我们的“心灵”。尽管已经过去了近两百年，但我感觉似乎他的讲话更适合于我们当今这个急速变化的时代。我相信一颗没有精神家园的心灵，不可能去思考自己生命的意义和价值，也就不可能对他人有真正的情感关切，对社会有真正的责任心。我们如此强调心灵，也是因为这是一所大学所能够给我们的学生最宝贵的东西。   一位研究高分子的中科院院士，他如此强调自由与心灵，或许能解释复旦为何会有所不同。
在复旦大学百团大战上吃现烫火锅是一种怎样的体验？,一个忙活了一中午没吃到一根鸭肠的人飘过……你们玩得开心就好。  产生烫火锅的想法是因为看到了去年登协在百团大战现场烤烧烤，烧烤的香味吸引了好多人，然而他们旁边的我们演协同学却是费尽口舌才拉到一些同学关注。去年年底成立龙门阵后，就在想要怎么招新，然后就想到既然登协都可以搞现场的明火烧烤，那我们摆个电磁炉在现场煮火锅那肯定也是可行的，而且火锅比烤肉更热闹，吃的东西更多。 于是我们就去找各个火锅店的赞助。因为其实之前拉赞助的经验也不多，不太能估计各个店家的宣传预期和校内商业宣传的尺度，所以在交涉过程中平添了很多麻烦。不过还好洞子张的老板也是我们的老乡，对我们还非常好，所以整个赞助还算非常顺利的谈下来了，洞子张给我们提供了他们最好的牛油火锅和新鲜菜品，以及宣传经费的支持。不过还是有点不好意思，在现场吆喝叫卖洞子张老匠火锅还不是很够，还可以多帮他们宣传一点的。 最后现场的效果还是很令人满意的啦，同学们排起队吃我们的火锅，也算是让大家现场领略了一下我们的川渝饮食文化，并且转化为了实实在在的更多关注和会员增长。不过我们不止是一个吃吃吃的社团，更不是火锅社，我们除了吃还有耍，而且还有一些更加严肃、也非常有意义的川渝文化话题等着大家一起去开发~
复旦大学投毒案到底有没有疑点?,谢邀。 我不认识林森浩，而我对案子的了解也仅仅限于网络上的普通报道，并没有深入的研究这个案子的所有证据和案卷，因此无法确定题主说的那些是否存在疑点。但是从林森浩最后的态度来看，不像是有冤情的样子。仅仅是臆测，做不得准。不好意思。
心理学专业学生考研选华东师范大学还是复旦大学？,谢邀，考的上那个去那个！
想考研去复旦大学，电路与系统。?, 是准备18的考研，还是19的呢！公共课的话到目前这个阶段，政治也可以准备了。数学和英语就不用说了，专业课的教材，教辅先买了， 
复旦大学的王牌专业？,经管，新闻，国关，医学，微电子以及所有文理基础学科
为什么中央今年将巡视复旦大学？,对这件事的推测可以有两个方向。 往好里说，之前的巡视“成功率”太高，以致人心惶惶，中央要在一个相对安全的领域里找一个相对安全的单位查一次，以证明社会还是和谐的（大雾）。 往坏里说，其实平时从上到下大大小小的各种单位部门都一直在被人投诉，各种举报上访从来没停过，专项巡视也很有可能是针对某些反应问题太多太集中的情况，进行的定点打击。而和许多江湖习气浓厚的高校不同，复旦的穷酸文人比较多，自己做事很刻板的同时眼里也揉不得别人的沙子，全国高校日常投诉量三甲应该是没跑的。
复旦有哪些好老师？,谌中和教授： 是复旦史上唯一精通哲学、历史学、社会学、人类学、古文字的教授，如果说他有一个缺陷那就是他不是一个文学家，他写的《中国的诞生》用人口生产的理论解释中国（农业文明）诞生的伟大历史进程。这本书是他的课程“可持续发展导论”的教材，同时是中文系练习校对用的书。 谌先生风采非凡，每节课课间都会有坐在前排的女同学要求和谌教授交流思想，谌中和教授就勉为其难地坐在她们的旁边和她们谈笑风生。谌先生鼓励大家学习《中国的诞生》的思想内涵，进行伟大的人口生产，所以他的课上发展了不少的情侣，如果你为了找到人生的另一半，那就去上谌教授的课吧。 谌教授不回避自己的故事，讲过自己和朋友的爱情故事，也讲过自己当年在外贸工厂卖内裤的黑历史，上课生动有趣，绝对不会让你发困。 谌中和思想是世界上最美的主义，最明白，最精确；我们必须把它记在心里，永远别忘了它，亡了国当了奴隶的人民，只要牢牢记住谌中和思想，就好像拿着一把打开宇宙真理大门的钥匙。 附上谌中和教授及其著作玉照一份   
复旦大学和复旦上海视觉艺术学院是什么关系？,现在上海视觉艺术学院与复旦大学已经不是隶属关系，2013年上视已经从独立学院改制为普通民办高校，名字里面的复旦大学也摘掉了，但是复旦大学仍是其股东之一。  说区别就是一本和三本的真是呵呵了，上视是艺术类一本(提前批)，是31所独立艺术类院校和13所参照独立艺术类院校之一，民办高校中唯一一所。不了解艺术类高考招生的朋友去看看这31+13的名单里都是些什么学校就懂了。  总之，复旦大学和上海视觉艺术学院就是两个大学，前者公办综合类大学，后者民办艺术类大学，以前有隶属关系，现在没有，虽然复旦是上视股东之一，但是简单点可以当作两个大学区别就是了。
复旦大一转专业 技科转管院的问题？,利益相关：复旦2015届自然科学试验班，在大一下学期成功转入管理学院。  可能来晚了，不过寒假回来新一轮的转专业就要开始了，有意向转专业的学弟学妹还是可以参考一下的！(●′ω`●)  （每年转专业政策可能会不一样，以教务处和院系的通知为准，记得多关注教务处网站哦）   0. 绩点很重要！  在复旦，不管你想转入哪个专业，你的绩点都会是一个很重要的参考因素。对于想大一转专业的同学，由于转专业第二个学期初就开始了，目标院系只看得到你第一个学期的绩点；所以第一个学期一定要努力刷绩点啊！ 2016年这届管理学院的选拔里，绩点占总分的一半。所以我觉得如果想要比较顺利的转入管理学院的话，绩点 最好在3.5以上，最好不要低于3.3 。没到3.5的也不要灰心，机会虽然可能没有绩点比较高的人大，但是转管院成功的大概也有一半是低于3.5的。   1. 转专业的时间  一般会在教务处网站有通知，往年基本上在 每年的3月底4月初 报名（基本上是寒假回来以后不久），4月笔试面试，在4月底就能出结果。所以需要准备的话寒假就可以开始了。在转专业工作开始之前通常会有宣讲，记得参加。   2. 转专业的报名机会  转专业的报名机会每个人在本科期间都 只有一次 ，可以选择在大一下学期或者大二下学期报名。所以决定要转专业了就尽量不要浪费机会。 另外，新闻学院只接受大二报名。  修改：新政策似乎已经允许转专业报名 两次 ，因此大家有意向的都去报名一下吧。   3. 转专业的难度  复旦对转专业的限制算得上是全国最宽松的（之一）。除了几个热门的专业难度较高：医学类的专业（临床八年不接收）、经济学院（名额少，要求较高，似乎没什么接收的意愿）、数学科学学院（会要求笔试数学，对数学能力要求很高）、管理学院（在这几个里是最简单的而且有难度降低的趋势）、新闻学院（只能大二转，其他不很了解）。 （另外法学、物理之类似乎也不是很好进，不是很了解，可以参考其他先辈） 其中管理学院在2016年接受了42个转专业的学生，总共申请的人有67个，成功率超过一半了。    4. 转专业的流程  直接贴一张教务处的图吧：      5. 降级/转降  转到某一些专业可以选择降一级，和新生一起就读，你的年级也会相应减一级（相当于要多读一年）。已经修过的基础课程不会要求再修一遍。修过的非专业课（模块、体育、政治等）仍旧算数。 其中管理学院是要求 必须降级 的。 如果你仍旧想要四年毕业，你可以选择提前毕业，只要你在第四年把所有学分都修完就行，不过这样会很累。    6. 关于原先修过的专业课的学分转换  转到新专业以后，一些原专业和新专业重合的专业课程或者你自己已经提前修完的专业课程就 不用再修一次 了，学分会自动转到新专业的培养方案里。你在旧专业所修的学分和绩点也会 继续保留 ，原先的一些在新专业不要求的专业课会转成通识选修和任意选修的学分。 有一些基础课程按照难度存在一种替代关系。比如说，假设你之前已经修过数分了，那么新专业的高数便没必要再上，数分的学分和成绩可以转成相应高数的学分和成绩；高数A同样可以代替高数B。反过来，只有原来的高数拿到A等级才能够代替数分。这一点具体需要参考相应规定。    7. 转专业的选拔，面试和笔试  转专业的初选一般会参考你交上去的表格，其中当然着重看你的成绩。 个人陈述/申请理由要好好写！ 假如第一轮被刷就GG了。 复选中，多数专业会要求进行面试和/或笔试的选拔，每个专业的规定都有所不同。 就我参加的管理学院选拔来讲，没有笔试，面试占一半总分。面试中一般来讲肯定会问你为什么想转专业，转完专业有什么计划和打算，也会问一些你在申请表和申请理由里写的东西相关的问题。很大概率在面试的一半会突然转换成英语，因此英语的水平也很重要！一些重要的问题和自我介绍最好准备一下英文版本。其他面试的基本原则就不赘述了。 另外讲一下室友参加的数学学院选拔。第一轮过后会有笔试，考查你的数学能力。假如笔试成绩优秀便不用参加接下来的面试了。当然面试也可能会让你现场解题。其他学院不是很了解。 总之最好对自己想转的专业有一定了解，让老师觉得你有明确的规划，转专业的理由能够自圆其说。    8. 转专业成功之后？  一般在四月结束之前就会公布转专业通过的名单。假如成功的话，这个学期剩下的时间你会过的很轻松，你可以自己安排一下时间，看看新专业的教材或者旁听一下其他的课什么的。 转专业的学生有一个福利：通常情况下来说期中退课要按照每学分130元交钱，而转专业成功的同学可以 免费退课！     9. 需要提前修新专业的课吗？  假如你打算降级，个人认为完全没有必要，真的感兴趣旁听就够了。 假如你不打算降级或者打算提前毕业，如果很有把握进新专业，可以去选一些新专业大一的必修课，因为迟早都要上。假如你没有把握就算了。  大概就这些吧，假如想到新的再补充啦。  另外还有什么问题的话欢迎私信交流哦！
上海交大若想甩开复旦大学，需要在哪些方面好好发展？,这个年代啊，最动人的莫过于情怀二字。  提起复旦，啊，自由而无用的高贵灵魂！  一群文艺小清新就激动的浑身颤抖。  提起交大，什么电机工程doubleE，机械船舶材料系，农生药学建筑学，山东蓝翔挖掘机。（手动斜眼）  小清新们相视一笑，然后空气里传来一阵愉快的蛤蛤声。  有些时候，真的很心疼理工科的同学。  在各种各样文科生们编的段子里，理工学霸们都是智商高情商低不会收拾打扮专一地等着文科花枝招展的妹子们来捕获开发的呆萌傻白甜，理工女都是膀大腰圆孔武有力披头散发背着电脑工尺迈着粗壮的大腿穿梭于教学楼和实验室之间的可怕女汉子。文科无论男女都是感性而又富于辩证思维身怀为万世开太平的济世理想偶尔四十五度角仰望天空的文艺青年，站在云端之上俯视双商被碾压的芸芸理工众生。  手动无奈。  交大和复旦的差别，很大程度上就是理工科和文史哲的差别，交大嫌弃复旦整天咋咋呼呼虚头虚脑，复旦鄙视交大每日闷骚无聊，不解风情。而社会的口舌，新闻系，传媒系，文学系，社会学，这些都是旦旦er所长，我交要么没有，要么近年所开未成气候，长久以来，社会上很多对高等教育了解不深的学子家长，总是在填报志愿时才发现：呀，这搞运输的学校怎么可能比复旦分数线还高，呀，这搞运输的学校咋还学医呢？呀？！  默哀三秒。  综上，针对题主问的“交大如何甩开复旦？”，既然认为是在实际实力不分伯仲的情况下。我姑且认为是在社会声誉，录取分数线等方面甩开复旦。  中国社会的阶级固化现象是十分之严重的，这一点也在各种所谓排名里有所体现。这几年，复旦的黑料一波接一波，然而各种排名里的top5地位纹丝不动。等风声过去了，复旦依旧是傲立于上海滩的著名高等学府，姿势都不带换的。要想老老实实的在排名上稳稳压过复旦，除了再出一个钱老那样的科学巨擘，捧回一个诺奖外，大概只有等下一个巨膜出现了。  社会声誉，这一点很难把握。学术声誉在中国暂且可以忽略不计，除了诺奖很多人连sci和fbi都分不清楚。那怎么办？炒作咯，君不见，武大的樱花，厦大的校门，浙大的军训，人大的女神，可是妥妥的每年上头条啊，复旦的各种社会调查，民生研究，科普作品，是各大公众号的热门，转发阅读分分上下10万加，娱乐至死的社会，曝光度就是一切。我们系天天请caltech berkeley的教授办讲座，谁认识啊？还不如请矮大紧来谈谈理想发两条微博来的实在。  自然，炒作也是要有硬实力的，首先要发展传媒和文学这种和大众生活息息相关的专业。虽绝非一日之功，但可以先坚持小而美的发展方式，提升自己的逼格。然后呢，整个学校的人文气息啊要燥起来，多修一些雕像啊，譬如那个什么长椅上的计算机女神；走廊啊隧道啊可以多弄一些花样，整点高大上的艺术品，最好是各种原创涂鸦；再在每个大路口印上sjtu的地标，多造些人文景观艺术长廊；学生宿舍外墙可以模仿川美，用各种高大上的抽象设计，比如墙外刷上一整墙的c++语言，给医学生的宿舍楼门口立上一尊实验蛤的雕像，食堂里面的座位弄几个情人专座，再来个每日限量红烧哈密瓜爆炒香蕉红富士什么的；再找个偏僻的地儿粉刷一下弄个表白墙，每年翻新票选情话十佳留个影什么的；给交大的各种奇奇怪怪的学生社团报销车费，让他们进城开展各种活动交流啊；再开设几门听着高大上的水课，什么剖腹学，色情艺术的研究啊，dota姿势教学啊；然后啊，要体现学术自由，思想开放，来两个学生裸奔基友告白什么的，齐活了，估计这头条得轮着上。  要是再不小心出几个人文写手，新闻大家，多写几个段子，过几年，就能把交大包装成富有情怀的东方MIT了。  最后在这些娱乐新闻里插播一些高大上的学术新闻，啧啧，几年下来，至少再也不会有“在交警大队里好好干”的亲切叮嘱。  只要声誉上去了，在各大省份与复旦拉开二到五分的差距还是比较容易的，尤其是文科，在交大经管本身就极其强势的情况下控制招生数量，坚持小而美，分数线超复旦不要太容易。  旦旦er们看了不要生气哦，毕竟我也是差点把复旦填在交大前面成你旦校友的人～   哦，对了，三月了，在石楠即将盛放的季节，预祝Minhang Institute of Technology百廿周年华诞快乐～     
