湖南大学转专业的有哪些具体要求呢？,成绩很前或关系很硬 ps.胡来大学转专业坑死爹
如何评价湖南大学草莓红烧肉这道菜？,我今天就来个现身说法，给你们讲讲这个草莓红烧肉，不多说先上图。 哦，不对，下面这图才是我买的 请手动忽略旁边那道菜，也是我喜欢的。 当然大家看出来了这是我的晚餐， 草莓红烧肉这道菜好贵啊啊啊，6块！ ，昨天就没敢下手，今天特意买来尝尝 好了回归正题 下面我们开始吃这道菜 草莓红烧肉嘛，主角当然还是肉嘛，我们先来吃肉  来，上肉！ 入口就是一股草莓的清香，简直太棒！！！ 在我的imagination，毕竟这道菜卖相不是太好，我已经给它判了死刑——难吃 等等，我好像发现了新世界，草莓味的红烧肉！！！！（所以你们知道我为什么这么认真的打字！我这是在表达我的激动之情！！！！） 再嚼一嚼 肉性松软，弹性十足，甘醇微甜的肉汁带着淡淡草莓的清香，汤汁浓厚，草莓清香，缓缓下肚，我正入云，翩飘升仙～ 红烧肉配草莓绝对才是正统！！！！ 世间哪得如此美味！ 爽！ 再夹起一颗草莓 好吧，看到这草莓我清醒了，我怎么就下得了筷子把草莓给夹起来了呢？这还是我所看到的那个娇艳欲滴清香扑鼻遗世独立的草莓么？对不起，不要说我认识你。大哥，你这样子我实在不敢下嘴啊  算了算了，本着大无畏牺牲精神，这口“翔”我吞了，毕竟我还要给大家做评测呢（如果我没吃你们不也不知道？诶，谁叫我出生就是个老实人啊） 下口了 我可真的要下口了 等等，我把鼻子捏起来先 好！ 走起！ 入口依旧是那草莓特有的淡淡清香，陶醉ing 嚼一口，软软的，滑滑的 哪种滑呢 特别滑！ 天，我不喜欢这种滑滑的东西！我本能要我吐掉，但我理智告诉我，不能！这可是我话6块大洋买的，仅有的三个草莓中的一个！值两块钱呢（咦，怎么怪怪的） 接着爆炸了 草莓被我咬破了 草莓酸味充满着整个口腔，然后整个脑袋一个激灵，这这酸味呛的 这酸爽 还是我的肉好吃，结红烧肉的肥而不腻 松软疏口和草莓的清香甘醇于一体，简直绝！ 点评: 湖南大学的这种敢为人先的精神确实贯彻到每一个湖大人心中，食堂阿姨也不列外，这种敢想敢做的精神值得我们珍藏一生，一个是水果界清丽小姐，一个是美食界姣姣王者，这样的碰撞，是意料之外，但这结合产生的如此美，味却是意料之中，既有红烧肉的肉汁爆满肥而不腻的特性，又有草莓的清香，好菜，好手艺，好想法！ 高！ fu da，我服！
湖南大学法学院的硕士好进上海律所吗？,动动手投简历比在这问问问更有实际意义吧
重庆大学和湖南大学的数学系哪个更好？, 我想对湖南大学数学学科的现状作一个较新的介绍.  现在湖大数学新建了数学研究所， 聘请了一大批新教师. 比如发了Acta的黄勇老师还有发过Inventions的  @周泽  老师都亲自执教数学分析.  @李军  老师， 王岁杰老师等每周都亲自带学生讨论班. 彭岳建老师为中心的组合组也非常活跃. 有非常多热心教学而且能力不俗的年轻教师， 能给学生充分的指导， 引导本科生进入现代数学是绰绰有余的.  课程设置上， 除了基础课外， 也提供了适量的选修课程， 比如流形， 代数拓扑， 李群. 尤其是董超平老师开设的李群课程， 我觉得非常好， 内容深入浅出以致于我到现在也还时常用到. 其它方向， 如计算， 数理经济， 也有适量的选修课程. 如果说有什么短板， 大概就是代数课. 但是就我前不久回校和院长交流的情况得知， 他对此也有相应的计划. 而且年轻老师会为相应方向的学生组织合适的讨论班， 据我所知上学期他们讲了Atiyah的交换代数， 这学期他们讲了Humphreys的李代数.   我想就我个人观点来说， 对于湖南大学这个档次的学生来说， 这些师资力量足够了.   除此之外， 我前段时间回去和院长好好谈了谈， 他提到这样的话: 建设一个学科不是请几个老师， 开几门课就可以解决的. 学院的目标是通过充足的教学力量持续不断的教出更好的学生， 培养在自己领域有影响力的校友， 长此以往走向良性循环.   湖南大学数学学科的发展我是一点一点看过来的， 从我入学到我毕业的进步太大了. 而且就凭院长的肺腑之言我相信这是一个努力把关注点放在学生上面的学院.   而且湖大数学分不高...我觉得可能全国也没几个性价比这么高的数学院了. 如果分数刚刚好， 那我想没什么可犹豫的.  就题主的状况来说， 如果想考研金融那直接考湖大北校可也方便多了.   更何况还有我这样的校友. 说不定我心情好就回去给talk了.  哦， 对了， 数学院刚刚有了新楼， 才搬进去两个多月...条件简直棒呆了. 
把湖南大学拆到目前的尴尬境地，到底为什莫。？,分析了下，原因差不多如下 1 网上一堆湖大黑子加湖大学子自黑 2 地处中部，地域加成无 3 缺少高峰学科 4 正厅级 5 有过一些丑闻  说实话湖大以前也不是什么名校(改革开放后算起)，其实这些年生源应该是进步了才对。(985加成)
如何评价湖南大学北校区更名为财院校区？,学校大概是觉得，改了名有助于老财院的校友们找到归属感。然而实际上，改名有个JB用…… 改完名能把空调给安了么？能提升一下望麓桥的安保么？  校友都不傻。你看熊晓鸽捐个游泳馆，磨磨唧唧多少年才建成？你们以为熊很满意？今年逸夫楼熊奖颁奖礼上，熊晓鸽带了一众大牛校友过来，让他们挨个讲话，然而不少校友明理暗里指出湖大的官僚气息太重，影响创新力和学校发展，并没有怎么给新校长面子。这大概是换了领导班子，所以丑话说在前头的意思。  不管是开发校友资源，还是学术治校，这连万里长征的第一步都算不上。相比于主校区和财院校区，还不如按地理位置南北划分简洁清晰。
中南大学和湖南大学的MBA比较，哪一个好一些？,好像湖大好。
如何评价湖南大学这几年的生源下降？,鉴于评论区知友的担心，我在这里加上一段话，以免大家对我的答案产生不必要的解读：  绝大多数情况下，相比于专业排名，学校总体排名对于择校是没有指导意义的，我在很多答案中都提到了这一点。以下答案只能阐述一个湖大毕业生认为湖大有什么问题，以及对比中南做的不到位的地方。本着知乎问啥答啥的原则对问题进行回应。如果需要全面了解湖大现状，一个答案是满足不了这个需求的，建议移步其他答案。   以下是去年十一月的更新：  本来没打算再管这个答案了。但是评论区里又出现了自评自删的玻璃心同学，会让大家觉得莫名其妙。  知友 @安藤寿来 原本是这样问我的      后来他自己删了。  为什么我说热门冷门专业在评判上不存在区别？ 因为热门这个概念很大程度上是就业导向的，但一个专业本身的价值不仅包括就业，还有学术和科研。如果学科间是平等的，那么专业间就是平等的。  一个热门专业的一级学科能顶两个冷门专业的一级学科，就像在一个白人顶两个黑人一样逗比。  ———————————————————————————————————以下是原答案： 泻药怒答！  作为一个湖大毕业生，我必须告诉题主，湖大总体来说就是不如中南。  从行政级别上来看，湖大是全国39所985高校中为数不多的几个正厅级高校，而中南是副部级。  从高校综合实力来看，楼主看过各家的高校综合实力排行榜。  这里贴一个武书连的2015年榜单给大家看一下。  虽然说大学综合排名不能完全说明问题，但是综合实力上谁优谁劣还是一目了然的。  中南大学科类比湖大要全面，湘雅医学院不是白收的。湖大有的中南基本都有，中南有的湖大不一定有。诚然湖大有土木、车辆、机械、建筑这样比较牛逼的工科类专业，但是中南同样有矿冶、材料等等一批全国顶尖工科专业。作为一所综合性大学，湖大其实仍然是偏理工科向的。文科类专业一直没有实现抬头。所谓的千年学府的历史底蕴也不过是漂亮话。明白人都明白，多少年历史和多高学术水平一点关系都没有。另外冷门和热门，不是题主说了算的。在大学综合实力的判定中，一个热门专业也不能顶两个冷门专业。今年的热门也许三年后就人才饱和了。  住宿条件来看，湖大以前未必比中南强，至少空调比中南后安装。教学硬件来看更是不如中南。据图书馆馆长讲，湖大生均图书馆占有面积只达到国家规定985高校标准的一半不到，很多学术资料无处上架，阅览室座位严重不足。至于好不容易动工的新教学区建游泳馆却不建新图书馆，更是令不少师生费解。  湖大地理位置特殊，处于风景名胜岳麓山脚下，这使得湖大没有办法兴建高层教学楼，也就造成了地皮资源的极大浪费。由于混在风景区中，湖大校园无法封闭，没有围墙和校门，校园环境、校园治安和师生交通安全都无法有效保障。可以说湖大表面上藏于名山文化气息浓厚，实际则被名山大麓坑得要死。作为湖大毕业生，我宁愿不进岳麓书院，也希望湖大能有一个安全良好的教学环境，能有几栋硬件过硬的现代化教学大楼。  湖大行政管理水平相对落后，管理学生思想保守，教改略显轻率，效率不高。中南也不见得好太多，但从我接触的信息来看，总体强于湖大。  所以，题主之前一系列湖大优于中南的论述都是不成立的。题主不过是想强行竖起一个靶子然后强行打倒，来打湖大的脸。实际上，我们会很坦然地承认自己不如中南，而不用这么矫情地比来比去硬争高低。  最后，题主说了好大一堆，却没有解释问题中湖南大学生源下降的数据依据在哪，证据在哪。问了问题却不知出处，着实让人费解。
在湖南大学经济管理研究中心就读是一种什么样的体验？,    我是16年9月入学的湖大经管中心的研一学生，我们中心在北校区，而且仅成立三年，没有得到太多的关注，所以一直到我们这届都有十几个调剂生（每年保研+考研+调剂总共20人），都来自985院校。不过17年的硕士招生大概不再会接受那么多调剂生咯~因为招收了大量保研的学弟学妹（名声越来越大了呀~我这届应该是最后一届这样大批量招收985调剂生了）。     个人认为中心的学术氛围非常浓厚，加之海归全职老师全英文教学和美国特聘教授授课，更能与国际接轨，当然了，学院对我们的要求也比较高（托福要过85分哦~但是讲道理，大家都是从六级500左右过来的，不要方）。平常学习生活中，年级之间，班级之间，大家都是非常和睦友善的呢~     最后，，硕士、博士的招生以及毕业生就业情况在官网上都能查到（搜索“湖南大学经济管理研究中心”就好），欢迎来关注我们中心~
湖南大学怎么做才能封闭校园？,湖大要首先和省府搞好关系，获得足够的行政支持，才能完成此事。 争取合并（或者争取其支持）湖南师范大学。进而封闭牌楼口，麓山南路阜埠河路口，桃子湖路口，麓山南路新民路口。以及岳麓山南门。形成封闭的校园。同时德智园和师大南苑也可以能封闭 涉及湖南师范大学（湖南省教育厅），岳麓山风景管理处（长沙市旅游局），岳麓区政府。以及长沙市交通局，城建局，公交公司等若干方面。难度很大。
湖南15届考生入学湘潭大学，大学日子很不开心，想退学复读考人大金融系，该不该复读？,作为本科湘大毕业，保研到985学校读研的。如果换回我到大一这个时候，我真愿意选择退学。。。。 要知道你是学金融的，就算你能读个好点名校的研，可是由于你的本科出身和视野，未来想进投行和好的券商还是挺难的。。而且你本科在这里几乎没有多好的实习机会。 况且现在湘大的保研情况这几年已经越来不容乐观了。 真的，再重新选择一次本科吧！比考研逆袭成本小的多，大城市的名校给你的视野和平台真的不是这个土生土长的土学校能比的。。 别听他们说的什么，地方清净，学风好之类的话。那是因为他们根本找不到什么实习机会，只能选择考研来改变现状。另外的学风就是期末突击的人，真正热爱学习热爱自己专业，认真钻研的很少，在湘大的学校的旧书店，你看看能找到几本国外顶尖的专业教材给你翻阅，你看看多少学生上课用的是沿用了n年不变的垃圾教材。。。 说什么学风不学风，无非就是一群人为着绩点排名，奖学金，保研名额比来比去。。。 我很幸运的是，大三那年，因为在图书馆里的意外散步，翻阅了一些国外的专业教材，钻研了大半年，保研的时候才有了和名校生比拼专业能力的资本。。。 一个学校学生的专业能力水平，从这个学校旧书店的国外经典教材的数量和质量就能知道了。。 孩子，再来一次，至少不会比现在差的，而且现在是成本最小的时候。。 你现在放弃的无非就是一个普通本科学校的以及一个毕业后平均薪水3000多的平台，真的没多大失去的。。 如果时间还能回去，我也会选择再来的。
湖南今年考生文科，考了524，第一志愿填湖南商学院还是湖南工业大学（只要能达到投档线就行）？,我今年539文科，商学院没录上
如何评价湖南大学2016年定名90周年校庆？,这他妈是闷声发大财！！！！你们毕竟还是naive！！！
认识湖南大学某人是怎样一种体验？,中科院博士…以后成了院士我就能抱大腿了…想想有点小激动……西北石油大亨…那边油田都是她哒！…微胖界颜值高++ 图片见下⬇️⬇️⬇️⬇️⬇️⬇️⬇️                 不给哈哈哈哈哈哈
四川考生想去湖南大学读工业设计，但是分数很亏，我该去么？,谢邀，  我们看一下工业设计这个专业，这里特指理工类招生。第一梯队是同济、浙大、上交。这一批你应该搭不上任何一个。第二梯队就是湖大、江南，虽然净分数上比同济浙大低四十分左右，但中间确实没有了。  这是为什呢？因为工业设计并不是工业时代就一脉相承的传统工科专业，也不是应用广泛热度极高的计算机类，它在国内是典型的新兴学科。中国的现代设计教育80年代才开始发展，21世纪才算走上正轨，积淀很有限，所以并不是名校就能开得起来。这就造成了优秀的设计学院的分布有一定的随机性，而不是名校扎堆。当初没发展那就是没发展，你即使去北大学设计，也不会比湖大江南好，因为人家就没发展这个。  这意味着什么呢？意味着只要你考不上上面三所，那么低十分和低四十分没有区别。这也意味着即使是分数不那么高的学校，在行业内的认可度还是很高。你要知道企业其实都不是睁眼瞎，尤其是这类专业性很强的行业，不会傻到看到一个名校title就啥也不管。而 你报考的目的，不是为了分数利用最大化，是为了在你的分数范围内选择你希望就读的专业尽可能好的学校。    不用觉得亏，80和89是一样的这种事，以后还多着呢。 
在湖南大学就读是什么样的感觉？,真心来说 觉得湖南大学学术氛围还是不错的 特别是在北校区 学校不大 但很有诗意 而且校区比较小 很安静 真正可以让人沉下心来思考自己到底想要什么 不会让人很浮躁 觉得还挺好的
外校生怎么去湖南大学自习？,湖大租房就选在设计艺术学院对面的小巷子里面，有很多租房的，如果还觉得不合适，就沿着那条街走到菜市场，里面的小巷子再往里面上个坡，那里很多租房专业户。  复临舍，东楼啥的随便近，哪个教室不上课进哪个就OK。
吉林大学，中南大学，湖南大学，哪家文科实力更强？,我推荐湖南大学
湖南科技大学赴台交换生出国读研的问题！！！？, 啊学长/学姐和我的顾虑一模一样诶我也是打算出国读研很怕gpa被拉低得不偿失，请问这个问题解决了吗 
湖南农业大学主席团为啥这么牛逼？,        同为湖南农大的学生。大学的学生会，原本是应该维护学生利益的，但一直以来，不仅不维护学生，反而帮助学校和团委压迫控制学生，同时培养学生官僚，这样的机构，就是大学里的东厂。        我大一军训的时候也是被折磨的死去活来，晚上不让挂蚊帐；因为寝室不准有异味也不让点蚊香；每天被吵带凌晨睡第二天五点就起床没吃早饭搞卫生，跪在地上用胶布一点一点地粘头发和碎屑；检查标准是用白手套抹寝室内任意一个地方，稍微有点灰尘就不及格……现在想起来都是噩梦，并不是因为严苛的标准，而是学生会女生部每次趾高气扬，高人一等的不尊重人的态度，好像我们都是劳改犯一样。所以即便是现在大四了，看到很作的早检女生部的人还是觉得厌恶。         不过生活了三年多，农大除了学生会作了点，芝兰宿舍破旧之外，其他的还是比较惬意的，比如优美的环境和便利的交通。        作为你的学姐，祝你早日适应新生生活，过一个充实的大学四年。
在湖南大学谈恋爱是什么体验？,一周相约一次岳麓山，看一场劲爆的私人定制电影，偶尔去图书馆睡睡觉，没了！
湖南大学为什么比不上中南大学？,...只问“为什么”不问“是不是”的都是在耍流氓！
如何评价湖南大学校徽？,设计还是很简单明了，言简意赅。中间是岳麓书院，头顶湖南大学四个字，下面是分别是岳麓书院和湖大的创建时间。
湖南大学土木直博生待遇？,直博生都是博士待遇，学校2500/月，导师应该还会给一部分。不过这些其实都不重要，好好做科研吧。
文科选择北京邮电大学还是湖南大学？,建议你考虑一下城市，专业等。 个人觉得北邮比较好，我是北京一大学学生，觉得北京的学术氛围非常适合文科生。 而且北京邮电的国际经济与贸易专业比较好，你的分数也差不多，湖南大学分可能高一些，即使专业好调也是百分之十，我的湖大同学想学经济一直没转成。 而且北京的学校你读研比较方便。
湖南大学转专业问题？,转专业几乎是每个高校学生都曾有意向、有念想的一项选择。  但是转专业是一件很难的事情。  根据《湖南大学本科生转专业管理办法》   湖南大学本科生转专业管理办法 - 招生就业 - 湖南大学新闻传播与影视艺术学院      第二章 转专业或专业类  第七条 一年级学生申请转专业或专业类，原则上要求跨专业类（专业分类按教育部公布的相关文件，下同）。  第八条 二年级学生申请转专业，一般只能在相近专业之间进行。  第九条 其他情况转专业   存在下列特殊情形之一的学生，也可申请转专业：   （一）确有某种疾病或生理缺陷，经学校指定的医院检查证明不能在原专业继续学习，但尚能在校内其他专业学习的；  （二）确有某种特殊困难或非本人原因，经学校认定，不转专业则无法继续学习的；  （三）按照学籍预警相关办法规定，已修核心课程有多门未通过者。  第十条 有下列情况之一者，学生不得申请转专业:  （一）属于提前批招生（以当年招生计划为准，下同）的学生；  （二）从外校转入我校的学生；  （三）在校期间已转过专业的学生；  （四）相关文件规定不可转专业的学生。  第十一条  仅在提前批招生的专业不接受转专业学生。按文科类录取的学生不能申请转入只招理科类考生的专业（以招生当年招生计划为准）。国防生转专业按国防生相应管理办法执行。  第十二条  各专业或专业类接受转入学生后，总人数不得超过该专业或专业类相应年级原核定的招生计划的110%到120%，具体比例分别如下：  （一）工学门类以及除数学类、统计学类外的理学门类专业，比例110%；  （二）其他专业，比例120%。  第十三条  如申请转入学生数在该专业或专业类招生计划以内，且申请转入学生符合学院公布的转入专业基本要求，学院原则上应予以接受；如申请转入学生数超过招生计划，学院应按已公布的遴选办法确定接受人选并在学院网站公示，公示时间不少于3个工作日。  第三章  专业分流（或转专业）  第十四条  按入学当年招生计划所列出的专业类（专业）招生的学生，在规定时间进行专业分流（或转专业），学生可在招生专业类（专业）所覆盖的专业中自主选择一个专业学习。  （一）当选择相应专业学生人数未达到15人时，该部分学生须重新选择专业学习。  （二）各学院应尊重教育教学规律，合理配置教学资源，统筹规划，有效指导学生理性选择专业，确保人才培养质量。  （三）对于有年级异动的学生的专业分流，由学院在细则中明确具体规定。   电子科学与技术专业，主要修学内容：电路基础、计算机结构与逻辑设计、电子科学与技术学科概论、信号与系统、电子电路基础、微机系统与接口、电磁场理论、固体物理基础、半导体物理、现代光学基础、信息电子技术中的场与波、光电子物理基础、电子器件、VLSI设计基础、显示技术、光电子技术、微波毫米波电子学、光纤通信、数字信号处理、半导体集成电路、嵌入式系统概论等。  专业的对口岗位我不大清楚，但可以建议的是：在 家庭有能力、自身符合转专业条件 的情况下，选择转专业这条路。  我记得  @黄轶轩  是湖南大学的，之前搞新闻，后来去魅族搞营销，典型的专业不对口。我们湖南工大跟湖大还差了太多，具体情况和相关措施的落实都有一定不同，题主可以邀请黄老师答题。
湖南师范大学现在的发展状况怎样？,新校长上台以来，师大的发展状况好很多。
如何评价「湖南大学物理学院鲁兵安等人成功研发铝离子电池，成果在《Nature》发表」？,鲁兵安为这个项目作出了突破性的贡献，他在2014年6月初凌晨12点进行了一次反常理实验（ 下大电流充放电，之所以以前没人这么做，是因为一般电池，大电流充电会损坏电池，对于实验室来说，则有损坏仪器的可能 ），他这次实验是这个课题取得欲破性的进展。 鲁兵安去年5月到斯坦福访学，带去了他自己在湖大制备的材料（ 一种以三维石墨为正极的铝电池材料，比斯坦福大学之前使用的碳材料性能要好很多，改善了实验条件，参见湖大官网报道 ）。6月，他的实验就取得突破。可以说，如果没有他的那次实验，整个课题组可能还会在原来的死胡同里转圈圈。 虽然专利是斯坦福大学的，但鲁兵安的贡献是毋庸置疑的，才29岁就有如此成就，他个人的付出确实让人敬佩。 具体负责铝电池这个课题的几个人基本上都是年轻华人，其中2个台湾人，鲁兵安是大陆的。 这篇论文共有4个第一作者，鲁兵安并列其中，而不是所谓的“第三作者”。  总结鲁兵安的贡献，一是带去了他自己制备的 铝电池材料，提高了电池使用寿命；二是天才的冒险实验，发现了超快充电的方法。可以参考湖大官网的报道 我校在《Nature》发文实现零的突破        他在美国没有接受任何一家媒体采访，  由于国内媒体报道有标题党嫌疑，导致网上有人根据只鳞片爪的信息，就质疑鲁兵安个人的动机。他是一个淡泊名利的人，他个人绝无贪功之嫌，何况一个科研工作者根本不需要通过媒体来获利。   我觉得弄清楚其中的原委，再来评价为好。  毕竟，网络上带有煽动性的语言，很容易造成误导。 
湖南师大前任校长刘湘溶对湖南师范大学有什么贡献？,大家都是客观黑。 蒋校长上台后变化很大，希望以后会更好。 话说新图书馆啥时候开啊（(ﾒ｀ﾛ´)/摔）
湖南大学赵跃宇、刘克利为什么被免？,貌似刘克利名声本就不好，极大地推迟了湖大的各方面改革，他本身就是一个行政官僚，稍有了解的就会发现，赵校长才是以为真正厉害的学者。你们对比下他们俩的资料就可以发现，刘克利的研究成果寥寥无几，根本就是因当时状况下留校一步一步爬上去的。
请问准大二应该如何准备考研，想考湖南大学金融学研究生？, 百度搜索湖南大学研究生院官方网站，点进去，找招生专网这类的页面，然后在里面点击招生专业目录，里面就有招生专业，方向，和考试科目。 
选华中师范大学师范类专业，还是去湖南大学服从调剂？,职业已经想好了，学校就好选了。为了你以后毕业能进一个好的学校当老师着想，别选湖大。别谈什么学校排名，211 or 985，那对你个人影响不大。你如果读了湖南大学，以后毕业季找工作你会发现相当吃力，不是学校牌子不够响的问题，而是获取教师就业信息方面无论是数量还是质量，华师远胜湖南大。因为华师是中南地区师范类里的王牌学校，华中华南的好学校基本都会来武汉，把招聘主场设在华师。如果在长沙也去招人，基本也都会设在湖南师大，可以设想假如你读了湖南大，为了求得一份不错的职位，你会去这些学校不停奔波。而且这些招聘学校还有很多只面对主场学校的内部名额哦，就业单位会让辅导员推荐她觉得优秀的学生。想当老师，却不去读一个强势的师范类院校，会让你以后就业落后别人正规师范院校的学生不是一点两点。 大学成绩这东西很虚，除非你是真的热衷学术研究，立志在本专业内突破人类在该领域的探索极限，那么你就去挑一个适合做学术研究的学校咯，把成绩搞到顶尖不能再顶尖。如果不是想搞学术，过优秀线就可以了，成绩单上88分和99分对你毕业求职真没有区别。你说的“形式主义盛行”对你真的没任何影响(话说这个很有槽点啊！哪所大学不是受教育部控制？校领导听教育部领导的话，学校行政听校领导的话，学生和各种校内组织听学校行政的话，一级为了讨好上一级，不都搞些形式主义的东西么？这是中国大学这种监管体制下的通病吧)  再说一点，广东那么好的地方，你不可能大学毕业后离开广东到外省工作吧。广东好一点的高中老师主力可是华南师大和华中师大毕业生分割天下啊。  想好以后从事行业---&gt;选好对口专业-----&gt;选择城市(一线不够选二线，二线不够选三线)-----&gt;选择该专业强势的学校或者特色学校。 这应该是无论哪个学生选大学的优解。学校综合实力对你毕业真无所助力，但是所在城市和学校特色的强势专业能让你一毕业就站在一个普通人难以企及的高起点。
湖南师范大学树达学院好不好？？就业前景？不是说师大现在很吃香？,题主应该是不了解湖南师范大学树达学院吧，树达学院跟湖南师范大学的关系并不大，只是老师资源共享而已    树达学院大一在张公岭这边，离东站比较近，离星沙也比较近，但是这里并不好玩，学院很小，真的很小，宿舍如果是文科生，学的是文法系的，那就是在一舍，是上床下桌，六人。大二就在桃花坪那边，听说宿舍条件会好一定，因为我是大一的，还没有搬校区，所以还没有去过大二那边，没办法介绍大二的情况  但是，如果你是理工系，那就是在二舍，十人，上下铺，很挤很不方便，没有一点大学的样子。再加上这里大一是半封闭式管理，只有中午12点到2点半可以出校门，下午6点候才可以出校门，宿舍周日，一，二，三，四都要查寝，而且宿舍门晚上10点半就关门，进不来了，要宿管阿姨给你开门，你还要低声下气的，还要打电话给辅导员，还要登记，总之，麻烦。。。。  就算平常没课了，也不可以出去，必须有辅导员的假条才让你出去。   个人意见，如果提主还在读书，建议努力学习，考个二本，不然就去湘潭大学的三本，比这里好多了  而且长沙的公交基本9点半就没了，如果你出去玩，必须在之前坐公交赶回学校  本人是树达的，所以只是给你一些建议
郑州大学，安徽大学，南昌大学，湖南师范大学的中文系？, 安徽大学的情况吧......  注重大学环境，所处城市的人文，文化氛围。  校园环境。本科生住的磬苑校区是新校区，环境很好，要教室有教室、要花园有花园、要图书馆得抢。寝室都比较新。就是校区比较大，平时上课基本在中心区域，倒还好。就是有事去各类办公室也许会麻烦些。  学习气氛。图书馆要抢位置，考研复习激烈时教室也会坐满。但日常的学习氛围并没有考研那么炽烈，班级节奏还是靠一两个大神来带。但是你可以期待这一两位大神的表现。  城市氛围。新区处在经济开发区，原属肥西县境内，入合肥城需要半小时以上。城市氛围怕是关系不大。  利益相关 安徽大学 文院楼下（其实也不是）   额感觉还是说点关于安大文学院优势的东西比较好。  相信题主应该在这四个学校的中文系（文学系）官网上查询过自己感兴趣的信息了。我不知道别的学校如何，但安徽大学近几年来在人文学科提升上的着力点毫无疑问是她的文学院。本身就有着文字学的极大优势来吸引人才，把学生带出去采风说是啥大自然文学，再加上现在设立卓越班以集中培养并加强对外交流（学期初拉到人大玩一圈什么的），都还是能看出文学院至少是个不拒折腾的部门。邀请校外学者前来讲座的情况也比它楼下几个系要多得多，只是很多时候会在老校区（一小时车程，直达）进行。而且据题主说希望大学生活充实，那么文院人多的优势就体现出来了。可以比较一下别的学校的招生总数，人少毕竟啥都搞不起来（比如本辣鸡在的地方）。  嘛，也算是吹了一波。然而我又不是文学院的我吹这些干啥......倒是可以去贴吧看看迎新群听他们本系的怎么吹。 
湖南师大是怎么样pk掉湘潭大学，入选211工程大学的？,n谢邀。湘潭大学本身就是政治原因立校的，所以在政治冷落之后，湘潭大学有大批优秀教师就去了湖师大，湘大掉血大半，而湖师大又赶上了高校合并潮，兼并了一些专科院校，这使得其规模和师资迅速崛起。当然瘦死的骆驼比马大，如果只是这个原因，湖师大还不足以ko掉湘潭大学。 我入校资历也不算早，不过听我的导师所说，当时湖南省教育厅试图将湖南师范大学和湘潭大学合并，共同申请211。这样的情况下，湘潭大学势必要放弃自己的原始校名。而众所周知，湘潭大学四个字可是毛主席御赐的，湘大是绝对不会放弃的。同时，当时的校领导并没有意识到211的资源价值。湘大久居湘潭，跟厅里的关系还是疏远了一些。一气之下，算了，俺们不玩了。 这个世界，不单单只看纸面实力的，当时当下的机缘太重要了。 湘潭大学可以骄傲的是，毕竟是全国唯一没有经历过高校合并的全国重点大学。
山东大学，吉林大学，武汉大学，四川大学，湖南大学各自优势是什么？,菜鸡互啄
关于“湖南大学两本科生发现向心力公式的普适性”有问题要问？,题中所述论文大致是一道经典微分几何结合一点力学的问题。  这应该不是什么新问题，可能是过去人们懒得把结果写下来，就像一道没搜到答案的高数课后题。作为本科生练习是不错的。  毕竟理论物理界早已经在研究高维弯曲空间与其子流形上的量子场论的耦合了，这比经典粒子在高维曲面上的约束运动深刻得多。
湖南大学日语新生要注意什么？,第一 我想知道你是什么时候提的问题，就算是16级的现在也已经过了一个多学期了 第二 日语在湖大并没有什么存在感是真的，外院一共两个系，所以交流机会多也是真的
如何评价湖南大学金统院学生李雪婷？,通过轮子哥看到这个问题感觉就是世界真小啊，感觉完全不相干的人兜兜转转也能碰一起……那我一个小透明就简单说两句吧。 最早是2013年认识的，不能说是认识，单纯是我加了她微信，当时是我一个同学给我看她照片，当时就觉得天啦噜，妹子好漂亮，在我短短十八年的岁月中，真的没见到过这么漂亮的妹子，然后就要了微信加了微信。那个时候她刚大一嘛，平时看朋友圈就是感觉很爱玩啦，和她的朋友经常各种high。后来看了她人人，当时里面还有很多她高中的照片。其实至于说颜，是真的很漂亮，天生的那种，至于后面她怎样另说。之前她朋友圈还发过她妈妈的照片，妈妈就是那种很立体的五官，感觉像是少数民族或者是混血。后来看她去宁夏过年，那大概是有少数民族血统吧。哦，对，那个时候感觉她还只是一个比较爱玩的活泼妹子，过年群发的祝福是唱新年的那种歌，也蛮有意思的。 后来她的画风突然就越来越清奇……去学DJ，去做模特……其实这些是个人爱好也无可指摘，但是整个人的感觉就不太对了。然后就开始发那种所谓的爆乳照……其实身材好，大方展示出来挺好的，但是那些照片看上去就是纯粹给直男撸的啊。 总之，如果她觉得开心那样过下去也没有问题，每个人都有选择自己生活方式的权力。但是可能因为自己不是真正认识的人，不了解她在现实生活中的性格，看着她这几年一点点变成这个样子还是有点“痛心疾首”的，总觉得她应该可以有更好的生活状态吧。 放张妹子以前的照片吧，其实那个样子多可爱。   【侵权删】
如何评价湖南大学？,据说现在湖大的洗手间质量还是挺不错的。
