西北农林科技大学可否合并北京大学、清华大学、西安交通大学、西北工业大学、西安电子科技大学来提升影响力？,西农不是985了  找不到学生是肯定的 但是越来越不值钱的一本分数线给了西农人一种自己分数线在变高的错觉 至于合并的想法 我认为西农人的生命是有限的 但是为其他大学做好绿化磨好锤子的工作是无限的 西农人应该认识到自己的七本尴尬处境 将教育部经费省下来 将教职工和学生分散到其他高校看门扫大街 这也算是另一种形式上的合并 以上
如何评价西安电子科技大学学工处及导员周内检查学生宿舍使用电脑情况。？,破事都要来知乎上提问。破事水！贴吧都不带这样的。不要把自己看得太高了，还有不要让这些垃圾问题污染西电er时间线。 正常管理你咋不问如何看待西电图书馆不能穿拖鞋。真是闲的蛋疼。
学计科和软件工程，西南交通大学和西安电子科技大学哪个好？, 未来想留在哪个城市就去哪个城市 
如何做一个像西安电子科技大学的张鑫一样高度自律的人？,我想答案应该是多认识学弟这样优秀的人。  和学弟通过微博相识。在上海交通大学官方微博的早起签到送书活动中（连续30天送交大出版社精品图书1本，全国包邮），学弟每天基本上都是头几个转的。包括有一次5点po出早安微博的学弟也是（因半夜2点出发志愿上马）。学弟会原发一些他早起看《经济学人》、刷GRE、很有能量（配图太精准！）的微博@ 我们。  后来看到了学弟的一篇“Be a Light”的 博文（文末会分享）。文章是讲他从一刷托福114后（作文满分！伏地魔！！！！）开始坚持更新#每天一集TED#和《The Economist》。那篇文章辞藻并不华丽，但是真实。我想，是这份坚持打动了很多人。所以学弟微博的粉丝从500到现在近1700，差不多只用了三个月。  学弟一刷G前，有幸约他吃了顿饭。比我高……一直以为他是萌萌哒（因为头像太萌！！！），其实还是蛮帅的~邀请他来官博团队~结果他同意了！！！！！！！！（此处有害羞表情）  学弟考G时正好感冒，不过面对这挑战智商的考试（全球标准化考试之醉），第一次能做到那样已经很赞了~之后，学弟开启了他在官博的强势之旅。除了美赛时停更了几天，每天，都在坚持。正像他自己说的“只有还有一个人在看，也要做一道温暖你的光”。  新年，学弟还负责了早安微博，和勇哥一人一天，我们坚持不使用定时，一个是更真诚，一个是对早安君自己的鼓励。  只是觉得自己很幸运，在交大遇到学弟，遇到很多大牛。  所以关于PO主的问题，我的答案是多认识学弟这样优秀的人，近朱者赤。Do or Die.  用学弟的微博签名结束—— Aim Higher.   
如何看待2016年西安体育学院与西安电子科技大学的高校联盟杯比赛?,只是一场比赛而已，被西安的某些媒体进行了片面的放大和搏眼球的对比。 首先，这个联赛是社会举办的，自主参加的，不是院队和院队之间的较量。 其次，西安电子科技大学虽然全是外国人，到外国人不代表都是足球踢的好的。 然后，西安体育学院参赛的队伍是社会体育系的一些学生自己组织参加的。
本人电子信息工程的本科生主要做软件，信号处理这方面，想考成都电子科技大学和西安电子科技大学的研究？,这个需要你自己去查，去他们学校官网。研究生招生网站上查，往年的报录比，复试分数线，招生人数，包研人数。专业方向以及参考书！全都有。
西安电子科技大学17年没有招生章程？,专业级差取消了。
想学软件工程并出国读研，请问西安电子科技还是吉林大学优势更大些？,西电大二 西电出国氛围很差 身边大多同学没怎么考虑过出国 同时个人感觉和其他学校比有压分
如何看待西安电子科技大学（西电 西军电）的后勤管理？ 是贪还是懒？,泻药。。。 我觉得我们不应该对学校太过苛责了，也不是只有西电一个学校这样，这么大的校园要做到尽善尽美是非常不容易的，毕竟也不是所有的事都是学校可控的。而且每次出问题学校也在尽力想办法解决。  心怀包容，感恩。毕竟多年以后想起来，在北雷的南边，南雷的北边，度过了人生最珍贵和美好的四年。  
本人安徽省理科考生，名次大约7800，考虑武汉理工大学、西安电子科技大学和东北大学，各位有什么建议？,这个问题必须回答下。东大，没得说啊。本人安徽人今年9月前往东大读研。我寝室的好朋友去武汉理工，我姐夫曾在西安电子科技大学读书。（你说的要素我全部具备）先说说我的理由。 1.东大985，985在一定的程度上代表了很多事情，很多用人单位对学科不是太了解，而苛求985平台。 2.东大人文给我感觉印象深刻，去复试时候很多不认识同学很友善很乐于帮助人。 3.东北最近被黑我不否认，但沈阳最为东北最大的城市，物价不高，生活方便，而且妹子也很漂亮哦。 4.东大的工科非常好，自动化、机械、计算机等等。 5.可以感受北国的人文，可能我向往远方，想感受不同的人文，接触不同的生活。 6.沈阳交通方便啊，内入东北，外接北京都很近。 7.你如果以后保研还是出国，985对你很重要的。 8.本人没有地域黑，感觉祖国哪里都好。只不过有些地方经济这几年发展的好一点，有些迟一点。难道单单评这个有些人就有优越感，那也太让人无语了。 最后祝东大越来越好。
为什么西安电子科技大学近些年癌症发病率极高？,原帖，从考研开始关注西电…这智商能考上研？确定复习的不是走进科学？  题主，可长点儿心动动脑子吧。  1.不爽魏则西学长和几个去世的学长被借题发挥了。朋友，逝者已矣，咱们能不瞎扯就别瞎扯了好吧，这种无聊的问题咱们就不要生拉硬拽的强问了好吧。  2.如果非要说天线所雷达所之类的……告诉我教授们年复一年的在辐射第一线，为！什！么！没！事！请给我个合理的解释:)  3.对不起，我一开始并不打算这么凶，但越看越忍不住。没事，多看看书不好吗。多看书的思考问题的模式就不是邻居大妈闲聊八卦模式了啊。
西安电子科技大学集成电路怎么样？,作为一名在西安电子科技大学微电子学院呆了5年半、本科集成电路设计与集成系统、硕士微电子学与固体电子学在读的学生来讲，自认为我还是有发言权的。  既然能将问题细化到西电+集成，想必至少对IC有个大致的概念吧。  1.IC(集成电路) IC就是芯片相关产业，从产业链上粗略来看有生产芯片-&gt;设计芯片-&gt;测试芯片-&gt;销售芯片-&gt;使用芯片-&gt;生产整机（手机电脑等整体的电子设备）-&gt;一般的用户  2.微电子学院本科下属两个专业的区别 微电子学:侧重从物理世界来看待芯片，即首先从量子力学、固体物理、半导体物理等理论课积累，然后认清一个简单器件的生产工作核心原理，在上升到基本的数字电路模拟电路如何设计。侧重点在IC的底层。  集成电路设计与集成系统：对物理理论要求没微电子高，直接从半导体物理学起，然后在数字电路模拟电路之上还要学习数字信号处理和通信原理等知识，所以侧重点在IC的高层。  但是本科之间又能有多大差别呢？无非就是往年微电子录取线比集成高一点点。  3.研究生阶段专业 微电子学院分为：凝聚态、电力电子、微电子学与固体电子学、集成电路设计、集成电路工程、软件工程  凝聚态基本上物理方向  电力电子是强电方向，功率器件等的研究，属于能源方向，不是信息方向。  微电子学与固体电子学、集成电路设计、集成电路工程：看导师，导师研究器件就是器件，研究电路就是电路。  另外集成电路工程不能硕博连读，读博必需硕士毕业后在读博，其他工学可以硕博连读。  软件工程：在校学习一年，公司实习一般都是18个月到20个月。  4.就业 IC行业的黄金就业有两波，一波是十年前，大陆IC刚刚兴起，大量需要从业人员。  另一波就是从2014年国家扶持集成电路产业，各公司开始扩张，也需要大量从业人员。  本科工作不是特别好找，原因无非是大量研究生的存在，不过如果早作准备，大二大三就主动学习一些IC的知识技能的话还是比较轻松的，如果只是靠一张毕业证的话比较困难。  研究生多多少少对IC有了更多的认识，找工作相对容易，前提是自己有一技之长，否则也就只能依靠大行情和学历了。  工作不局限在工程师，也可以去从事技术服务、销售类，毕竟是电子类学生，卖技术卖芯片也是与学业有关，钱途也不错哦。  工作基本没有事少钱多的，想赚钱，多加班是行业的潜规则，而且IC+IT行业不同于传统行业，可能你能力到了，10分钟就能完成，能力不到，一天都完不成，所以其他行业的8小时工作制不适合该行业，加班费也很少有公司给，不过薪水比较高，IC一线基本起薪1w。  5.西电各专业之间的差异 西电整个学校以电子信息为主，在国外就是别的学校的计算机科学（cs）+电子工程（ee），虽然西电内部划分的很细，但从产业链上来讲也就是软件与硬件的分别，移动互联网的大风刮过，互联网公司薪水水涨船高，IC扶持一起，IC从业人员需求大增。  工程类的专业需要的是严谨、责任心、细心、追求研究的精神，工作相对来讲枯燥，如果是高中学习很专研的学生，来这里比较合适，如果是比较贪玩、贪杂、喜欢知识面宽广而不是深究的则会比较痛苦。  6.家庭条件 家庭条件不错的同学可以去那些综合类院校。 家庭条件一般的同学来西电也不错，学习痛苦，但毕业后薪水还可以，踏踏实实安安稳稳的过日子够了，如果赶上IT的哪个风口也可能飞黄腾达一把。
如何做一个像西安电子科技大学的檀寅一样自律又勤奋的人？,这算不算炒作？我来谈谈自己对于自律的看法。   我大一时候，是可以每天五点半起床的，那时候身体好，睡眠足，精气神饱满。而且身体好的话，早晨六点不到自然醒不是问题  但是现在的话，每天八点起床一点睡觉差了不是一点半点，虽说有心改变这种情况，然而存在许多硬性问题需要解决。  1.环境，大一时候没电脑，都是十一点就能睡下的，然而现在都有电脑了，寝室良好的睡眠环境被破坏了  2.身体状况，由于长期作息不良，每天早晨起来都会头脑昏沉，一般来讲是体内湿气太重，现在经常在锻炼，好多了  3.热水，我也想每天早上起来跑他个四五圈，晚上晚自习后也每天四五圈，然而南方的孩子受不了满头大汗后没热水的情况   这还都只是外部条件，最重要的前提是对自律的决心，我现在决心把自己作息调整好，但是由于各种外部因素，导致与自己心理上的期待不相符，拖累了调整生理状况的进度，在此强烈要求学校能够天天早晚供应洗澡热水
在冬天的西安电子科技大学丁香公寓6楼洗了一个热水澡是一个怎么样的体验？,因为楼层的关系供水确实存在问题  作为丁香13号楼的宝宝  冬天每周246下午五点半准时来热水 晚上十一点半过还有  而五一过后天气热起来后 除了周日 一周七天有六天供热水  依旧下午五点半来十一点半停(´･_･`)
如何看待西安电子科技大学2017年实验班选拔疑似有内幕？,既然有人问了，我就说一下吧。   首先这个网络安全实验班的选拔面对的是全校的同学。该实验班属于网络工程与信息安全学院。意在培养对安全方面有兴趣同时也有一定能力的学生。   考试分为三个方面：1.通过机考题目考察技术能力。2通过平时成绩考察理论知识。3.面试 前两个方面各占成绩的50％。排名靠前者才能获取面试资格。  上一届的学长给出的评论是这样的。        但是，注意了，如果你的机考成绩非常优秀，就算你的平时成绩不咋地，还是会破格给你面试的机会。  机考的内容和ctf比赛很相似。满分2000左右，有web 逆向  密码隐写等题目。这些题目说实话，只要之前勤加练习了解套路确实不算难。  关于题主问的作弊  我主要说的是关于机考成绩第一名swz同学，你们口中的大佬。（呵呵）  1.此人从开学来了就抱住了古月大帝的大腿，负责组织网络与信息安全学院的ctf比赛（周赛）。然而，出的题全都是从题库里边找的。再稍微加以改编，假装是自己出的骗那些懵懂无知的大一同学。以此来塑造自己大佬的形象。后来干脆直接让参赛的同学出题了。  2.也是因为这些，古月大帝负责组建的实验班，他在选拔时做手脚简直轻而易举。他的平时成绩并不好，那些学分高的科目比如高数，大物，英语都在及格的边缘徘徊。所以，他的机考成绩必须特别厉害才能有面试资格。    3.机考期间确实发生了不太愉快的事。  这次选拔赛中的一道逆向题是之前周赛里因为太难没人做出来他撤下来的，也就是说，他知道这道题的答案。也就有里有怀疑这次竞赛题目来源问题以及他究竟知道多少题的答案？去年的题外包给了某网站 公平竞争 今年就出了这么个事。不知道古月大帝怎么看。  机考期间可以看到实时的排名。在还有20分钟结束的时候，突然放出大分值（200-300时间太紧我也记不清了）的逆向题。大家都知道这种题繁琐，在有思路的情况下也需要至少半个小时才能解出来。（也可能是我渣）swz同学，两道题秒解！！！注意是秒解！！！让我等渣渣不得不佩服，大佬就是大佬。  4.swz把flag给和自己走的近的同学，搞小团体，使得那些平时能力技术不好的甚至什么都不会的同学仅仅通过交换flag就进入了前20。目前我知道的有lc（女），bzh    然而纸里是包不住火的。   很快有人发了撕逼墙。    然而评论区        这里是我对评论区的一些看法  1.关于开会。我这里承认swz接触安全方面比较早，懂得比较多。他去开了那个逼格很高的会之后，回来给全校（？？？30多个人叫全校？？？中途还走了10个？？？）在d楼200多人的教室举行了讲座。讲的内容很水很装逼。耽误大家那么多时间你的良心不会痛么？？？  2.以上评论也可以看出来，他平时确实有点装逼。  3.关于那些跪舔他真的很厉害的。你们敢不敢当面去问问他真相呢？     之后又有人看不过去了，又发了一波撕逼。      个人觉得这个说的比较客观。 结果被秒删了。 经过我的了解发现是swz通过某种手段让删的。 （聊天记录这里不放了。会暴露某些个人信息。答主怂，怕被查水表。） 撕逼墙是面向全校同学的一个空间公众号。 这都能删可见swz后台大的很啊！ 大佬确实是大佬。   但swz确实心虚了。   在群里放了这个     这种官方选拔赛，电子监控设备这么完善 谁敢作弊呢 作弊也会被发现 他无中生有一个提醒。难道没有自保的嫌疑？不得不怀疑他把flag泄露给亲近的人。   还有这个      我是真想看看你怎么查是谁发的。至于是不是谣言诽谤，就像swz大佬说的，清者自清。  以上。
西安电子科技大学为什么江河日下了？,没有比较就没有伤害
2016届高考考生 想报西安电子科技大学的自主招生 只有面试 该怎么准备？,西电是不标准的无领导小组＋多对一，无领导的部分挺简单的，五人一组，抽题，关注热点，要有自己的思想和主张。多面一就实话实说，不要紧张。如果你不是一个熟练的领导者就做一个计时员协调员，提醒大家注意时间什么的。零基础直接上130+还是没什么问题的，加油！
选择南京航空航天大学（冲学校）还是选择西安电子科技大学的通信工程专业？, 通信计算机还是选西电吧虽然我是南航滴。。。，，，就业时跟C9基本是一个级别的 
如何在西安电子科技大学学好软件工程专业？,----------------------------------------------  多说一句，刚才看了某回答中的观点，我来说一下自己的看法。  “少数大神和啥都不会，刷了四年分的人，会上研”  目测回答者均分一般，而且价值观代表了一部分同等级别学生的想法。我反对一下，题主如何以为自己决定。但无论做何选择，请注意不要随便贬低别人的做法，尤其是某些方面比你强的人，因为这常是聊以自慰的借口。  很多人啊，就是上着本科还怀有一颗专科的心。一心只想学技术，视一些工作中会用到的实用技能为圭臬，视本科课堂上过时的技术，算法以及高数大物等课程如粪土，甚至连教学时老师用的旧版本的软件都要嘲笑一番以示自身姿势水平。以为自己学到了实用的技能，而学习成绩好的学生呢只知道学一些毫无价值的课程(刷分)。图样图森破！  那些“刷分”的人大多会选择出国或保研深造，而那些“大神”会选择就业以锻炼自己的“实用”技能。所以对比情况一时看不明显，如果条件允许，题主可以自己了解一下那些刷分上研的人和所谓的“大神”工作后情况如何。我想说的是，很多人以为本科写一些同龄人看不懂的项目代码是很高大上的事，并以此为荣，而其中含金量能有多少呢？你今日钻研离散，高数，大物，数据结构，经典算法，是为了今后进阶学习走上成为高级编程者道路时的如鱼得水，如果你没有看到这些课程的意义所在，专注现在流行的奇技淫巧而忽视了基础知识的积累，跟上一个专科学校有什么区别？  现在成绩压着你的人，今后工作时一般也会吊打你。这不叫刷分，这叫正确的时间干正确的事。  另外题主问程序员是不是吃青春饭，跟我上面说的有关，大部分专科生是吃青春饭的，大部分本科生不是吃青春饭的。那些本科生中吃青春饭的，除工作后不勤于学习之外，还有一个主要的原因就是基础烂的一塌糊涂，一个数理基础薄弱的程序员是注定成不了真正的大神的。  在算法领域的很多大神甚至是不会编程的，他们会的是计算机数学。  -----------------------------------------------------------------9.19  退一万步讲，考前一周复习算刷GPA？一个星期连这么xx的均分都刷不上去？废寝忘食学技术连一个星期都抽不出来？真的以为别人分高是成天只学文化课？  我从来没有多认可用均分作为区别标准的敏感性，一分两分没什么差别，甚至五分六分也没什么差别，毕竟考试有文科，有失误，有不可控因素。但是你别那点可怜的分数还bb什么技术了行不？(别跟我说sjt某神发sci均分刚刚及格，人家的考试题比你的考试题高到不知道哪里去了)  你成绩好又乐于啃一些真正有用的，我羡慕你。你成绩好又在学一些自己感兴趣的技术，我也肯定你。你成绩不好还三脚猫的技术又觉得自己真实实力可以虐爆某些人，活在梦里～
考会计学硕 西北大 长安大学 陕师大 西安电子科技大学 西建我该选择哪个？报录比和分数线官网找不到,同问，今年想考西北大学会计学硕，这一届相比去年分数高了将近20.不知道，明年会是一个怎样的情况呢？
我是2017级西安电子科技大学通信专业的新生，想搞技术和研究，中国信通院如何够资格进？, 念到博士吧，很有希望的，不过很可能中间你就改主意了。 
本科生南航和西安电子科技大学的计算机专业怎么选择？,西电，看看南大和北邮的cs就业，就知道南航cs比西电没有任何优势。
西安电子科技大学2017年就业情况？,实习去了bat，实习期间认真干活，没有不良记录，然而没有获得留用， 校招时面bat都没过， 别的公司也面了好多，想去的大多数都没过。最后去了帝都某小公司。 待遇还算可以比bat略高一点。 
西安电子科技大学自主招生考试该如何准备？, 14年自主招生进的西电。  现在政策可能和当年不同了，我当时是免笔试的，所以笔试经验谈不上。  当时考的是数学和物理，难度不低，最终的结果是笔试+面试综合成绩来决定的。  面试主要需要准备的是你的心理状态，因为很多同学在高中应该是没有这种被面试的经历的，所以面试前深呼吸，尽可能避免紧张情绪影响你的发挥。  这个专业的选择我不太清楚，因为印象里我是没有选过专业，对所有专业在高考之后的志愿中都有降分。  很感慨，现在就要作为一个马上大四的学长来回答这个问题。  Good luck. 
如何看待西安电子科技大学四级考试听力断句跳句现象？,毕竟我电半部电台起家，应该是用这半部电台放的听力
广东理科2017考生省排16861，哈尔滨工业大学（威海），西安电子科技大学，深圳大学如何选择？, 建议你还是好好考虑一下深圳大学，  大学所在的位置，决定了这个大学每年能够去的多少科研资金，东部高校普遍资金比西部高校充足  这也就决定了，他们的教师待遇和研究成果更充分，而且教师流动性较小  因而通常来讲，这类学校老师的教学水平会更好  我曾经碰到一个西安交通大学的朋友，他特别有感触的就是学校的经费，  因为没经费，学校留不住老师，留不住老师导致科研水平下降，然后是排名下降，然后是招生下降在西部，这样的高校比比皆是，兰州大学、新疆大学等等都是这种情况，  西部学校，稍有能力的老师基本没有安心教学和搞科研的，都在等待调动或调整到东部  包括东北的学校也一样，这两年东北衰退的厉害，因而，哈尔滨工业大学许多优秀人才流失啊  所以建议你还是认真考虑一下深大 
一名机械设计制造及其自动化的新生想了解一下这个专业的前景，被西安电子科技大学录取，这个专业前途咋样？,谢邀  首先祝贺你考上了西安电子科技大学 首先说，你站在985的平台上 ，起点就很好了 找工作会很有优势 下面一段是重点    机械类专业几乎每个学校都会有，所以很容易造成供大于求的情况，而且很多机械零部件的利润率很低，这也导致了机械制造产业的低迷情况，老板都赚不够，更别说员工了…… 这也是机械专业毕业生工资的痛点啊  所以要提高自己劳动的附加值  我建议题主可以往机器人方向靠拢，在学机械课程的同时提前学c语言 接着单片机 51或者stm32 再熟练使用常用传感器比如红外避障模块 超声波测距模块 加速度模块等等  一些常用的伺服器 比如数字舵机 步进电机等等 换句话说就是要懂机械也要懂电路和控制，这样的人不多，很有竞争力  PS 我的专业是机械电子工程，开学大二 刚才的话是之前跟一个教授交谈后的体会
西安电子科技大学的好老师？,空间院方海燕老师（我毕业的时候她还在空间院），当初还在电院的时候我天天翘课，不做作业，但是老师仍然认真的对待我偶尔去问问题，末了还总是说记得下次交作业，我感觉大学里面很少有老师会去记住每个学生的学习状况。 另外就是在毕设期间，我的导师并不太懂我当时的方向，某天我毕设崩溃状态的时候正巧遇到方老师去找我导师商量事情，时隔一年多她还记得我这个不怎么上课的学生，并且对我的毕设给予了不少帮助。 以上这些在高中或许很普通，但大学很少有对学生这么认真负责的老师了。 当然，人文院的张阔海老师和荆三隆（记不清是不是人文院的），经管院的黄丽娟老师（课太火遗憾没去听过）在学生中都比较受欢迎吧。虽然个人不太赞同他们的授课方式，但不得不说，很有感染力。
西安电子科技大学大一学生如何申请公费留学或外校保研？,同学，有理想是好事，但也要脚踏实地。刷高GPA，多参与项目竞赛，多参加活动认识各样的人。保研出国这些事到了大二大三自然就会知道了。  我不会告诉刚进西电时，我和你想的是一样的。  大四保研狗一只。
河北考生学软件工程选择北京邮电还是哈尔滨工业还是西安电子科技大学？PS今年高考分数647。？,就你列的几个学校，北邮
如何评价西安电子科技大学胡建伟教授？,原谅我拼音不好，是胡建伟吗？不是所有人都会拼音好吧 怂什么   update 发现题主很刚啊
厦门大学材料专业与西安电子科技大学的通信工程专业该如何抉择？谢谢？,看你以什么标准来选择。假设以兴趣为准则，那就没啥好说的了，喜欢干嘛干嘛。如果以钱途论，近几年内应该都是后者比较火。如果是以思想觉悟论，国家紧缺材料方面人才。
2017高考志愿，西安电子科技大学和中南大学，志向互联网相关，第一志愿请赐教。？,具体选择看个人情况和兴趣，这里推荐一篇菜头的文章。（如有侵权请告知删除。）   首先，我们要弄清楚高考填报志愿这件事情的本质。它不是单纯的选择，而是人生中一次重要的认识自己的机会。选择什么专业好？是选好学校还是好专业？是选城市还是选学校？之所以有这些问题，之所以针对这些问题有千奇百怪的回答，原因是对自己的认识不清晰，不知道自己究竟是个什么样的人。如果你是一个爱冒险的人，如果你渴望看到更大的世界，并且愿意为你的想法支付所有代价。那么，你当然是应该选择北京、上海、广州这三个超级城市。因为这三个超级城市位于中国发展的前列，在这里有最新的资讯，最新的变化，以及最为活跃最有头脑的聪明人。新的发明、新的业务、新的机会，总是会最先出现在这样的地方。不要相信什么“今天是网络社会，什么资讯不能在网上找到”这样的话。很简单，一手的感受永远比二手的资讯要好。生活在超级城市里，你就是“浸润”在其他城市的未来里。想一想看，在别的城市还在网上看共享单车的新闻的时候，你楼下就停着十几辆，这是什么感觉？别的人在手机上看共享单车的分析文章，但是你在街上看什么人骑，怎么骑，如何停放，这是什么感觉？如果你的确是那样一个人，请你一定要来超级城市。学校差一点，专业差一点都没有关系，关键是来到这里。因为你是如此热爱冒险，如此热爱不确定性，你的道路注定漫长曲折，谁也不知道你的未来去去向哪里。从超级城市出发，能为你早期节省不少时间，也为你找到和自己志同道合的疯子创造最大可能。如果你是一个均衡型的人，样样都还不错，但都又不是最好。同时，你有欲望有理想有野心，但也都没有那么炽热强烈。那么，你现在就应该想清楚，大学四年的目的就是为了得到最好的就业机会。你的一切选择都是为了毕业找一份好公司，把进入中产阶级的时间压缩到最短。所以，你优先选择名校。选择名校是为了保留所有的变化可能：到今天，这个社会都尊重名校，极少尊重专业，校名是你最大的资源，这对于就业有很大帮助；名校意味着全球范围内的美誉和影响力，同样的专业，名校老师开具的推荐信，对于出国留学而言，有更大的推荐力度和可信度；持有这种想法的人会成为校友，这样的校友在社会上会形成关系网络，在你刚刚走上社会的头几年，这种隐藏在各种单位、公司里的关系网络，能够帮助你拿到一小笔额外的社会资源。  在没有办法选择名校的条件下，你应该优先选择专业。以你的性格，之前应该做过许多功课，了解到现在社会上什么职业收入丰厚，什么职业前景广阔。那么，去找对应的专业，努力学好它，以此作为跻身职场的凭仗。社会最需要什么，你学什么，那么你在毕业的时候就拥有了更多可能，拿到最好的工作机会。唯一需要注意的是，这里存在一次赌博：你不知道四年之后，你的专业是不是已经极盛而衰，社会需求已经下降了。所以，你应该趁还有时间，自己尽快去调研一下，找从事这个行当的人问问，他们的判断究竟如何？本行当是在上升期、平台期还是下降期？  如果你学得不怎么样，也没有什么野心，你的梦想就是安安稳稳过日子。那么，就不要整天念着去见什么世界了。工作以后在旅行的时候再慢慢见识好了，反正你就是一个观光客。留在你的本省，留在你的本市，找一所本地大学上一下。选择一个就业相对容易的专业，修完四年，拿到文凭。从大三开始，就动员全家族的力量，毕竟都是本地人么，圈选你想去的单位，然后努力找关系把你送进去。  你安守着你的城，做着一份工，每年国内旅行一次，每五年出国旅行一次。攒钱，结婚，生子，刷朋友圈，过着平静而安宁的生活。对于你来说，生于斯，长于斯，老于斯，死于斯。你的专业选择非常明确，就是为了成为一个合格的本地人，拥有本地生活的资格，在本地复杂的人际关系网上，找到一个属于自己的位置。所以，学校、专业、城市都不是你的首要考虑因素。你需要考虑的是，你的家族力量在多大程度上，能把你送到什么职位上去。为了减轻他们的推送压力，你能在大学专业选择上，能多大程度减少他们关系网的耗费。  话虽然是如此，但是多少人在18岁的时候认识清楚了自己呢？多少人也许到了人生暮年还不知道自己真正想要什么。多少人在18岁的时候还分辨不清楚什么是一时的热情，什么是持久的热望；分辨不清楚什么是易变的欲望，什么是持久的理想。“我想要”是个最大的理由，但也是个最大的陷阱。因为人人都喜欢说这三个字，却少有人愿意诚实地回答这句话后面的那个问题：为此，我愿意支付......  前往超级城市，”我想要“的后面隐藏的代价是不确定的生活，更高的选择风险，和无路可退的窘迫。甚至，还有多年的潜沉，无尽的自我怀疑，和接连不断的挫败；选择职场求胜，”我想要“的后面是终身谨小慎微的处事，一刻不停地学习和加班，而所能维系的中产阶级生活岌岌可危，一切寄托在行业、职位和年收入上；选择小城里的安稳一生，“我想要”的后面是牺牲了许多可能性，以及在行业大变动面前低微的求生能力。  没有一样选择是容易的，所以，才会有那么多人“干一行，恨一行”。这个现象说明了两件事情：1、许多人对自己的现状不满；2、许多人认为在其他行业存在机会。那么，是因为他们当年选择专业没选好么？不，这说明整个社会还存在热望和机会，人们总想要过上更好的生活，认为总是存在理想彼岸。这和多年前选择专业没有丝毫关系，这和整个社会的欲望总量有关。  人们总是倾向于认为自己付出过多，得到太少；人们总是容易倾向于看低自己的所得，高看自己未能得到的东西。  所以，在做填报志愿这种非常具体的事情时，需要把眼光稍微放得长远一点。放在一生的尺度上来重新审视填报志愿，这件事对于此刻很重要，但是对于一生来说只是一件小事。在漫长的人生道路中，有人幸运地很早就认识到了自己，有人需要二三十年之后才突然发现自己真正想要的是什么，有人需要耗尽一生在会发现自己最珍贵的东西其实一直在自己手上。决定一个人一生轨迹的，往往并非是看得见的专业，而是那些看不见的东西。比如说遇见什么人，做了什么事，甚至是看过什么风景。  即便填报志愿会带来一些人生轨迹上的偏差，但是，在漫长的一生中，你的人生还是会执拗地回到它自己应该有的轨道上来。坦白地说，对于一个人而言，填报志愿和出生在哪里相比，也许后者对人生塑造影响更为深重。  愿每一个人心愿达成，这就是我的祝福。
被西安邮电大学电子工程学院苗爷爷教育是怎样一番体验？,  2017.7.7更： 期末了，听说下学期苗爷爷就要去通院了？之前也听过两三次这样的传言，但这次感觉像是真的。哎，苦了三年了，最后一年其实爷爷是最能给大家做好事实事的一年，这突然就走了，还真有点舍不得。。。祝好。    2017.6.27更：   如果上课的时候你旁边1米8，180斤的抠脚大汉突然对你小声说  “喵喵喵” ， 千万别以为他在卖萌，赶紧把手机收起来，因为喵爷来了!    2017.6.8更：   来个热乎的  今天某节课，喵爷突击检查课堂，大三了准备考研的、找实习的一般都是能翘的课都翘了，今天这节也就来了一半多一点，喵爷当场叫停，开始统计没来上课的人的名单。   “你们这种无耻的行为一定要向社会揭露，一定要通过各种渠道让社会都知道！”   看到名单上有gfs： “都是革命军人了还不来上课，以后不是汉奸就是卖国贼。”   然后让名单上的人去他办公室解释情况，有个娃说自己在图书馆复习准备面试，   “你是去中南海面试国务院副总理吗？！” （听现场的小伙伴讲的）   今天下午高考就结束了，欢迎学弟学妹们填报西安邮电大学 电子工程学院 ！  当面聆听喵爷教诲    2017.5.11更：   最近互联网加比赛   自习室上自习，情侣狗真是神烦！    2016.12.14更：  前段时间听说的段子，喵爷教育某同学说， 别人往电院脸上贴金，你往电院脸上摸屎！！ 哈哈哈笑屎我了23333   以下原答案：   我想，毕业多年后，我可能记不得在上学时的校长是谁，但我一辈子都会记得苗爷爷。  楼上同学提到的赵小赵，确实是了解苗爷爷事迹最好的的地方，她的段子里有一个就来源于我宿舍，挨骂的时候五脸蒙逼想笑又不敢笑的感觉真是刺激啊哈哈哈。  马上教学评估又要开始了，估计苗爷又会突然出现在宿舍了。。。学长告诉我，大四以前要习惯苗爷的突击查宿舍。  我得匿啊，百度词条也编辑过，赵小赵的语录里也有我的素材，现在知乎也有了。匿了，毕业再取匿。  回头再更 
如何看待西安电子科技大学为文艺汇演征用学生iPad和平衡车？,还好毕业的早，不然没iPad……    
