上海理科考生，北京林业大学和宁波诺丁汉大学选哪个更好？,各有千秋 单看生源倍林比宁诺分高不少……样本取自来自10+省份的同学，省份不同无可比性。 都是不错的学校      仅仅仅仅仅代表个人观点  以及个人发展和学校没有，没有，没有关系
2017北京林业大学考研，如何联系导师和面对复试？,这段时间老有学弟学妹在问。准备复试一般都在成绩出来之后开始，包括联系导师，专硕准备建筑快题，科硕准备理论笔试。 很多人在问那在出成绩之前能干什么呢？ 我的回答是，玩，尽量玩，因为不管你初试过没过，最后考上没考上，以后属于自己能玩的时间都不多了。回家的时间也更少了。 但是总有很多人耐不住寂寞想要提早开始准备复试，那你需要干的是什么呢？ 1 搜集信息。首先你必须把正式开始准备复试前，要复习的内容确定下来，比如考试科目有哪些，面试内容包括哪些，一般这个过程是通过问上届考的学长学姐完成的 2 准备英语。在初试成绩没出来之前，谁也不敢打包票说自己一定能过，所以准备的内容也不宜太深入(过年边玩边一个人瞎准备也深入不下去)，英语是肯定要考的面试的时候，考的花样也多，有翻译也有临场提问，有时候还会让你用英语介绍一个园子或者你自己的设计。翻译一般会考北林主办的&lt;风景园林&gt;杂志上的文章的翻译，一般就是16年的十多期，如果时间够可以早点看看，万一抽中了呢。 至于初试成绩出来之后怎么准备，如果回复或者关注的人多，我接着再写。  ﹉﹉﹉﹉﹉﹉﹉﹉﹉﹉﹉﹉﹉  看来还是有些同学想知道，我就再给你们码点字吧 初试成绩好像昨天晚上就出来了，大家差不多也看到自己的分数了，反正年年都是几家欢喜几家愁，愁的是大多数，毕竟是选拔性考试，大家也要习惯这种生活中的小挫折，人生如意的时候只是少数，习惯就好，以后还有找工作高房价找对象各种挫折(ง •̀_•́)ง。伤心两三天就该振作起来了！ 下面就结合我自己的经历和当时一起考研的小伙伴们的经历给大家提出一些实用的建议，不扯淡。 1.调剂 首先是看排名。按今年的招收人数，科硕收18个左右，专硕收60个左右，进复试应该是，科硕排名前30至少，专硕排名前80至少，查到自己的排名就能估摸着能不能进复试了。复试线很晚才出来，等复试线出来再确定调不调剂，准不准备肯定太晚了，所以如果看到自己的排名不够进复试，就可以马上着手准备调剂了，调剂的名额有限，一定要早去联系接受调剂的学校。具体方法最直接的就是打电话到人家学校去问，如果有熟人的话就直接联系熟人早点把事情敲定下来。专硕由于是农学，可调剂的学校和专业不多，可以调剂到别的学校(北农呀，北工业呀，北建呀，成都理工呀，西南林业呀，还有各地的农林类院校等等)的风景园林专硕，然后调其他专业就只能调些农学专业了，比较惨。科硕是工学，所以除了可以调剂其他院校的专硕，还能调剂其他工程类专业，比如信息工程，通信工程，各类工学专业(如果还想留北林，可以调剂到北林的冷门一点的工学专业)。 如果自己的成绩排名能擦边进复试的同学们怎么办呢？调不调剂呢？万一复试被刷调剂也晚了。我的建议是，不要放弃希望，难得拼到这儿来了，调剂的学校跟北林比差了不止一个档次，进了复试又是一次平等的选拔，你初试考得不高不代表你复试也考不高。一定要认真复习，抓住逆袭的机会。 2.准备复试 复试的形式都是笔试+面试，面试科硕和专硕基本都一样的。复试各科目的具体分值在复试前一个星期吧会在官网上发文件，去年的复试是笔试100分，面试里的英语口语100分，综合素质面试150分，总分350分。最后的总成绩是初试复试各占百分之五十，然后按总成绩排名刷人。笔试专硕是考建筑快题，科硕考园林基础理论。具体的可以去北林园林学院官网找去年复试通知。  笔试:先说科硕笔试，科硕笔试理论的复习内容和专硕初试理论几乎是一样的，就是看那四本书，但是考试难度却比专硕笔试要低，因为全是大题没有选择填空题。去年考试是考了画留园和丢勒里的平面，然后就是这主观题随便答，最后有一道种植设计题也要画图。科硕的复试准备可以借助专硕的力量，可以叫一起考专硕的研友帮你画个重点，理个框架啥的，复习起来会轻松很多。真的没有必要报什么班！！！你要学会利用身边的资源啊亲，他们专硕都花了一次冤枉钱了你为啥还花一次？如果是那种擦边上的实在不放心想去报班还可以理解，如果你初试分数高，科硕排名前十，你就放心吧，只要你不交白卷，肯定刷不了你的，随便复习一下就成了，报班？除非你钱多花不完。我就是去年考的科，跟之前考专硕的朋友交流了一下，让他们把资料都给我了，还帮我画了下重点，然后接下来就自己看了，复试笔试还考得不错好像是第一。 专硕笔试同理，学会利用身边的资源，建筑快题虽然不能自己学，最好是让你考科硕的朋友教你，你可以教他理论，大家互补一下，资料共享，是最好的。他可以告诉你该看什么书，该练什么题，该怎么画，大不了你请他吃顿饭就行了。如果没有科硕的朋友？找一个考上的科硕来单独带你建筑都比报班便宜。专硕排名前二十也是那样，只要你不乱画，面试不骂娘，是刷不下来的。 面试:年年都有新花样，每年都不同。不过不变的是都有英语口语。去年面试分数是分两部分，综合素质面试和英语口语面试。 综合素质面试 作为复试中占比最大的一门课，考试的形式是回答抽签抽中的问题和老师随机的提问。抽签的问题按照往年来说有题库，但估计今年要换题库了，题目的涉及范围很广，包括园林，建筑，规划，中外的园林史建筑史艺术史，还有一些新流派和大师等等，这个就是考的你平时知识的积累了，准备起来比较困难，可以参照往年的题库先准备一些。老师随机的提问更没法准备，这个就纯看人品和长相了⊙▽⊙。复试面试排序是乱排的，排在后面面试的人有优势，因为老师们都烦了想早点结束不会提太麻烦的问题。 英语口语 去年英语口语考试的形式也是抽签加老师提问，抽签上有一段翻译和一个英语问题，翻译主要就是风景园林杂志上的英文摘要部分，英语问题就更难了，这个和综合素质面试里的问题一样范围很广，有让你用英语介绍一个园子，介绍一个可能你都没听过名字的德国设计师，介绍一个新理念，谈对一些与风景园林有关的社会问题的看法，总之五花八门不好准备。去年我准备的好多个问题都还真的都被考了，结果我准备好的问题都被别人抽走了，自己抽到个没准备的o(╯□╰)o，然后老师的随机提问也是跟综合素质面试一样，看人品加看老师心情。 还是那句话，如果你是科硕前十或者专硕前二十，只要你不骂娘，随便瞎扯自己知道的，就算面试分低一点也绝对不可能刷下来，从来没有过初试这种名次的被刷下去的人，因此你们大可不必紧张，按部就班轻松复习就行。如果你名次偏低那你就要更加认真的去准备复试里面的每一门课，记住，是每一门。 3.联系导师 联系导师需要作品集，这个可以用你本科的作业和一些快题作品都行，做成一个本子，如果要和老师见面就打印出来，不见面就发他邮箱。当然你的初试分数还是有一点影响，分高一点找老师的时候还是有一点用的，考上后其他就都一样了，第一名和最后一名上的没有什么区别。但是这些都不是最重要的(严肃脸)，老师们比较看重的是––性别！对，你是男生就好办！你就是园林学院的宝宝！物以稀为贵，从你们选择了这个专业后你就应该知道，这个专业男生少。老师们都比较喜欢收男生，因为可以当畜生使，这个性别歧视会一直伴随这你到找工作的时候都一样。联系导师可以早点，成绩出来以后就可以联系了，去问你的学长学姐们要导师的联系方式，最好是能见上一面敲定。好一点的老师很快就会没名额了，你可以多联系几个，因为老师可能也不会马上决定要不要你，反正都是互相挑选嘛。王向李雄林菁这些就不要考虑了，就算你考第一也没用，保研收本校的早收满了，除非你有关系。其他老师各有特色，有好的有坑的，在这里不好明说，你们可以向你们的学长学姐打听。    好了一不注意码了这么多，自己的图都忘画了，我都被自己感动了。这也算是积累人品吧，希望能帮得上你们(ง •̀_•́)ง！！！！ 我们这么年轻，路还很长，没考上不用太灰心，跟人生中其他大事比起来考研算不了什么。考上了也不要太骄傲，以后还有更多困难将要面对，每一个都足以将你击倒。 考研是一个过程，这个过程或许是几个月，或许是一年两年，因人而异。不管结果如何，经历了这个过程会成长很多。只要清楚自己以后想要的，朝着这个方向努力，等十年后回头一看，考研又算得了什么呢？ 文末毒鸡汤喂有缘人。
北京林业大学的经管类学科能达到什么水平？,作为生物院的学生，对经管院了解真的不是很多啊。。 不过经管院作为北林最大的学院，教学水平确实是很到位的，肯定不会够不上自己设置的分数线的水准。经管院每年都能培养出很多优秀的毕业生，每年也都有很多外专业的学霸通过转专业到经管院学习。当然，经管院课程多也是很出名的，据说金融专业在大二能有十几门专业课...... 北林虽然说是作为一个绿色学府，对外宣传也一直是风园、林学这种专业，但实际上经管院的办学水平和实力实在是非常到位，在北林学经济类的专业，其实是挺好的，尤其北林还是一个坐落在宇宙中心的211大学。  另外说一点，经管院在学校真的是把自己当老大......运动会各个项目都争第一，“十歌”每年都自己办一场复赛，花海也是年年冠军候选的学院。而且学院内部管理很完善也很到位，据经管院的同学说，院内有一门“听讲座”的必修课，在三年多以前已经进化到了用微信抢票的模式了。
女生，志愿录到了北京林业大学林学，未来该如何规划？, 你想做什么呢？  这么规划太笼统了。事业，是大学期间创业还是学术上有所成就，或者走上公务员的岗位。  这就涉及过完大学四年，找个林业或者其他工作。或者继续学习，读研，读博。  创业，你有什么优势，或者创意吗？  读研、读博看你自己感兴趣的是哪个方面，林业也分为很多专业，比如遗传育种、比如遥感、比如生态。是想在国内念，还是找机会出国？或者转专业，我有个同学就已经转型考到中国药科大学，并留校任教。  等等等等，你先要有一些自己的主意，别人能帮你指出一条更好走的路，但路的方向还是需要你自己选择。   
如何看待性感玉米及众网友诋毁北京林业大学事件?,讲真没太看懂他们在说什么，另外买电脑是什么梗？
我是山东某校旅游管理的本科生，想读北京林业大学旅游管理研究生，旅游规划方向，大家能否给我一些建议？,谢邀。 答主我不是北林旅游专业研究生，所以这个问题只能泛泛而谈给一些建议了。 首先讲讲考研的“道”。假设题主已经对北林旅游管理研究生考试的考试范围、考试科目都有了非常详细的了解了，如果没有的话，那就抓紧时间去了解起来。然后题主可以系统的去搜搜北林旅游管理研究生考试这几年的真题，真题是可以反复做的。此外，除了指定教材，别的问题中也有人问过学习旅游规划要看什么书，题主如果有时间都可以找来读读，同时也要关心一下旅游规划界的大事，比如全域旅游、主题公园全面开花等等。 然后就是考研的“术”了，如果能通过种种渠道联系到北林旅游管理的师兄师姐，那就赶紧去联系起来吧，内部有人好办事，能提前跟梦想的导师建立起关系也是很棒哒。 暂时想到这么多，希望对题主有用。
北京林业大学的商务英语专业自主招生该如何准备？,经管院，林经系，15年7月毕业，关于北林我知道得挺多~ 讲讲北林的生活和记忆吧， 以下多图预警。 --------------------------------------------------------------- 好了，故事就是从这里开始的：清华东路35号，那个也许你会记住很久很久的地址。   （嗯，那时的学姐还是一脸稚嫩  大一的时候，我们住的是被称作“公主坟”的八号楼女生宿舍，上下铺，基本算是没有柜子，可是那里算是开始的开始，是我们最纯真无忧的时光。  大二，我们搬进了人人羡慕的公主楼—北林10号楼，住进了电梯公寓，有了自己的书桌和大！衣柜！ 好了，来看看教学楼：  一教，对我来说基本属于英语课，我们当年的英语老师叫施宾，人称宇宙第一的宾哥。  一教门口的大镜子，大家自拍好去处。  一教门口的小花园，一个很漂亮的地方，一个很适合晚上看星星的地方。  然后就是你会经常自习的图书馆了（不去早点抢不到位置哦~   二教，学研修好以前上课最多的地方，5楼看夕阳很棒。  学研来了！那个我们可以吹四年牛逼的地方！   学研是自己学校老师设计的，下沉花园很美丽，注意梯子上的诗《sleeping in the forest》   （大三的时候，学研刚修好，我们一直觉得她很像五星级酒店来着  换一个角度，站在下沉花园向上看。    标本博物馆，一个一定要去但是并不一定有机会去的地方，四年我只去过一起，毕业前三天去了一次，和我的基友姚老师，顶着烈日，怀着就要离开的心情去的。   标本馆外的小花园，春天樱花满园，夏天绿荫一片，因为在这里有过几次交心的畅谈，我将它称为言叶之庭。   小花园后面有个小亭子，藏在绿荫之中。  操场，你会在这里经历800m，秋天夏天的晚上，最喜欢跑步的地方。 北林还有好多好多路，    种满梧桐的路，和老楼，是北林的我的最爱。  银杏大道，北林最有名的路，一到秋天很美很美。 曾经有个人跟我说，北京的很多大学，关于秋天的记忆就是那一抹银杏的金黄，到了北林我才真正体会到了这一点。  还有和基友一起上课的路。  还有进正门时候的环形路。  还有小南门外的小路，每个社团的文化墙，这是我们摄影社的。  田家炳体育馆，我们告别的地方，我们曾经打羽毛球看live校园音乐节十歌比赛晚会的地方。 …… 关于北林还有好多好多， 毕业季的摄影展  寝室楼下的告白  二教外的重瓣榆叶梅。 还有毕业季的欢笑与眼泪。  最终，我们还是会离开了她， 但是她带给我们的温暖与力量，这一辈子都不会忘记。 有人说，一个大学有一个大学的气质，我想，北林是小小的，安静的，温暖的，她有一切一切让人欣喜的美好。 来到北林之后，喜欢上了花鸟，草木，还有北林的雨。 离开北林之后，我才明了那里处处都是风景，都是生活，都是你。 愿美好的事物一往如朝，愿我们的北林，越来越好。  --------------------------------------------------------------------------------------------------------------- 写完才发现，好像略偏题了。 学妹加油吧，祝你在北林也拥有一段最美丽的时光。  
本科普通一本，今年考北京林业大学的蔬菜学，想找个专业课老师辅导一二。。。各位有推荐的嘛？, 01蔬菜作物遗传育种02蔬菜生理生态03设施园艺与无土栽培04蔬菜作物生物技术05蔬菜基因组学。  研究生毕业后 主要做研究，如何能让蔬菜更好、更快、无公害的的生长，以及对蔬菜和里的管理，和经营，这是蔬菜学研究的最终目的。或者在政府各级部门、科研和教学单位工作，到新兴的农业科技发展公司工作都是不错的选择。薪水高、稳定。  考这个专业挺好的啊，专业课辅导，就找新庠序哦! 
北京林业大学的校花是谁？,    太多，真的数不过来。
北京林业大学是北京人专用大学吗？,北京工业大学才是吧。。弄得我们班有些人初中是同学高中是同学大学还是同学且一个班。当十年啊。
如何从现在开始准备考北京林业大学的风景园林专业研究生？,北林风景园林四门科目：政治 英语二 风景园林基础 园林设计。分数线315左右，但是要进入复试基本分数要到330以上，统招人数60人左右，去年招了62人。 政治英语不过多介绍，因为市面上资料太多，大家可以随大众去复习即可，但是大家一定要重视，尽量达到140，这样专业课压力会小一些。 专业课一个是理论，一个是手绘，其实北京地区招风景园林的学校不是特别多，全国尤其是以建筑老八校和林业大学为主，且大多都有手绘或者快题设计，北京地区名校只有北大初试是纯理论，需要看的书多的要死，且北大风景园林并不是很强。有点扯远了，我们重点介绍全国第一的北林风景园林。 先列一下参考书：   参考书名称    作者    出版社   《中国古典园林史》  周维权  清华大学出版社  《西方园林》  郦芷若，朱建宁  河南科学技术出版社  《园林树木学》  陈有民  中国林业出版社  《城市园林绿地规划》  杨赉丽  中国林业出版社  大家不要觉得少，内容还是挺多的，而且北林反押题还是有点严重的，所以大家一定不要忽略每一个知识点。快题设计就没有太多的办法，如果你是跨专业，只能找个人多练，拿出历年真题多做才可以，没有什么捷径。 献上一本资料：    目  录    第一章  2017年风景园林硕士考研复习攻略	2    一、育明教育·2017年考研复习宏观规划·仅供参考	2    二、2010-2015年北林风景园林考研报录情况	4    三、2017年北京林业大学园林学院考研常见问题解答	5    四、北京林业大学风景园林专硕考研大纲解析	7    五、北京林业大学全日制风景园林硕士专业学位研究生培养方案	15    六、北京林业大学2015年招收硕士研究生复试、录取办法	17    七、2016年园林手绘考研复习指导及攻略	20    第二章 育明教育：公共课复习攻略	22    一、育明教育：公共课复习的两个“务必”和两个“坚持”	22    二、育明教育：2016年考研英语25分作文三步攻略	23    三、育明教育：2016年考研政治90分复习和答题攻略	24    四、育明教育：2016年五阶段考研复习法	26    第三章 育明教育：园林综合考研笔记（背诵版）	30    一、北京林业大学风景园林专硕园林树木学	30    二、北京林业大学风景园林专硕中国园林史	43    三、北京林业大学风景园林专硕城市园林绿地系统规划	83    四、北京林业大学风景园林专硕西方园林史	95    第四章 北京林业大学园林设计历年考研真题	119    第五章 北林风园专业硕士综合理论考试心得	144    第六章 北京林业大学风景园林专业硕士理论试题	146    第七章 西方园林史资料集	152    第八章 育明教育：北京林业大学风景园林基础考试题集	197    第九章 北京林业大学风景园林专硕考研模拟试卷	210  
北京林业大学金融学专业怎么样?,比你大一届，也想转，北林的经管院的地位到时挺高的但是在北林上了一年了。那儿的人多是一大特色。。。经管院最好的是会计，其次应该是金融。今年转专业，会计收12个，金融招8个，所以成绩一定要保障
北京林业大学，水土保持与荒漠化？,我也没有毕业，比你多上了两年学，工作还是找的到的。从事水土保持方案编制和监理应该是绝大多数人的选择，还可以读研读博做研究员具体工作我还没有做过，如果不打算从事本专业工作，可以上研究生的话，还可以转向很多方面，比如土壤，环境~
北京林业大学自主招生，主要考什么？,一位自招来的学姐谢邀    那得看你选什么专业啦，不管什么专业，学科基础一定是最扎实的，而且知识面要广，并且真的对该学科有很大的兴趣，不然自招对你来讲没有益处，反而会让你以后的生活更迷茫，相比只不过是一个较好点的学校罢了。一般考自招的同学都是参加过各种竞赛的啦，自招的难度比竞赛简单，一些大纲类的东西会考些，当然这部分是在高考范围外的，高中教科书中也没有的；还有是高考范围内的知识，题目相对高考难度也会简单些，所以之前说基础一定要扎实。毕竟学校对本科生的科研要求并不很高，只是选拔培养人才，所以只要你选择你真正感兴趣的专业，就一定会有个好的结果的 祝你好运
准大一。中国农业大学 北京工业大学 北京林业大学 选一个，哪个比较好？我是指该校的经济专业。求指导。？,自然是中国农业大学。我也是今年的北京文科生，在京排名是900名至940名左右。招生提档线一定程上也能反映出社会对这个学校的认可度，三个学校中北工大是最低的。在北京北工大的名气确实也远不如另外两个，它更像是个大杂烩，不高不低的那种。林大也是211，是理工类院校，农大是985.211.国字号，副部级，历史和名气都比林大好，更重要的是，它是综合类院校，这对文科生很重要。我也是想学经济，在天津大学和农大之间有过犹豫。因为天大是理工类，毕竟在天津，农大是首都八大校中难得的综合类，文科确实是学校更重要。清北人师考不上的情况下它是最好的选择。 以上都是我个人观点，接受不同意见。
北京林业大学的城乡规划和土木工程好么？能简单介绍下么？我在深圳，是上深大的土木还是北林的土木？,不要来北林学土木，大一很闲，大二就快赶上园林了，大三课满的几乎是风园翻版一学期三五门课设累死…… 还有，学长来了才发现，全校男女比超过3:1貌似只有土木和车辆……
北京林业大学的园林和风景园林区别有多大？, 我是北京林业大学学生，专业是园林，题主若是不嫌弃我是新生，不妨听听我的看法。  首先引用北林官网，这两个专业的介绍：  园林：   园林专业前身可追溯至1951年创建的造园专业，是北京林业大学的传统品牌特色专业，现为国家级特色专业、北京市级特色专业，具有较高的国际知名度和认可度。    风景园林：    风景园林专业是北京林业大学的优势特色专业之一。其所属的风景园林学科为国家一级学科、国家林业局和北京市重点学科以及“211工程”重点建设学科，在教育部2012年学科评估中，该学科位居全国第一名，具有较高的国际知名度和认可度。   风景园林的优势在于，它从属的风景园林学是一级学科（16年学科评定，北林87/100分，全国第一），正因为这个第一的排位，风园的热度亦随之水涨船高。北林的风景园林是个很新的专业，在2007年才在北林正式设立，2012年提升为一级学科之后迅速发展（伴随着房地产热的影响）。由于它隶属工学，而且偏向设计，所以收到广大理工学子（学妹）的青睐。  而老牌的园林专业在这时候稍稍处于下风（招分略低于风园），而且招生比较多（一个年级，园林比风园多60人左右），但是园林的学习范围更广，也有设计，更偏向于植物搭配。总之植物方面园林专业会有更高要求。北林的园林专业入选了2014年的国家卓越农林人才教育培养计划，属于拔尖创新型，全国仅有三所农林大学的园林专业能入选这一档次（北林，南林，河南农大）。园林奖学金可能会多一些？  看了题目，感觉题主应该更偏向于风景园林专业，但是只能报园林专业。  扯远了，现在说一说课程：  风园课程更偏向于设计，设计课会比园林早一个学期。园林课程偏向于植物，会比风园多开一个学期的植物学课程。由于从属于同一个学院，他们很多课都是一起上课的。园林考研究生的时候比风景园林多考一门生物或者化学（自选）。假如你想多学一些设计，随时可以去蹭课。  就业方面，按照官网提供的信息：  园林专业：中国城市发展研究院，中国建筑科学研究院，上海市园林设计院有限公司等等  风园专业：中国城市建筑设计研究院，北京景观园林设计有限公司，清华大学建筑设计研究院有限公司等等  这两个专业国际知名度都比较高，出国要练好托福雅思。但本校出国读研的机会比较少，似乎只有一个中日合作项目可以出国去，其他要自费。  ——————-——————————————————————————————————  新增内容：关于梁希实验班（园林学院）  园林学院的梁希实验班是2013年新增的第五个实验班，大二时期将从园林学院的园林、风景园林、园艺（观赏园艺方向）择取大约35名学子组成梁希实验班。   园林设计 方向从 园林 专业和 风景园林 专业的大一学生中选取20人。   园林植物 方向从 园林 专业和 观赏园艺 专业的大一新生中选取15人。  可见， 园林是一个交叉专业，综合了设计和植物的优势。   希望对题主有所帮助。 
北京林业大学风景园林专业需要艺考么？,不需要。 不仅不需要，而且只收理科生。
大约文科多少分能考上北京林业大学?, 不同省份不一样吧 
本科西北农林科技大学和北京林业大学哪个更适合。？,我问了老师  他说北林六年前还是二本院校 师资力量还没有西农好
北京林业大学和ubc的合作项目怎么样，对两个合作专业不太感兴趣，但又很想去ubc，该怎样选择？,草业中加合作班不太了解。说一下生物类中加合作班，第一届中加合作班（2013级）大部分同学已经去ubc了。基本要求是需要在大三下学期提交雅思成绩之前考到6.5，单项不低于6.0就可以顺利去。如果不能达标则需要总分6.0，单项5.5，到了加拿大之后继续学习几个月的英语，同时再多缴纳一些学费。 生物类中加合作班在13年开办，由于属于降分录取，因此学费十分昂贵，课程设置也很复杂，与同级的生科班生技班相比差别很大，但毕竟还是属于生物技术专业。。 建议楼主妥善选择专业，不要为了去ubc本科学习两年而进生物的坑。更何况中加合作班学生质量参差不齐，学习氛围并不是很好，可能会间接造成一些负面影响。上面说的雅思成绩要求并不是很难达到，但13级仍旧有很多人没有去成ubc。 在中加合作班另一个坏处就是本科阶段从事系统科研会比较困难，毕竟导师培养本科生还是为了未来能有本院学生在这里读研，这对中加合作班的学生本科阶段从事科研任务加大了难度。 目前就院内情况看，我个人是觉得生物学院开设中加合作班，无非是为了多捞些钱多捞些名头，实际意义并不大。
考研:北京林业大学和东南大学哪所学校的风景园林专业好？？,是北林。这个专业北林是我国目前最好的
备选：兰州大学 ，北京林业大学 华中师范 中国海洋大学 成绩高出一本104 ，那么哪个大学更好一点呢？, 文科果断华师，中海北林看专业，兰大的优势在于是比较好考的985，保研名额多，考研出国也占优势。综上，文科华师，毫无疑问。理科中海洋，985而且地段还不错。想去北京的话北林，求稳的话兰大。 
怎么考北京林业大学或者南京林？,谢邀。 看人家要求。好好学习，准备复习考研。
在北京林业大学附近为什么会遇到很多韩国人?,因为整个五道口区域韩国人都多，地铁站附近还有韩国美食城，可想而知。
在北京林业大学学财经类专业好吗？, 抱歉之前没看到这个邀请~~~  现在绝大多数省份的录取已经下来了，也不知道你被录取到哪里了。  由于本人不是财经类专业，就简单的说一下吧。  在网上查到的财经类比较强的大学有  一：综合类名牌大学 北京大学，中国人民大学，清华大学。 二：财经类院校： 中央财经大学，对外经济贸易大学，首都经济贸易大学，北京工商大学。 三：其他财经类比较强的有： 北京航空航天大学，北京外国语大学，北京师范大学。  不过题主问到了林大，正常来说分不够以上几所大学的。那就应该选好一点的学校。报考你也要注意大学和地区。来林大没什么问题，林大财经类也不错，师资等方面足够。而且我们最大的优势就是地处北京，相关资源丰富。 
关于北京林业大学园林植物与观赏园艺考研的一丢丢问题？,兄弟加我qq 915611669 我也想考这个专业的研究生的，有什么情报可以一起分享下。
想跨校跨专业考北京林业大学的心理学研究生，请问需要如何准备需要那些书籍和学习资料，可以在哪里买到谢谢?,我有整理北林的学习资料和课程，可以联系我1720328421
今年考取北京林业大学风景园林专业硕士非全日制，念不念？,首先呢 北林的风景园林是全国第一 专业来讲是很厉害的 其次呢 非全日制今年改革了 毕业之后学位证学历证都有 而且毕业之后学校给发派遣证还是应届毕业生 如果题主本科在北京读而且本科也是风景园林的话 那么可能会更轻松一点 非全日制专硕和全日制专硕改革之后只是学习方式不同而已 而且也可以边赚钱工作边学习 如果导师负责的话还可以有导师这个资源 具体还是要结合题主自己的情况 
选择悉尼大学还是选择北京211北京林业大学？,反对@宿强 我开始怀疑自己是不是身在北林了 开始志愿上有北林 就是因为听说北林学风好 女生多的地方竞争也会比较。。。我觉得很多人都懂的  举个栗子 我是林经大一学生 在我们寝室 有一个学霸 听她自己说 是没考上清华所以过来的 虽然我不信(¬_¬)ﾉ 但是是真 学霸  早上我七点醒来背雅思单词的时候她已经出门自习了  水课做高数 中午不午休 自己预习or复习功课  晚上在学研中心自习到熄灯再回来 回来以后拿上电脑 自己在床上看课件看到一点  如此反复 每天都是这样 . 好吧这个栗子有点极端  除此之外 寝室里其他妹子也是极其勤奋的 经常一早就去图书馆或者学研中心自习  自认为自己是寝室最学渣的 我也会在每早在走廊背完当日给自己定的任务单词 每周日早起去辅修日语 有空闲时间会看看高数 背背日语 看ACCA  在我们班别的同学每天背单词打卡都打在朋友圈 他们付出的努力大家也是有目共睹的  我们是林经普通班 并不是成绩差异所以没进梁希班 大多同学都是因为不想自己以后被锁定搞科研   梁希有同学经常会嘲笑我们班是垃圾班 虽然愤怒但是 还是承认他们的整体勤奋程度要比我们强 梁希学生经常会在外开房 通宵刷夜 每逢考前 走廊更是会有很多妹子搬出椅子来背书 蹭过他们的课 小班教学的优势很明显 有不懂的问题当堂就会提问解决 课堂气氛很活跃  还有别专业的 我所认识的很多人都是很努力的 也许我的认识很片面 但我也不希望@宿强同学因为自己所看见的小范围的事来否定整个北林的学风
在北京林业大学读研是怎样的体验？,我将要在北林读研，所以对于这个问题还没办法给出一个答案。 虽然本科也在北林，但是对于研究生那边不太了解
北京林业大学和合肥工业大学哪个比较好？注：北林不一定上最好的专业，合肥工业大学应该可以上最好的专业。？,工大毕业，北林待过两三个月。北林小，工大大。北京有优势，工大整体实力略强。
2017届天津理科考生603分能考上北京林业大学吗？,只看线差，可以。自己找其他数据，算
浙江大学园林专业和北京林业大学风景园林专业怎么选择？,浙江大学风园偏植物相比于北林而言轻设计，北林作为风园老大哥其本身尤其这几年越来越注重设计本身对于快题考查力度加大。如果楼主想真正从事风园设计方向这个行业，北林无论其资历还是在行业的话语权强于浙江大学。
想学计算机，西安电子科技，北京林业，华东理工，这些大学怎么选？发达城市vs特色专业？在线等，挺急的。?,北京或者西安
北京林业大学自招需要注意什么？,谢邀。准备北林风景园林专业的话，八开素描的话，我个人建议内容就是风景写生，题材可以是公园，苏州园林，古镇风光，刚偷偷查了下北林的自主招生简章，是不是上交的作品和徒手画测试做对比？所以，你还是根据你的拿手程度选择画画方向，哪块比较好就尽量展现哪块
上海理工大学（非211），郑州大学，安徽大学，南京农业大学，北京林业大学，应该选择哪一个？,南农或者北京林业。  但最后还是要看专业。
风景园林考研，北京林业大学比南京林业大学到底难在哪里？, 报考的人多，据说今年专硕报名人数上一千了。  我是南林的，很多人觉得南林相对好考一些，其实竞争也很激烈，今年理论部分压分很严重，而且每年出题目的套路都不一样。 
北京林业大学土木工程专业也么样？就业方向好吗？求解？,挺好的，课程轻松，奖学金多，可以让你一年在外旅游300多天还不花一分钱的同时还能拿到留学的offer
