太原理工大学和哈尔滨工程大学哪个文科专业好？,为什么要去工科屌丝学校读文科？
如何评价哈尔滨工程大学辩手平慧轩的辩论水平？,唔，平师傅是我亲手带出来的，讲道理问题还是不少的，比如神经刀，不过就目前的工程现役本科辩手而言，应该没有硬实力强于她的。  首先，我讲她实力强并不是说她真的就是个很强很强的辩手了，这关键是由于工程辩手们的衬托。在很多天赋不佳又不努力的辩手的衬托中，平同学的实力配得上她的努力。  其次，楼上的同学讲，平同学临场反应快，抓点准，框架完善，从一定角度上来讲，这并没有错，这确实是平同学在场上比赛的时候给大家的感受。但是我们还要思考一个问题，就是为什么？为什么她看起来毫不费力就这么强？而实际上，不客气的讲，她的临场反应和抓点就目前看来基本上属于她的最短板。而她场上的假象则来源于她真正的优点，努力，且认真。她和她的团队在准备比赛的过程中，真正的搭建了相对完善的构架，预设了应有的战场，并对预设的战场进行了比较充分的准备。当然，这些工作对于国际一二线队伍而言，都是必修课，可是当她遇到的是讨论辩题的过程中，更多的在思考数学作业和麻辣串的大多数现役工程辩手的时候，这部分的准备工作就显得出色而突出。通常在对手还在纠结她们的论到底是什么的时候，她们已经找准切点开始攻击了。这才给人以她反应快，抓点准的感觉。至于怎么应对她，反正你们应该也遇不到她了，我就在结尾给出具体打法，如果忘了请评论提醒我。  平同学大一的时候还是个只会凭本能去反应的小辩手，这跟绝大多数的同学都一样。可能她表达基础还算过得去，所以显得略有优势，而相对于当时刘同学和孙同学的惊才绝艳，就显得平平无奇了。所以她这种程度的进步是怎么得来的？  主要原因在于她自身有一颗把辩论这件事当回事儿的心态，和想要积极努力学习的热情。而次要原因则是她在大二的时候，全程参与准备了第二届捭阖杯全国辩论挑战赛东北赛区的比赛（虽然她只上了一场），并且遇到了相当惫懒的在下(•̀ω•́)✧。当时讨论辩题的日常是这个样子的： 我：我觉得这个题吧，我们已经赢了（辩手的自我洗脑莫当真），因为blablabla 夫神：哎呦这个叼，我觉得吧还有blablabla。 我：卧槽这把坑都堵住了还自带战场效果，这框架不就出来了么？ 夫神：对啊对啊那就这么打吧 我，夫神：平师傅，明天资料和一辩稿一起拿出来有问题么？ 平：..........    然后本来20分钟就可以结束讨论的超级高效的准备过程，变成了一晚上的灌论讲论大课堂（主要是因为我俩实在懒得写稿懒得查资料）。而平同学最值得提倡的一点是她从来不会不懂装懂，不会就是真不会，听不懂就是真听不懂，觉得你逻辑有问题就拿自己逻辑出来讨论，直到她真明白为止（当然这个过程是痛苦而漫长的）。而一般，在第二天，平同学会在第二天下午四点多钟的时候准时发我一份一辩稿，求修改当晚基于此一辩稿进行后续准备。一般我会把嫌弃的地方画出来，嫌弃的结构写出来，然后发回重改，我继续dota。而又通常，晚上去讨论的时候平同学是一脸懵逼的（不懵逼才怪，谁知道你那些奇奇怪怪的要求哪来的by假装夫神的吐槽）。然后就是不停的修改立论，逐字逐句的订正，然后就是不停的约模辩，在模辩里把攻防处理掉，把节奏安排好，一轮比赛就可以上场了。所以这一轮一轮的比赛过程中，我们把路给平同学指了一遍又一遍，加上她勤奋好学，才终于学到完整的准备比赛的方法过程，而搭配以较清晰的表达上，才使得她无往不利。而同时，让我真正惊讶的是另外一件事。就是立论稿里经常会出现我之前没提出来过的数据和观点，每次我表示懵逼的时候都会被一篇论文砸脸上，看完就懂了。平同学对于资料的筛选已经精确到点了（当然，这对于很多学校而言依然只是个基本功），就是任何一个数据她都知道在哪个逻辑线中的哪一环，论证的哪个前提。而不像某不愿意透露姓名的张姓学姐，甩我300多页资料里面有1/3来自于百度百科，且无法使用。所以，通过学习到了完善的备赛过程、论证框架的搭建方法，加上自身对于数据的敏感与对于论的把握，使得在其充分准备的比赛中，往往稳如泰山。仅仅凭借这一点，在低端赛场上已然无往不利。   ～～～～～～～我是分割线～～～～～  讲完了优点讲讲她缺点，以及在低端局如何应对这样的辩手。  平同学的战场意识和框架意识，早在网辩对阵宁波大学跟吕总对位并取得胜利的时候，已经融会贯通。那年她大三。然而在整整一年半的挣扎之下，才拿到冠军，这和她本身的实力并不太相符。这主要是由于她有一个神一样的技能，我称之为自砍双手双脚并递对面关公刀。从新生赛半决赛对阵全新的国际合作学院的立论自断出路，到上届校长杯半决赛对阵机械学院上场前决定比赛中，整个论证的核心逻辑完全不讲了。几次重大的低端失误导致整体框架崩塌，直接输掉比赛。  所以其实对于这届校长杯踢馆赛的改革，我个人认为对于踢馆辩手的优势太大了。因为他们不仅仅是可以转换院系，更重要的是他们可以在八强直接切入比赛。这意味着他们只需要专注比赛两三周的时间，而其他的辩手要坚持近一个半月的时间。这不是前两轮低水平的比赛不用打那么简单，这意味着别人要保证一个半月的时间没有别的事儿！你只需要几个周！！而一般来说，疲劳期主要出现在第三第四轮次，而准备最充分的往往是第一轮次。人家都再而衰，三而竭了，你才一鼓作气，专注程度差太多了。你能想象上午要论文中期答辩的学长晚上要跟你比赛么？你猜他能准备多长时间？而赛程短，意味着遇到意外的几率小了太多。  而除了神经刀之外，平同学的辩论天赋不是那种非常优秀的那种，她的反应大多是建立在对于论的理解的基础上的，所以遇到奇袭，她的临场判断并不能帮她直接找到对方命门（奇袭自己做的就不自恰的奏凯）。这一点上跟她对比明显的就是唐总。临场拿出来准备五分钟，直接打，她绝对打不过唐总（毕竟唐总真正比赛有效时间也就这么长了），唐总临场抛例子的能力确实强到不行（这个是真的强，不是那种相对的强）。随着准备时间的加长，她才有可能追上唐总的临场。她对于论的理解速度和反应速度是相对来说比较短板的地方。  最后，教你们怎么对抗平同学。  第一招，压缩她的比赛时间。如果你是主办方，就在周五出题目然后让她们周日打。如果你不是主办方，就请在备赛期间不停的请她吃饭请她出去玩请她帮忙什么的，总之就是让她没空去认真的准备辩题。这样的话，压缩了她的长项，她是有可能神经刀自杀的。也大大加强了你们的胜率。  第二招，奇袭。在非常规思路的奇袭过程中，平同学的反应通常是比较懵逼的。回应的基本动作依然有，但是从理解到抓点需要比较长的过程。通常这个过程超过了一个小时，而比赛早已打完。  最后，就请各位真正的努力去学习和提升你们的辩论水平吧，学学框架怎么搭，战场怎么设，把吃麻辣串的时间放在思考表达和查找资料上，把讨论的时候做数学作业的时间，抽一点出来理解理解论，学学逻辑学。这个游戏很简单的，这个蠢萌的货都能学会，我相信你们也可以哒！  以上。
哈尔滨工业大学深圳校区交通运输工程管理与规划2017年录取分数与人数？,分应该不高  毕竟没什么人。 
如何看待哈尔滨工程大学运动会不许玩手机，不许说话，下雨也不许打伞的规定？,在我大理学院，并没有这种情况发生。没院服没口号，有雨伞有雪糕。感谢组织，让学弟学妹们能少受一点罪
哈尔滨工程大学能否进入双一流大学行列？,船海专业就是双一流专业
如何评价哈尔滨工程大学小白单车被哈工程的车队给锁到车库？,首先声明本人不是为任何人洗地，只是想表达一些一部分让没有看到的事实。  贴吧发帖的那个吧友在我看的时候还没有设置隐藏动态，根据他以前发帖发现她是一名08年入学的国防生，现在是17年，而且据我所知八公寓没有博士生，因此感觉大家可能被人当枪使了。
哈尔滨理工大学的电气工程及其自动化是个什么样的定位。?,有一个二级国家重点学科，行业内应该还有点名气。对于高考学子性价比较低，本省尤其不要报考
哈尔滨工程大学专业选择？,个人意见，自动化&gt;计算机&gt;核工&gt;软工.  然后还有就是看愿意不愿意读研，读研的话计算机自动化很容易都能去一个牛逼的985，核工方向太受限制.  当然如果大学四年混吃混吃等毕业那更是计算机能有个相对的工作，两个专业同样一个学生以混毕业的成绩找到个一般般工作，核工的工资会让你哭死，摔!  最后嘱咐，核工万年坑，弃坑保平安. 而且说不定你会去个比哈工程好多了的大学，那时候估计你根本都不会记得还有核工这个专业.
哈尔滨工程大学曾经出过多少位院士，都是什么领域的？,目前来说，哈工程真正有两位院士，一位是杨士莪老先生，还有一位是15年末刚评选的杨德森院士。两位院士都是水声工程学院的，而且杨德森院士当初是杨士莪老先生的学生。学校网站的其他几位院士都只是挂名(你懂的)。 鄙人不才，15年大一上学期时，陈赓班选导师时，我选了杨德森教授，没过多久教授就被评为院士，虽然我至今也只见过两回导师的面，但是那种导师突然成为院士的感觉真的好爽！ 找了两张照片 [[img=1121701472杨士莪院士]] 杨德森院士 不知道为什么杨士莪院士的照片总是贴不上去，大家可以百度一下，两位院士给我的印象是：和蔼、睿智！而且杨德森教授还是一位小提琴手，这一度让我想到多少科学家与音乐的缘分。
如何评价张雪峰安利哈尔滨工程大学？, 泻药（假装被邀请）  作为一个还在读的本科生小白，看到各位学长、学姐（不存在的）的回答瑟瑟发抖~  那我就发一些平时在学校拍的照片吧，没有学校宣传照那么好看，但是更真实（强行解释拍的不好）  多图预警，流量党速速退去～                                                                             暂时就拍了这些，都是平时上自习时用手机拍的，时间跨度两年，以后还会更新，欢迎各位童鞋前来交流哦～       
如何看待哈尔滨工程大学计算机学院的强制自习？,       还记得六年前的一个晚上，我一个人在寝室抄高数作业，就我一人，那时候用的还是诺基亚滑盖手机，不玩手机，没女友，我就是一个认真学习的好孩子，心无旁骛地抄作业，安静都异常啊，就感觉事不妙，这时朱导一个闪现来到了我们302，我一脸萌比，我迅雷不及掩耳盗铃响叮当之势要合电脑，我电脑呢，我他妈哪有电脑啊，大一不让用电脑，瞬间我就淡定了，他告诉我寝室晚9:30之前不让留人，都得出去学习，没办法，我只好放下手中的笔，抱着篮球去军工投到了9:30
哈尔滨工程大学自动化研究生好考吗？报录比是多少？,慎重    复试比例2：1 招300人  600（其中300人是调剂的）人进复试 主要看你自动控制原理怎么样！这个专业课还是有点难的，内容太多。而且很多本科学校只讲前6章（就是讲到系统矫正） 后面的非线性、离散系统、还有整个现代控制部分都不讲。自己考虑清楚。   如果执意要考我有网上买的真题，可以便宜转让。
有一个哈尔滨工程大学的男朋友是一种怎样的体验？,每天挨打
哈尔滨工程大学船舶与海洋工程前景如何？,转行才是最大的出路——来自已经转行的08级船舶专业毕业生的心语
如何在哈尔滨工程大学找到一个男朋友?,本人现哈工程大一学生，全校男女比例3:1，工科院系7:1，女生在这儿那真的是十分稀缺，完全不用担心没有男朋友，除非自己太没特点
西南交大 哈尔滨工程大学 西安电子科技大学 选择哪里？,如果这些学校不是211你会报吗？
环境科学与工程考研，哈尔滨工业大学难考吗？大概每年专业分数线多少？本部与深圳院有什么区别？求指教?,哈尔滨的冬季气候对于一个信阳人来说是不能忍的，而且坐车去来都不方便。而且就环境方面的专业来说，建议你不要选东北的院校。。。江浙一带比较好吧，离家里也不远。什么都不方便。你已经在山大和湖大读过了，建议考更好一点，加油！！！
在哈尔滨工程大学软件学院就读是一种什么样的体验？,hhh竟然有人邀！ 那么先占坑回来扒一扒讲黄段子老师的事 说错不负责 ————————割了黄老师———————— 不知道和题主说的黄段子老师是不是同一个 我说的这个先是教计算机导论，后是带实训，接着教某导论某英语   先说黄段子老先生权力大随便给成绩的事   黄（段子）老师最先教的是计算机导论这门课，但他只教部分班级，这部分班级同学当然就算黄黄的亲学生了，于是答疑啊什么的就能看见黄老师只叫这几个班的同学去～之后的实训呢，自然就亲学生的分数高咯～别的班的优秀良好啊想想就算了，抱着及格和中等哭去吧，然而亲学生们的班级优秀率比其他班高很多哦～当然也可能是我感觉错误:-)   一会再说说他讲的黄段子 —————————————————————— 吓死宝宝了，同学这么多，我好怕  
吉林理科生高出一本线40分想去哈尔滨工程大学！？,主要看位次 10000左右 我陕西的 我们省三十万考生 当年高出一本线105分 不过主要还是看位次 分数线什么的不要太在意 
哈尔滨工业大学和天津大学的工程管理哪个更好？,“工程管理”是二级学科，其一级学科为“管理科学与工程”，简称“管科”。 在历年教育部学位中心发布的全国高校学科排名中，管科前两名一直是清华和天大。 而天大管科的优势，正是在“国际工程管理”这个方向。
请问哈尔滨工程大学的光学工程怎么样？是哈工程，不是哈工大?,我是哈工程的，总得来说，在光纤传感领域，业内还是比较认可的。今年保研，一个同学给北理，北航，北邮同时投简历，都收到了老师的offer。
哈尔滨工程大学，电子信息工程专业主干课程包括C语言吗？,理工科都要学c的
在哈尔滨工业大学读软件工程专业是怎样的体验？,你好学弟。。。可惜我不学软件。。。  @王子豪  不知道这个是不是学软件的
哪个网址有靠谱的哈尔滨工程大学里某个专业的所有老师名单和对应信息？最好是官网,每个学院网站有自己学院老师的名单吧，你去教务处网站。网站上有各个学院网站导航
哈尔滨理工大学的电气工程及其自动化专业好像还不错，为什么大家谈到电气专业的时候通常都会忽略呢?,哈理工引以为傲的，吹出花的电气，教育部学科评估全国排名仅20名，比东北电力高3名而已，知名度就业还不如东北电力。 天天挂嘴边的院士雷清泉都不知换了多少个东家了，青岛科技，南方科技，到处跑，就不在哈理工——人家早就跟哈理工没啥大关系了。 学科带头人，副校长赵洪又被抓进去了，赵学问能力还不错，但是哈理工校运下坡路谁都挡不住，呵呵。 至于所谓学风，哈理工学生一提MBA就说自己倒霉被抓典型，鸵鸟心态，其实这只是冰山一角，理工作弊简直成风，曾经一个学院补考集体作弊酿成事故校内通报，这些你们都没听说过吧？
想问下哈尔滨工业大学和华东师范大学的软件工程专业那个更好？, 这不必须华师大啊。华师大软工上海谁不知道。 
吉林大学冷门专业，哈尔滨工程大学三海一核选择你会怎么选？,如果你对哈工程的这些王牌专业并没有很大的兴趣（非这个专业不学的这种），我建议你还是选择吉大吧，毕竟985，实力也很强，就想你刚才说的，进去之后可以以后考虑转专业。我当时报哈工程，是冲着船舶与海洋工程这个专业（最后也进了，哈工程的这个专业在全国不是第一就是第二）。
如何看待哈尔滨工程大学改成书院式寝室的决定？,个人看法:认为没什么用，领导有领导的眼界，他们有他们的考虑吧。
在哈尔滨工程大学读书是一种什么样的体验？,“你在哪儿上学啊？” “哈尔滨工程大学” “哈工大呀！真厉害！” “……嗯，哈工大……”
大连理工，北京工业大学，哈尔滨工程大学，计算机类的中外合作选哪个？,别选北工大
哈尔滨理工大学软件工程专业怎么样？,谢邀！ 先介绍一下我自己吧：邓琼，04级5班哈尔滨理工大学软件学院，软件工程专业，原院学生会副主席，现在阿里巴巴国际站产品专家。不像上面回答的人，我年薪没过百万，但是也不差，至于我们学校、学院的毕业生有没有年收入百万以上的人呢，我明确告诉你：有！具体是谁我就不点名了！ 如下我层层说一下评价吧！ 职业轨迹： 2015年03月--至今：阿里巴巴国际站产品专家 2013年9月--2015年3月：腾讯科技（上海）有限公司，SNG即通综合部产品经理； 2008年---2013年：深圳天源迪科信息股份有限公司单元测试--&gt;开发--&gt;产品经理--&gt;高级产品经理--&gt;高级售前经理 先给你们看这些，不是证明自己如何，只是先告诉我还在这个行业内部，算是有资格谈一下学校对我的影响，如果你还想在互联网和IT这个行业中生存的话，我觉得我可以给你一些建议，具体的评价如下： 1、首选先明确，哈尔滨理工大学不是哈尔滨工业大学、 不是哈尔滨工程大学！      这个信息对外地同学和考生非常重要！哈尔滨理工大学不是985院校，不是211工程院校！请记住这点，一些槽点可以百度张雪峰考员7分钟视频！你要是630多分千万别包错这个学校！这是第一个客观评价！ 2、哈尔滨理工大学的强势专业不是计算机      哈尔滨理工大学原来是机械工业部下属的部属大学，但是这个已经好多年了，王牌学院是电工学院，主要方向是高压电和电力传输啥的，具体的别问我，我也不是学这个的，只是家里长辈是这个专业毕业的，店里系统混的还是相当不错的，其次是机械学院，毕竟是机械工业部的原来的学校； 3、软件工程学院曾经是一个独立招生的学院      首先：03年-08年我离开学校，一直是这样的，所以你懂得，曾经我们学院比三表强点、还不如一般二表，我进来的时候都不是一表招生，在学校的地位和计算机学院、信息管理专业可能都不如，但是软件工程是一个万金油专业，也是一个比较好就业的专业；      其次：全国哈理工排名最高上过理工科99名，记得是这样，反正不是很好啊，所以这个学院在全国相比的综合竞争力并不是很好，也并不算差，中等而已，我自己的评价（嵌入式的、集成硬件专业的我不评价，因为没法评价，那个专业招生的生源好很多，我下一届才有，很多学生相当不错后来考研都去了哈工大）； 4、就业情况：还可以，算得上说的过去的      作为曾经的学生干部，我可以和你说一般来说还是能找到工作的，我08年毕业月薪4000，当时腾讯深圳6000，华为记得是5500，中兴通讯5000多点，这些我说的都是本科毕业的价格，但是我大部分的同学都是大连东软和华信，当时最高的是2800元，最低2200元，其实很多去大连的人比我学的好！但是我也是年年能混个奖学金的人，当然这里面有很多门道，奖学金不代表能力！       总体来说学计算机想有口饭吃很容易，挣得还行，但是必须是二线以上城市！        再透漏一些我知道的信息，我们学院毕业的学生进入BAT的人不太多：03级我知道的百度应该是不超过5个人，基本都是开发；腾讯基本也不过5个人，还算上和一个离开的同学；阿里巴巴我现在发现的只有我和我一个同届的同学，还有15年毕业的一个学弟，他是做开发的，哈理工应届相当不容易进来，你自己要很努力，我能进来完全是工作经验……        华为的人数应该也不多，基本都是集成专业的学生，05级就知道一个廖石磊，可能应该是不到10个人，说这些数据就是告诉你，你努力一线公司你可以进，但是要努力，尤其是毕业就进好公司！但是实话哈理工的学生可能进一线公司的几率降低很多，因为学生素质、教学质量、招聘时公司策略综合导致的！不是绝对的！  5、学校情况：一直在进步      学校设施我毕业之后虽然没回去过，但是有关注，一直在变好，但是离开西区，去了东区之后软件学院的环境估计变差了一些，因为东区的综合设施不咋地……活动、基础设施、环境都不如南区和西区，但是实话东区学生的综合素质最高，因为曾经的电院在那里，哈理工唯一的院士在那里，综合努力情况也好很多！  6、社团活动情况：总体东区都不行！       社团和活动也都不少，但是基本和东区无关，我作为学生会、广播站都参与过的人和你说一句实话，这些都他妈不重要！！！！这些都他妈不重要！！！！这些都他妈不重要！！！！学习最有用，你工作都不靠这些，参与可以但是不要就搞这些！  7、老师的情况：一直在提升！       我只说我认为好的老师，张淑丽（我导师，虽然比较严厉，但是我请你尊重她，她当年是可以去腾讯当高级工程师的！系主任）、郭红（应该是没记错吧，数据库老师，请关注课讲的可以，应该也是系主任了）、张宏国（不是教我的老师，但是总体不错，可以多问）、李晓静（应该没打错，工程通讯的硕士，讲课认真）、苗老师（临时想不起来名字了，人很好，讲课干脆，直奔主题 ，都是干货）、李金刚（这厮讲课非常不错，你会愿意听的，因为私人关系好，我敢这么叫他，他的UML没想到最后成了我最常用的东西之一……）、崔香（人很好，这个老师在意，你愿意问，她还是很愿意和你分享的，有些看法能让你少走点弯路）  最后我说一下，我其实对哈理工的感情很复杂，我认为自己应该更优秀，但是最后去了哈理工，我也无所谓的后悔，因为那是我的青春、我的母校，也许我觉得他有很多不足，但是那永远都是母校，一段我们无法磨灭的记忆！
高考后要去哈尔滨工程大学参加自主招生面试和笔试。有经历过的学长和家长吗？求经验!？,谢邀 不过我并没有参加自主招生…
考哈尔滨工业大学道路工程研究生如何准备？,我觉得考研大体思路是差不多的，就是多做题，数学是关键中的关键，英语政治多读多背，专业课提前问清楚有没有范围。太具体的帮不到你了，因为没考过
哈尔滨工程大学材料科学与工程专业男女比例是多少？,材料科学与工程有木有研究生给辅导下专业课呢？！
河北考生学软件工程选择北京邮电还是哈尔滨工业还是西安电子科技大学？PS今年高考分数647。？,就你列的几个学校，北邮
在哈尔滨工程大学外语系就读是怎样的一番体验？,好玩 轻松 有意思 随便学 学了就保研 
哈尔滨工程大学和天津科技大学相比，该如何选择？, 如果题主不是把哈尔滨工业大学、哈尔滨工程大学、哈尔滨理工大学搞混了的话，那这个问题…不在我的理解范围内，不知道题主是怎么想起来问这个问题的。反正我也没弄懂你的天津科技大学和天津工业大学，就当你没弄混吧...随手打几句。  首先，有人提到了211的问题，这个咱们就不提了，虽然上面有要求，不允许就业歧视，但是赤裸裸的现实摆着呢，211就是有优势啊，985优势更大。对于招聘单位来说，不存在一本二本的区别，他们严重只有：985、211、其他。 从建校时间看，毕竟天津科技大学也是几十年历史了，刨除教育部的分类，历史积淀也是不容忽视的。那看看“有很大水分的”大学排名吧：武书连榜单排名哈工程64，天津科技大学177；网大排名哈工程51，天津工业大166。排名有水分？有。但水分能让同为一个层次的工科学校相差100多名？不能。  其次，关于天津就业的问题。我不觉得哈工程的毕业生去天津就业有难度，反之倒是有天津某国企主动来我们课题组招人；虽然没人去，但至少说明去天津就业问题不会很大吧。  第三，哈尔滨这个城市，确实地理位置非常不占优势；但是我觉得对于上学而言，在两所学校层次差别不大的前提之下考虑地理因素完全没问题，但是，请看首先。  最后：太多的不想说了，看问题也知道题主应该是高三之类的学生吧，喜欢提问没问题，但请自己了解一下实际情况再提问，度娘还是有很多可以看得东西。  利益相关：哈尔滨工程大学硕士。   补充：评论中有一条建议很好——能上985不上211，能上211肯定不上普通一本；然后就是能去发达城市上二本就不要去一般地区上普通一本。 
哈尔滨工程大学的转系为何都爱往排名不是很靠前的一系五系转，而是往4，6，8系转？,鉴于不明生物不明原因的乱咬，我真的是极不情愿的透露一些数字。讲真我个人和八系很多学长还有同学关系都不错，本来不想贴出来的。2017届毕业生的数据我没拿到，为了防止其他生物再乱叫，贴一张时间最近的，2016届的硕士薪酬。声明；所有数据为税前年薪，单位万元。另外我在下文说过了，五系不是哈工程平均薪酬最高的。我不再做任何无谓的讨论了，我这里所有的数据都可以在官方渠道获取，真不了解自己学院情况的麻烦自己问问自己学院的就业指导老师，真是醉了。。。 五系4-6w4人(5.19%)，6_8w18人(23.37%)，8-10w30人(38.96%)10-15w25人(32.46%)八系对应薪酬人数44(29.13%)67(44.37%)23(15.23%)17(11.25%).统计截止时还有部分毕业生没有签走。至于是优秀的还是差的大家自己猜。后续数据我也没精力去要各院系的了。我说了，所有数据问问自己学院就知道了，我真的懒得墨迹了，你非要说你们牛逼那就假装你们牛逼吧，我的任务只负责摆数据。说实话，转系这事自己琢磨吧，我不推荐五系，也不反对，话已经说的很明白了，五系不是薪酬最高的，只为钱的大可去六系。拿个保研名额去一个好一点的985。    以下为原答案 泻药。 首先哈，题主这和说法就很不科学，或者说，很感性。凭什么说很多人转进4.6.8系呢？我先列一组数字，以2015级转系为例，1.4.5.6.8的计划招收转系人数和实际转入人数如下(括号内为实际转入人数):28(17).39(39).18(18)，19(17)，33(33)。解释一下我对这组数据的看法，第一，题主看到的四系八系转入人数多的原因其实很简单，四系八系是大系，招收人数多，所以自然你看到的转入人数就多，六系我不知道题主是挺谁说的，数据上你可以看到，招收的人数不多，而且没招满，招满了虽然不能说明一定很热门，但没招满至少说明不是热门对吧。五系不过是一个二级学科，一个年级才180左右的规模，和八系(329)和四系(380左右)的大系招收的人数自然不能一样，五系招18进18，之前说明五系不是没人转吧。 第一点我是要说明两点，第一看人数的同时看一下招收多少人，举个很简单的例子，我的专业在我所在的省只招两个人，而随便拿出来一个专业都比我所在的专业多，只有两个人进了我所在的专业，所以我所在的专业前景就不好，这个逻辑恐怕说不通吧(当然，前景的事后面后面说，这里假设前景和大家选择热度是一回事)，第二，六系不是转入大系。 然后另外一个问题，题主凭什么认为转系的人选择所选的系一定是对这几个系的前景充分了解了。最大的一个问题就是恐怕题主所在系大三的都不了解自己系平均能挣多少钱吧。。。更何况，别的系的情况，转系的人又怎么会了解，甚至我敢肯定的说，至少85%的人在转系前对要转的系没有充分的了解，甚至于回答他们问题的人对自己系的就业薪资状况也只是不基于统计的感性认识或者道听途说。甚至于到现在，我认识的几个转系生对我所在的系的前景甚至毕业去向都相当于一点都不知道。假如看别人如何报就知道哪个专业前景好那如今哪还有那么多从高分专业转到低分专业的人，高考看哪个人多哪个分高就报哪个好了，船舶的同学应该深有体会随大流有多坑吧。。。而且还有一个很重要的问题，很有意思，很打脸，六系才是本科平均工资最高的系，和他差不多的是核。更打脸的是，八系的研究生平均工资并没有五系的高(这点不需要撕逼，因为五系原来的书记是八系的，所以她有统计毕业生的薪资待遇，都是有数据的，而且现在来撕也没有意义，以！为为例吧，五系和八系同时竞争到真招聘时有兴趣的可以去做一下实验)当然。我没说五系工资有多高，老实说并不高，或者说，传统工科行业的工资整体其实都不高，不论是水声，自动化还是信通，而且三者的水平其实并没太大的区别，就算是刚刚提的五系和八系，其实相差也不多，五十步笑百步都不是，五十步笑五十五步？而且只是平均水平而已，个人之间还是有差距的。至于为什么四系八系转的人很多，第一系大招的多，第二，自动化万金油，信通也是目前应用很广的专业，就业其实都不成问题，工资待遇其实传统工科又都差不多，所以去的人多也很正常。当然也不排除又被忽悠进去的，毕竟一些人从进学校就被洗脑哈工程多牛逼自己学院多牛逼。真的客观一点，市场行情就是这样，你的工资永远比不过软件金融国际贸易这种专业的人才。至于一系，目前船舶(这里不提港航啊，只是一系的船舶专业)市场的行情确实不太乐观，而且我个人观点至少7-10年内不会好转，当然我对这个专业了解有限，所以纯属个人观点。不过确实很多人对船舶不抱信心，所以出的多进的少，大概可以理解。
哈尔滨工程大学大一男生宿舍有四人间吗？,现在哈工程的宿舍都是按院系分的。现说男生，一系五系住12公寓，六系十一系十五系住十公寓。这两个公寓是有独卫的。其他公寓都没有独卫。三系九系四系七系十系住的是五十年代的楼。二系八系人文外语住的是比较新的楼。除极个别八人外，都是六人间。女生都是四人间。 除十二公寓个别房间外，所有宿舍都没有阳台。洗澡要到公共浴室。没有空调，夏天并不需要。我买的凉席都几乎不用。主要是这两天哈尔滨异常的热，但我不在哈尔滨⊙﹏⊙
哈尔滨工程大学的船舶与海洋科学对色弱设限吗？出来工作后呢？还有对核工程与技术设限吗？出来工作呢？,色弱不建议报核工程
在哈尔滨工程大学水声工程学院就读是一种怎样的体验？（本科或者研究生）？,我目前在哈尔滨工程大学水声工程三专业读大一，我是来自青岛，青岛有水声研究所，所以高考了解的多一些。 目前来说，哈尔滨工程大学在本科阶段水声专业是全国顶尖。有两个中国工程院院士，杨士莪和杨德森院士，因此国家也会比较重视。  水声工程分为两个专业，电子信息工程（水声）和水声工程。前者偏电偏应用，后者偏理论和实验。学校给予水声工程院系较大扶持，基本不亚于船院。奖学金也很多。并且在纯工科学校，水声的女生是比较多的。但若题主想来读本科，一定要注意了，水声学霸很多，真的很多，那么牛的成绩，咋就来了哈工程呢。（原谅……发一下牢骚）  水声的实验设备是很全的，水声院系有自己的单独教学楼，15层独栋，并且有专门的实验室。大约大三的时候就基本进入实验状态   但若是考研，个人不太推荐。（仅仅是个人看法）就比如有许多研究所731，7××啥的，还有中科院水声研究所也不错。研究生了解不多，请包涵。
哈尔滨工程大学文科怎么样？,好找对象
哈尔滨工程大学哪个专业好？,三海一核吧 本意是海运，海防，海洋，核技术  核心专业： 船舶与海洋工程（船舶设计制造） 热能与动力工程（船舶动力） 轮机工程（船舶发动机） 探测制导与控制技术（船舶导航、减摇） 水声电子信息工程（水下声呐探测） 核工程与核技术（核动力仿真与防核辐射）
