厦门大学好考吗，你们是怎么考上呢？,不难考，当年的保底学校，然而我研究僧还是过来了。厦大是个好学校！
厦门大学有审计学硕吗？,并没有。
高考文科生第一志愿填中山大学还是厦门大学？, 中大。毕竟在广州（一线城市）而且还有挺多好吃的，文史哲实力就不用说了。  和第一名北大还是挺有差距，但是这个分数能读到国内排名靠前的文科专业还是性价比挺高的。 
厦门大学在内蒙古招生人数？,每年都不一样（不过起伏不大），可以到厦门大学本科生院本科招生计划中查询得到
在厦门大学经济学院读研是什么生活？,本系同学朋友圈发了这样一句话：以后我儿子要是跟我说他考研要考厦大经院，我一定会打断他的腿。 于是乎许多同学默默赞同地按下了比心。
厦门大学的宿舍真的有传说中那么赞吗 海景房？,这样说比较片面，分专业的，具体怎么分不清楚，所谓最美宿舍那几栋红砖小楼是只有几个专业才有，而且也并不是越好专业越有。  至于芙蓉那一片，在石井山上后几栋的，宿舍常年不见阳光，窄小阴暗潮湿，浴室没有门，冬天洗澡能冻死，吃饭需要下山，搬行李需要上山，因为在山上蚊虫特别多。唯一优点可能是四人间，不过个人感觉跟六人间人均面积差别不大。感觉实在够不上条件好这个说法，当然也可能是自己专业不好人又少所以才分到这个条件。
高考志愿：临床医学报考 南开大学 南京大学 武汉大学 厦门大学 哪个学校该专业好？, 你的分这么高的话，这几个学校的医学都偏弱啊。  分够的话可以去华科的同济医学院。  中山大学医学院也不错。  关键看你想去哪就业了。  医生的话，第一、年限比较长。学历要求非常非常高。第二本地医院，要本地毕业的可能性较大。 
厦门大学中外合作办学的金融和管理怎么样？,我是厦大都柏林项目的学生，这里不匿名，宣传一下 2017级都柏林项目咨询群群号码：642152803  首先第一点： 圈钱肯定是目的，但不代表圈钱的项目质量就差！差了学校还能持续圈钱么？ 厦大为什么要砸自己招牌？厦大可是出了名的校友有钱，年年捐钱多的学校呀。要知道都柏林项目也是本一统招！录取线比一本线平均高85分以上。就说毕业生走向，11级有申哥大的牛津的剑桥的LSE的，也有不少去四大证劵公司的（详情可加群看资料，有绝对真实的毕业生去向表） 说一万句不比群里实际数据更能证实学长姐的优秀！  第二点： 花钱就是买分数的！而我正是在帮你分析买的值不值！ 如果你有本部经管院的分数，甚至是央财上财西南财同专业的分数，我当然建议你去那。可是如果你只是高一本线大概90分左右的分数，同等985你能报上经管专业么？（我们每场讲座，来的最多的不是本专业的学生，而是药学环生这种的，原因就不用我说了吧）更别说厦大会计第一金融前5（至于如楼上说的山东大学，我只能说你先别说师资了，排名第几啊？业内认可度怎么样啊？学校资源，校友资源怎么样啊？）我说这些不是要体现这个项目比山大这种厉害，而是最直观的把需求解决力度摆给你看！劣势你能不能接受，优势你需不需要， 优劣的权衡，每个因素对每个人都有不同的权重，每个人都有自己的判准 ，你要觉得如师资和课程安排合理性及学费贵的劣势你不在乎，又需要出国的氛围和周围同学的视野（毕竟家境不错）及专业招牌，你当然可以考虑来啦。但反之的话，我建议你放弃。 第三点： 毕业证的认可度。我可以很肯定的告诉你，我没有听任何学长姐说过受到就业单位歧视的！ 更具体的就是，没听哪个就业单位问你是厦大国际学院的还是经管院的！事实上，我就知道不少13级的学长姐已经在四大的面试中，斩杀许多经管院的同学（加群也有资料）  第四点：此点加于文章写后的一个月，因为一些评论，还是书生意气加上了。关于个别匿名用户说“不认我们做校友”.....这个....我想说，您贵姓？你...能代表哪些人啊？这个“我们”用的很没逻辑，请补充一下。再者，我们...什么时候让您认了？您的认可...对我没卵用啊 一个从不全面了解实情，就闲着没事开始站在道德制高点，在网络上匿名指责人，说话没有任何分析的厦大生（暂且当你是吧），我看可能，也就，不过如此……吧？另外你诚恳的让我不要找黑...那...不服气就喷我吧，我行不更名坐不改姓，道理不辩不明哦。  今天就先说这么多，如果有2017新毕业的学弟学妹想了解的，可以加群。我只想诚恳的提个建议，看任何事不要带主观偏见，也不要别人说什么就信什么，只有自己去实际了解过，才能做出正确的决定，不是么？   PS：本人因为近期有做过中外合作办学的相关调研实践，自认为相比没读过中外合作又没研究过的人，说的话更有道理。 
福建考生，喜欢念物理，选华东师范大学还是厦门大学好？,想读理论物理，首先你要明确一个问题  你家是不是很有钱？  如果答案为否，建议不要读理论物理
二本大学大二转专业后考厦门大学研究生应该做哪些准备？,学院转专业还是比较简单的，成绩上去就可以。转专业考试也是很容易的。
如何评价厦门大学数学科学学院教师谭忠？,从没见过如此不负责任的老师。 作为本科生的我，这句话送给他，如果有疑问，欢迎来听课，数分，偏微，数学建模。学数学别来厦大数院，来了能不选谭忠的课就不选。由衷建议。
怎样报考厦门大学艺术生？,对文化有信心的话，可以走省考分数进厦大音乐教育系，省考考试内容就是声乐加器乐，还有视唱无升降五线谱简谱挑一种唱，还有模唱音程与和弦，要考好很容易，省考分越高文化分要求越低。还有另一条路就是走厦大校考，音乐表演系。
在厦门上大学的学生生活费一般多少？主要支出在哪几方面，男生。,1500 一天吃饭不到30，一月差不多800左右，抽烟一月600，吃芒果一月100 
在厦门大学上学是种怎样的体验？,毕业典礼的时候校长讲过一句话，叫如果一个学生在学校里喝的是干净的水，那么他到社会上就不会喝脏水。就算他暂时只能喝脏水，他也会想办法让自己喝到干净的水。 个人感觉厦大对于学生的好不仅仅是物质，更多的是一种感召。自由，开放，包容，多元，自强不息，这才是厦大给予学生最好的精神财富。
在厦门大学军训是一种怎样的体验？,谢邀.... 作为14级的老生...找了半天的微博才找到当时军训的一些照片 军训有些是跟高中一样的吧 就是齐步走踢正步之类的但是时间不长 给我留下深刻印象的就是有一整天去郊外的山上打靶100米外山头的靶 真枪实弹 每个人10发子弹 每个人身边都有教官指导  真的很刺激哈哈哈哈  我们那一届军训期间遇上了中秋节然后不能放假回家所以学校就很贴心举办了万人博饼 每个人都会分到好多月饼哈哈哈哈哈 b   還有就是闭幕式的时候吧 教官钻火圈之类的实地演练 少女心简直会爆棚 
2017广东理科生408进厦门大学嘉庚学院有希望吗？,到这个学校的官网，有个在线招生咨询，问完刷新一下就有招生办的老师回答了。
作为一名想跨专业考研的同学，想问一下厦门大学的金融工程怎么样？,厦门大学的这个MFE项目在国内是很不错的，alumni network 很强大。老师也很有料。
如何找到苏州大学在厦门的校友？,加苏州大学的群，在群里喊一声就可以了，
请问，厦门大学嘉庚学院怎么样？,在福建省内是二本院校。就业前景也不错，学校也有安排实习单位
如何评价山东大学校长张荣任厦门大学校长，朱崇实卸任？,  朱崇实作为厦大校长为何能 13 年连任？   这个答案下面一边倒的黑朱校长，不知道现在诸位答主做何感想。  嗯有人@周自扬贴了诗指出老朱黑点：  知识重量石板路，为人师表吴春明。不毁三方大丈夫，人才住房搞游行。学校排名不停掉，游客中心最重要。翻墙进门年年有，上课不如当导游。   说说我的看法：石板路有人喜欢有人愁，骑车的都会骂，我这种没车的还真挺喜欢，而且更显韵味。吴这事也怪到朱头上那你看看全中国有多少校长要背锅，南师大？前段时间沸沸扬扬的北影？对了南邮有导师逼得学生跳楼了校长得拉出去枪毙了吧？教师个人私德有问题也能怪到校长头上的话那全国校长都下岗吧～嗯毁三方是对的协议就是签了玩的诸位学生老爷就该找工作随便签有了更好的立马毁约然后再找再毁～人才住房肯定是黑点，但是大家都没见过合同也不是当事人就不予置评了（私货时间，我个人挺老师，毕竟在学校面前同为弱势群体）。学校排名，厦大现在20-30，我觉得除了C9，剩下来的主流985（西北农林这种就不算了吧）你要非得说谁比谁好谁比谁差好像并不能令人信服吧，同为985的情况下，专业实力个人实力比笼统的排名更重要吧。后面三点关于游客的，怪只怪厦大坐落在全国知名小资文艺小清新旅游城市，还在思明区，还靠着海，我请问你这个问题换哪个校长来能解决？要不咱集体搬迁到翔安吧，那儿地方贼大还偏，估计就没人来了吧？不过翔安那又大又新又漂亮，我估计厦大去了那还是得一堆游客往那跑，算了还是集体搬迁到漳州吧？   另一方面，厦大对学生方面可以说是业界良心，大家同为学生感受比谁都深吧？全国几所学校全部安装空调的，今年刚刚还全部换新了（原来的老空调是十几年前的春兰空调，也就是说十几年前就已经装空调了）。对了我们院6-10月份给每个有本院学生在的寝室补贴120度电费，基本上在寝室的时间随便开空调，一个月是不用额外掏电费的，大家在家也不是这么舍得的吧？免费米饭，一年统一补贴三百多营养费（有点少哈但总比没有的好吧）。博士间是单人间住宿费一年2400（有好些博士租出每个月收房租1600+我会乱说？）。一句总结，有个师妹曾说，是不是厦大对学生太好了导致这些学生贼矫情？另一个师姐曾说，厦大就是对学生太好，对老师太差2333~所以各位指点江山黑老朱的不知道哪里还不满意呢？   PS，厦大是本人待过的第三所大学，所谓没有对比就没有伤害，你们这些端起碗来吃肉放下筷子骂娘的，真该去其他学校待段时间感受下 
厦门大学毕业生一般在哪里就业？,本人厦大三年级学生 如果是单纯考虑就业问题，很遗憾厦门确实是一座就业机会不多的二线城市，当你需要实习的时候往往从各大网站上几乎看不到厦门的实习，然而全国绝大多数优质的实习机会都集中于个别一线城市（北上广深） 所以，就事论事，说实话就业机会这方面确实算是我XMU的一个短板 但是，厦大可以满足你对一所大学的所有想象！！！所有想象！！！所有想象！！！ 而且，就业机会什么的主要还是要靠自己争取的，我认识的好多我们厦大的优秀同学其实也并不愁实习和工作问题，因为只要本身实力在，就算厦门没有实习，可以去北上广深这些一线城市找的啊！！！比如说我知道的就有去北京找到百度和腾讯还有美图秀秀的实习的同学（话说美图秀秀和4399都是厦门本土企业呢~\(≧▽≦)/~）当然这会涉及到一些成本（路费房租什么的）上的问题，然而若只是为了省这些找工作的小成本而放弃了在全国最美大学学习生活的四年，那就实在是太可惜了。。而且，实习是一回事，校园招聘又是一回事了，等到大四，秋季校招开始后我们学校会有一大批公司亲自前来开宣讲会，并抢夺优秀学生，毕竟我们可是“南方之强”呢~\(≧▽≦)/~ 福建只有我们一所985，隔壁江西没有浙江有一所浙大，但浙大算是长三角那一块的了，广东这么多人口也就只有中大和华南理工，所以说我XMU无疑是各大公司秋招必经之地，马上就大四了，想想还有点小激动呢~\(≧▽≦)/~
厦门大学哲学系怎么样？,1、公园       孺子亭公园，八一公园，人民公园等等  2、水边       青山湖，艾溪湖，东湖，赣江，抚河等等  3、占坑
如何评价厦门大学水下毕业照？,之前被同学分享，然后昨天在腾讯新闻看到，看了看底下的评论，一水儿的喷子，都喷乱花钱的，看不清人的。拍完毕业照发个微博关你屁事？   gpa3.97CMU的全奖硕士，毕业月薪15000+的程序员。。。总觉得大多数喷子们的收入还没人家一年的奖学金多ヽ(。_°)ノ。。  其实喷子们（键盘侠）并不是正义感无敌看不惯人家花钱，而是自己又蠢又懒又坏自己没钱可花，并且他们的钱还给不了你。   埋头苦读四年得到了不错的成绩有了美好的未来。四年之后，大学毕业忙里偷闲在阳光下沐浴着海风，而你只能在电脑手机前当喷子用自己所谓的“良知”麻醉自己消磨这毫不努力还yy美好生活苟且的人生。(๑• . •๑)              啊，问题关注里有熟人，匿。
求厦门大学的学姐学长帮助？,我是山东理科考生，现在是厦大的一个大四狗，毕业决定去港大读博，突然看到题主的问题一下感慨万千... 高中尤其是高考的冲刺期绝对是人生中最难得最记忆深刻最有收获的日子，一定要放平心态好好珍惜.... 如果学习成绩还不错的话，一定要控制好自己的心态，不要着急也不能太急功近利，找到自己的节奏，包括生活节奏考试答题节奏，尽量做到不要受外界的影响...高中阶段还是先不要考虑太多学校的事情～定下一个稍微比自己能力高一些的目标，然后就开始认真努力，少刷知乎多做题.... 祝题主好运，有问题可以帮的上的话可以私信我，希望能对你有所帮助～
厦门大学的双学位在以后就业方面有帮助吗？, 在厦大，简单的说：1、跨学科门（例如文学和经济学）修二专可获得双学位；2、跨一级和二级学科（例如中文和新闻）可获得辅修本科专业证书 。另，情况1中，双学位学分未修够但修足辅修者，亦可获得辅修证书。   职场中主要有两点用途：1、求职加成，双学位可用于报考部分公务员事业单位，可用于申请部分非公岗位，可提高个人整体竞争力；2、根据部分单位规章，享受包括在薪资、实习期在内的优惠条件，其中参公单位尤其，望校友仔细研究供职单位制度。   在留学中也有两点主要用法：1、根据个人情况，利用双学位（辅修）高绩点拉高整体成绩（拖后腿的当然算啦）；跨专业申请中，可视情况提供双学位（辅修）经历。   隐藏功能：在某些国家移民政策中可能享受加分，注意，该类加分是你花很多钱都难以换来的。   当然，整体来说双学位还是比辅修屌一点。   利益相关，厦大毕业生。  
福建厦门人考研兰州大学还是福州大学？,不请自来硬答一个。       兰大这所学校被轻视已经多年了，作为毕业生的我也无法改变什么。只是以我认识的所有福建籍同学来看，高考分数没有一位是够不上福州大学的。      某些答案直接把整个西北描述成一副大漠孤烟直的景象，这是你们的自由。但我认为，作为一个读过两年书的人，没做调查而信口答题，怕是不怎么值得称道吧？       最后说一句我校的民间校训吧：“吾校虽瘦，必肥华夏。” ————————————————— 答个题也要被骂弱智，知乎上戾气还真是不轻。
在厦门大学读工商管理本科是怎样的体验？,谢邀。我是2016级的工商管理大类，那年财会都还分在工商管理大类招生里，2017级单独把财会分出来招生，剩下的企业管理系，管理科学系，旅游与酒店管理系，市场营销分成工商管理类招生。有没有意义要看你报考的目的，如果你是喜欢工商管理类的，那当然按你的兴趣报考。如果你自己没有很明确喜欢的，只是考虑未来就业，是不是热门专业的话，当然报考财会，工商管理没有什么价值，本来厦大管理学院就是靠财会两个撑起来的。上不了财会的，我觉得不如去报经济学院，经济学院专业更加均衡，就业也会更好。还有你问的工商管理就业如何，这里首先要分清工商管理概念。前面说的各种管理都属于工商管理大类，其实财会本身也是，然而工商管理本身也是一个专业，这个专业的就业就不是很好，因为学的东西很空，没有针对性，很多读这个专业的都要去修第二学位。工商管理类里面我目前了解到的就业最好的应该是市场营销，但这个专业挺多人不喜欢，因为你起步要跟推销保险一样，你懂的～管科数学要求比较高，比较偏学术研究。企业管理和人力资源不是很清楚。最后是旅游与酒店管理，可以说是管理学院最差的专业，一般是体特等固定专业过去的。当然如果你大一大二经常挂科，也肯定被分过去。总而言之，报管院有很大的分专业风险，因为管院专业好坏差别太大。报经院风险就比较低，经院专业比较均衡。当初学长我就是了解不多不小心入了管院大类招生这个大坑，学弟学妹三思而后行啊TVT
怎样评价厦门大学有机化学专业…?,曾在厦大交流过，表示厦大的化学很强，除了有机化学，如果把金属有机算在有机里面，那厦大有机还不是太差
在厦门大学就读是一种什么样的体验？,上课时候游客在外边走来走去，时不时小朋友还会坐进来听课。下课时候充当临时导游，吃饭时候借饭卡，坐公交还会听到游客说厦大学生真幸福。最爽的时候是游客在门口排队或被保安拦住，自己拿着校园卡大摇大摆走进去
上海财经大学，中山大学，南开大学，厦门大学，经济金融类那家强一点？,谢邀 利益相关：厦大管院在读 首先你要搞清楚的是每个大学招生的大类里面包括的小专业是不一样的，你要搞清楚各个大学的分流机制还有构成 如果将来准备出国，那我建议你选择综合985大学，国际声誉相对来说会大一些 但是如果是国内就业的话，尤其是在上海，那么上财是不二之选 如果打算在珠三角就业，中大岭南学院和厦大经济学院都是挺好的选择，厦门大学经济学院和王亚南研究院是全厦大最好的学院，资源丰富，不过在福建招生很多。如果不慎被厦大调剂，那么后果会比较严重 南开不是很清楚我就不胡乱作答了，不过我记得貌似金融的排名相当靠前
如何看待厦门大学不允许转专业至经管专业？,不是学校不允许，学校是允许的，但是经院不接收。 因为学科发展不平衡，才限制转专业。 限制自由是结果，不是目的。 自己分数不够也没办法，说到底你应该不满的对象是高考志愿制度不是厦大，而且事后抱怨也没有意义。 利益相关：XMU化学专业，个人不喜欢化学。
厦门大学哪个专业最牛？,会计 基本上经济金融方面的都牛逼 还有特色的海洋方面的专业  对了 作为外文学院的人 必须要说 厦大的英语系实力很强 全国排得进前五
北方人到厦门读大学是一种什么样的体验？,冷，冷到骨子里的那种冷
厦门大学桥洞的涂鸦有什么故事？,不是桥洞谢谢
厦门大学是几本？分数线多少？,厦门大学是这样的，在高招的招生计划里头是重本，也就是一本，具体分数以每个省的划线为准。还有一部分计划外的，本部游客，必须达到二本或以上成绩才能入内，否则只能在南普陀校门乘坐751路公交车到终点站厦大翔安校区参观，全程两元。题主可能不太清楚情况，在这里普及一下。如果题主没有考到二本，就不要盲目前往厦门大学本部进行游览，动车坐到厦门北站后可以直接乘坐790路到终点站下车就好，如果坐到厦门站就比较麻烦了，不建议。
厦门大学法硕研究生三年是怎么规划的？,谢邀，但是老哥，我也是17新手上路的 
厦门大学的英语专业（硕士研究生）怎么样啊？,厦大外文学院烂的一比，学风建设不行
厦门大学管理学院ice是怎么样的体验？,哇还有这样的问题真是好棒棒，别提多坑爹了。  你读完国内的课程之后，国外的项目不一定申得上，申上了读完了不一定认证得了。详情请看  http://www.  zhihu.com/question/4166  4267      反正横竖你的学费他是绝对不会给你退的，有问题出现的时候别提多难找到人解决了，休假了，培训了，出差了，离职了，什么理由都有。  能说的我都说了，其他的祝你好运。
报考厦门大学会计学硕博连读条件？,你的硕博连读指的是以硕士身份入学然后再转博的那种？  那你要么统考硕士要么学硕推免呗  学硕夏令营推免 成绩要在本班（系）前五或前三 211以上 包括部分财经大学  入学以后选硕士导师时就抱好博导大腿 导师同意 基本考核肯定过 以后依旧留在该导门下  统考的话 竞争就比较激烈了 好好复习初试吧 复试不看学校刷人 考进来以后步骤同前  还是你的硕博连读指的是本直博 以本科毕业身份入校直接攻读博士那种  明年九月应该是本系第一批本直博学生入校  要求和夏令营推免差不多 只不过更看重科研潜力  新主任很看重科研能力和想法  如果博得其青睐 成绩什么的不重要
厦门大学wise金融专硕好考么？,厦大的会计学相关和金融学相关.... 全国前三不多说 这是学神竞争的学校   更不要说今年招了85人，其中60都是推免 在今年各大高校都加大推免比例的情况下 竞争会更激烈
武汉大学，厦门大学，浙江大学的人文科学试验班应该如何选择?,谢邀。 鉴于题主去了浙大，我再为武大和厦大说几句话。现在在厦大招办做志愿者的答主感到一丝愧疚orz 据武大小伙伴说，文学院虽说排名不高，但调配的老师都算是院里最好的。其中外国文学史全英文教学，教材用的是harvard classic。 厦大方面，中文系老师的授课水平总体还是不错的，特别是刘子立老师（北师大出身，鲍鹏山高足）、李菁老师和张世宏老师（以上为中国古代文学方向）；张惟捷、李伯瀚（以上分别为文字学、音韵学方向）。地位相对比较高的教授有有胡旭（中国古代文学）、李无未（音韵学）、杨春时（美学）和易中天（美学、艺术人类学，已退休）。 利益相关：厦大人文学院历史系本科生，不喜欢武大、厦大，更不喜欢浙大。 ————————以下为之前的答案—————— 综合文史哲来看，总体而言，武大好于浙大，略好于厦大。其中中文方向浙大最强，哲学方向武大最强，历史方向武大厦大难分伯仲，人类学方向厦大独此一家。课程安排上，如  @不愠  所说，有较大差异。据答主所知现在武大两年分专业，厦大一年分专业。个人比较怀疑浙大大类培养的细致程度和专业功底。 一般而言，就厦大人文学院的分流情况来看，如果不是对学术情有独钟，大部分同学是去中文的。这是很多准备就业的同学的想法。如果你对历史学、哲学不是特别感兴趣，为了就业一般是会去中文，那么不妨去浙大，以此站在华五的更高平台上。此外，论城市而言，杭州也是比武汉、厦门要好的。综上，如果对学术没有什么太大的执念，或者基本确定要在本科之后工作，建议报考浙江大学人文科学试验班。但最后还是要依靠自身实力便是了。 如果对中国史感兴趣，武大以中古史特别是魏晋南北朝为主，厦大以明清社会经济史为主。世界史、哲学武大明显更强，考古学排名相差不大但是武大毕竟靠近长江流域更有发展空间。人类学是厦大的特色，作为全国为数不多在本科阶段开设该专业的大学，可以给你不一样的风景。综上，如果对学术研究感兴趣，并对人类学不感兴趣，建议报考武汉大学。 至于应不应该搞学术，这就是另外一个问题了，知乎已有充分讨论，在此不再叙述。 此外，如果浙江省实行平行志愿，强烈建议尝试南京大学文史哲任一专业，特别是南大文学院，个人以为无需解释。 不管题主最后去了哪所学校，都要记住一点：哪里都有光明，哪里都有黑暗。这三所学校，或多或少都是有负面新闻的。比如武大法学院集体作弊、管院学生会主席骗炮少女；厦大吴春明事件、石板路事件、五缘人才公寓（教师住房产权问题）；浙大之声事件、校友窜访原宿舍风波等等。希望你能做好自己，像一束光去点亮另一束光。 利益相关：厦大人文学院本科生，即将进入历史系。 ————————培养方案分割线———————— 之前和武大一位朋友交流的时候，她发的一个学期课表（已经邀请回答）  厦大人文学院的现行大类培养方案：                     —————文史哲第三轮学科评估——————— 资料来源：教育部学位与研究生教育发展中心 网址：  http://www.  cdgdc.edu.cn/xwyyjsjyxx  /xxsbdxz/mtjjp/index.shtml                
厦门大学好吗？学习氛围怎样？, 你问我我肯定说好啊，至于经济学好不好你可以上网上查查，我不学经济不是很了解，但听说挺好的。厦门环境没的说，空气超级好，厦大的老师大部分不错，美女也多，就是游客太多了，有时候会觉得烦。就酱 
不喜欢厦门大学的理由？,鉴于某些小朋友说我在摆学长的臭架子，我觉得确实有必要摆正一副学长的姿态来好好聊一聊了 之前网络上有句很有名的话：什么是母校?母校就是那个你自己可以一天骂八百遍却碰都不许别人碰的地方。这句话，听起来貌似有些矫情，然而却戳中许多人的内心。所谓子不嫌母丑（何况我XMU还这么美╮(╯_╰)╭），而且一个人的出身是无法选择的，但一个人的母校却是可以选择 楼下那位满嘴粗话的小朋友，你说厦大不是你的第一志愿，那你当时又何苦来我XMU呢？既然来了那就是你自己的选择，又何苦整天一副怨妇样说我XMU的不是呢？？我说我是学长，那是因为我确实在厦大呆的时间比你久，我比你了解厦大，我懂的比你多多了。  至于厦大学术氛围问题，这点首先必须承认，学校以学生为本，学生过度自由，基本处于放养的状态，确实有一部分学生（尤其工科屌丝男）整天就沉迷游戏无法自拔。。但是，据我所知，文科类院系，尤其经管两院，还是学霸居多（比如我三个高中同学，在经院金融学专业，三个都保研了。。。。）宏观上看，横向比较一下其他学校，在大陆大学，真正有所谓学术氛围的，恐怕寥寥无几（级别的山东大学算一个）  关于游客素质低 我XMU也是日了狗。。游客素质低关我什么事。。 关于这点我觉得我必要说点题外话，答猪由于家贫，无银两泡妞，之前有做过一个暑假的导游，就是时薪120那种，可能我开价比较高的缘故吧，我认为大多数游客的素质都是OK的，因为能出来旅游的家庭基本都是中产以上（像答猪这种无产连省都没出过。。）所以也都会比较有教养，如果还能请得起导游的话，素质更是高的不行，至少不会像某些大学生一样在知乎答题还一口一句粗话o(︶︿︶)o 个人就接待过医生、律师、CBA板凳球员、小公务员、大公务员（领导）、大学老师、中学老师、小学老师、大学生（天大、华科、北大etc。。）、中学生、小学生、小老板（创业者）、大老板（高逼格）、搞投资的、普通白领夫妇etc。。  关于老师水平差距很大 我想高素质学弟说的应该是教学水平，这个也怪不得学校啊，而且恐怕每个学校都是一样的，老师性格各有差异，教学水平各有高低  关于老师的专业水平。。。。 我只想说高素质学弟的素质实在太高了，你可以抱怨老师的教学水平，但是老师的专业水平，你要说他低，记住，你 还 没 资 格  我不知道你是哪个系的，我就拿我们渣渣机电系的老师来说：  http://  jdx.xmu.edu.cn/E_Type.a  sp?E_typeid=4       你可以随便点一个进去看看，如果你以后有这么牛逼，那我想你就有资格BB了 然而你现在这么喜欢BB，那如果你能至少像我们专业大神一样：智能车华南赛　厦大6支队伍全获一等奖  http://  news.xmu.edu.cn/s/13/t/  542/53/88/info152456.htm       喜讯：厦大学子喜获2015全国大学生机器人大赛RoboMasters华东赛冠军  http://  pmee.xmu.edu.cn/index.p  hp/Article/article/id/2398       校机器人队获全国大学生机器人大赛一等奖   http://  pmee.xmu.edu.cn/index.p  hp/Article/article/id/2408       或者至少像我舍友一样参加2015西门子工业自动化挑战赛拿到全国一等奖破格保研  年轻人，摆臭架子，或者说装逼，也是要有资本的  @汪二千   以下是原答案 ------------------ 。。作为学长哥也是对你无语了，没见过不喜欢自己学校还努力组织力量黑自己学校的。。 我XMU怎么收了你这么个学生→_→
厦门大学单列专业颁发毕业证是厦门大学吗？单列专业有什么不一样？很垃圾吗？,垃圾，想上医学类为啥不挑个好的医科大比厦大的名头重要多了。分这么低都是有原因的好不啦
今年的浙江考生 打算报厦门大学嘉庚学院？,泻药 火车上写，有点晕…emm可能语言比较乱…emm…见谅哦   题主前半部分说的那些问题我在另一个回答有说。…不会弄链接，那我再说一下咯。   根据题主的顺序来答咯！ ---住宿条件： 都是上床下桌 都有空调 有校园网接口，自己网线连接 每栋宿舍楼有几个接热水的水房 住宿费：四人间1300/年，二人间2500/年 学校会在你快开学时候让你填一个个人爱好的表格，自行选择宿舍是二人间还是四人间 ---师资力量： 有少部分厦大的老师任教，有很多学校高薪聘请的好老师，不知道别人怎么说，反正我是很满意学校的师资 ---生活费： 一般人1200-1500/月就足够了，如果是女生化妆购物男生谈恋爱打游戏可能不够还是要多花点钱的 ---兼职： 周围有很多店铺，学校里也有咖啡厅可以去试试 学校也有招聘会，注意留意学校动态就好 你也可以做家教，比较稳定挣得也还不错 ---奖学金： 有以下种类： 1.新生奖学金：最高十万还是六万来着，是给过一本线的大一新生。根据过线多少来判定给你奖学金的多少。 2.平时奖学金：三个等级分别是1500-1000-500，基本上每个专业的前30%都能拿到。奖学金评定根据你的学业成绩和μ值综合评定，如果挂科的话，即使你成绩是全专业第一也不能拿奖学金哦。μ值是你参加各种活动部门的一种测量方式？1μ=0.5分， 3.银行奖学金：这个不是很清楚，qwq抱歉惹 4.国家奖学金：8000，大三以上才能拿。条件很高，你要大一大二很努力才能拿，能拿到国奖的基本上都是连续四学期一等奖的人哟，好像还要英语成绩连续85+（英语成绩这个不确定，是听说） ---兼修专业：没有这一选项，没有双学位哟。题主可以去金融系国贸系蹭课，但是不会有学位和成绩的。金融等其他系兼修小语种的没听说过，但是你可以去蹭课，也是没成绩没双学位。 ---一外：基本上是英语，也有部分是日语。学校会在开学前让你填一个表格来确定你要英语授课还是日语授课。  手机要关机惹，暂时先写到这里惹。   
厦门大学的建筑风格是由谁奠定的？,作为老厦门人来掺乎一脚。厦门的建筑风格就我了解的来说有以下三种：历史最悠久的就是闽南红砖房，这个基本上是历史沿革下来的，漳州，泉州，厦门的老建筑的风格都差不多，特点是红砖加上燕尾式挑梁。第二种就是以中山路，大同路为代表的骑楼建筑厦门俗称五脚气，这个是在厦门在鸦片战争开发为通商口岸以后，部分发家的华侨回国以后在中山路一代开发商业地产形成的，据说骑楼风格是受新加坡建筑的影响。第三者就是以集美学村，和厦门大学旧校区为代表中西合璧风格的建筑，也就是俗称的穿西装带斗笠。西式建筑加上闽南特色的斗拱形屋顶。这个风格据说是陈嘉庚选定的。今天被大力吹捧，但是个人感觉实在是有点不伦不类。如果是今天的开发商搞出来的，肯定会被说成农民企业家设计。
几个关于武汉大学、北邮、厦门大学的问题？,北邮研二在读，回答一下。  一、关于综合发展 综合发展 和大学是不是综合性大学并没有什么关系。业精于专，北邮信息与通信系统在2012年教育部评估中排全国第一，计算机排全国10几名、全球前100，北邮被称为“信息黄埔”也不是玩笑话，而综合素质的培养和个人的关系才是最大的，你在大学可以修双学位，可以泡图书馆看自己喜欢的领域的书，也可以去蹭其他专业的课，也可以参加各种社团锻炼自己的能力，如果自己无心提高自己的综合素质，就算是武大厦大，大学四年在寝室宅四年的也有不少吧。 第二、关于城市 去哪里读书，在哪个城市也很重要，如果你在武汉，你会发现互联网公司并没有几个，暑假找信息类实习特别少。然而在北京，到处都是，中关村、五道口、上地、望京，一抓一大把，不仅可以有很多参观实习的机会，而且找工作也是很方便。这是我选择来北邮而不去华科的原因（武大，厦大？不好意思之前真没考虑过啊…） 第三、校友资源和氛围 校友资源和学校氛围太重要了，不管是工作，你会发现在北京的互联网，通信公司，到处都是北邮人。在南方华科的同学会比较多。华科的冰岩作坊很厉害，而北邮的北邮人论坛，和创业氛围、学习氛围、毕业师兄师姐对在校生的照顾都是其他高校不可比的。北邮近几年创业氛围也很好了，V电影，36氪之类的北邮人创业公司很多。而武大厦门大学，信息专业本科生研究生比较少，因为学校是综合性大学，相反在通信计算机领域确没有北邮认可度高。当然，如果随便比起其他专业，武大厦大当然甩北邮不止一点。  先说这么点，第一次在知乎上回答，赞的人多继续更，也欢迎大家提问题。
