西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
我是今年高中毕业生，打算考电子科技大学沙河校区的软件工程，现想知道这个专业的就业前景如何？,这行业看能力重于看文凭，学好的，处处机会，不行的，就不用多说了……
你是如何在电子科技大学里找到女朋友的？, 加入逆光摄影工作室 
西安电子科技大学的交通为什么那么让人难受？学校难道不努力改进一下吗？,哈哈，西电不满意去北大
电子科技大学有过哪些奇人？, 我是来关注校友的，你们折叠我吧。。（我自己应该能算一条……微积分期末考零分的男人……试卷上写的都是“printf("坐等重修");”什么的 Orz，本来还指望有选择题能给几分……结果TMD一道选择题都没有我才大一而已要不要这么凶残(￣ε￣；)要知道我可是通过普通高考考进来的孩子呢。。。）  接着说。。哎不行我得起床了，啥时候想起来我再更~(￣ε(#￣)   ================三小时后 虽然没起床但是 我还是更新一下=========================    你们就没人想起来这张图吗！！！    红遍全球啊！！！！！！！！！！！FB、Twitter、微博都转疯了的！！！！！！    就连Angelababy都在转发的神图啊！！！！   我刚才才突然想起来的，现在po上来，大家一起共勉……    。。。。。。。。。。。我想你们知道这是哪里的…… 
2014华中科技大学电气与电子工程学院考研复试用什么书复习比较好？,同问！！！
有一个杭州电子科技大学的女朋友是什么样的感觉！？,刚邀请了妹子回答 有一个杭州电子科技大学的男朋友是什么样的感觉！？ - 石楚贞的回答 - 知乎  然后领导表示要搞事情~  好吧，其实能在男女比例这么悬殊的找到一只萌萌哒的软妹子，也是蛮不容易的~  对美食和毛绒绒的物体完全没有抵抗力~  每次去弗雷德吃东西总要陪着逛一圈~然后回来的时候手上就拎了几团毛球~  不乖的时候就用肉来要挟，就像这样：    在一起的日常~ 泡实验室~背后那只程序员就是我啦~  好多时间一起在实验室度过了，成天一起调试电路，参加过好多竞赛，16年暑假两个人都留在学校参加电子设计竞赛的集训，然后她拿到了浙江省二等奖~ 不过她很不开心，因为我拿到省一等奖。。。。    一起养的宠物~  不得不说软妹子养的小白鼠也是软软的。。。  在实验室玩累了也要吃点好吃的~    妹子很学霸，已经连续两次专业第一了，拿过N次奖学金。不过每次期末考试前都要我给他补课哈哈~ 对我特别好~每次回家都给我带一大堆好吃的~~ 我在实验室敲着代码，妹子忽然就会从背后扑上来抱住了~满满的幸福感~  工作和项目比较忙~也会很理解我~         当然赚了钱要包养呢~
如何看待四川仅两所的“985”高校之一电子科技大学成功避开所有地铁线路？, 楼主可以在Google地图上，把川大、交大、电子科大、川师 的老校区和新校区的位置都标注一下，然后仔细看看，有没有发现什么？  可以看到 川大的江安校区已经随着南边的城市发展，被城市完全的包围起来，土地升值巨大；交大的犀浦片区，周边的住宅区也基本都起来了；川师的成龙校区，随着今年新的城市规划出台，随着新机场的建设，未来将具有很好的区位优势。而电子科大的新校区，周边还有不少斑驳的田地，整个片区似乎没有什么热点！  现在来看，当年几个大学对新校区进行选址，川大选的最好，电子科大选的最差，位置太偏西，跟成都城市发展的重点  “向东、向南” 完全背道而驰！！  其实交大的选址也不是很好，但由于靠市中心近，加之周边有巨大的住宅人口的通勤需要，所以地铁线路肯定会过去；电子科大那边，位置偏、且没有像犀浦那样巨大的居住人口，单独拉一条地铁过去，运量撑不起来，只能是争取一下有轨电车能不能过去！！   PS:最近在研究成都新的地铁线网，偶然发现川大还真有看得懂风水的高人，川大的老校区是主城区最好的一块地，江安校区在短短10余年内，从偏远的地块渐渐变成了城南很中心的位置！  电子科大可能研究的领域太微观了，缺乏对城市发展的方向的研究，现在来看，新校区选址是一个败笔！并且随着新的城市规划的推进，10年之后，那个片区会更加的边缘化！ 
杭州电子科技大学的美术类专业怎么样？,数字媒体技术基本等于计算机
怎么看待电子科技大学清水河校区大屏幕出现暴露的不雅照片？,这不是我们学校！ 清真饭堂旁边的LED大屏幕右下角是'九洲光电'字样 而且从清晰度来看，这张图片也已经挺老了，好几年前的吧
电子科技大学到底是怎样的一个学校？,昨天和 @茸茸 及众基友一起吃饭的时候，听他说他「又」被邀请回答了个问题。回寝室后我也仔细想了想，那我也不要脸的来写一点（   我是自主招生录取的电子科大，上一本线就能进电子科大。当时的想法很单纯，我问自己喜欢啥，第一我喜欢设计，我想读工业设计，但是同济估计是考不上，湖大的分对我当时的成绩来说又显得太low，爸妈也不怎么支持，于是放弃；第二我喜欢电子，喜欢摄影喜欢看感光元件的相关资料，再加上长辈苦口婆心地说工科好找工作，于是我就去了电子科大参加了自主招生，被预录取。  刚开始的我对科大抱有一种非常崇拜的态度，全国第一的专业水平、顶尖的科研实力，这多学校一定是牛人辈出。事实上的确是，和蓉蓉说的一样，校园里面到处可以见到各种大神，我很敬佩他们，我知道自己想要这么牛逼的话我需要付出很多很多很多努力。  事情的转变是我加入了社团联合会和混音社这两个可爱的组织。我在社联刚开始的任务很简单，就是不停的设计海报啊做做视频啊这个那个，在混音社也是，我就是喜欢金属乐啊我喜欢唱歌啊，有要组乐队的人找我啊。然后我就开始想，当初的我的想法是，大学我要做我喜欢的事情，做设计和玩乐队是我喜欢的事情，而埋头搞科研并不是。没错我喜欢电子，但是我喜欢的更多的可能只是产品部分，而对于研发来说可能我真的不喜欢也不适合。  然而说句实话，科大对于我这样的人并不包容。学校有很多电子设计大赛，很多机器人大赛，很多ACM比赛，很多数学建模比赛，我相信后两者参加的人里面很少是真心实意喜欢才去参加的，大部分人报名都有种功利的心态，想获个奖在出国保研评奖学金有加分。学校里面充斥着急功近利的氛围，久而久之，参加比赛成了一种常态，我这样不参赛搞乐队的人成了异端。爸爸妈妈有时候打电话会跟我说，你在社联里面少干点事情，乐队也是，你多去搞好学习，多去参加比赛，有好处的。我无力反驳他们，也只能说着好的没问题来应付，但是我真的很心酸。  同样的，科大的人文素养真的很差。我在前面说了我喜欢摄影，学校里面唯一一个正规的与摄影有关的组织是逆光摄影，然而对于不想加组织只想在课余玩耍的日来说却并没有摄影社团的存在，不知道是因为大家都忙于科研还是因为喜欢摄影的人太少了。我在去年作为导演拍了一本微电影参加了学校的微电影大赛，说实话我对评选结果是颇有微词的，我拍的居然是唯一一本和爱情毫无关系的片子，而获得最佳影片的科幻爱情片的「特效」实在是……（还是不黑了）诚然我自己拍的东西有很多很多没拍精致的地方，但是当我看着一大堆镜头语言毫无美感剧情烂俗的爱情片们出现的时候还是有种反胃感。果不其然今年参赛的影片好像全都是爱情片哈哈哈哈哈哈哈哈哈哈哈哈哈哈。  混音社其实也是一个非常异端的存在，我们不像吉他社那样的大众化清新脱俗，我们听很多极端金属，我们的爱好比较小众，心寒的是学校对于这些小众爱好的包容真的不多。所以其实你可以看到的是小团体的现象越来越多，每个人都觉得你不志同道合你就不要跟我玩，每个人身上都有一股戾气，觉得我最牛逼我看不上你们你们太low。  事实上也是，我玩的最好的朋友们都是社联的和混音社的小伙伴们。（真是讽刺  有的时候我走在校园里面，看着清水河偌大美丽的校园环境，听着来来往往的同学讨论着考试的范围是什么，或者是今天又有哪个明星做客了好多人去抢票我们要不要也去抢票之类的话题的时候，我深深的感觉到一股空虚。或许还有种不被认可的不甘存在。  学校做了很多努力来提升自己的人文素养，比如建了医学院提升综合实力，比如经常性邀请到很多明星来成电讲坛，不可否认的是这样的努力很棒，但是究竟这样的两个小时的快餐式讲坛能对人文素养起到多大的提升？  我的初中和科大一样，是一所历史不悠久、教学成果很突出的学校。我在我的初中和科大感受到的东西也差不多，我没有一种家的感觉，尽管我能轻易的说出校园很漂亮设施很棒老师很棒等等一大堆优点，然而我终归是没有体会到那种家的感觉。而我的高中，一所历史悠久的学校，尽管它校园不大高科技设施也不多，但是我由衷的感到它的包容与关怀，每个人的不同都被尊重着，每个人都能找到自己存在的意义，每个人在三年过后收获的都不仅仅是高考分数，而是那种自豪感与归属感，这是我想要的学校。或许是真的需要历史的沉淀才能塑造一所学校的文化底蕴。  再过一个多星期期末考就要结束了，我要滚蛋去美帝打拼了，在科大待了短短两年，还是对它非常的不舍的。吐槽归吐槽，它仍然是我的母校。可能如果让我重新高考重新选择一次的话，我会选一所综合性大学，尽管专业水平不是顶尖，但是我会过得更开心更自信。当然那些都是如果，我爱电子科技大学，我爱我可爱的小伙伴们，#高能预警#我最爱我最可爱的女朋友了！  祝科大越来越牛逼哟！
如何看待电子科技大学“浪神教”的兴起？,一群无聊的人黑一个IC科协的大牛而已。纯属吃饱饭闲扯淡。     建议别去掺和，你要学习电子设计可以去报IC科协，也可以向大牛请教学习，黑不黑所谓的“浪神”你随意。我只觉得很无聊。     以上，怕被喷，匿了。
华中科技大学好还是电子科技大学好？,本科电子科大，现在在华科读研究生 我是湖北人，为了离家近来华科读研 在电子科大读书的时候很开心，很舒服，学的东西也不少。 自从到了华科，才知道电子科大那么好，如果让我再次选择，我会毫不犹豫的去电子科大读研。
华中科技大学电子科学与技术专业的实力如何?算不算强？,作为老学长，华科电子专业毕业生，首先普及下概念，电子科学与技术是一级学科，下面有四个二级学科，包括微电子学与固体电子学，物理电子学，电路与系统，微波技术。所以，有个排名是学科排名，咱们学校（不是学院，因为这个一级学科有好几个学院都要贡献力量，比如国家光电实验室、电信等）的在上一轮学科评估排名大概并列11，与浙江大学、吉林大学、国防科技大学并列。因此，从一级学科来说，我们就是这个排名。 但是，一级学科好几个二级学科，实际上我院主要建设微电子学与固体电子学和物理电子学，这两个我们都是国家重点学科。物理电子学因为历史原因划归到了光学工程，也因为如此，我们光学工程是国家重点学科，上次排名是和浙江大学并列第一。所以，我校的电子主要是微电子学与固体电子学，应该来讲，还是不错的。 至于电子科学技术的本科专业排名，实际上跟学科排名关系不是特别大了，因为本科生是通识教育，不涉及那么多的科研学术，更多的是平台、教学、培养计划等。从2017年武书连的排名看，我院光电信息工程（第3），电子科学技术（第5），集成电路（第6），微电子（第10），因此专业培养来讲，应该是还不错的。当然这个跟研究生专业排名和学科排名还是有差异的。 终结一下，我院的四个专业应该都是很不错的，差异也不太大，只要努力学，利用好平台，以后发展就业都不会差。还有，大二下可以信息学科类内互转专业，因此这些专业可以换。当然从2017级开始，入校不分专业，更不用纠结了
本人安徽理科生，全省6千名，想学计算机，不知道北京交通大学，电子科技大学，还有西北工业大学那个比较好？,那个...电子科大不是你想上就能上的呀！
考研去北京邮电大学还是电子科技大学？,专业优势:新一轮学科评估没出来，根据上一轮学科评估结果，通信工程北邮第一电子科大第二，知乎上的论调貌似是差距不大可忽略，但毕竟北邮通信强是真的，看这次学科评估结果喽  就业方向:两电一邮就业方向都差不多，从网上信息看北邮通信偏cs也是事实，虽然成都IT也是国内翘楚，但确实帝都实习机会多，尤其是对于研究生阶段而言  出国深造:电子科大目前鼓励出国深造，只要你有能力，学校是支持的，北邮不知道，看就业报告出国情况也不错  硬件设施:这一点上985的优势不是盖的，北邮在北京确实被一众985压着，校园面积是一方面，生活条件是一方面，高考报志愿和北邮学长交流的时候说北邮没有空调是因为北京政府不给电力线路什么的。。对于研究生阶段最重要的是，电子科大的科研经费也是远远高于北邮的，根据最近网上的数据，几乎是北邮的2.6倍多  总结:两电一邮学科上旗鼓相当，北邮的地域在就业上具有绝对优势，但如果你有出国读博的打算话这一点可以忽略，还要考虑你自己想去什么地区、对生活条件的挑剔程度，另外，选择学校要看能不能考上，北邮的通信也貌似更热门一些，两校都不错，不要过于纠结
2017高考志愿，西安电子科技大学和中南大学，志向互联网相关，第一志愿请赐教。？,具体选择看个人情况和兴趣，这里推荐一篇菜头的文章。（如有侵权请告知删除。）   首先，我们要弄清楚高考填报志愿这件事情的本质。它不是单纯的选择，而是人生中一次重要的认识自己的机会。选择什么专业好？是选好学校还是好专业？是选城市还是选学校？之所以有这些问题，之所以针对这些问题有千奇百怪的回答，原因是对自己的认识不清晰，不知道自己究竟是个什么样的人。如果你是一个爱冒险的人，如果你渴望看到更大的世界，并且愿意为你的想法支付所有代价。那么，你当然是应该选择北京、上海、广州这三个超级城市。因为这三个超级城市位于中国发展的前列，在这里有最新的资讯，最新的变化，以及最为活跃最有头脑的聪明人。新的发明、新的业务、新的机会，总是会最先出现在这样的地方。不要相信什么“今天是网络社会，什么资讯不能在网上找到”这样的话。很简单，一手的感受永远比二手的资讯要好。生活在超级城市里，你就是“浸润”在其他城市的未来里。想一想看，在别的城市还在网上看共享单车的新闻的时候，你楼下就停着十几辆，这是什么感觉？别的人在手机上看共享单车的分析文章，但是你在街上看什么人骑，怎么骑，如何停放，这是什么感觉？如果你的确是那样一个人，请你一定要来超级城市。学校差一点，专业差一点都没有关系，关键是来到这里。因为你是如此热爱冒险，如此热爱不确定性，你的道路注定漫长曲折，谁也不知道你的未来去去向哪里。从超级城市出发，能为你早期节省不少时间，也为你找到和自己志同道合的疯子创造最大可能。如果你是一个均衡型的人，样样都还不错，但都又不是最好。同时，你有欲望有理想有野心，但也都没有那么炽热强烈。那么，你现在就应该想清楚，大学四年的目的就是为了得到最好的就业机会。你的一切选择都是为了毕业找一份好公司，把进入中产阶级的时间压缩到最短。所以，你优先选择名校。选择名校是为了保留所有的变化可能：到今天，这个社会都尊重名校，极少尊重专业，校名是你最大的资源，这对于就业有很大帮助；名校意味着全球范围内的美誉和影响力，同样的专业，名校老师开具的推荐信，对于出国留学而言，有更大的推荐力度和可信度；持有这种想法的人会成为校友，这样的校友在社会上会形成关系网络，在你刚刚走上社会的头几年，这种隐藏在各种单位、公司里的关系网络，能够帮助你拿到一小笔额外的社会资源。  在没有办法选择名校的条件下，你应该优先选择专业。以你的性格，之前应该做过许多功课，了解到现在社会上什么职业收入丰厚，什么职业前景广阔。那么，去找对应的专业，努力学好它，以此作为跻身职场的凭仗。社会最需要什么，你学什么，那么你在毕业的时候就拥有了更多可能，拿到最好的工作机会。唯一需要注意的是，这里存在一次赌博：你不知道四年之后，你的专业是不是已经极盛而衰，社会需求已经下降了。所以，你应该趁还有时间，自己尽快去调研一下，找从事这个行当的人问问，他们的判断究竟如何？本行当是在上升期、平台期还是下降期？  如果你学得不怎么样，也没有什么野心，你的梦想就是安安稳稳过日子。那么，就不要整天念着去见什么世界了。工作以后在旅行的时候再慢慢见识好了，反正你就是一个观光客。留在你的本省，留在你的本市，找一所本地大学上一下。选择一个就业相对容易的专业，修完四年，拿到文凭。从大三开始，就动员全家族的力量，毕竟都是本地人么，圈选你想去的单位，然后努力找关系把你送进去。  你安守着你的城，做着一份工，每年国内旅行一次，每五年出国旅行一次。攒钱，结婚，生子，刷朋友圈，过着平静而安宁的生活。对于你来说，生于斯，长于斯，老于斯，死于斯。你的专业选择非常明确，就是为了成为一个合格的本地人，拥有本地生活的资格，在本地复杂的人际关系网上，找到一个属于自己的位置。所以，学校、专业、城市都不是你的首要考虑因素。你需要考虑的是，你的家族力量在多大程度上，能把你送到什么职位上去。为了减轻他们的推送压力，你能在大学专业选择上，能多大程度减少他们关系网的耗费。  话虽然是如此，但是多少人在18岁的时候认识清楚了自己呢？多少人也许到了人生暮年还不知道自己真正想要什么。多少人在18岁的时候还分辨不清楚什么是一时的热情，什么是持久的热望；分辨不清楚什么是易变的欲望，什么是持久的理想。“我想要”是个最大的理由，但也是个最大的陷阱。因为人人都喜欢说这三个字，却少有人愿意诚实地回答这句话后面的那个问题：为此，我愿意支付......  前往超级城市，”我想要“的后面隐藏的代价是不确定的生活，更高的选择风险，和无路可退的窘迫。甚至，还有多年的潜沉，无尽的自我怀疑，和接连不断的挫败；选择职场求胜，”我想要“的后面是终身谨小慎微的处事，一刻不停地学习和加班，而所能维系的中产阶级生活岌岌可危，一切寄托在行业、职位和年收入上；选择小城里的安稳一生，“我想要”的后面是牺牲了许多可能性，以及在行业大变动面前低微的求生能力。  没有一样选择是容易的，所以，才会有那么多人“干一行，恨一行”。这个现象说明了两件事情：1、许多人对自己的现状不满；2、许多人认为在其他行业存在机会。那么，是因为他们当年选择专业没选好么？不，这说明整个社会还存在热望和机会，人们总想要过上更好的生活，认为总是存在理想彼岸。这和多年前选择专业没有丝毫关系，这和整个社会的欲望总量有关。  人们总是倾向于认为自己付出过多，得到太少；人们总是容易倾向于看低自己的所得，高看自己未能得到的东西。  所以，在做填报志愿这种非常具体的事情时，需要把眼光稍微放得长远一点。放在一生的尺度上来重新审视填报志愿，这件事对于此刻很重要，但是对于一生来说只是一件小事。在漫长的人生道路中，有人幸运地很早就认识到了自己，有人需要二三十年之后才突然发现自己真正想要的是什么，有人需要耗尽一生在会发现自己最珍贵的东西其实一直在自己手上。决定一个人一生轨迹的，往往并非是看得见的专业，而是那些看不见的东西。比如说遇见什么人，做了什么事，甚至是看过什么风景。  即便填报志愿会带来一些人生轨迹上的偏差，但是，在漫长的一生中，你的人生还是会执拗地回到它自己应该有的轨道上来。坦白地说，对于一个人而言，填报志愿和出生在哪里相比，也许后者对人生塑造影响更为深重。  愿每一个人心愿达成，这就是我的祝福。
北京交通大学、四川大学、电子科技大学该如何选择？,交大目前物流，运输，通信比较强。不知道你想学什么，如果是计科软工这种成电应该强于北交，但是可能环境不如北交，毕竟在北京，实习一抓一大把，好公司也不在少数。当然成都现在环境也不错，如果让我选的可能还是会选成电，保研出国等机会更多些。 利益相关：交大大四电信在读。
60周年校庆之际，电子科技大学是否应更名为中国电子科技大学？,否
电子科技大学统考825密码学与网络安全的如何参加调剂？,调剂到本校其他专业基本就只有基础与前沿科学院这样的才能接收调剂。 计算机那边应该有很多专业，大概可以院内调剂 校外调剂的话，走正规流程吧，现在可能你还不清楚流程，到时候真要调剂了，差不多就知道了。 考研先努力考上，真出意外了再考虑调剂的问题 另，祝考研成功！
如何评价电子科技大学某一男生宿舍门张贴的反同告示？,  请放弃无用的抵抗（跑
请问一个内地的985如电子科技大学，四川大学和上海的211如华东理工大学我应该选哪个？,如果你喜欢电子类，成电是个好选择。 如果你喜欢做码农，建议找找北京的学校，实习机会多很多。 如果你喜欢文科类，川大很棒了。  如果你是个学妹，欢迎报考电子科大 求你了
如何评价在成都电子科技大学举办的第五届光电设计大赛？,挖坑。
如何看待电子科技大学某学院大二分宿舍?,如果你有个天天在寝室打游戏嚎不停的室友…你会觉得换寝室多么好
如何评价电子科技大学周涛教授？,他在人生选择上非常聪明，可以作为“非神级学霸如何逆袭成人生赢家”的典范。所以在  科学研究中「天赋」和「后天训练」哪个更重要？ - 大学  这个问题下面对科研没有自信的同学可以去搜搜周涛在国内搞出的那些大新闻里的科研项目内容，你可能就会有答案了。  一开始听说这个人的时候记得新闻说是中科大少年班的神童，以为是少年班又出了一个学术大神，后来有一天看见另一个新闻他是82年生，00年上大学，那怎么会是少年班？对以前的宣传自然产生了一丝疑惑，就去搜了一下这个人。  先发现其实不是中科大少年班的，心想好吧00班也不错，往下看。博士弗里堡大学，心想好吧也许这个学校物理很有名只是我不学物理所以没听过？继续看。博士2010年毕业，被聘为电子科技大学特聘教授。无语的想27，8岁博士毕业不是很正常吗？！到底哪里神童了没看出来啊！  看到他在新闻说本科的时候基本不去上课，考试之前突击两三天就行，“周涛自学完成研究生所有课程，并且被保送成为中科大与瑞士弗里堡大学物理系联合培养博士生”似乎很厉害？可是一想这不就是直博＋联合培养吗？科大物理大神学霸都去了哪里大家都知道，直博是一种怎样的选择呢？  但这就是他的聪明之处。  他每一次平台的选择，都选择的是容易让自己突出，让资源集中到自己身上的地方。当然首先人家也是不差的，毕竟考进了科大。但是在科大物理众神挤向美帝top phd的时候，他去了Fribourg。可以想见在弗里堡大学，招到科大物理系的学生那是多好的事，再加上华人大牛导师，还是科大校友，可以想见有多少资源集中到了他身上，大量的出paper也就不足为奇了。相反去catech，MIT，princeton的大神需要和更多更神的大神竞争，获得导师的特别赏识获得集中资源的概率小得多。这就是中国的“集中力量办大事”，在资源集中的环境下，发paper更加容易。而他又恰好抓住了中国学术评价的特点：论文数量。看看新闻里为他学术水平背书的方式就是“发了多少多少论文”。  第二次，就是回国的时候。首先又是大多数学术大神都没有回国而是走上了美帝ap的道路。其次回国的学术大神多数也去了了清北和华五。于是周涛去了电子科大，直接给了正教授，这就是聪明。top学校招海归的要求高的多，同样的水平的fresh phd去清华北大拿个讲师可能都悬，直接拿到华五的副教授也几乎不可能。那些选择了国内top学校的海归即使更年轻，学术更厉害，也不可能直接拿到教授职称从而刷新“最年轻”纪录。但是电子科大呢？对电子科大来说，周涛的学术就很厉害了，给个教授也不会引起公愤，只要给他教授，那“中国最年轻的教授”就在电子科大了！这个大新闻，你说电子科大要不要？当然要！于是他又一次获得了“资源集中”，电子科大也获得了大新闻。  这时，他还会搞物理吗？当然不是他的风格了。必须搞互联网，大数据！学物理的神级学霸们还在北美苦苦熬tenure或者在北京苦等肖家河分房的时候，他已经是“中国最年轻的教授”，“十大科技创新人物”，所以一个人的命运啊，当然要靠自我奋斗，但是也要考虑到历史的进程，这就是聪明。
电子科技大学（沙河校区）和电子科技大学的区别？,代码不一样，怕填志愿时不方便，实际上电子科技大学沙河校区的代码只表示里面的专业是中外合作专业，学费贵。所以专门弄了个新的代码
文科女去电子科技大学是什么体验？,个人感觉。一个班，二十多个女生，分了三波(见面打呼都不打那种)。
西安电子科技大学为什么不是985呢？,既然有人邀请了，那身为西电er简单说几句吧…   第一个，之前在天涯看到过一个985的8项评分标准，具体的已经记不得了，可能有一些方面西电处于劣势； 地域可能也是原因之一，虽然985的地域成分并没有想象中的那么大，但是如果西电也是985的话，西安地区的985确实有点多； 然后就是先天劣势，985大多数其实都是综合性大学（即便西农也是有很多和农业关系不大的院系专业），上财、南理工、南航之类，也同样不是985； 再就是，985应该是省市和教育部共建的吧，听一些西安本地人传说，西电和当地政府的关系不好，会不会有这方面原因？（无责任道听途说） 还有一个比较扯淡的，校名…西电和成电最明显也最让西电er不爽的区别在哪？校名！当然这一点有点玩笑话的意思……   以上差不多就是我理解的原因了。没评上985其实也没什么啦，毕竟985只是阶段性的工程，而且学校实力摆在那里，就算没有985的名号也也不会对自己的发展有什么负面影响的。
杭州电子科技大学怎么样？,哈哈，本人就是杭电的，这个要分专业的，杭电最好的专业有会计、电子、通信、计算机、自动化，这些专业在浙江除了浙大杭电是最牛的，杭电有个卓越学院，进去后可以任选专业的
杭州电子科技大学与浙江财经大学的会计硕士 哪个好？,浙财属于财经类院校，近年来财经类院校的分数一直都往上抬。杭电是工科学院，但是会计是其王牌专业，杭电也是浙江省第一个会计硕士点，应该说杭电的会计在浙江省内的排名还是比较靠前的，而且在2015年也被评为“浙江省重点建设高校”（浙江省一共5所），而这也正是财经所没拥有的头衔。
电子科技大学怎么样?,  该回答最后 编辑于 2015-06-09 ，答主无精力更新，可能与现在的情况有出入，请谨慎参考。      占坑。最近有关学校的问题总让我久久不能平静。  学校的优势不多强调，我多唱唱黑脸。   1.基础设施良好，该有的都有。  指的是清水河主校区，有消息称，2014届（还是15届？）开始本科阶段所有学院都在清水河。  2.住宿环境在成都高校中算是非常好的。    【每个寝室都有空调！】  ヾ(*д*)ﾉ゛  四人一间，上床下桌，每个寝室有单独卫生间和阳台，每层楼都有淋浴间和洗衣机。  3.价值观单一。  成绩好、技术好能更广泛地受到肯定。有些不适合做技术、又困于环境难以改变的同学可能会感到压抑。 至于某条答案里提到的，某个学长讲，对川大感觉“不过尔尔”，我觉得很无语。不就是高考录取线高一点吗，平均就业情况好一点吗，哪来的优越感？单说川大这“海纳百川”的包容性与多样性，就比我电作为一个“大学”更加合格。  4.学习氛围浓厚。  由上面一点，直接导致。  5.平台足够，如果愿意努力，学校的资源不会让你觉得配不上你的能力。  你向着目标努力，可以像曦神那样伯克利全奖，可以像昀神那样本科毕业签谷歌山景城...总而言之，学术，就业，社交各方面都是。 你看  @侯业  侯爷在这里都能100斩，所以只要努力，想干什么基本都能实现XD。  6.屌丝气。  所谓“穷学工科富学商”，统计上来讲，学工的孩子家境平均水平要差些。 屌丝气不仅表现在穿着打扮上，还表现在思想上。学校论坛和学校贴吧可见一斑。  NO OFFENCE.   7.习惯沉默。  我不知道怎么讲这一点。等等再完善吧。  8.就业好?  看和哪里比了。本科想找个体面点的工作没什么问题。 就业倾向单一，行业单一，偏技术，不细说。 二十一世纪初华为中兴来抢人已经是过去了，不该再拿那个时代说事。许多长辈对我电就业仍保持那时的印象。现在本科毕业能签华为中兴绝对是比较优秀的同学。  9.主校区处于郊区，距离城区远。  这是一个重要的问题，必须单独提出来说。 说是在成都上学，相当一部分同学一个学期进城都没几次，因为交通存在不方便，尤其是晚上稍晚的时候从城里回来不方便。无形中损失了许多经历与体验。 具体吐槽请参看我的这个回答： 在成都上大学是怎样的体验？ - 张立羽的回答  说个小事，因为位于郊区，目前麦当劳肯德基必胜客德克士都不会提供送餐服务！Σ(-`Д´-ﾉ；)ﾉ  但是也不必太担心，学校以及周边配套设施完全能满足日常生活需求。  10.各路牛人多。  不管是学术上、技术上，还是业余爱好玩音乐、玩摄影的，总会有牛人在天上翱翔，但他们往往很低调。可别说我电都是书呆子哦！(๑•ᴗ•๑)   11.女生少。  明显的、潜在的不良影响，想必不必多说了。     分点分的很凌乱，各位观众海涵，回头继续完善。  说了这么多坏话，总而言之， 我电不会亏待努力的学生，肯学肯拼会有好的前程回报你。   祝题主金榜提名。报志愿千万慎重，多方了解，多方考虑，不要想当然。 
为什么网络媒体将成电(电子科技大学)称为成都电子科技大学时，学生总是希望对方改(中国)电子科技大学？,电子科技大学，原名成都电讯工程学院。 简称电子科大or成电。 英文简称UESTC，C为China。 任何一个全称或简称都不会有人反感。 但是我们的名字不叫成都电子科技大学。 知其名而不称其名则是对其缺乏基本的尊重，而此时我电学子只是会礼貌性纠错，不知哪里不妥。
在西安电子科技大学就读是怎样一番体验？, 全删了  总结两句吧  依旧怀念那些正直优秀的老师，是他们给我了基础和机会。  依旧怀恨处处为难学生、占学生小便宜的辅导员和行政，是他们让我对西电“百感交集”。 
学计算机，未来想从事大数据。报北京的地大，矿大还是浙江的杭州电子科技大学？, 安利西安某电子 211，你值得拥有 
电子科技大学自动化怎么样？,抱歉，最近有一些人来咨询我电子科大自动化研究生选导师的问题……对不起大家……我当了逃兵，去墨大读研究生了，大家如果对雅思或者申请墨大有什么问题倒是可以来问我……乐意解答 ---------------------------------------------- 自动化学院大三（考研狗）在读生……不知道你关心的是哪几个方面，就想到什么说什么吧。 前面几个人说什么教学不好，说实话我觉得没什么好关心的，你要听好的可以去网易公开课，成电dv都有，看你自己。 就业情况……根据去年一个报告，自动化毕业三年以后的平均工资貌似是所有学院最高的，其实我也不知道为什么，反正就是这样了…… 至于深造情况，如果你没有对哪个工科感兴趣，就读自动化挺好的，有一门神奇的课叫自动控制原理，到了考研你会发现工科基本上所有的专业都可以选这门当考研专业课～出国的话double e或者cs都行。  最后……如果来读书了！记住！成绩很重要！很重要！很重要！（千万别和我一样当考研狗）
电子科技大学几乎全部专业禁止大一学生在寝室使用计算机是在向某国内顶尖高校看齐吗？,学校应该从两个方面考虑：1.防止有人刚从高中出来把持不住自己沉迷游戏 2.锻炼大家合理违反校规，让你学会打破常规哦
