中国地质大学(北京)的游泳馆内部如何？,我还以为问的是武汉的地大游泳馆   这个夏天就能用系列....
中国地质大学(武汉)哪个专业工资高？,地大嘛，当然选择地质相关的专业啊，全国最牛，地质专业比南大，北大，浙大，科大的排名还高。很少的分数，上全国第一的专业，多好！地质学，资源勘察，地质工程，宝石，石油天然气，这些工资都很高。前提是毕了业能找到相关工作，之后熬着，按某些人的理论来说，在这些行业越老赚钱越多。    。别喷我！
如何看待中国地质大学校内超市外包一事？,前几年学生宿舍一年四季没热水供应，没空调说实话和民工宿舍没什么区别，新生觉得地大宿舍比高中宿舍条件好的应该没几个，夏天热的要熟了，冬天要冻死了。有了空调才算能凑合，超市旁边的文华打印店也直接在门口墙上贴指责校方不透明招标的话，具体情况是不是真的我不清楚。      今天在学三吃了碗2块钱的热干面(不希望这个也像之前的超市一样消失)，出来听到一个新生埋怨说，这宿舍条件真不如高中，要是能再选一次的话绝对不来武汉。。。。。。。。    当然匿名了，这事情说小也小，说大也大，都是历史进程嘛。
转行做珠宝设计考中国地质大学(武汉)珠宝学院设计专业是否有帮助?,首先先纠正一下，是中国地质大学（武汉）。我不是学设计的，但是我接触一部分设计，设计专业要有一部分美术功底，你是纤维设计的应该可以，地大的珠宝设计可以说是全国最好的！我们老师说，国内很缺优秀的珠宝设计师，通过我的实习我也了解到，一个优秀的珠宝设计师月工资最好1万+，如果国内能排上名，年薪百万左右。如果你确实喜欢珠宝设计，非常有必要报考地大珠宝学院的研究生！但是竞争是想当激烈的，地大珠宝的研究生不怎么好考。图中的职业教育建议你学一下试试，先接触一下，再决定你考不考地大。
中国地质大学(武汉)珠宝学院的接收中专么？,地大的珠宝专业不接收中职统考生。
中国地质大学的法律硕士（法学）在哪？武汉还是北京,答了半天没一个靠谱的，武汉地大和北京地大是两所学校，同名，基本独立办学。所以两地都有这个专业，看题主报考哪里了。
考研到中国地质大学(武汉)自动化怎么样？, 自动化应该不错，毕竟专业课不用重新考试 
加入中国地质大学(武汉)子非鱼戏剧社是什么样的体验？,如果你只想当学霸，其他什么都不在乎，那么出门左转，不谢！ 如果大学四年不想默默无闻，想认识更多朋友，体验更多更好玩的校园生活，好像很多社团都可以做到……  -那为什么选择子非鱼，我能说当初是被室友架进去的么？ -那为啥不退出？ -为什么要退出？？ 作为一个东北糙汉子，这群逗逼是我四年外地生活的精神支撑啊！！！！嬉笑怒骂都可以和他们分享，而且……我知道好多八卦哦！ 木哈哈哈哈！！     诶，话说，我老公（对，我们已婚）就是剧社认识的！
中国地质大学北京和武汉选哪个？,你在哪儿啊？
如何评价中国地质大学（北京）2017年的军训？,我觉得军训已经很不错了，你们看看地大武汉的超市再来吐槽吧。
我想考中国地质大学(武汉)心理学研究生，希望大家能推荐一下考研用书和相关经验，如果有学长学姐就更好了？,北京还是武汉 
考中国地质大学(武汉)的勘查技术与工程分数多高，应该做些什么准备？, 勘查是我们学院的专业，省重点学科，卓越工程师计划。高考录取的话，一般是比最低提档线高一两分就可。你说的准备，莫不如说是上大学前的准备，建议出去旅游一趟，建议练练字、背背英语单词。希望你能进入理想的学校！ 
今年报考中国地质大学(武汉)，总分343，初试排在43名，今年报考人数93人，这分数有可能参加复试吗？,已毕业好多年，对这问题不是很了解了。你可以向在校的研究生咨询。
中国地质大学的地理信息科学是否需要出国？,坐标武汉地大。据我了解不需要，但入学后你有相关出国想法，有一些出国政策或计划等等
如何看待肯德基等餐厅入驻中国地质大学(武汉)？,食堂的风云变测真是让人猝不及防，比小说里还精彩。  打着“翻修迎新”“提高生活质量”“让学生享受现代化”“改善伙食”等口号，先拿学二试手，侏罗纪再躺枪，现在北苑小食堂也走向“新”道路，带领地大走向国际化，  这豪华的西苑美食广场不仅改善了我们伙食，让我们享受肯德基油炸食品、上火的香辣小火锅，过着小资情调，高档餐厅，原来这一切都这样美好啊！  我们学校实在太为我们着想了！ 感动哭！！！  恩？ 为什么没人？？  哦，原来我们都是普通小民众，没有收入来源的小小学生算着生活费，原来地大人都那么有钱啊，看来我的得好学习天天向上了，在其他人都吃炸鸡的时候安静的吃我的传统米饭菜饼粥吧！   在这民族崛起的时代，在美国帮韩国部署萨德的节眼，  震惊！某高校竟然让肯德基入驻！！还不止一处！！    原来它是真的好，每天吃着炸鸡汉堡妈妈再也不用担心我长胖营养不均衡了一身膘了，学校让我爱谁我就爱谁，我就是爱肯德基，爱美国。  什么?_? 问我萨德？？？ 看学校怎么办吧，我跟着党组织走！   可笑的是这傻子竟然还在高喊：想念学二的面，侏罗纪的一切！请学校还给我们，即使现在是21世纪，也不要抛弃侏罗纪，这是我们地大人的特色！
在中国地质大学(北京)就读是一种怎样的体验？,漫画版权在地大武汉哟
中国地质大学(武汉)和陕西师范大学的选择？,在这补充一下，小工作300元是除工作之后的，说是发（但是还没发下来过） 另一个岗位的工资稍高几百，除工资之后是补助多几百（补助这几百是年底一次性发放）
本人珠宝设计专业想考中国地质大学(武汉)的研究生，不知道是考设计还是鉴定。？,根据已经兴趣爱好来呗，感觉设计还不错
求中国地质大学(武汉)宿舍照片？,现在地大武汉大三，2人宿舍是研究生的，本科生没有。本科生宿舍北区一般都是四人间，也有八人间两室一厅，上床下桌，空调热水器都有，条件比较好，分到北区宿舍就恭喜你运气好啦~西区的话，多是理工科专业同学住的，有一些年代久远的宿舍楼条件较差，有四人间，有八人间上下铺，也有16人间三室一厅，活动空间比较大。ps:地大校训——艰苦朴素，求真务实，很符合。 很遗憾我手机里没有太多宿舍图，在中国地质大学（武汉）百度贴吧有个帖子专门介绍地大宿舍的，有图有介绍可以去看看。
我记得中国地质大学(武汉)硕士研究生有一个行星化学方向。有没有知道些信息的聊聊这方面？,我刚好是cug大地空的。上张图片你看看再说    这种高大上的学科，你怎么能放弃！
请问中国地质大学(武汉)的地下水科学与工程专业好吗？是属于地院吗？,先谢邀。 这个真是推荐的准啊，本人地大15届刚毕业，环境学院，地下水科学与工程。 并不属于地学院，以前是工程学院，你问很多人他们也许不知道地下水科学与工程，但老名字叫水文地质。 大概零几年分出，成立环境学院，现在个人认为偏重地灾，地下水污染之类，也是划归环境学院的目的。本来也就是水工环三个交叉的学科。现任校长大人就是地下水污染出身，对本学科比较关怀。 但是！毕竟是地质分支学科，而且是我校传统优势，于是工作环境少不了野外可能苦了点。 对于以后的工作状态嘛，我也只是稍稍了解，可能做地质灾害的多一些，还有就是工程地质中有关水文的。纯粹做实验室做水样的，除非是女生，也不太可能，毕竟野外才是我们研究的对象。 教学实力还是有的，学校三大实习基地都去。但是学到学不到什么，我也不好说。地大还是开放化不足，反正我现毕业在做武汉的地铁降水工程工作。还是好多不懂，不过呢本科就是没学多少东西，顶多是领进门。 学地质的都有大局观，眼界心胸都挺开阔！毕竟看了多少野外的风光，几千万年上亿年才变化。可是并没用，，，还是做工程的比较细致。 如果想来，推荐大学选修多一些自己想做的方向，提前规划。要不我感觉我学的东西并没有什么用，除非去地质队有用，可我不想去地质队。
在经济学专业方面，湘潭大学和中国地质大学(武汉)哪个更好一些？, 地大武汉相对来说还是比湘潭大学好的，师资啊以及以后的保研政策 
中国地质大学（武汉）珠宝设计招生只收艺考生吗，不参加艺考的学生可以报名吗？（浙江的考生？,珠宝设计专业要艺考，鉴定专业属于理工类，希望对你有帮助，比心❤️
中国地质大学（北京） 信息工程学院 地理信息专业考研复试一般考些什么？,地大北京不清楚，地大武汉的考《地理信息系统》，包括基本概念，基础知识，最后是空间分析的综合题，基本上是本科教材里面的内容，仅供参考。
武汉的中国地质大学新生进校可以调专业吗？如果要调，怎么调呢？,我不是地大毕业，这般事能走程序走程序，不行走关系。
急需！！！我是2017年山西美术艺考生，想上中国地质大学(武汉)珠宝设计，请问文化课需要多少分？,谢邀，16年资料我这没有，15年山西艺术最低分是224，文化课最低分数是439，计划招生人数是2人。按照往年经验，今年山西计划人数应该是2到4人吧！ 祝你好运，考上理想的大学！加油
