中国传媒大学录音工程系到底算艺术专业还是文化专业。如果属于艺术那么我该需要准备些什么呢？求学长或行家？,艺术专业 会考视唱练耳和才艺 去年没考乐理 但是之前有考过 保险起见还是准备一下 校考前要通过省音乐联考 内容同上
中国传媒大学留学好不好？,楼主.是教育部直属的国家“211工程”重点建设大学，“985工程优势学科创新平台”项目重点建设高校.
中国传媒大学专升本录取标准如何？,你们是几几年考试的啊？是不交白卷就ok吗？我画的也不好，当年中传招多少人啊？我在网上都找不到啊
2017中国传媒大学农村单招考什么怎么考？,其实考的是一些人品测试题吧 是为人处世常识题 比如看表情猜心情，别人怎么了你的反应心情是什么 选择题后面是客观题 客观题里有要你写信 写你的看法 ……
中国传媒大学为什么是语言类大学？,建校的时候只有外国语学院和新闻学院。新闻传播类学位证也是文学学士。大概是这样...
北京电影学院 中国传媒大学的戏剧影视美术设计应该选哪一个？,个人觉得北京电影学院比较好，如果你有什么问题的话可以咨询电话010-82885878
中国传媒大学非艺术类专业学生可以转到艺术类专业么？,可以。 非艺术专业可以转入艺术专业。 艺术专业不得转入非艺术专业。
中国传媒大学的数字媒体艺术和北京电影学院的影视技术系难考吗？, 禁止任何形式的转载本文  ─────────────────────────────────────────── 我上来就吐个槽，看这个回答的排名，感慨给我的“反对”的人挺多的嘛。 ─────────────────────────────────────────── 以下内容为2013年or更早写的，许多方面已经有所改变，望大家见谅，我目前在读研究所 －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－ 我是中国传媒大学，动画与数字艺术学院，数字媒体艺术专业大三在校生。目前了解情况，我们专业（数字媒体艺术）应该是排全国第一。 //有很多师弟师妹报考的时候也咨询过我，一直在研究分数线// #大体趋势是，分数线越来越高，反观艺术面试考证慢慢下降难度。目的是让更多感兴趣，底子好的同学增加机会，而不是通过艺术机构特训，画室突击。#  以上是本科。 研究生据说是。。。。 目前我只认识1个本专业考上本研究生的师姐（除开保送）  直接上 干货  中国传媒大学 数字媒体艺术专业 归属于 动画与数字艺术学院 现在归属于 艺术学部（心酸泪） 所以报考学生必须是有报考艺术专业的前提条件（各省份不一样，广东省需要报考高考时改为艺术考生） 然后数字媒体艺术属于 校招 单考类型，就是和一般的画画美术不一样，不用统考。 但需要面试并且取得相应的  //  专业合格证   获得专业合格证的途径有3种 1 通过报考中国传媒大学学校组织的校考  即大家所说的  艺考   中国传媒大学2012年艺术类本科专业招生简章     2 通过动画与数字艺术学院为高中生举办的   中国国际大学生动画节 小白杨奖 （我是高三通过比赛拿到合格证的）  中国传媒大学 动画与数字艺术学院 欢迎您    3 通过中国传媒大学  拔尖创新人才选拔  获得并享有加分（这个再改，目前是一定会加分，合格证不详）  中国传媒大学2011年拔尖创新人才选拔实施方案     然而无论哪种途径，都必须通过  面试、笔试  小白杨和 拔尖创新 需要提交 作品集  作为小白杨一等奖，估计面试分还行，暂且瞎扯一下 // 面试 面试就是和自主招生一样，就是让老师更了解你，目前而言，根据多方面信息，我们比较觉得动画学院的老师真的非常仁慈、nice（和某影不一样=v=） 面试就是和老师聊天。。。越开心越好。。。。然后就是向老师展示你的方方面面（让老师觉得你特别，有亮点比较关键） 一般是3老师对一个学生，在我们3楼办公室，而且这些老师日后都会教我们，真的觉得挺nice的。 （ 注意准备影视常识 ） //笔试 语数英 （题型肯定和你们北京试卷像，难度没自主招生高） 艺术常识 （每年改来改去。。略奇葩）  //作品集 。。。影视方面，我觉得你会什么就好好准备做点东西就行 至于那些突击临时学什么软件的，其实老师一看就知道。。。 建议让作品集有针对性，偏影视，然后就是可以学习国外优秀的作品。   跟大家分享一下我们班的情况 首先避免误区。。。数字媒体艺术专业属于新兴专业，是亚艺术专业。 分数不可能低 。想要回避高考的孩子就算了。 我们班同学 高考分数都超 重点线（一本），某些同学分高得可耻。  高分，不代表艺术造化低。 分数不高录取进来的都是神人。。。影视各领域都有相当强的同学 （比如我们觉得很多老师软件能力都弱爆了。。。）  本科就业 我也快毕业了，中国传媒大学是一个很好很好的平台，动画学院（俗称 某学院）提供了非常多不错的各种机会。无论考研，出国，就业，都挺好的。  就业基本是 影视类 （电视台、电影、工作者、视频网站）全吃。 能参与 前期中期和后期。 未来是 数字媒体时代，我观察和感兴趣的方向是 交互艺术设计  和 数字媒体监制 （彩蛋~也许大家关注的很多不错的新媒体都是我们系出来的呢 例如 青藤文化 鲸梦文化） 有什么问题可以联系我，尽量公正回答。
自主招生选择中国传媒大学还是北京语言大学？,一切看自己对专业的选择 没有什么去考哪个更值  我当时也报了中传和北语自招 同理科生 初审都过了 最后还是选择了北语的自招  讲讲我的经历 以及选择的原因… 当时铁了心 只报北外和北语 要连北语都没兜住就直接复读呗  对自己的成绩也是比较有信心 至少北语没问题嘛 中传说到底外语并不是它的招牌专业 而且方向也是和传媒有关 其他的专业我也是并不想读 所以不再考虑 去参加北语的自招 一是为了体验一下 二是为了万一考砸 北语加分还能捞我一把  后来自招考试就各种开脑洞 居然过了  成绩出来后挺尴尬的 卡在北外线上了 难说能不能上  北外招生办老师说没问题 北语老师也说能录北外 就弃了自招加分 提前批报北外不调剂 一批报北外北语 最后差一点还是没录上北外 暴风哭泣……  所以 一切看你想上什么专业  是想读小语种和英语？专业的偏向你有没有想法？还要综合考虑自己成绩的定位 北语一批一般比中传低五分左右 还要综合对比两个学校 以及你想读的专业在两个学校里是什么情况
如何看待中国传媒大学放鸽子，取消司马南讲座？,作为知情者 我负责人的告诉你，这个真的跟学校领导没关系 这真的是担心司马南来会造成混乱，之前学生会办活动发生过有校外人员砸嘉宾场子的 不用怎么看，没啥好看的 司马南还在很没意思的一条一条微博的发 陈书记第二天才知道有这么一回事，才知道司马南本来要来却没来才知道自己被骂了 可是陈书记连理都没理他 是啊也没必要理他，要是连他都理那每天得多累啊 还是匿名回答吧
中国传媒大学图书馆非学生怎么借阅？,据我所知不可以
在中国传媒大学学工商管理是什么样的体验？,谢邀。  利益相关：中国传媒大学工商管理类在读学生。  先说结论：工商管理是中国传媒大学的王牌专业。  从生源上来说，工商管理类是中传少有超过一本分数线的普通类专业，没有艺术生和专科生。同学们卧虎藏龙，有上过中国好声音但为了学习拒绝出道的大明星，有深受高数老师崇拜的羽毛球国家一级运动员，有身怀绝技身坚志残的职业电竞选手⋯⋯  从专业上来说，工商管理是中传少有的特色专业，其地位在校内独树一帜、独领风骚。俗话说：学艺术的不懂管理，学管理的不懂传媒。而传媒大学的工商管理跨管理类和传媒类，兼具两者优势。  从师资上来说，有开豪车最时尚的潮流搭配班主任，有布置的作业市场价两千的朝鲜族excel老师，有迷倒一片小迷妹的欧巴高数老师，师资力量之强，全校闻名。  从就业前景上来说，我们的就业方向非常广泛从歌手、运动员到电竞选手，再到各个行业的管理层。我们王牌专业的毕业生在任何行业都炙手可热，从农业、餐饮业、零售业到建筑业，跨各个领域，非常抢手！  以上。
中国传媒大学的国际新闻专业怎么样？就业如何？,首先说明：我是国新本科生啊！所以研究生的问题我是真的不了解…抱歉！   国际新闻14年转到电视学院啦 是以前外国语学院英语专业  国际新闻方向  和  英语播音方向  的合并 所以对新闻传播类的重视度个人认为应该比在外院的时候更高 而英语更多的是一种工具 比较遗憾的是 似乎有些人（包括老师）对这点没有足够的重视 但是其实也无妨 毕竟只要有一技之长就好 本人男票就是对英语无感却有强大的新闻理想（骄傲脸啦  羞涩） 国新专业要早读啊真是辛酸血泪有谁知 而且作业比较多，特别是做presentation 人称国新major in presentation 十二点睡是日常 人很少啊 一个专业一个班，一个班也就20来个人甚至更少   学习内容：   会重视英语的发音（毕竟英播）、口语、演讲能力、国际政治形势，差不多这样吧... 新闻写作采访摄影这些当然也是必修的 值得注意的是 国新的孩子们都很学霸 包括以前的在外院的英播、国新的师哥师姐 像本人这种总是睡不醒的人 就很尴尬了... （但是我在人很回答问题啊是认真的呢）   就业：   秉承优良传统，师哥师姐都666 就这么说吧   鲁豫是国新的   激辩哈佛学者的央视北美首席记者、你们的男神王冠是英播的   我的08级老乡师哥本科毕业就去了央视并且是正式的编制，现在cctvnews的sub-anchor   吴敏霞的男朋友经考证也是我们的师哥...   我们的班主任是我们的师姐，坊间流传25岁拿到剑桥博士（具体几岁反正就是很年轻就对了啊）   许多英文节目的主持人都是我们专业毕业的 在CNN等外媒工作的也不在少数 当然，除此之外 就像在中传别的专业，在电视学院一样 你干什么都可以 毕竟传媒类专业非常重视你的思考能力  而且老师们都会非常乐意为你介绍实习就业的机会的  anyway，在我心里国新真的是一个很棒的专业（一份学费n个专业，只要你想学） 虽然我当时只是考砸了才选了这个专业 但是我觉得自己真的是超级幸运 （侧面说明，高考的魅力真的在于阴差阳错）  ps： 国新专业现在只有自主招生这一种报考方式，所以在大概三月（？）的时候可以关注一下中传的自主招生简章      最后，祝愿所有想要考国新的师弟师妹们加油，在中传等你们～  
英国留学预科怎样选？想读传媒专业，是去中国传媒大学的1+3预科班，还是直接去英国某个大学读预科？,亲 您好  我认为出国读预科比较好 我也是高中毕业后直接去英国读预科  但英国预科最好选大学直属的 因为英国预科大学直属比较有保障  我自己也很顺利硕士毕业啰  在圣安德鲁斯第三名高校读的  英国预科可以帮助您环境的认识  也练习到比较多英文  也可先认识朋友    有问题问我吧
请问澳门大学和中国传媒哪个好？,我和你是一样的！我也考了中传和澳大！但是我比较喜欢中传！毕竟大学这几年需要出去历练自己！而且我更喜欢中传的专业！这得看你自己，如果喜欢安安稳稳就比较适合澳大。如果想趁年轻拼一拼就去中传吧
中国传媒大学有哪些值得一听的课？,诚挚的给你们推荐几门我这个学期上的欲仙欲死的课……  是真的欲仙欲死赛过活神仙的那种  大雾霾天都要从被窝里赶去上因为太喜欢了的那种！！  曹培鑫  传播学概论  (上这个老师的课你就会知道啥叫自己有一桶水才能给你一滴水  反正百分之八十是听不懂的但是你会觉得摸到了打开浩瀚星空之门的一个门把手)  范侃  中日韩电视剧赏析  (不可埋没的一门宝藏啊！每个周一的晚上最期待的就是捧着奶茶去听范老师的课) (不要被名字骗了除了影视剧  老师还讲很多有关文化 文学  历史  艺术形式 表现力  创造力的启蒙   简直包罗万象)(结课的时候老师送给我们三句话  送完了之后让我们走 全班安静的坐在那里  老师再次让我们走  台下居然响起了热烈而持久的掌声)  周逵 英语新闻制作 (基本是国外新闻媒体的导读 要是深挖的话受益匪浅)  (问题是老师人好呀  感恩节的时候给我们送了他自己珍藏的书)(把航拍器拿到教室里给我们讲新媒体)   只是以上几门课只有范老师的课是公选  其他都是我们专业课……不一定能听得到……    最后  附赠周老师课上一张我们用航拍器拍的照片  
去中国传媒大学就读网络与新媒体专业（新媒体运营方向）需要注意什么？就业方向是什么？, 2016/8/6 更新 不请自来  －我是中国传媒大学15级的网络与新媒体（新媒体网络经营方向）学生   你的直系师姐  【比心　  －看到同班的同学已经回答了这个问题   而且他们写的答案很清晰很受用  我就来简单补充几点吧  －我们的专业一般简称为新媒 小名新梅 一般不简称为网新  －我们所属的学院是广告学院 而不是新闻学院   常常有人会弄混  网络与新媒体分大致4个方向  其他方向属于新闻学院   网络与新媒体（新媒体网络经营方向）属于广告学院  －因为属于广告学院   而且新媒体与广告在行业与学术界中都有着脱不开的干系   所以我们都是广告狗   希望你喜欢广告狗这个称号   来到学校你会发现   这个称号还挺令人骄傲  －另外 学了网络与新媒体  你就会 获得另一个称号：推送狗  基本上 大学生活中会与各种各样的推送打交道  各种团学组织的新媒体部基本都是自己人  无声无息中 扛起了学校各种推送的挑子  好好做推送  师姐看好你  －因为网络与新媒体是一个比较新的专业  不像广告学 公共关系学有形成一个明确的学科  对于新媒体学界没有还形成定论  所以有很多东西要靠你自己慢慢摸索  －教育总是落后于行业的  比如现在行业中新媒体下还有种类的划分  产品、内容、运营……  教材中讲的内容可能在不久的将来会更新  甚至被推翻  所以不要以为进了这个听起来很厉害的专业就一劳永逸  要学的 要创新的东西还多着呢  －前面说了 我们都是广告狗   广告狗传统之一就是小组作业  “撕逼型人格开发的关键一步”  “拖延症与嘴炮的较量”  “偷懒的人与干活儿的人界限一目了然”  “deadline在零点 你放心 我们一定在23:59之前交”  和不同的人组队   做不同有趣的课题  祝你们刷夜愉快   这里甩一个视频 去年学院拍的非官方宣传片  导演是13级的一个师姐  广告狗的日常都在这里了   中国传媒大学广告学院非官方宣传片      －好多东西不是书本课堂学的来的  多听多看多悟吧  个人觉得 网络与新媒体这专业  实践重于理论  －做到&gt;记住&gt;知道  －学习成绩永远重要  好好学习 能不翘课尽量别翘  课堂上的环境和氛围是必要的  －多读相关的专业书籍  学着用广告人的思维思考  “为什么这个大公众号的推送要这个时间推”  “这个热点能挖出什么新的角度”  “这个广告放在这是给谁看的（受众是谁）？  又能收获什么样的效果（用户反馈）？”   祝剩下的假期愉快  祝专业学习顺利  9月开学就可以在校园里见到你了～ 
17考研书中国传媒大学广告学713 828?,楼上学姐和学长回答得比较全了，在此附上广院161师总结的参考书目及中传发布的专业课大纲，不想另外找的同学直接拿走。   http://  pan.baidu.com/s/1qWUgka  g       考研早做准备啊！我就是那个不争气的要甩二手书的学姐！ 最后，祝大家考研顺利！
中国传媒大学的网络与新媒体(媒体创意方向)会学什么？,偶然在一条评论里看到你 中传招生网上是这样写的 &gt;&gt;&gt;&gt;&gt; 网络与新媒体（媒体创意方向）普通类本科专业     本专业主要以网络与新媒体领域所需要的专业的职业化的媒体创意人为培养目标，学生毕业后适宜到相关媒体的创意、研发、策划等部门工作，也可以从事信息采编及设计制作等工作。  主干课程     传播学概论、新媒体概论、创新思维训练、媒体创意导论、图形创意、视听语言、视觉传播、媒介融合、多媒体信息设计、在线新闻编辑、新媒体创意实务、广播电视创意与策划等。    不知道对你有没有帮助  不过其实网络与新媒体不止这个方向啊 比如我就是网络与新媒体(新媒体网络经营方向)的哈哈哈 打个广告 因为看到你也有想学广告学 本专业就是广告学院的 经常和广告学一起上课 很有趣的 就业前景也不错  我也有朋友在媒创的 听说他们要学的比较多(虽然整个中传都是如此)总的来说 跟创意有关 而且是在新闻学院 来中传绝对是最好的选择了 加油学 祝高考考个理想的成绩啦
中国传媒大学影视制片和北电影视制片管理哪个比较有竞争力，就业情况好？, 没上过这两个学校。  用实际经历来说的话，我现在在影视制作（电影，网剧，网大）行业混，基本上见到的都是北影的学生，中传很少。可能中传都往电视，综艺那边去了吧。人脉，方向有所不同。 
中国传媒大学 播音系 有多难考？,女生的话，很难.....真的很难....男生的话会稍微容易一点....每年招收100个人左右吧，男女比1:1 每年的话，大概会有9000人考播音，合格证300张，男女比1:1 有小圈的，就是男女的前38 前38：一本线百分之90左右吧： 后面38-50：一本左右吧
如何评价中国传媒大学动画系 2017届（2013级）作品《鬼佬大战玉蟾宫》？,我只能说无可奉告！
跨专业考中国传媒大学新闻与传播研究生 需要准备什么，看什么书？, 中传的新闻有点点难啊，这个属于国内顶尖院校了，你可以先收集资料，不过中传的新传应该没有固定参考书目，你可以找去年考上的师兄师姐问问，这样帮助大一些 
中国传媒大学的戏文和中央戏剧学院戏文，选择哪个？,捧中戏就捧中戏，不要瞎鸡巴乱说中传戏文的事儿。  20世纪90年代初，北京广播学院开始了前所未有的大发展的新阶段。在学校统一的部署和安排下，1993年，曾庆瑞和同事们一起努力创办了中国高等教育史上第一个广播电视文学系的第一个广播电视文学本科专业，招收了第一届电视文学方向的四年制本科大学生。作为创系主任，曾庆瑞和大家继续努力，在1994年获准设立了戏剧电影文学专业的硕士点，招收了这个专业的第一届电视剧历史与理论研究方向的硕士生。到1999年，更上层楼，国家批准学校设立广播电视艺术学专业博士点。当时，这是全国高校和研究机构中设立的第一个也是唯一的一个本专业的博士点。曾庆瑞和在学校兼职的王伟国教授一起，招收了全国也可以说是全世界的第一届本专业“电视剧历史与理论”研究方向的两名博士研究生，各自指导一名。历时十三年，跋涉在这个领域里，曾庆瑞揭开了艺术史上的“电视剧艺术学学科理论”的成体系的建设工作的第一页，为此做了奠基和开拓的工作。
中国传媒大学文艺理论 704 历年参考书目有哪些？如何购买？,网上能查到，想找考研资料的话，你到广院里面的书店，复印店，绝对最全。
请问中国传媒大学MJC研究生的七个方向导师都是谁啊？,中国传媒大学新闻与传播（MJC）专业导师介绍 来源方式：原创   中国传媒大学新闻与传播（MJC）专业导师介绍    发布时间：2013-01-30   1、新闻实务方向  张丽、王宇、潘力、罗哲宇、方毅华、陈作平、李舒、王大中、刘年辉、宫承波、凌昊莹  2、媒介市场调查与分析  丁迈、柯惠新、沈浩、肖明  3、国际新闻与传播   曾祥敏、高晓虹、秦瑜明、张绍刚、任金州、赵淑萍、刘昶、孙振虎、杨凤娇、钟大年、何苏六、张雅欣、陈刚、乔保平、郭艳民  4、电视新闻采编  曾祥敏、高晓虹、秦瑜明、张绍刚、任金州、赵淑萍、刘昶、孙振虎、杨凤娇、钟大年、何苏六、张雅欣、陈刚、乔保平、郭艳民  5、新媒体采编实务  曾祥敏、高晓虹、秦瑜明、张绍刚、任金州、赵淑萍、刘昶、孙振虎、杨凤娇、钟大年、何苏六、张雅欣、陈刚、乔保平、郭艳民  6、口语传播实务  鲁景超、李凤辉、丁龙江  7、品牌营销传播  张树庭  MJC导师并不固定，每年都会有变化，上述导师名单是从师哥师姐处打探而知，并非官方名单，仅供参考。 
作为一名普通二本23岁的女生考中国传媒大学传媒经济学的可能性与必要性？,关于传媒经济学，我希望你不要入坑，这个高大上的名字并不意味着高大上的就业方向。我当初选择这个专业，完全是因为我的导师在中传带博士生。 第一，如果你现在对经济学不感兴趣，我认为你也不要报考传媒经济学。因为中传是一个很实务的学校，传媒经济也是非常实务，专业要求学习SPSS软件分析，写论文要用各种软件进行数据分析，这也成为了中传学生就业的优势，大多数人去了影视公司、互联网公司、广播电视台。百度前任副总裁李明远是知名校友，影视方面的知名校友（从业人员）也是数不胜数。 第二，现实问题，来了北京，你还要回去工作吗？中传本身是211，专业的知名度很好，但是以一般性的工作（非国企和非公务员）落户北京却很成问题，如果未来你想留在北京，一定要慎重考虑。 第三，中传的研究生和博士是很多广电影视行业从业者的镀金招牌，这些人大多是来积累广电影视人脉的，所以中传的研究生并不适合毫无工作经验的学生。我建议你现在先工作，找一份招聘要求是经济学专业的工作，工作一两年再谈考研的事情，说不定你那时候有了经济实力，可以去国外读书。 加油！
三跨考研到中国传媒大学，综合考研难度和就业难度，哪个专业适合呢？, 简单粗暴的上考研经验和资料。712和815方向，新闻学、广播电视学、传播学等专业都要考这两门专业课。当时我考的传播学，后来还在圣才教育和文都考研讲过课，差不多都是这些内容。  一、参考书目      简要评价：  1. 前三本书是新闻理论和新闻历史的重要书籍，笔记都是出自这两本书，如果大家复习时间较早，那就从看这三本书开始。也有李良荣的《新闻学概论》什么的，选择一个就好。  2. 新闻实务部分的三本书是以前广院考研的必读书目，大纲改革以后新闻实务比重少了一些，但是如果考的是新闻学院的专业，那么这几本书也是必读的。  3. 广播电视实务的这几本书都是我看过的，大纲改革以后新增的广电实务部分是很难找到现成笔记的，因此我自己从这几本书中找到了考试大纲中相应的条目，并做了笔记这几本书大家可以看，写的挺好。  4. 传播学的书都用胡正荣的《传播学概论》，他是现任广院校长，但是我在本科期间读了郭庆光和胡正荣写的这两本书以后，私以为郭庆广的《传播学教程》写的更详细且有深度，更系统。因此我推荐这本书，而且也做了详细的笔记，包含在我的资料当中。  5. 广播电视史论部分也是我找了各种书来自己做的笔记，这一部分用的最多的书其实是《全球传播史》，写的非常有趣又有料，建议大家去读一读李彬的这本书，另外就是赵玉明、李岩等人写的那几本书。      其实要说推荐书目，真的能列出一大堆来，针对传播学的学子，还应该读尼尔·波兹曼、麦克卢汉、鲍德里亚、霍夫曼、李普曼等等他们的原著；新闻学的同学应该去把普利策奖近10年的新闻报道研读一下；广播电视类的同学应该对本雅明、葛塞尔等人关于大众文化、影视文化有所了解；新媒体的同学应该对尼葛洛庞帝、保罗莱文森等人的著作有所涉猎……这些都可以帮助我们提高自己的专业素养，而提升素养就是山不嫌高，海不嫌深的无上限事件，类似这样的书单也是一抓一大把，但是大学四年都没有完成的事情在考研期间更不可能有那个精力去做这件事，因此大家都量力而为，这也是我列这个书单的目的，这份书单是最为重要的几本书，有余力的同学可再去搜其他书看。  二、推荐其他信息来源  考研过程中除了基础知识扎实以外，大家还有一个头疼的地方就是关注时事，因为论述题很可能根据当年的时事出题，这也是押题的重点所在。怎么解决这一部分问题呢？这里我给大家推荐几个资料来源：  1. 重要期刊：《现代传播》《国际新闻》两本重要的学术期刊大家应该很熟悉，就不再多数。  2. 关注公众号，比如“考新闻”，虽然有时候货也不干，但是紧跟时事潮流，从新闻传播学角度关注当年发生的重要事件，这一点倒是可以给大家写论述题带来参考。但是类似的公众号关注一到两个就够了。  3. 传媒人网，这个网站每年会出时事热点解析，当年我180块钱买了一套，可是也没怎么看，给大家一个参考。  4. 传媒小王子，这个大家也熟悉，他每年出的一套理论和热点解析挺有用的，有更多时间的同学可以看一下，这个可以有。  5. 广院的金谷园书店有很多复习资料，复印店也有，如果同学需要可以来学校买，或者托朋友帮忙买。  推荐的这些信息来源只能作为参考。考研的时候很容易会有这样的问题：资料五花八门满天飞，各样论坛都能下载到看似干货的资料，或是一冲动就花了一两百买了网课什么的，以我的经验，多么好的资料都没用上。我也是买过、下载过各式资料，包括传媒小王子那一套，现在翻一翻都觉得挺有用，但是也确实没怎么用上，肚子就那么大，怎么能吃下那么多东西。所以说对待五花八门的资料一定要有清醒的认识。  首先，要有一套最核心的资料，其他资料都是辅助，哪怕过程中遇到多么棒的资料都不能捡了芝麻，丢了西瓜。因为如此，所以那一套核心资料必须是权威、正确、不坑爹的干货。我有个同学考某985大学，没有报班，也没有找到正确的资料，经常上网找一些网课来听，结果就是一点戏都没有。要么报班，要么自己做笔记，要么买一套靠谱的资料。  其次，网上的专业课视频可以作为辅助，但不要花太多时间，如果不是专门针对中传的，而是那些综合类考研机构的网课就更要观望一下，因为我曾经帮师姐给一个挺有名的考研机构整理过考研资料，虽然有干货，但是他们自己注了很多水，值不了那么多钱，还浪费时间。  最后，要时刻关注研究生招生网的动态，考试大纲出了以后要赶快下载，有新通知要尽快研究。  在读研期间，我重新整理了自己考研期间的资料，有一部分是学姐传给我的资料，另一大部分是我自己的笔记，并且做了ppt在某考研机构讲过课程，最近我把自己的资料汇集在一起，打算卖出去，如果有同学需要可以联系我。这套资料相对来说较为全面，可以作为主要资料使用。我会在首页附上资料使用方法，就像这样：      使用说明  1. 核心资料包含了两门专业课（712和815）考试大纲上的所有条目，并按照大纲上的顺序排布，这是最基本的。             2. 历年真题就是字面意思，真题要做两遍，因为可能有的题会重复出现，研究真题是非常必要的，最好把真题出现的频率和种类列一个表格  3. 读书笔记作为辅助材料，如果没时间看书可以通过笔记来了解一些理论观点，其中《传播学教程》笔记非常重要，也非常好用，这个要多看几遍。《传播的偏向》核心论点记下来在论述题的时候用上会显得非常洋气。广电史论和新媒体论文大致浏览一下，与核心材料有重复的地方。社会学的两个笔记作为了解，不甚重要。传播学论文可以翻一翻，都是重要学者的重要论文，可以帮大家对传播学有个整体框架概念。  4. 其他资料虽然是辅助，但是名词解释可以没事儿背一背，说服理论的讲稿是我读研期间课堂演讲的时候费了挺多功夫做的资料，很快就能读完，对理解传播学很有帮助。专业课应试技巧总结简直太重要了嘛，必须好好看一看，再自己总结一些答题模板。Netflix大家都听说过，纸牌屋的出品方，现在挺火的国外四个视频网站中的一个，新媒体和广电方向的同学可以了解一下，这是我读研期间的一篇小论文。     5. 考研建议什么的就是我发在公众号“研路”里的两篇经验贴。     6.712和815两门考试的大纲，这是中国传媒大学研究生官网上发布的考试大纲，更新到2017年，2018年的大概会在10月发布，大家要关注招生官网。     以上就是我的全部资料，需要的同学可以私信我，微信号是tt1392213415；微信号不是我的电话号码，是qq号码。       
中国传媒大学动画与数字艺术学院怎么进？,那就考数媒技啊……这有啥可问的呢，至于转专业不也是一件很正常的事情吗……
在中国传媒大学跨校辅修双学位是什么样的体验,  这是2016届今年刚刚毕业的师姐的课程表，我是在这个暑假回归课堂生活 刚刚结束辅修生活的。        总之来说，就是收获满满的一个夏天 不然 炎热的夏天总是容易被挥霍掉 一个月的学习感觉收获满满 首先 你会遇到一群在之前的专业遇不到的一群人（我是三跨来辅修班） 没错 一群志同道合的人 忽然觉得时光飞逝啊 虽然天气很炎热 但是冷气也足够让你离空调近的同学来一场小感冒了    -------------------------------------------------------------------   这是离开“广院”时拍的一张照片～ 见到了传说中的广院肉饼 也算是弥补了高考失利的遗憾吧    哈哈哈哈哈哈哈哈 这可能是最形象的一张图了 闲聊时产生的作品   还能在每天天晴的下午遇见彩虹     会在外拍课第一次做场记    一个月和我的小课桌已经培养出了深厚的感情      偶尔会来一次说走就走的夜宵 比如这样     '
中国传媒大学男女比例是多少啊 女生多吗是什么体验？, 我们的1教和48教（最常用的教学楼）在东西两侧都有楼梯，楼梯两侧是卫生间，所以每层楼是4个卫生间。但是这4个卫生间里是3个女卫1个男卫。所以，中传肯定是女生多啊，无论什么专业，即使是工科天天编程捣鼓电路的专业，女生也将近是男生的两倍。我有一个文法学部的同学，他们班也是就他们宿舍四个男生，其他全都是女生。 
听说中国传媒大学今年有了合作办学专业，和密苏里合作的传播学专业靠谱吗？谁能详细解答一下？跪了！,个人觉得不太靠谱 University of Missouri挺水的
2015年中国传媒大学在职联考GCT分数线什么时候出来?,摘自： 2015年中国传媒大学GCT分数线何时公布?     　从往年来看，中国传媒大学GCT分数线一般会在成绩查询之后一段时间内进行公布，现阶段，已经有院校开始公布分数线及复试事宜信息，关于2015年中国传媒大学GCT分数线的公布，还需要考生能够耐心等待一下，考生可以持续关注本站或官方网站.
跨专业考中国传媒大学研究生困难吗？,个人觉得，其实考研跨考与否，并没有太大区别，看你如何去准备了，因为即使本专业很多内容也是重新学的！
中国传媒大学南广学院与中国传媒大学还有关系吗？,无关系，大量艺术生。想想你们的知名校友倪妮。
求教！求高人解答！怎样在中国传媒大学申请播音主持专业的第二学历？,中传播音有一个两年制的本科，只接受非播音专业的。你可以去问问，郎永淳就从那个班里出来的。
如何考上中国传媒大学？,我的求学经历。幼儿园没上小学升初中没考上重点。初中升高中没考上重点。高考到了，我好害怕爸爸鼓励我重在参与您是我亲爸木马
中国传媒大学艺术类录取综合分怎么算的？,这个表格底下就写了啊………专业分数除以合格线加上文化分数除以一本线。
