求赐一个东北师范大学文学院对外汉语专业的学姐学长！！！？, 东北师大的对外汉语专业的硕士在国际汉学院培养，不在文学院 
高三应届毕业生想学会计 在东北师范大学和西交利物浦大学之间该如何选择？,开学就是大四了，过了一段时间回过头来看这个问题想多说几句。站在中国传统教育的角度，一个211肯定比一本好，在中国肯定认top2、C9、985、211，依此类推。但是出国的话，宁波诺丁汉和西交利物浦真的是两所bug级别的学校，想出国留学的同学选择真的比传统的985和211要好得多，所以力荐西交利物浦。   但是对于那些选择了中国传统高校的学生来说，211和985提供的就是科研经历，教育部会有很多的专项资金和拨款，支持学生搞科研，有经费，而且在本土来说考研和工作的话选择还是不错。    关键就看你想选择出国还是在中国发展。  -----下面是原回答----- 我是东北师范大学商学院的一名大四学生，中美合作会计是从我们这一届开设的，我是工商管理类的会计学专业的，中美合作会计和我们一个年级，分属不同专业，还是比较熟的。以下回答仅个人观点。  东北师范大学商学院中美合作会计学费一年两万八，由外教和中国老师授课，可以选择2+2出国，3+1出国，也可以选择不出国。东北师范大学相对的好处就是如果你本科不出国，想要研究生申请出国（其他院校）的话，排名是比较高的，网大排名40。而且中美合作会计这个专业，老师非常照顾学生，知道学生以后会出国，打分相对来说高一点。而且如果你想去合作的这个学校的话，托福成绩够了差不多就行了。  作为商学院一名学生来说，商学院各专业作为师范大学的非师范专业，不如师范大学的强势师范专业。但是东北师范大学好在它是211院校，综合排名一直在40左右，外国高校评价的排名也是40，这个是很好的。而且东北师范大学在东北地区，是名声特别好的学校，是吉林省第二（吉大第一）。东北师大整体环境很好，女生多，学习氛围浓重，各种学生活动很多，老师对同学蛮好的，学校的各种资助、补助、奖学金也很充裕。   从商科来讲，商学院没有提供太多的以及特别好的实习，但是学校和学院在科研竞赛方面资源特别多，每年有本科生科研项目资金（1000和7000）和国家级大学生创新创业训练项目，而且项目数量给的比较多（教育部直属高校、211高校的好处），竞赛方面也有很多比赛，互联网+、大挑小挑等等，商学院每年都有同学获奖，但这些主要看个人参与程度。将来出国的话，科研和竞赛的话，国外还是很看重这个的。而且我们很多老师愿意带本科生做项目，指导学生开展科研。  实习的话得看个人能力和热心程度，211院校的话，企业还是很青睐的，我们有同学去了普华永道、德勤、东北证券、喜来屋酒店、一汽实习的。商学院今年立了国家级大学生实习实践基地（汽车产业：一汽和吉林汽车工业贸易集团等，因为长春是汽车城）。商学院也和五星级酒店喜达屋酒店、东北证券有合作。  看题主的话，考acca、cfa还得看个人能力，因为考证还是看个人，我有同学考了acca、cfa、cma的，都是自己私下花时间努力的。  希望我的这点了解对题主有所帮助。
东北师范大学的中外合作办学用出国吗?(我妈不想我出国，但我想去那个中外合办)？,本校生有知道有关东北师范大学中外合作办学相关信息的，麻烦告诉我啊，非常感谢(本人现在正在头疼报考)
成均馆大学儒学院和东北师范大学的汉语言文学专业，如何选择？,东北师大中文硕士路过，这他妈是我校在知乎被黑的最惨的一次。 堂堂教育部直属211重点大学重点学院的重点专业，汉语言文学，全国都是前几名的汉语言文学，居然被拉过去和一个韩国大学的中文专业对比，居然还挺纠结。 我啥也不说了，你去韩国读中文吧，祝你学业有成。
东北师范大学有没有宗教系、神学系（基督教）、佛学系（佛教）？,歪个楼。哈尔滨有，佛教大学。
东北师范大学的女生怎么看待吉林大学南岭校区的男生？？,我要继续匿名了！ 好好学习天天向上！  以下是分割线 (ღˇ◡ˇღ)(，，•́ . •̀，，)(ღˇ◡ˇღ)(，，•́ . •̀，，)(ღˇ◡ˇღ)   本人东师文院女，男朋友是隔壁南岭机械男。通过贴吧认识的，老乡。  首先，必须说明，每个大学都有屌丝。东师和南岭都是。  第一印象是东师吧和南岭吧里一堆南岭男生，东师妹子们比较少玩贴吧。男生们比较放得开。  去南岭吃饭，餐厅多楼层少价格还行。嗯，男生多，坐在餐厅里边儿会不习惯。可能因为男生多的缘故，有些南岭餐厅阿姨和东师南北苑的阿姨性格都不一样，比较大大咧咧。  和宿舍一妹子来南岭看电影，妹子说走在路上这儿的男生真多。  和男票在晚上进过一次体育馆，很多男生在打篮球，几个妹子在旁边儿星星眼围观。  看过男票在大学里的课表，满满的，真是累，心疼他。大概，很多南岭男生也是学业比较繁重吧。南岭男生想谈女朋友，可能得牺牲一些打游戏的时间。  健身的男生比较多。  本人路痴，所以很欣赏当导航的男票。额，身边儿有两个路痴妹子的男票也是南岭的，同样欣赏这一点。  大部分南岭男生会看得懂内涵笑话和图。我也慢慢看得懂一些，但是个人不喜欢在大众面前谈论这些。  男票非高富帅，但是踏实稳重，性格温和偶尔强势一点（我喜欢o(≧v≦)o），有主见，思想比我成熟(๑ºั╰╯ºั๑)。不是学霸，但是不会挂科，部分科目还行。  有次一起过马路，有个自称大学男生的人做兼职，让我们填写一下我们联系方式。我顾及隐私不是很想写，但是他写了。之后我问他为什么，他说既然隐私已经被暴露了，帮一下别人填写也没什么。瞬间觉得他挺体贴的。  他不喜欢太多文学的东西，比较实际。我也不想找个太文艺的男票。。。他没有什么特别爱好，但动手能力比我强多了。  我爱好比较广泛，他会投我所好，比如，和我分享一些网上新闻，科普科技类的知识。有些互补，和我一起后，他说跟我学到了一些知识。  有时候嘴说不过我。见其他女生会有些不好意思。有点笨笨的可爱 。  出现问题，需要包容和直说。有些时候我需要拼命克制自己委婉的表达习惯，尽量通情达理地直接说出自己内心的想法。  上面几段介绍男票的原因是，理科男的优点和闪光点值得耐心挖掘，男生也需要自行展示一部分促成一段感情的开始。  其他南岭男生，也有喜欢文学的，喜欢音乐的，也有痴迷游戏的……  概括地说，东师妹子对南岭汉子的印象就是，他们和普通男生一样，相较东师男生来说，就一个字，多。  噢，今天是情人节。洋节撒，他不是很在意，正巧我也是。但还是祝大家爱一世～情人节快乐(ง •̀_•́)ง
在辽宁工程技术大学学广播电视新闻专业，想考东北师范大学现当代文学专业，胜算有多大？,我考研面试的时候，导师都以为我是成人高考学校毕业的，这破学校在外面没人认，自以为是的学校，最恶心的还有辽工大的老师吹自己清华北大辽工大，认为自己学校矿业黄埔，简直就是侮辱黄埔！想想这破学校就恶心。
文科生在东北师范大学长安大学和云南大学怎么选？, 东北师范大学比这俩都强好多 地域上三座城市都发展得不好 所以看学校名声了呗 东师比这俩好多了 
甘肃文科考生530（一本线505）上东北师范大学可能性有多大？请各位帮我预估一下，感谢。？,感觉还是去东南沿海好一点吧 
东北师范大学社会保障研究生的就业前景怎么样？贵人指条明路吧！?,哪个学院的？
是考研本校华中师范大学好还是保研去东北师范大学好，教育技术学专业？,东北师大是不错的，如果对考研感到比较焦虑，保研也是很好的选择啊，可以感受几年北方的生活。但如果想在华中师大那边就业的话，还是要选择本校读研，为了以后吧。个人意见。
东北师范大学考研录取线是国家线吗？,这些信息都可以在东北师范大学研究生院的官网上查到呦
关于东北师范大学外国语学院考研的一些问题？,我也想考东师，教育，对这个不是很了解，不过我加了一个群，群主是东师毕业的，需要可以找我要qq号~最近才看到，回复的晚了~
华中师范还是东北大学？,华师的全国排名可是排在东北大学前面，一个是一流大学—华中师范大学、师范类排名第三、211；另一个是知名大学—东北师范，师范类排名第四，还不知道是不是211，你说选哪个？ 正常人你说选哪个？
17届福建考生，东北师范大学与中国社会科学院大学哪个更推荐报考？,你还是去东北师范大学吧……因为你的分数估计上不了社科大……另外，你发问题前能不能查查你所喜欢的历史各学校的实力……感觉这次是社科大历史学部被黑的最惨的一次
东北师范大学和华中师范大学哪一所大学更好？,免师没什么可以比较的，要在南方就业就选择华中，在北方呆着就选择东师。要是东南沿海的话这两所都一样。
东北师范大学金融系怎样?,金融系的，明年毕业，看到没人好好回答，就简单说说，，欢迎补充，，， 东北师大经济学院和商学院总体规模不是特别大（相对数理化生这些学校强势学院来说），经院4个系，经济，金融，国贸，财政。商院不太了解，但可以肯定比屌丝经院有钱多，各种校友捐钱，学生很aggressive，经院孩子都太naive了。前两年经济学大类类授课，不细分专业，大三根据志愿和专业排名分系，经院学霸基本都在金融系，你懂的，本人学渣一枚，运气好挤了进来。金融系课程不会太松，主要集中在大三上，7到8门专业课（考试周要死人），下半年课程不会那么紧，总得来说课程中规中矩，看你怎么学，学得好的论文都能发，地域问题东北几所主流高校金融都差不多，吉林大学会突出些。院里和系里老师都很nice，学院规模不大，所以师生交流很方便，不用担心教授不理本科生，学院老师都是一对四引导本科生，很多导师真的超负责，周六周日都会带学生学东西，提前接触研究生学的内容，而且不求回报，因为很多院里教授都从日本一桥回来或是老吉大毕业，科研教学都很严谨负责，做事很一套章法，本身周围诱惑少，很少会浮躁，让本人感触最深的也是老师那种安之若素，踏踏实实的态度，不扯那些经世济民高端洋气那些的东西（东北师大校风说难听点就是太老实本分）。因为地域问题，院系就业这块是个硬伤，长春毕竟早不是伪满新京，能提供机会实在不多，如果是想定下心学东西做科研的话还是不错的选择，去年学院一个教授就被华东师大挖过去做了经济系主任，其实这个平台绝对能带你走得很远。但如果是考虑就业的话，说实话如果有更好选择，最好还是别来，净月真的很村，金融就业的话北上广机会更多也更方便。还有就是金融系包括整个学校漂亮妹子真的多，你懂的。
本人大三考研党，现就读于二本普通院校，想考东北师范大学体育院校，跪求大神指导？,什么时候考？
英语专业研究生报大连外国语大学还是东北师范大学？,从学科，师资，生源来说，东北师范大学都要比大连外国语大学好。  东北师大的英语有博士点，已经培养了一批博士，覆盖东三省地区。  东北师大的师资也不错，有一批老教授，有自己的传统。相对来说，大外虽是外语类，发展却很一般。  东北师大的本科和硕士生源都要比大外好。  当然，我个人认为东北的教育整体还是比较差的，外语学科更谈不上强。  谢邀。
东北师范大学考研 学科教学（英语）允许跨专业报考吗?,我也是准备考东师但是据说他们学校对于跨专业考研要求很高 这个是考研班负责的老师和我说的 告诉我尽量不要报东师 于是转战辽师了
为什么东北师范大学思想政治教育专业有三个？, 本人16年从东师本科毕业，我来回答一下。  政法学院：侧重于中学教育方面，在净月校区。  思想政治教育研究中心：侧重于学术研究，在本部校区的音乐学院楼。  马克思主义学部：侧重于学术研究，在本部校区的马部教学楼。  当然，如果毕业后去中小学教书，这三个都可以。中小学只看你专业、院校、讲课能力等，不会深究你是哪个学院毕业的。 
如何看待东北师范大学附属中学老师用卷子扇学生的问题？,作为东北师范大学附属中学应届毕业生，泻药。 这件事刚开始在微博上出来的时候我没有看到，是通过同学朋友圈了解的。 那我们从头说起。 小泽同学，今年15岁。中考576分，学习成绩很好，他所在初中那个班级只有两名学生考上本校。 exo me??576分，学习很好，所在班级只有两名学生考上附中？？ 答主初中在本地只能算中等偏上一点点的水平，多说能打70分。我初中的班级有六个人高中于附中就读。 当年中考满分600，附中统招线586，自费线583.5，答主585分。至于青华校区，我不是很清楚，不过按照往年惯例，自费不低于570，统招不低于575。 我没有给青华或者青华生招黑的意思，大家校服都一样，都是附中人，不分青华自由。不过学习成绩到底好不好，考一次月考就知道了。 东北俗语云：是骡子是马，拉出来溜溜。 答主父亲一位朋友家孩子今年也上高一，同样是在附中，通过推荐生制度进入本校，可能初中就读的学校比起小泽同学还要稍差一些。中考五百七十几分，全校前十。不曾提前预习高中课程，分班考试后被分至自由普通系列。 于是这个孩子非常自信地和他爹地说：“爸你放心！我肯定能考全学年前100！！” 我知道以后呵呵了一下，绝对没有其他的意思，只是善意的微笑。 有自信是好事，不过考一次估计他就不敢再如此妄言了。高手如云的大附中里，浩浩理科1200人，吾等泛泛之辈只能晃荡在400名，是在下输了。 综上所述，小泽同学，不是你学习有多好，是你初中学校的水平尚有欠缺啊。 其二， 班主任处理方式必然欠妥，这是毋庸置疑的。  但答主仔细地回忆了一下，三年里我所在的班级应该是没有人挨过打，最多也只是口头威胁性质的弹脑瓜崩，离“挨打”这个定义还是远了些。罚写肯定是有，答主曾经因为话痨和同桌一起被罚过20遍生物的某个定义。被罚抄语文文言文的也有，都是因为应当背诵的篇目没有完成。 不过又想了想，答主在小学和初中倒是都挨过打，不止一次，都是因为些鸡毛蒜皮的小事。  不为这名老师开脱 ，答主只是想表达这毕竟是少数现象。 其实学校各科作业查的都不严，基本几天收一次或者一周检查一次。遇上内容实在太多，课代表也会多给几天时间让大家完成。老师也很少因为你不完成作业而大为光火，主要还是靠每一位同学的自觉。 其三，“老师拿书抽我脸的时候，全班同学都看到了，我觉得很没有面子。” 这个逻辑不敢苟同。 而且事实上并没有那么多人关心你发生了什么，大家都有自己要做的事。这种琐事在他们的生活中只能占用不到一分钟。同学们既不会因为你挨打了而认为你是英雄，也不会因为你写不完作业而看不起你。被班主任臭骂一顿回来，大家照样能一起玩耍。 泱泱附中，一个人实在太微不足道。 不过我还是不明白，刚开学三天能有多少生物作业？？ 三天我都能写完一本练习册了。 其四，作为家长第一时间不和老师沟通而是曝光网络，真是用心良苦啊。 想象了一下这件事情如果发生在答主身上，回家和父母转述之后，母上一定会作咬牙切齿状，先骂一句“该”，然后再数落我一通怎么不写作业，上课为什么睡觉，然后可能才会看看伤势。如果只是皮肉之痛，很好，那么她还会继续骂我。 绝大多数情况下，老师不会无缘无故教训学生。一来动辄肝火，谁也不愿没事闲的生气。二来没有必要，倘若学生本身既无过错，又何来“教训”二字。  在承认老师处理手段确实有问题的前提下 ，我们继续深入讨论。如果老师的打骂真的给孩子造成了生理或者心理上的伤害，家长第一时间应该做的是积极与老师联系沟通，以获得合理的解决。如果事态真的严重到需要更换班主任并对该教师进行必要处分，可以就各项事宜进一步与校长交涉。 无论怎么看， 第一对策 都绝对不是发布到网络上，利用舆论压力干扰视听，向学校和老师施加压力。 可能家长觉得班主任道歉的态度不真诚，语气太强硬，那都是应该向这位老师提出表明的。既然是能力足以使其在附中获得一席之地的教师，相信对方也愿意再次甚至公开道歉。 这位家长的做法让我觉得他想搞个大新闻。 其五，关于总想搞事情把学校和教师妖魔化的记者们。 老师开课外班，你们曝光。 学校集体补课，你们曝光。 捕风捉影说的就是你们。 课外班开不成了，带来的是更激烈更惨无人道的竞争。 周六不上课了，带来的是更为紧张的填鸭式课业安排。 受害的到底是谁？ 还是我们这些苦逼的学生狗。 P.S.可能答主脑容量不够，不过学校的数学学案我很少能跟上…… 最后，谈一下答主对本校的看法。 【看我标准的英语作文格式】 在附中生活了三年，大大小小的事情也看了不少。有惺惺相惜的同窗，有体贴的学长，也有交好的老师，好到可以一起出去喝酒的那种。 学校没有门禁，想逃课都很容易，门卫大爷态度也很好，理由正当便能进学校。 脱产以后老师们也会很认真地关心你，为你提前脱离高三魔咒感到由衷的高兴。 四月校园里会开大片的花。 羽毛球场多，食堂不难吃，果麦好喝。 经历了也成长了。  纵然在这所学校发现了不少弊病 ，但相比之下，还是优长要多得多。 贯长庆，踞青华，名自由。 荡气回肠，是为附中。 不匿，欢迎来喷。 【追加回答】 为什么总有人根本不看我到底说了什么就说我是来招黑的？ 第一，整篇回答我 从来没有说过老师打学生是对的。  引用我自己以前的例子也只是为了说明，老师打学生这件事很多时候是你根本不知道自己为什么要因为这件事挨打。 第二，我也 没有说过当事的同学学习有多不好。  个人只是对“学习很好”这一说法存疑而已。如同我在评论里所描述的，高中的课业难度有别于初中，学习成绩的确是一个相对的概念，前提是要置于你当下所处的环境中。 不配做附中的学生？这个我还真没有能力定夺。 第三， 家长的确有权利把事情散播到网络上。  只是我觉得这不是最优先对策，而且大部分人头脑中反映出的第一解决手段也不是如此。 第四， 我不认为附中的一切都是好的。  这个问题我说过很多次了，让我例举学校的弊病我也能写一页。我从来不觉得这个学校十全十美无可指摘。不过这个问题好像不是讨论“东北师大附中有哪些缺点”的？？ 既然有人说我黑那我就把措辞改得稍微温和一些吧？ 希望理解了我的观点再喷。
三本会计，想知道考研是考一本的会计专业还是类似于东北师范大学这类不是财经类的会计哪个对未来的就业好点？,看清自己，才能掌握未来。 我也是三本，家住在小县城。 会幻想985，也考虑了很多，报考风险太高了 如果非211不上 二战浪费的不仅仅是精力和时间 还有很多机会  大概我能做的就是选择一所在自己能力内的普本 然后走上CPA这条不归路
读研究生首都师范大学or东北师范大学？,外地生员的话建议慎重考虑首师的地域优势。现在想留京是非常难的，而且趋势是越来越难。就算留京，在京高额的生活开销可能会让你在相当长一段时间内难以经济独立。北京的重点中学现在招老师连海龟博士去应聘都不少见，就算是一般中学如果不是太差，也不缺博士去应聘。再加上地理并不是大学科，每年招的中学老师很有限，能不能在北京找到老师的工作真得看运气。  我是首师今年毕业的历史学硕士，同专业外地生员一个回老家了，一个在通州的中学当老师，一个去了学术期刊打杂，一个好像是在教育机构里工作。
东北师范大学商务英语专业研究生在英国读什么专业好？,感谢邀请。目前在英国利物浦大学学习Tesol专业，但听身边同学说如果成绩足够好，可以转去学linguistic 语言学专业，会比tesol以后的发展空间大。因为我本科不是英语专业，基础相对薄弱，所以还是选择tesol.
东北师范大学自然地理学657数（地）都考什么？求告知？,你是在问专业课考什么嘛
东北师范大学学科教学英语专业毕业后可以签到什么样的学校？,我们这届本科，留在省会的，基本是重点小学，重点初中，或者普通高中。没留在省会的，一般是在省重点高中。其实也看当年情况，各个地方政策也不一样，还有就是个人能力啦～不过你们硕士应该挺好找的～
怎么看待东北师范大学举办的第52届运动会？,弟弟妹妹们你们还打太极吗？哈哈哈哈
如何看待东北师范大学的运动训练专业？,东师的条件还是不错的，例如教师都是很专业，环境也很好，体育场全天开放。看你将来想从事的方向。
东北师范大学学前教育考研？, 参考书目：《中国教育史》(第三版) 孙培青华东师范大学出版社 2009年  　　《外国教育史》 张斌贤 教育科学出版社 2008年  　　《外国教育史》 王凌皓 东北师范大学出版社 2005年  　　《当代教育心理学》 陈琦、刘儒德 北京师范大学出版社 2007年  　　《教育原理》 柳海民 东北师大出版社 2006年  　　《教育学》 王道俊、郭文安 人民教育出版社 2009年  　　《教育心理学》 路海东 东北师范大学出版社 2002年  　　《教育研究方法导论》 裴娣娜 安徽教育出版社 1999年  　　《教育研究的原理与方法》 杨小微 华东师范大学出版社 2002年  　　《新编中国教育史》 曲铁华 东北师范大学出版社 2011年  　　《现代教育论》 黄济、王策三 人民教育出版社 2012年  东北师大教育学考研群 209589826 
西北大学和东北师范大学选哪一座？,东北师大，很简单，用事实来说就是东北师大的世界史专业是全国第二(第一是北大)，由此可见东北师大历史专业的实力有多雄厚了。
辽宁地方美术统考考了260（300满） 第一个校考东北师范大学却连美术线都没过 惊悚 求过来人指点。?,这很正常，萝卜青菜各有所爱，改卷老师喜好不同，美术改卷说不准的，推荐看看浙理工校考情况治愈一下受伤的心灵 
东北师范大学专硕与辽宁师范大学学硕应该选择哪个？, 只考虑知名度的话肯定是东师啦，但是考虑之后发展的话，辽师也不失为一个合适的选择，毕竟导师的资源还是很有帮助的。 
吉林大学的男生如何看待东北师范大学的女生？,我就是南岭的，其实觉得并没有什么特殊的，也没怎么经常去师大，（当然会有一些人经常去）更多的来说，师大的女孩子和师大是我们男生口中长提的话题（可能我比较屌丝）。
想考东北师范大学教育学研究生，但一头雾水，求指点？,学弟或学妹，有什么问题呢~可以留言
１８歲能去吉林中国留学东北师范大学讀嗎？,我觉得还是比较容易进的
东北师范大学大二物理学专业学生，如何在寒假或者暑假获得在中科院等机构科研实习的机会？,你确定你希望读物理研究生？？？ 如果喜欢的话，申请就好了啊，学校会有夏令营报名通知。 自己去中科院的网站看，夏令营通知也有.... 话说我同学昨天报了国家天文台的夏令营【也是大二】...一个学校两个人的名额，不知道过不过得了》。。  【补一句，我电磁学老师和你是校友】
东北师范大学心理求问语言准备什么，专硕好还是学硕好？,语言准备什么，一定得过4.6级么
东北师范大学的纽瓦克学院怎么样？, 挺好的 美国教师 管理严格 学习紧张 有出国机会  比起净月的商学院和经济学院要好多了 就是学费太高昂 
我來自台灣想用學測成績申請大陸學校，想請問吉林大學和東北師範有招收免試生嗎？,这个真不是很清楚因为不是台湾生。但具体可以在吉林大学本科招生网上查到。
东北师范大学净月校区附近有BEC培训班吗？,请问东北师大的BEC听力是共放还是戴耳机的
东北师范大学无机化学和学科化学考哪个比较好呢，比较好就业呢？？,前者 前者在当老师方面不仅不弱于后者 甚至还有优势 
在东北师范大学的中外合作办学就读是什么体验?,谢邀 但我不是中外合作办学的学生啊。。
东北师范大学算是综合性大学吗？,算，而且东北师范大学在吉林排第二，东北地区排名也很前，211大学里算实力不错的，可以说是性价比很高的大学（从高考分数录取和院校实力来看），毕竟师范，综合性也很强，但总体偏文。
请问东北师范大学思想政治教育中心下的思想政治教育怎么样？, 好！  这个专业东师挺厉害的。 
东北师范大学心理学考研应该如何准备？, 首先要明确几点：  1、童鞋是跨考心理学吗  2、童靴从统考转到东师是要考学术还是专硕呢  3、童靴现在开始看书了吗，看了多少  4、童鞋英语四六级过了吗  先把这些问题解决了，才能好好的计划考研哇 
