今年北京师范大学珠海分校的分数线会很高吗？,广东531分
华东师范大学和北京师范大学的学前教育学的研究方向各有什么不同？,一看师资：华东师大博导语言领域，儿童心理发展，幼儿教师教育，课程，大家了解的李生兰朱家雄郭力平老师等等大牛。北师大艺术领域，儿童心理发展，教育政策，刘焱庞丽娟霍老师 二看地区：华东师大国际化一些上海更容易接触新的理论思想。北师大政治气质浓一些，参与政策指定多一些。 三看排名：这两年华东师大学前教育学排名高于北师大，但二者水平不相上下，华东师大后劲儿更足一些。 另，南师大也很不错，个人偏爱的学校
山东大学，华东师范大学，上海大学和北京师范大学，新闻传播学专硕或者学硕，建议参考哪一个？哪个更容易？, 这几所山东大学相对更容易一些，山东省暨南大学的新传应该是最好的。  2010年，山东大学新闻传播学科获得国内新闻传播学第二批博士学位一级学科授予权，是国内新闻传播学15个一级学科博士学位授权点之一，并于当年成为全国首批新闻与传播专业的硕士授予单位，逐步建立了山东省唯一的学士——硕士——博士完整的新闻教育培养体系。  2013年底，山东大学成为全国第一批十所部校共建新闻学院的高校之一。过去两年多的时间里，山东大学在省委宣传部的领导下，在省委高校工委、大众报业集团、山东广播电视台的支持帮助下，先后签署共建新闻学院协议，制订共建新闻学院章程和具体实施方案，为进一步推动部校共建新闻学院工作提供了坚实保障。  2015年1月，山东省委宣传部与山东大学共建新闻学院座谈会举行，标志着山东省委宣传部与山东大学共建新闻学院工作的全面启动。  山东大学2016第七次校长办公会研究同意成立独立建制的新闻传播学院，校党委常委会第六十二次会议通过了正式成立新闻传播学院的事宜。 
现在大学生当兵给报学费吗？ 如果是那种私人大学呢本科 比如北京科德师范学院呢？,一年6000 多出不报
如何评价北京师范大学经济与工商管理学院李宝元老师？,老师的话固然不对，这点不可否认。 但是在这件事情上，我想要说的是蛋蛋网。作为一个比较有影响力的校内平台，缺乏约束都变成什么样子了，以毁掉学校的形象为首任吗？成天都在揪着这些东西不放。蛋蛋网的初衷可以认同，但其方式之偏激不可苟同，幼稚、不计后果、不注重当事人隐私、引导舆论攻击老师的人身及妻女， 蛋网编辑已经失去作为新闻传播媒体人的中立了。
在北京师范大学读管理科学与工程类是一种什么样的体验？,师大好像没有工科
如何看待北师珠变成北京师范大学珠海校区？,北师珠没啥好骄傲的 本部也没啥好抵触的 大学四年怎么过的自己心里都清楚 北师珠有高于二本水平的学生 本部也有配不上母校的人 说实话，本部的学生真不在意什么985，211的名头，实力不需要用头衔来证明。
北京师范大学文科博士毕业都有什么要求？, 博士研究生发表学术论文基本要求--北京师范大学研究生院     这个不知有用不。
北京师范大学平果附属中学是什么样的？？？,这样的( ˙˘˙ )  
在北京师范大学读法学是一种怎样的体验？,一般来说，遇到这样的问题，我直接忽略邀请就算了~ 但是试想想，所有大学x所有专业，这样的规模真的可怕……
请问从北京首都师范大学北一区到北京首都国际机场怎么走最快，不堵车？,最快的方式就是打车！ 嫌贵，就打车到公主坟，花不了多少钱且座位可挑选余地大！因为是机场巴士4号线的第一站。然后24块钱很快就到首都国际机场。 T2-T1-T3 的顺序。
北京师范大学map临床咨询方向对在职人员报考有没有年龄或工作年限的“隐性”要求？, 具体方向介绍详见“2017年北师大心理学院MAP招生方向说明”。      http://  yz.bnu.edu.cn/content/z  yml/2017/zyxwjz_yxsm-007_zydm-0454.html             三、报考条件       1.中华人民共和国公民。      2.拥护中国共产党的领导，品德良好，遵纪守法。      3.身体健康状况符合国家和我校规定的体检要求。      4.学历等必须符合下列条件之一：       （1）国家承认学历的应届本科毕业生（2017年9月1日前须取得国家承认的本科毕业证书。含普通高校、成人高校、普通高校举办的成人高等学历教育应届本科毕业生，及自学考试和网络教育届时可毕业本科生）；      （2）具有国家承认的大学本科毕业学历人员；      （3）获得国家承认的高职高专毕业学历后满2年（从毕业后到2017年9月1日）或2年以上的人员，以及国家承认学历的本科结业生，同时满足以下三个条件的，可以本科毕业生同等学力身份报考。条件为①修完大学本科全部必修课程；②在所报考专业领域的学术期刊上以第一作者发表过两篇以上（含）论文；③报考专业与所学专业相同或相近。        （4）已获硕士、博士学位人员。      （5）除中央党校成人教育学院本科学历外，其余的党校学历不能报考。      （6）在国（境）外获得的学历（学位）证书须通过教育部留学服务中心的认证。      国防生及现役军人报考，按解放军有关部门的规定办理。      非应届在读研究生（含单证专业学位硕士生）报考，须在报名前征得就读院校同意，并在录取时先办理原就读院校的退学手续。我校不允许研究生同时攻读两个以上（含）不同层次或相同层次的学位。      5.我校双证应用心理专业硕士不招收少数民族骨干计划的考生。       四、报名       【说明：考生报名前应仔细阅读我校的报考条件，确认完全符合后再进行网上报名。网上报名时必须如实、准确地填写信息。凡不符合报考条件或弄虚作假者，不予录取。报考资格审核将在录取阶段进行。】             三、报考条件       1.中华人民共和国公民。      2.拥护中国共产党的领导，品德良好，遵纪守法。      3.身体健康状况符合国家和我校规定的体检要求。      4.学历等必须符合下列条件之一：       （1）国家承认学历的应届本科毕业生（2017年9月1日前须取得国家承认的本科毕业证书。含普通高校、成人高校、普通高校举办的成人高等学历教育应届本科毕业生，及自学考试和网络教育届时可毕业本科生）；      （2）具有国家承认的大学本科毕业学历人员；      （3）获得国家承认的高职高专毕业学历后满2年（从毕业后到2017年9月1日）或2年以上的人员，以及国家承认学历的本科结业生，同时满足以下三个条件的，可以本科毕业生同等学力身份报考。条件为①修完大学本科全部必修课程；②在所报考专业领域的学术期刊上以第一作者发表过两篇以上（含）论文；③报考专业与所学专业相同或相近。        （4）已获硕士、博士学位人员。      （5）除中央党校成人教育学院本科学历外，其余的党校学历不能报考。      （6）在国（境）外获得的学历（学位）证书须通过教育部留学服务中心的认证。      国防生及现役军人报考，按解放军有关部门的规定办理。      非应届在读研究生（含单证专业学位硕士生）报考，须在报名前征得就读院校同意，并在录取时先办理原就读院校的退学手续。我校不允许研究生同时攻读两个以上（含）不同层次或相同层次的学位。      5.我校双证应用心理专业硕士不招收少数民族骨干计划的考生。       四、报名       【说明：考生报名前应仔细阅读我校的报考条件，确认完全符合后再进行网上报名。网上报名时必须如实、准确地填写信息。凡不符合报考条件或弄虚作假者，不予录取。报考资格审核将在录取阶段进行。】      
如何看待北京师范大学珠海分校升级成校区 成为珠海的第一个重点985学校？,这是中珠被黑得最惨的一次了。
暑假去北京师范大学读两个月书，有什么事不能错过吗？,原来是阿珍美眉(๑&gt;◡&lt;๑)  好久没去积水潭了( ･᷄д･᷅ ) 你可以咨询一下长腿欧巴，北师大翰德学院的软萌汉子 @梅新章   以后更新(=￣ω￣=)
我准备报考北京师范大学中国哲学专业，专业课复习需要注意哪些地方？,本人在南开大学商学院从事管理科学与工程专业的研究教学工作，对北师大哲学学科招生情况不了解。看你问题应该是要读研，研究生阶段各校导师研究领域方向都有所不同，考试侧重也不一样，最好咨询目标学校的专业老师或学长，祝你好运！
在北京师范大学中文系就读是一种什么体验?,我去。。。北师范是个什么称呼太尼玛难听了啊。。。
苏州大学、南京师范大学、北京语言大学比较，如何选择？,谢谢邀请。我毕业于汉语言文学专业，但可惜都不是这三个学校的。从专业的角度来讲，汉语言文学专业是一个专业性不是很强的专业，所以学校的历史和氛围就很重要了。由于工作原因，接触过南师大的中文，感觉历史悠久，尤其是其原中央大学的背景，让他充满了文化背景. 北语的对外汉语全国闻名，相信中文也不会差了。北京这个城市本来历史就悠久，而且从就业角度，京城可能岗位选择更多？我没有在北京求职过，不敢妄加评论。 苏大近些年来发展迅速，依托苏州和上海的区位优势在苏南地区优势明显，但是中文如何，我不是很清楚。 开头我说过，中文专业不是一个专业性特别强的专业，所以区位，学科发展以及对考研的帮助有多少，就尤其重要。所以你可以看看这几个学校的区位，哪个更适合你，更希望哪里就业，就可以选择那里。
为什么北京师范大学被叫做Beijing Nobel university?,因为北师大是中国目前得诺贝尔奖最多的学校，一共两个，一个不能说，一个叫不能说
读北京师范大学香港浸会国际学院还是去澳洲留学？,只说澳洲 想变优秀的不去美国有奖学金的？ 为什呢不去美国，是不了解行情么 为什呢拿不到全奖，是实力不济么 不论去哪留学都是投资，本质和炒房子一样。 去澳洲学会计回国找工作？  变优秀这种不能量化的空话就别说了吧，讲讲你打算几年回本，有计划么。 你自己出学费么？ 想进国内四大，211就足够了，211考的进去么？
我想考北京师范大学研究生 我现在大一 是个本三 我心累怎么办？,还有三年啊  向着梦想前进吧 你一定可以的  加油～
北京师范大学HND好吗？,楼主.那你成绩如何？中国留学服务中心与苏格兰学历管理委员共同将英国高等教育文凭（HND）项目引入中国.给你发个链接 北京师范大学国际本硕连读3+2_北京师范大学   希望帮助到你.
北京籍非师范类院校的外地大学生回京当高中教师难么？,我觉得应该还比较好找。 现在找工作感觉主要看几点，京籍，研究生以上学历，男。但也会有学校特别强调师范学历，所以与其考一个外地好学校的研究生，不如回北京考北师或首师的教育研，这样找工作妥妥的。
18考研狗，准备考北京师范大学新闻与传播专业。有学长学姐么？有什么好的建议么？,也是18可以交流一下呀
无恋爱经验的 IT 男怎么认识北京师范大学的女生？,推荐来北师大食堂，跟妹子说，同学我忘了带卡，能借我刷一下吗？刷完以后说，同学我支付宝发给你吧。能给我你的手机号吗？搭讪成功。不要谢我。
北京师范大学教育学考研难不难？求指教,我其实是个失败者，北师大复试被刷，但愿各位后来者以我为鉴，越走越好。 一、牛刀小试的意难平 1、梦想萌芽 我第一次考研是在去年，选的统考学校。刚入大学时我很是浪荡了一阵，大一快结束时才觉得不妥，醒悟到要学好专业，多在青春的好日子里做一些有意义的事。为了激励自己，我向学校申请了提前一年毕业，鞭策自己快速成长。在争分夺秒的努力学习和积极实践中，我收获了很多，觉得自己真的长大了。大三上半学期，也就是去年九月左右，越是深入学习教育学我就越发觉自己的不足，越是希望更加深入学习，加之老师鼓励我往学术方面发展，我就改变了毕业后马上就业的想法，备战考研。可惜由于时间仓促和一边打工一边忙着提前毕业又一边复习备考，我未能被一志愿录取，调剂到了一所普通学校。 2、破釜沉舟 提前毕业后，左思右想，我还是不甘心：我可是幼儿园“扛把子”，廊院“大传奇”，普通学校能算“传奇”吗？咋能这么不给老师和学校长脸呢？一朝是传奇，就得努力永远是传奇！既然大三就毕业了，不妨再给自己一个机会，在“大四”时再认真考一回，之前的就当是模拟。我于是放弃了入学，选择再战。 暑假里，我一边打工攒钱储备资本，一边也看着书，可是心里忐忑，害怕再次失利，于是我总在夜深人静时自言自语：“一朝是传奇永远有奇迹！”慢慢的，我能静下心看书了。所以各位，学习时情绪波动很正常，心绪难平时不妨试试积极的自我暗示，也许很管用！ 二、迎难再战的艰辛路 1、初试的积极准备（以下排序不分轻重先后，想到哪写哪） （1）择校 ① 不顾一切的背水一战 九月份我正式备考，我选择报考北师大学前教育学，因为这是我人生中第一次有如此清晰而强烈的渴望和梦想，虽然是顶尖名校的大热门很难考，但因为与我本科专业一致多少算有点优势，不如一试！ ②天马行空的胡思乱想 有人说，选择比努力更重要，其实有一定道理。择校这个事，不一定在刚准备考研的时候就想好，但你得大致有个方向，而到了各大高校发布招生简章的九月份，你就必须有个定夺了。 关于目标学校的高低，其实还要看个人，毕竟这事因人而异，不要人云亦云、一味追逐名校；但另一方面，也千万不要让梦想迁就所谓的“保险度”。研究生本来就是精英教育，你选了一个很一般的学校，读出来能提升自我吗？我妈从小就爱给我讲的一本书《哈佛女孩刘亦婷》里有这么一句话：“法乎其上，则得其中；法乎其中，则得其下。”《孙子兵法》、《易经》里也有类似的话，大意就是志存高远并且努力奋斗才能登峰造极。选择一个相对好的学校，才能促进你最近发展区的晋级，才能时刻给你危机感，才能鞭策你奋勇向前！退一步说，即使你未进复试也好调剂啊。可如果你为了“保险”而选择了很一般的学校，入学后你一定会不甘和失落，可你的忍着，因为这是你自己的选择！都是成年人了，自己的事得自己扛！这就验证了一个道理：能量守恒。考研的难度不会消失而是转嫁了，考前不受罪考后就有受不完的罪！希望各位后来者们慎重思考。 关于研究生的出路，其实不用想太多，期望越多，失望越多，现在能做的只有好好准备，你要相信天道酬勤。就我个人而言，考北师大最难考的学前教育学是为了圆梦，更是为了挑战自我，我希望通过深造而为学术界贡献绵薄之力同时也改善个人生活。我并不是一开始就爱教育学，我对教育学是日久生情，越学习越觉得有趣，越觉得有趣就越放不下！我是干一行爱一行，我坚信我对教育学的付出一定会有回报。 （2）努力 “没有流过血的手指，如何弹奏出天籁之音？”千军万马过独木桥的考研大战只有不懈的努力才能使你立于不败之地！必须努力到无能为力！我只有短短四个月全力备考，所以我一直在不停地努力，直到考完政治英语、将考专业课的前一天晚上，我还是背书到十一点，累了困了我就站在书桌上背，因为我个子高，头可以顶到天花板，这样就能提着神继续背了。 （3）坚持 有句话深得我心，愿与各位共勉：“想得到就必须付出，付出了还必须坚持，如果觉得难可以放弃，但千万别后悔！”备考过程中，无数的苦难使我几欲放弃：报录比持续走低，北师大不公布参考书目，家人朋友的不理解……但我庆幸自己还是挺了过来。 （4）策略 学习是讲究策略的，不加思索的一味蛮干未必能收到好的效果。如果你事倍功半，不妨停下来思考一下是否用对了方法。朱熹说过，“夫子教人各因其才”，我的老师就是这么教导学生的，在择校问题上，她不厌其烦地劝诫我们：“每个人的能力是不同的，有的人善于背书，那不妨选择统考的学校，因为统考偏重测试记忆力；有的人不擅长背书，不过喜欢深入思考，可以试着考自命题，因为自命题比较灵活，侧重考察理解力。”还有个不错的例子，她为像我这种记忆力不佳的倒霉蛋提供了背书的诀窍：“很少有人过目不忘的，有些人被好几遍也背不住，何况有多少人能坚持这背不住还继续背呢？打开词汇书，第一页第一个词就是“abandon”，如果你要是按着页数死记硬背的话你用不了多久就“abandon”了。重复是记忆之母，多看几遍留下的深刻印象远好过一个劲得按顺序死背。”我觉得这法子不错，以一个礼拜为一周期，同时背两本书，也许当时没记住，没关系，下一周再背一遍。这法子很灵，几乎三周我就能搞定一本书，而且长时记忆保持的很好。 （5）作息 身体是革命的本钱，考研期间一定要尽量制定好计划严格执行，规律作息，如果你要早起那请早睡，如果你要晚睡那请晚起，当然，最后冲刺的一到半个月可以适当少睡，但千万不能从最初的阶段就不眠不休、宵衣旰食！！！我就是最好的反面教材，考研初试复试准备的五个月都是没按计划做导致手忙脚乱，每天凌晨才睡清晨即起，结果一下考场就上医院，真是马不停蹄！！！ （6）安排 个人建议提前一到半年备考都是可以的，战线拖得太长会消磨兴趣和意志的，昆体良说过，不要再还没爱上学习时就先厌恶学习。 ①专业课 若开始的早，可以找几本教育学名著读读，如苏霍姆林斯基的《给教师的一百条建议》、泰勒的《课程与教学的基本原理》等等，从经典中寻找精髓，在思考中提升素养。 在未定学校前，可先按照统考六本书学习，因为教育学考查的内容大致相当。先花一个月通读，再花一个月整理框架和要点，最后花一个月背诵。确定目标学校后，一定要找齐参考书，对照之前的查漏补缺，然后借鉴辅导书理解消化，三到五个“识记---保持---回忆”的周期下来就没问题了。 ②英语 现代社会，英语是你步步高升的有力推手。如果弄好英语，不仅初试可以顺利晋级，复试也是加分项，注意，我说的是“弄好”，即使你基础薄弱，仍可有针对性的迅速提分。兵马未动，英语先行，英语一定要早开始，甚至可以早于专业课，语言毕竟需要时间的积累。个人推荐先看一些分析历年真题里单词和长难句的课程充实词汇量和语法点，再动手做题练习，最后反复的思考错误原因，总结错题，天天看！考前还要背一些范文，注意，范文是指自己动手改写的模板！一定要善于使用各种资源，并真正收为己用。 ③政治 各科考试的学习可以有先后之分，但最好不要有轻重之别！如果不到万不得已，建议每科都弄好！在看总分能不能进复试之前，还得先看政治过不过线！政治相对性价比高，而且占重头戏的时政部分是当年的一直十二月，个人建议九月着手准备，认真学习高教大纲和某肖某蒋某任的书，资料在精不在多，吃透一两种即可，考前看看押题卷，以防万一，但切记功夫还需用在平时。 2、复试的再接再厉 十二月初试完之后，尽管北师大题目偏难，虽然我认为发挥得很糟，但既然是不希望全无就还是积极准备复试：阅读名著，撰写心得，了解导师，关注前沿……初试成绩让我跌破眼镜：370！进复试了！我离自己的梦想越来越近了！可惜，我是一个比较极端的人，要么特别自信，要么特别自卑，在强手如云、人才济济的北师大，我怯场了，这导致我没有给考官留下好的印象。愿各位以我为鉴，上场前多做心理建设，自信一些，千万别因为不安和胆怯错失良机！！！ 3、调剂的辛酸血泪 我是在离京的车站得知自己被淘汰的消息的，当时就忍不住当着一干陌生人的面嚎啕了半个小时：所有的付出都化为灰烬了！回家之后一蹶不振，颓废了几天，因此也痛失了某211学校的复试机会！在此衷心告诫各位：无论任何事，只要不到最后一刻千万不要停止努力！千万不要因懈怠而错失良机！！！后来在家人师友的鼓励下重新振作，认真调剂。最终，我被首师大录取。 三、发自肺腑的结束语 我有一句特别喜欢的日本茶道语，愿与各位共勉：一期一会。我是这么想的，要珍惜一生中可能只有的一次相会，并为之付出全部的心力；若因漫不经心而疏忽了机缘，那将是比擦肩而过更为深刻的遗憾。一期一会，恰似北师大之于我，我曾为这珍贵的相会而努力拼搏过，这美丽的欢聚也使我变成了更好的自己，“我看见，我来了”虽然没有“我征服”，但我虽败犹荣。首师大不是最理想的结局，却是最幸运的开始，我会好好珍惜，继续努力。 感恩所有关心、帮助和支持我的家人、老师和朋友，如果说我还算是取得了一些成绩，那也都来源于你们； 祝福考研的后来者们，祝福你们金榜题名、蟾宫折桂，愿你们用努力、信心和坚持去乘风破浪、披荆斩棘！
高考失利，香港理工大学还是北京师范大学？,国内大学差距就在思维上，理工的人文学院相对弱势。家庭能轻松负担就还是来理工，否则师大吧
在北京师范大学瀚德学院就读是一种怎样的体验？,发现偌大的瀚德学院竟然没有人来回答这个问题。我的学长学姐都不水知乎的呀0.0希望我的回答能帮助更多想上瀚德的学弟学妹吧 介绍一下瀚德学院，这是钟瀚德先生捐助了一个多亿给北师成立的学院，有两个专业，法学和国贸。瀚德采用新的培养模式，所有的学生都修习双学位，总之是很高大上的学院咯。 除了法学或国贸，瀚德的学生还要学一门小语种。葡萄牙西班牙法语德语四选一，有专门的外教老师授课。像我就是一周四节法语课。 本科期间有很多出国交流的机会。 大学四年后瀚德学院会选择前60%的同学出国交换，大部分费用由基金会出。我们老师说如果语言很好，也可以申请去国外读研究生。这些都说不好，说不定学校会直接送我们去读研究生。 瀚德平时真的非常忙，任务重，要求高。这里的学生很优秀，能力强，都是各省市的学霸们≧ω≦ 因为是刚成立没几年的学院，目前还没有毕业生，但发展前景应该是很不错的。 想报考的同学要注意了，这是定向志愿，只有在高考时报考并被录了的人才能进到这个学院。到大学后是不能转专业进来的。
想考北京师范大学汉语言文学专业研究生，请问要准备哪些考试啊？要看哪些书？,汉语言文学是什么专业，硕士有这么多专业楼主是考哪个呀？
请问北京师范大学香港浸会大学有2+2或者交换到本部的机会吗？, UIC没有2+2的项目，但是有交换生、海外游学等项目。  每年暑假我们都有去香港浸会大学修课程的机会，不过是要在寒假的时候像抢课那样子抢的，抢到然后成功交了钱就可以去咯～  如果你能考上本部当然是直接去本部上课好啊，UIC比较强的是商科，学费生活费也不会像HKBU那么高。 
南京大学和北京师范大学的汉语言文学哪个更好？以及两个学校的综合对比情况？,北师大有两个n*o*b*e*l* 奖，都在北师大文学院，请问南大呢？
如何评价“北京师范大学珠海分校升一本”谣言事件中该校学生的态度？,如何评价轻信"北京师范大学珠海分校上一本是谣言"这一谣言事件中发问者的态度
