自主招生选择生物方面学科进入福州大学后是不是去“闽台合作”？,当然去本部
志愿纠结党一枚！目前分数纠结于 重庆大学 武汉理工大学 福州大学 之间 本人是个一米八的内蒙胖胖？,这个时候来答...应该已经是后话了。  不过看到重大是你当时考虑志愿之一，还是很想说..如果你选了重大没错的。毕竟985/211还是刻板标签....  专业可以入学以后申请换（参考第一学期成绩），重大的硬件也不错，学校特别美。  重庆也是不错的城市。吃货的福地。  如果你真的看重某个专业或者城市，那学校可以作为第二参考标准。  大学祝好！
福州大学在读计算机研究生，想要申请名校博士，如何做准备？,敢问一下学长什么专业什么方向吗。我19准备考福大计算机研究生，学长能否给一些咨询。比如导师啊，学硕还是专硕啊，一般做什么项目。。 感谢了～
郑州大学安徽大学和福州大学文科专业哪个好？,您好，安徽大学中文系在读，安徽大学是一所211综合大学，个人认为在汉语言文学方面还是不错的，特别是汉语言文字学，更是国家重点学科，发展前景很不错。 PS安大图书馆有空调，教室有空调，宿舍有空调，食堂也有空调，你值得拥有。
华东政法大学的金融和福州大学的金融哪个值得读？,福大吧，经管的金融会计在省内还是很吃香的
关于福州大学843电路的复习资料？,很巧   集成电路一志愿拟录取  843资料便宜出了啊
福州大学至诚学院怎么样？,补充几张照片     这是学长学姐毕业那天，我和舍友一起去他们的毕业典礼玩的时候拍的。他们看到我，很惊喜，摸摸我的头说“你也来啦？” 我想穿学士服玩，他们七手八脚的帮我系扣子带绸带。我很舍不得他们，但是我也知道，有些人我可能是这辈子最后一次想见了。  这是在学校后面的创意园拍的，我们学校后面有个怡山创意园。适合散散步，拍拍照，吃吃甜点，还有一些创新公司，是个不错的地方。补充答案 我看到了下面的匿名答案，想为这个学校正名下。 我们学校确实不大，我特别喜欢骑着共享单车飞奔在学校里，去南门买肉粽然后再去上课。走路的话，我估计1h左右就都能转过来了。 关于师资共享，恐怕匿名是是个学弟学妹，到了大三的你就知道啦，我们的专业课都是福大的教授和老师来上课。现在我的专业课都是福大的老师，没有一个是至诚的老师了。而且都是副教授和教授。如果不信，我可以发课表。 论坛的事情，我们学校把论坛当做理论实践的一个学分，就是每个系都会承办讲座论坛，根据自己的兴趣去选择听讲座。这匿名的同学说抢不到？我们学校有微小至的微信推送，会有提前预告，只要定好闹钟，一定可以选到自己喜欢的讲座的。 重修费贵？？？？为什么要让自己重修呢。我们学校的考试还是比较容易哒，加油哦，学姐相信你不会再交重修费的！ 我为学校解释这么多，看得出我多喜欢这个学校么？ 现在的我已经大三了。两年多来，我真的真的很喜欢这个学校。会有人不承认至诚的教育，看不起它的学历，但这些，都不妨碍我爱它。 不仅爱它，而且爱上了福州。作为北方的姑娘，一开始我并不喜欢这里的炎热潮湿，但是福州和至诚一样，它们的好不显山露水，而需要一点点渗透的体会。 -O- 我是福大志诚大二的姑娘，一个家乡在北方的姑娘。 说实话，我很喜欢这个大学。即使它在我家乡的高考报名里只是三本。 说不在意是几本的学校是不可能的，但是看到福州的第一天，被福州热了个半死，真的顶着超级大的太阳，去找一个换票处。学校里中规中矩的水泥地并不多，我喜欢这样随性一点的。有很多很多的芒果树还有荔枝树，夏天下过暴雨以后，我们就去捡芒果，我吃过没熟的，很涩很脆。我们学校是小清新的风格，然后位于市中心？这个不确定，但是出行很方便，离东街口和宝龙万象都只有四站左右。 食堂我也觉得挺好，我一个北方人，硬生生一年长了10斤……就是觉得好吃好吃好吃！放假回家还会想念这里的饭。 教学的话，我觉得也挺好，也会有福大师大的教授来上课，实验的话也有去本部的，也有在这里做的。 这个学校是很小，但是我也不喜欢太大，上课吃饭都不方便。很好看的学校，夏天有荷塘，有榕树的荫蔽，秋冬有加拿大枫叶，每年秋冬都有人来拍婚纱照。      
我是一名福州大学车辆工程专业的13级学生。我想考取清华大学的车辆工程专业的研究生，需要提前做好哪些准备?,能加你不，想问下你的考研经历
准高三女生，以后想读福州大学的机械设计及其自动化，听听各位建议?,还是强烈不建议女生读这个专业，尤其你是以就业为前提的。 先举个直观的例子吧，同学和他女友同时硕士毕业（985工科高校），我问他准备去哪个城市落脚，他说他找到哪的工作就去哪，那我问他不考虑一下女朋友找工作的结果么，他回我，她找不到工作的，我去哪她去哪。我问他你怎么你这么说呢，他回：机械学院的女生都是这样的。 也许会有一堆人说女生也可以学，我认识某个人（或者我本人）就是女生还是学机械，现在也很好一类的，但是这个行业总体上是歧视女生的，女生在找工作的时候会遇到无数的性别歧视，虽然结果也许是好的，但是经历这些事情总是让人不爽的。 至于你说的动电钻动电锯，其实和机械设计没多大关系，就像学计算机的人不去修电脑，学机械的人也很少会去动工具。CAD软件那东西基础是机械制图，这块虽然是大家都要学的东西，但是应该是机械行业最枯燥的东西，复杂一些的东西，像发动机什么的，图纸都是几十页，美国企业喜欢打印成一长条，摊在地上五六米，再拆成工序图，可能有个一两百张。 如果这么吓唬你，还想继续学机械，欢迎入行，女生读机械专业（是上学，不是就业）的最大好处就是女生少，比较容易受照顾，另外女孩子毕竟心细，读这种需要耐心的科目，平均成绩一般都属于中上游的。
福州大学生适合毕业聚会的地方是哪里？,勺园一号
想问一下艺术生考福州大学专业文化各要多少分?,看你要考哪个专业了。我是13年入学。那时候专业分238。文化分450。
在福州大学恋爱一番是怎样的体验？,学长很后悔没在福大轰轰烈烈爱一场，不过说实话福大女生质量一般，推荐挖师大墙角。
想问下福州大学的土木工程怎么样 本人作为个二本生 想考研 考福州大学?,首先他们要求绩点在3.0以上，然后还会有985.211的夏令营加分，不是说歧视楼主，不过，我觉得相比于一般211，这个学校设置的门槛偏高，而且土木也不是他的王牌专业。
福州大学的闽台合作去台湾要多少钱啊？？,7 到8万一年
厦门清源科技怎么样，我是刚毕业的大学生，现在在福州电厂上班(央企)，现在想去私企试试，大家给点建议吧？,你那个电厂不好吗？我老公总是想去电厂，说待遇好。
要去福州上大学 有什么建议？,没有什么建议。 你是报考哪一个大学？ 如果你的大学在师大附近，也就是学生街那边，你可以拥有很美好的夜生活。其次你的大学在大学城附近的话，交通最近也变得发达起来了。因为公交总站在大学城那里去市区远会远了点。那边的空气新鲜。
福州大学研究生哪个专业就业率性价比比较好？,理工科的就业应该都还不错，比如电气，计算机
我是刚毕业的大学生，报到证上写着福建省公务员局，但是他们不收，拿到人才市场必须要有福州单位的就业协议?,待就业报道证，到户籍所在地人事局下属的人才市场办理报道手续。不过就我的经验来看，档案好像可以由你自己拿回来，你如果要考公务员事业单位，以待就业报到证在来年可以以应届毕业生的身份参加考试
福建省排6975名，能否进福州大学计算机系，还是应该选其他学校的计算机系？,省排六千多肯定可以进计算机
有人成功考上福州大学 MPM吗，求传授经验。？,福州大学MMP？
如何看待福州大学强制要求学生暑期留校准备青运会开幕式表演？,想继续在学校混就乖乖听话，不然就管他呢
福州大学金融专硕好考吗，录取比大吗，作为一个跨考的学生，我不想浪费第一年时光，怎么办啊？,我是18年考研的学生，只是不知道要报哪所学校，不知道福州大学录取比高不高，现在都快四月了，很迷茫～
福建学生报考福州大学还是西交利物浦好？,能负担的起费用，也确实想以后硕博出国的话，那西交利物浦是更好的选择 希望以后考国内研或者公务员之类的，体制内发展，福大比西浦这种体制外的有优势
华侨大学，湘潭大学，安徽大学 南昌大学 华中农业大学，南昌大学 福州大学这几所大学怎么样？,我当年也是在这几所大学中选择，和题主一样我也是文科学子，在语言类和经管类中选择 所以，最后，最后，最后，我去了华中农业大学，主要是因为武汉的城市较大，7个211之间还可以互相选择双学位课程 如果让我现在建议题主，去安徽大学吧 不是说母校不好，而是文科经管类的专业，安大还是名气大一些，而且武汉学校太多，应届生找工作竞争太激烈。反观安大，全安徽排名第二(虽然和第一相差不是一点两点-_-#)，如果在长三角找工作，知道安大的hr肯定多一些 其他几所学校题主还是不要考虑了，会有点浪费分数
考上大学转户口的问题。福州人考上成都的大学，需要转吗？,不需要。。
福州大学研究生院以挂科为由扣除学生国家助学金的做法是否合理？,不合理。但是你做不了什么。这是个官本位的学校，学生不是东西。建议忍耐到毕业。
如何评价福州大学此次强制要求大一学生参加青运会彩排？,我这个人也是有话真的憋不住。好的，现在讲吧。首先，事件的开端校方并不是特别不能理解，毕竟这也是政府下达的命令，作为一个行政组织要服从无可厚非。但校方粗暴地将某几个院的大一学生留下来却也很残忍。这个时候，校方应该是沟通，出台应急的措施。校方作死的是对新生的威逼利诱和恐吓。我看不到这间大学的人情味和人文关怀。大一学生的世界观是否完全建立谁都不了解，然而用最粗鲁的方式即使学生最终屈服仍会带着一股戾气，这样子的心态就是现在被志愿者的学生的态度。我们来上大学学习的是如何让别人屈服？想起来也是讽刺。想起前段时间中山大学的校长为同性恋女生发声，这才是大学应该有的态度，自由包容，肯定异数。福州大学就像一个笑话一样秀着智商的下限。福州大学的校训是明德至诚博学远志，校方都不曾明明德还能要求学生做什么呢？ 我也无能为力，毕竟个人的力量抗拒不了强权。我也庆幸各位校友愿意发声。我记得有这样一句话，今天我不为你说话，明天就不会有人为我说话。我不愿意成为一个被孤立的人，但愿看到这个问题的你也是。没有解决办法，对校方的看法是蠢又作死。以上 。
福州厦门现在在做地铁，大学念的是地铁专业，请问加入刚建起的地铁行业前景怎么样。?,先说一下进入之后是怎么样走的吧。  刚刚毕业的来地铁一般从基层做起。比如检修工。即使交通类对口专业大本院校比如北交兰交之类的，顶多从助理开始（ps基本这种二三线城市无关系的，就从检修工开始吧）  检修工的路子就是：初级 中级 高级，在往上就是技师或者工班长了...这是技能序列。简单说就是一线干活的。要倒班的。到了工班长运气好转入管理序列升个主办。之后继续努力吧...  站务员的路子就是：站务员。值班员。值班站长。站长。之后运气好的话升个主管，脱离倒班。 还有司机的路子就是：一级二级三级四级司机，司机督导，司机队长。之后运气好的话可以升入主管。 以上都是技能序列的，想脱离倒班即使很快估计也得五六年至少吧。本科毕业混个工人身份...呵呵.有点惨淡。  然后有幸，进入助理的就是助理主办主管，在往上就是主任经理之类的了....这个路比较轻松些。  讲讲做什么的吧！ 检修工，做什么呢，学习学习，熟悉各种设备，学习怎么修。学习怎么工班运作。站务员司机类似。关注面很窄。基本就是围绕自己一个小着眼点研究学习，不断训练，熟悉。助理呢，面会广一些，但是关键还是看做什么事务。  最后再讲讲感受吧。 我就是你眼中的刚起步进入公司的。那时候人十根手指可以数完。现在快满编制了。我那时候也是助理开始。 我这几年下来接触面也算比较广。接触的层次也比较高。各个层级老总，经理，主任都很熟悉。这就是早进入的好处。在做需要几个部门协调的事情的时候好办一些。但是几年下来的感受我总结下，你可以借鉴下 1.国企都摆脱不了效率慢的问题。时间久了你也会被动的开始慢 2.国企真正用心干事的人不会多。一个人改变不了多少，即使你很努力了，很多时候很多事依然做不了。 3.国企环境比较复杂。要注意各方情况。尤其一般站务口的比较复杂。女人多的地方是非多。 4.国企讲究的是符合规矩。依章办事。有想法的，刚刚毕业进来会很难受。 5.国企有时候会很冷冰冰的。像什么给人力发了邮件半年没给回复的比比皆是。尤其是技能序列的，进来之后感觉冷暖的多的是。 6.技能方面。这几年我都是在啃老本。谈不上什么进步。基本每天都是一样的事儿。你学习的很少，进步的很慢。 7.国企升职很慢。 8.地铁行业要多跳才能升的快。  综上...写的有点乱。也有点离题。题主自己评估吧。
福州大学绩点多少才能拿到学位证？,学分足够，没被处分过，就能拿到。
福州大学有多差？,开什么玩笑，你没听过“北有清华，南有福大。两校旗鼓相当，不相上下”吗？
想在福州大学至诚学院周边租房？,我这合租房 联系我。家电厨具都有
如何理解和看待福州大学获批双一流大学建设名单？,谢邀。 类似于985平台而非985工程院校。 只是建设行列，还没进入。
如何看待福州大学青运会强制学生暑假留校?,惨无人道！毫无人性！这是违法的吧！而且还强制外省的！就算不是外省的也不能这样搞吧！建议别回家了？你tm在逗我？补贴那么少！而且学生旅游啊学车的只能自行解决！凭！什！么！ 啊我并不是福大的可是我男朋友是啊！高中同学也是啊！买好了8月去丽江的火车票啊！现在你说让退掉！？ 难以想象一所211大学会做出这种事情 而且人数又多 很难让大家集体反抗 求解决办法 难过 现在的大学怎么能这样子啊 重赏之下必有勇夫 要是金额丰富肯定会有暑假没有别的安排的志愿者愿意赚点小外快 强制？简直了 男票说这个给我第一反应是吃惊 然后是愤怒 大家奋起反抗吧 这也真是踩在头上还用脚碾了  总觉得会遇到熟人 还是匿了吧
如何评价福州大学信息安全专业?, 福州大学ROIS战队，  2014-2015 XCTF联赛积分榜第6  2015-2016 XCTF联赛积分榜第7  2016-2017 XCTF联赛积分榜第9  以上数据供参考，福建211以上学校两所，信息安全专业只认福大 
海南大学 ，福州大学哪个部门负责校园娱乐活动？,什么活动？ 租用场地这些联系后勤集团。 看你是什么娱乐活动你也可以联系一些协会或者校学生会协助你们那样子就比较方便。
福州大学811电路(电气)专业考研真题资料怎么获取？, 联系学长，或者淘宝。   有意的话可以留言 
机械专业考研，西南交大与福州大学选择那个？,我现在交大 纠结考回去福大还是直接工作 
土木工程是仰恩大学好还是福州大学阳光学院好？,阳光学院
非985、211大三，预计可获本校保研资格，外保到福州大学经济学类专业的几率大吗？,可以尝试 有很大几率的
福州大学在广东的名气怎么样？, 我很喜欢招外省的学生（促进实验室的生物多样性）。  但是十分非常努力地想了很久，好像我实验室里还从没有来自广东的学生……  倒是推荐了一些学生去深圳实习，也认识不少学霸保了某大学深圳研究院的研究生。  供参考 
福州大学法学硕士如何？非法本是否合适报考？应如何准备？哪里可以找到专业课资料？,题主后来考上了吗，本人在报考福大法学学硕和厦大法硕直接犹豫，题主有什么建议吗
问个火车票方面的问题 我是兰州人在福州上大学 优惠区间即“福州～兰州” 关于跨优惠区间买票 ？,自己翻阅《铁路旅客运输规程》和《铁路旅客运输办理细则》，12306上都挂着的。 不管你是啥原因，违规操作就是违规操作。直达没票就买联程，区间没票就等解限。
中秋节要陪喜欢的女孩子在福州过，我该带她去吃什么，玩什么？ps：她在福州上大学，今年大四,咦？是不是回答得太晚了？  福州比较出名的几个地方， 鼓山 肯定很多人知道了吧， 上下杭 也可以去看看老福州的样子， 学生街 都是妹子（毕竟答主对学生街还是很有情怀的）， 三坊七巷 其实也可以看看，但是就当旅游逛街了，商业性太强。  不知道题主要玩多久，而且中秋也过了，实在抱歉了
本人福建理科考生533，省排名13000多，想报考福州大学，有希望吗？,希望不是很大，服从调剂即使能上也没好专业。或报闽台合办希望更大。
福州大学有帅哥吗？, 美院柯震东
在福州大学读金融系而放弃211乃至985学校是为什么？,省内就业情况非常可观ˊ_&gt;ˋ 我的想法是既然去不了厦大金融我就先来福大了我打算研究生再去厦大 上不了厦大福大金融研究生已非常好就业 就业情况也非常好 我是省内生 就喜欢呆在本省
福建农林大学的经济学院宿舍怎样？第一年在南平读，后三年在福州校区。没空调是吗？几人间？福州那么热？,有空调，四到六人间，福州这两年可以排全国火炉之首。
福州大学闽台合作电子信息工程还是澳门理工计算机呢？,我的建议是，无论哪所学校，大学出去走走看看吧，别一直待在省里，去到外面你真的能见识到更多的人听到更多的声音遇到更多的事，或许你整个三观世界观都会被改变。
福建考生，我是应该选择兰州大学还是福州大学。?, 已修改
本人女，福建本一师范大学国贸专业在读，毕业后去福州的银行希望大吗？,小银行还是很有机会的啊。。别以为银行光鲜亮丽，很多人只是金融民工而已，工资还比不上码农。       金融业不是只有银行，就像我们院金融系的张榕晖老师说的，很多金融学的学生到毕业了还不知道金融业到底有哪些岗位。。        像师大这种普通一本，非211的，蛮多的就是去县区一级的分行，或者保险公司比较底层的岗位，比较小型的证券分支机构，信托就不用考虑了，门槛高。       研究生学历的能去市一级的分行，但是这一级的竞争真的很吓人，各种985和海龟硕士。        到了博士如果还想去企业就业的话，各种金融机构的研究部门可以试试看，但前提你至少要在个强点的大学。        如果你的英语很强，业务能力突出，硕士能上target school，外资行倒是不错的选择，但是工作量巨大就对了。        至于学金融的，大家谁没天真的幻想过要去高盛，大摩小摩，巴克莱这种顶级投行，但都快毕业的人，这种想法应该早就没了吧，如果还有也趁早打消。。
福建人，本科会计学，打算考会计专硕，毕业后在福建工作，请问福州大学比较好还是江西财经大学好？,以下仅个人观点，并不针对任何一方，  专业科研能力：江财优于福大 地域区位优势：福大优于江财  个人推荐：酱菜
福州大学 文科怎么样？,福州大学文科很一般，不如福师大。但是一般说，本科选学校研究生选专业。
2015福建高考理科 601 ，省内排名9082，改选兰州大学还是福州大学或是其他？,不要学机械！特别是福大机械
福州大学计算机类的应届本科生平均工资如何？应届研究生呢？,今年想招两三个福大计算机相关专业的，可能去晚了，开出厦门8k，上海10k（提供住宿）的待遇，竟然没有一个计算机类的来投简历
对于文科生来说，选福州大学比较好还是福建师范大学？,当然是福建师范大学！你知不知道福州大学1995年才有中文系！这基础学系！（正常学校不都是建校就有中文系或者文学院吗）现在还没有中文硕士点。硕士点！ 别的文科我就更不敢想了。 所以作为一个新闻学学生我考研毅然报了师大( •̀∀•́ )
陕西文，超一本57，想学会计财务管理，上海立信会计金融学院，福州大学和湘潭大学哪个以后找工作考研更好？,谢邀。 我现在研究生阶段学的也是会计，正好今年上半年的时候刚从Deloitte实习回来，希望这个问题能够帮到你。 首先，会计出去后这门行业看得是证书，以及工作经验和能力，学历和学校只是你的敲门砖，也就让你不至于投递简历被HR直接忽略掉的机会。其余的在工作中真的帮不上你什么忙。除非你想读博士，但是没有会计学博士。。会计和实务联系比较紧，有机会本科期间多去找找实习，对你的提升会很大。 其次，但从学校选择的角度来说，就本科学校而言，学校的地理位置选择是大于其学校本身的，湘大位置太偏僻，对前途发展不好。如果你确定要选择会计或者财务这方面的专业的话，但从地理位置来讲，我建议你选择上海立信。 最后，至于专业问题，其实会计和财管都是比较辛苦的，可能你身边会有人经常跟你说“拿到CPA证书就轻松啦，每天签点字就能拿钱”，当然，这些都是极其错误的认识。。。4大里面忙的时候加班到晚上3点多都司空见惯，审计一年就差不多经常在外面出差（当然你喜欢旅游的话就另当别论了。。）会计关键是要拿到CPA证书，再往外走可以考虑读个研拿下ACCA（这个有研究生文聘的话可以少考几门，至于具体多少要看你的学校而定）接下来就是在事务所打拼了，当然这门专业学起来的时候有点枯燥，需要耐心，看你自己咯~ 希望回答对你有用。
河北邢台人氏在福建福州读大学，去台湾省游历需要办理那些证件，需要多少积蓄??,1，一个人三四千也够 2，台湾方面根本不会让你留下发展，别想多，可以去交换玩一个学期，发展什么的还是算了
福州大学读研怎么样？,不怎么样
请问福州大学管理科学与工程研究生怎么样？？就业怎么样？？,我今年报考中国地大的地质资源与地质工程研究生，大家祝福我能考上吧
福州大学有专升本的专业吗？,不太了解 可以打电话咨询招生办
福州大学怎么样？,        江西学生，毕业一年，本科就读于福州大学材料科学与工程学院，最近有亲戚在填报高考志愿，咨询我的建议，突然想起五年前的自己，哈哈，突然笑了起来，因为那时候的自己好逗啊，什么也不懂，稀里糊涂就填了志愿，竟然是因为小时候在福建泉州读过三年小学就填了厦门大学、福州大学、华侨大学、集美大学。然后就来到了福大，经过四年的学习，对母校很熟悉，就来说一说我可爱的母校“虎纠大学”了！          福州大学主体位于福建省会福州市，四地七校区办学，福州旗山、怡山、铜盘，厦门鼓浪屿、集美，泉州泉港、晋江。福建高校厦大排第一，福大排第二，福大整体的实力在211院校里中等偏上，工科实力强劲，每次的世界ESI排名和上海大学、郑州大学等地方高校差不多。111计划、卓越工程师计划、院士、长江学者、国家杰出青年、千人计划、万人计划、国家重点学科、国家重点实验室、国家大学科技园等硬件软件该有的都有。化学、材料学和工程学三个学科进入ESI世界排名前1%，土木、电气、机械、物信、数计、建筑等工科很强，比厦大都强，在沿海地区就业非常好，经济管理类学科也不错，但是人文类学科实力就比较一般了，连福建师范大学都比不过，校园比较缺乏人文情怀，建筑风格也比较单调，尤其是土黄土黄的外墙实在是丑！         福大工科强文科弱的现状和福建省政府和教育部对福大的定位有关，因为厦大偏人文社科，所以福建省政府就重点资助建设一所理工科强校援助海峡经济建设，以工为主、理工结合的福州大学就成了幸运儿，有钱，比一些985高校经费都多！如果你是理科生，分数还可以，可以报福大的工科专业（理科在江西一般要比一本投档线高出50-60分，大概全省排6000-8000名，其他省份也差不多，估计至少也要比一本线高40分以上，福建省内要高70分以上）。文科生分数较高不建议报福大，可以去文科实力更好的学校，但是福大文科招生分数相对不高，可能有些专业分数还没有福师大高，福大是211，世界500强等名企招聘直接就规定211/985优先了，有的企业甚至不去双非高校招聘，所以文科生报福大性价比还是不错的，如果你想要211名号，建议福大，如果你想学知识，读研读博，建议去文科好的学校。          福大以工为主，理工结合，理工经管文法艺等多学科协调发展，整体还是比较综合的，但没有医学院、文科实力较弱还是比较遗憾的，这对于福大建设双一流有一定的限制！还有福大是省部共建高校，本地化太明显了，福建生源至少60%以上，有些专业甚至不招外省的，导致福大在省外的名气不高，存在感低，省外还没有华侨大学、集美大学来的出名，沦为名副其实的“胡州”大学，大部分学生操着一口正宗的“胡建海鲜味”普通话。当然一所高校的名气也和当地的关注度有关，省会福州的关注度没有经济特区厦门高，自然名气不大！福州是福建省政治文化中心，所谓是“成也萧何败也萧何”，位于东南沿海经济发达地带，本来可以大放异彩，却由于台海政治因素的影响一直受到限制，希望对面的台湾不要作了，早日回归祖国爸爸的怀抱，那时候的福州就会像香港回归后的广州深圳那样飞速发展起来，梦想总要有，万一实现了呢，哈哈哈！          说完了学校实力，说说在福大学习生活的感受吧，福大号称要建设创新创业型东南强校，对学生的投入还是很可以的。鼓励学生自主创新，积极参加创业比赛，有科技园、创业孵化基地、创业园、创业长廊，取得的成果听上去鼓吹得不错，但是雷声大雨点小，实际效益一般。省内就业不错，考研升学率一般，除了化学材料等学科在40%以上，其他学科基本在20%以下。本部学生生活在福州闽侯大学城旗山校区，有山有水的地方，环境好，空气好。图书馆是地标性建筑，是福大唯一拿的出手的建筑，很漂亮，拿过“鲁班建筑奖、2008年中国十大建筑”等荣誉称号，适合自习看书。行南楼前小湖上新建的福友阁很美，咖啡屋，荷塘月色，适合情侣约会。教室更换了最新的现代化教学设备，大教室两台空调，小教室一台大的中央空调，夏天室内温度低的还要穿长袖。生活一区宿舍是六人间，二区三区四区是四人间，五区是三人间，独立卫浴，有空调，有热水器。食堂菜比较难吃，还贵的要死，不过好像去年改进了，有京元美食餐厅入驻，果然毕业了就是别人的学校，一走就变好了。福州只有夏天和冬天，夏天热的要死，非洲人都要中暑，好在教室宿舍都有空调，冬天不冷，但是风大，吹呀吹呀我的骄傲放纵。厦门鼓浪屿、集美、泉州泉港、晋江等校区我没去过，就不说了！听同学说厦门两个校区挺美，泉州晋江因为刚建，野草丛生，比较荒凉！         总之，福大工科实力强劲，文科较弱，有待进一步发展。         最后说一句，我们总是在校的时候天天骂学校，毕业了就好怀念学校，祝福我的母校福州大学越来越好！
文科生，郑州大学和福州大学怎么选？,郑州大学比福州大学排名靠前，软件设施到位，福大只有住宿条件能拿得出手，如果你是文科的话，适合养老，空气比较好，太阳很毒，但是福建蛮夷之地，你想要学校给你人文氛围是不可能的，我在福大汉语言文学，好的老师都退休了，新的老师层次不齐，有的可以说很垃圾
福建考生报考福州大学地矿专业后可以转专业吗？,不可以。
