有哪些网红出身于清华大学？,女流66算吗？挺喜欢看她玩小游戏的。  补张女流微博上的图。    ～～～～～～～～～～～～～～～～～～  原来这么多人喜欢女流66，哈哈～
中国哪个大学的汽车系最好，同济，清华大学，上海交大，还是吉大？,首先看你是本科生还是研究生。 本科生，没什么好问的，清华吧。本科大学赋予你的决不仅仅是专业知识，倘若你希望能有更多的尝试，例如学生工作、出国交流、创新创业等，清华无疑都是一个更高更广的平台。 研究生，我想在这几所学校之间选择，题主应该是考研党了。楼上的数据无疑，清华汽车毕业1/3留在汽车行业，在这里你可以有更加多元化的选择；清华汽车不缺钱、不缺人才、不缺机会；清华地处北京，想来也是题主不得不考虑的因素。至于楼上队形的吉大，其实答主不甚了解，只听大家说吉大汽车好，仅供参考。
请问今天网上传的杨振宁以清华名义发表几十篇论文给清华捐款600万美元是真的吗？, 杨先生回清华后有没有发几十篇文章我没有对过数，光从inspire上看（高能物理）除了两本论文选集以及几篇会议论文外，还在  Int.J.Mod.Phys  上发过几篇研究论文。不过杨老回国后研究重心是在冷原子物理，记得还有他投稿PRL然后被审稿人刁难后转投了CPL的轶事。总之会清华后肯定是写了一些文章的，不过这些文章的研究价值应该不能跟巅峰时期相比。  杨的主要贡献是在清华用自己的人脉和影响力建起了高等研究院，这是国内做理论物理水平最高的地方，好几个博士生后来在海外名校做了教授，世界顶尖的华人物理学家在这里带学生，这是杨回国前国内高校都不敢想的。高研院作为国内理论物理学的交流中心，原则上不给院里的研究人员永久职位，这也给国内很多名校的物理系培养了人才。杨有没有捐600万美元我不知道，杨的传记里说他把自己在石溪的房子卖掉捐给高研院，是高研院首批捐赠人之一，肯定是破费了不少。高研院就是杨在中国的亲儿子，从研究的科学领域，到研究院的人事制度都是亲自把关，到现在已经能稳定做国内理论物理的学术流动中心。  杨也带回了姚期智，林家翘等顶尖科学家，而姚期智对清华计算机做的贡献不在杨对于物理学之下。  还有人说杨对中国最大的贡献是避免了很多年轻的学子跳入高能物理的大坑。这件事就见仁见智了。不过一个事实是，杨的意见确实极大地影响了国内物理学的发展方向。  最近杨和姚期智一起又改回了中国国籍，这算是承认了科学家有国籍，科学家的国籍也重要这样的观念。说不准能带出一波海外顶尖华人科学家破釜沉舟回国的决心。现在好多大千人虽然是全职回国，但实际上还是脚踏两条船，杨下的这个决心也许能起到示范作用。  最后我要强调一点，杨对中国做出的最伟大的贡献是在他回国前。因为杨作为一个中国人爬上了科学的巅峰，从根本上扭转了外国人对中国人这个种族能力的否定以及一些中国人内心的自我否定。别小看这个，很多华人大师在传记里都会写到杨李的成就极大地激励了他们在科学界的奋斗。 
考上了清华大学，如何使用清华的头衔去赚钱？,如果你真是清华新生，政府奖给你十万，但看不到清华给你的钱，所以你高考成绩在清华生里算一般，并且来自小城市。所以给你进清华的第一个建议，保持谦卑。 清华比你牛的太多，家境教养好全面发展的也太多，所以带着谦逊的心态进入这个园子吧。你会发现，自己都不值这10万块呢。智商也就高一点，情商明显低很多，胸怀呢？你现在考虑赚钱无可厚非甚至值得称赞，(要自食其力了嘛)，但恐怕你还没有余力谈胸怀吧。你毕业会去基层去西部吗？你会熬住寂寞读博读博士后吗？创业呃还是算了吧。没有胸怀，清华要培养的治国栋梁，学术大师，兴业之士你能占哪一个？所以，最后清华会给你带来锦衣玉食，但是你却不能给他增加太多光华。是的，一个人普通人在清华，只会发现自己就是凭着高一点智商享受太多自己不配得的东西，而且无法回报任何。 所以你终究会学会的，感恩和谦卑。  ps： 1.曾在招生组呆过。家长带高分学生过来和我们谈奖金，仿佛是一件商品般讲价。招生组钱绝对不少，但若不是为了和隔壁掐，真是受够了这帮家长。有时候会想，拼了老大力气把这种只有智商的孩子弄回清华，明显不是坑隔壁而是坑自个啊。但形势不由人，无法。 2.但上面诸多答案有点过了。这是个十六七八岁的孩子，大部分时光都在教室里刷智商，希望赚点钱回报一下父母或借此自食其力无可厚非，想让三年的苦日子的奖励更丰盛更实在也是人之常情嘛。如果把题目改成：“求支招!三年苦读考上清华，高考假不想旅游想多赚钱回报父母并经济自立，求生财之道，最好能使用一下我的清华招牌。”这恐怕就不会被骂了。 这不还是孩子吗？相信我，清华大一新生心理年龄很多还不如普通初中生呢，但他们学习能力极强，以前是没空学没人教，进园子一年有心学的可以迅速变得谦虚，圆滑而厚道) 3.在知乎一定要会说话。因为这是个太多政治正确的地方。一旦不符合这里的政治正确，那攻击的恶心程度并不比贴吧好多少。所以，还是匿名大法好!!
考上了清华大学，如何使用清华的头衔去赚钱？,不管是真的还是只是打着旗号来黑的，我都只想说一句    我从未见过如此厚颜无耻之人！
清华大学为什么要破格录取蒋方舟？,看不下去了来答这个题，不是说你不能对蒋方舟有负面评价，只是那些回答和这个问题真的一点关系都没有。  「清华大学为什么要破格录取蒋方舟？」  那不叫「破格录取」，蒋方舟是拿到清华自主招生的降 60 分优惠，同时也要参加高考，分数达到清华在当地分数线下 60 分以上的成绩，才会最终被清华录取。现在能拿到降分优惠的人很多。 这个问题和清华自主招生的政策有关。知乎上已经工作多年的人比较多，可能对现在高校录取（自主招生/保送）的流程不太了解。  我来解释一下吧：我们那一届的时候，拿到清北自主招生降分优惠的人不在少数。基本上都是校荐——笔试——面试的流程来的，三关都过了就可以拿到降分优惠了。校荐那一步学校一般是推荐竞赛获奖但是又没有保送上的。  刚查了一下，蒋方舟是走的自荐——笔试——面试的流程。 1.以蒋方舟发表过的作品数量，自荐通过是肯定没有问题的。 2.笔试是统一阅卷，这个也是没有水分的，实打实要靠实力的。 3.至于很多人怀疑的「面试」是否放水，这要问清华招生组的人了。  PS : 1.如果蒋方舟真的成绩很差的话，降 60 分也不会考进去的。  2.我没有读过她的作品，以前对她也没有什么印象。但是我刚刚发现蒋方舟是走的自荐，顿时对她有了好感——以她的经历，找学校要个校荐名额再容易不过了。但是校荐名额数量是固定的，她走自荐，可以给其他人省下一个名额。
在清华附中就读是一种怎样的体验？,说起和附中的缘分，至今未断。  家就在附中旁边，从初中到高中，在这个校园里度过了6年的青春岁月，见证了附中操场，楼房的兴起，见证了龙班的诞生，也见证了太多一辈子都难以忘怀的故事。  虽然，也并不都是好的故事。  我在附中的时候，曾经有这么一个班，叫做子弟班，名义上招的都是清华教职工子弟和其他部门子弟的，招生的标准可想而知是比较“弹性”的，多亏了我的这些同学，初中和高中6年，留下了很多值得反复咀嚼的故事。  比如至今还记得，初中时思想品德课的一位德高望重的老师，还是年级主任，却曾被学生举着插在校园草坪里的铁牌子威胁拍脑袋，他一边大喊着冷静一切好商量，一边用手机在身后报警。还是这位老师，曾经和我们在课上讨论性工作者的无奈，自己却因为陪着校领导嫖娼被抓，班主任却一口咬定是调工作了，但因为同学里有在清华派出所的内线消息，遂纸包不住火。  这也许也是我第一次感受到何为虚伪。现在想想，很感谢那位老师，他用他的经历教会了我义务教育教不到的道理。  还记得班里一位牛逼的同学曾经为了和一个女生告白，把我们大早晨堵在门口不让进，自己拉下教室的窗帘，在黑布隆冬的教室里递给那个女生一串闪烁五颜六色光彩的手机链。看过那么多所谓浪漫的电影和电视剧，只有这个发生在十多年前早晨七点半的画面，让我记忆犹新。  初中时候，进龙班是我唯一的追求，结果天资所限，一直受挫。一个龙班的同学曾和我说，他对我们班的感想就是：垃圾班。我听了暗暗发誓，高中时一定要跳出家属班，鱼跃龙门进入龙班！  结果，高中时还是进了一个特殊的班：外交部子弟班。这是清华附中为了那些身在国外的外交官子弟们特别设置的班级，据说录取时分数直降50分之多。可想而知，这个班之奇葩毫不逊色于初中时的家属班，身边的同学有大使的女儿，中南海医生的儿子等等，但我们班继续发扬初中的光荣传统，无论是成绩还是活动，表现都差的一塌糊涂，被冠以猪班的绰号。  至今还记得，我们班的奖状只有可怜的小小一块，而龙班的奖状却从后墙贴到了天花板上。一次全年级外出的活动，我们班毫无意外地成了倒数第一，得了参与奖，回到大巴车上，班长沉默地将奖状揉成一团，从大巴的车窗扔了出去。  而我人生中至今为止最辉煌的一次经历，却也诞生在猪班——辩论赛。  那时，由于龙班的碾压，我们班对所有活动都兴趣缺缺。一天晚自习时，老师问有没有同学愿意参加辩论赛，无人举手，第二次问，无人举手，她又无奈地问了第三次，因为不得不问——这是强制参加的活动。  我举了手，毫无意外地成了唯一的候选人。  那时辩论赛是两个班组成一队，而和龙班组队的，是年级里唯一比龙班的存在还要高端的：理科实验班。没错，这个班之所以高端，就在于里面的学生基本全部获得过数理化竞赛的奖牌，全部保送清华北大。  当时，全年级没有一个人，包括我自己在内，认为他们会被打败，就凭那贴到天花板的奖状和保送两个字，就没人会怀疑龙班和理科实验班联合起来的强大实力。  结果，我们在决赛打败了他们！是的，打败了他们！  而我成了最佳辩手。  高中三年，我们班唯一的一等奖，就是这次比赛。  如今，我早已忘记了比赛的具体过程，但是这个比赛给我的改变，不亚于高考。猪班也能打败龙班和理科实验班！这简直是颠覆我常识的胜利。  从此，我也模糊的感觉到了，人生的胜利也许并不只有一种。我看龙班的眼神再也没有混合着敬畏和自卑了，因为我知道，自己至少能在辩论这一点点上压过他们！  人对自我的否定只需要一点肯定，就不再成立。这一次胜利，对我来说，就是这么重要。后来年纪大了，却有点体会：很多人一辈子并不如何轰轰烈烈，但他们却都是在一片否定中努力寻找着这么一点点肯定，哪怕再微不足道，却是立足于世的根基。  多年后，我已经得知，附中家属班的制度已经被取消，猪班从此成为绝唱。这是好事，初高中学生本来就不应当在年纪轻轻时背负起如此沉重的精神烙印。但对于我来说，附中6年猪班的经历却如同是一瓶老酒，喝起来并不清冽甘甜，却让我始终无法忘记这个味道——   人活的失败，就更需要留下点什么。 
如何看待清华大学一博士生偷拍多名女性裙底被抓？,人大的嫖娼，清华的偷拍，就差北大了。总是有人能给自己的学校膜黑。
如何看待清华大学生命学院预科班？,QwQ 体验一下匿名的感觉233  先给楼上学长点赞 欢迎大家支持预科班233 欢迎参加全国中学生生（辣）物（鸡）竞赛 欢迎大家关注公众号www 喵⊙ω⊙
清华的差生以后有何出路？,我也不知道为啥这题睡一觉起来这么多关注了。  我想说的是这个题目其实和清华关系并不大，换成任何一个学校，都有这样的现象，只不过清华的关注度更高，黑点少，也不会有人上来就尖酸刻薄地喷题主是资质平庸+人懒颜丑。  为什么有些人在生活中遇到比自己厉害的人会感到痛苦，为什么有的人会感到高兴，感觉这是一次学习的机会？其实这个并不能简单的用成长心态VS固定心态来解决的，这明显是如何获取自尊的问题，这不是鸡汤，这是科学。  因为我曾经也是一个典型的依赖型自尊的人，这3-4年才慢慢转变为后两种居多。我原来看人家竞赛数学，物理，化学，NOIP全部省一的感觉就是深感差距，痛苦不已。后来慢慢转变了，再遇见同学master thesis就是当年ISSCC best student paper，本科全10分毕业的主，我发自内心的为人家鼓掌，多和人家交流交流，学习学习。再遇到我现在的老板，不仅父母就是banker，自己牛逼Phd+spin off，40岁出头实现财务自由，成为我们业界最牛的人之一，我根本就没想过比较，一心学习。  我真心觉得，这是心态的问题，都是很大的差距，为什么我之前感到痛苦不已，而后来觉得是学习的机会，过得挺开心的，我说的是这样一个个人体验罢了。  具体方法还是看其他靠谱答案吧。 -------------------------------------------------------------------------------------------------------------------------------------------- 原答案：  题主，你知道我们这种人其实是多么的羡慕你吗？  真的，我太多次羡慕过清北的同学，羡慕过比我小的95后能去读海本。  原来每次放假同学聚会，我听清北的同学聊天，深深感到我们的差距，即便我本科也是个985.这种差距是实实在在的，无论是眼光，视野还是专业水平。  交换，清北随随便便就能去世界TOP的学校，读好的program，我们只能去二流，甚至三流。找工作，我们能去BAT就算好的了，清北大牛考虑的都是去北美工作。出国申请，我连我们专业北美TOP10的学校都没有申请的勇气，我看的还是master，人家看的是Phd。读研，清北保研没有限制，我们要班里前5才能保去清北，去的还都不是最好的组。差距实在是有太多。  我高中有挺多保去清北的同学，人家的发展和我们这种985的发展简直就是天壤之别。有一个清华读了一年就转学去剑桥读了本科，另一个CS大牛，工作直接考虑的是去不去北美工作，而不是能不能去。  后来，流行海本的时候，回学校看海本的录取，很多都是dream school。MIT，UCB，Dartmouth，还有几个去了lac。  为什么这么羡慕呢？  就和  @朱莎 说的一样，学上的越多越来越觉得，教育给我最重要的东西并不是知识，而是知识之外的东西，爱因斯坦说：教育就是当一个人把在学校所学全部忘光之后剩下的东西。比如说同学，视野，世界观。而这方面才真正是名校提供给你的，尤其是本科教育。  题主，如果说你为什么感到痛苦，我想是因为你的self-esteem来自于你和别人的比较。  self-esteem其实有很多种：  1）依赖型自尊（dependent self-esteem）：需要别人反馈来评价自己。关注别人说的。做决定取决于别人的想法或意见。持续寻找别人的认同。拥有比较心理，通过比较认识自己的能力（competence）。典型的就是白雪公主中的皇后。依赖型自尊的两个组成因素：一是由别人决定，二是通过比较。 2）独立型自尊（independent self-esteem）：最终由自己决定。不通过比较认识能力，而是和自己比。寻找beautiful enemy，因为他们想提高自己。关注self concordant goals。依赖型自尊追求正确为了保护自己，而独立型自尊追求正确是为了提高自己。  3）无条件型自尊（unconditional self-esteem）：足够自信，无需给自己评价。能力方面，interdependent，不关注自己做得如何，in the state of being，fully comfortable。 推荐你看看哈佛的《幸福课》，里面第21课是专门讲这个的。  所以说，题主你的痛苦其实来自于比较和落差，并不是环境的恶劣。所以需要改变的并不是环境，而是你自己。你要相信，即便是你现在立马变为大牛，鹤立鸡群，你也不会感到真的幸福。  反过来讲，你为什么没有成为你羡慕的人？也许正是因为这种自我缺陷，而并不是你不够努力。  所以说人生最重要的教育，在我看来是正是自我教育，这是任何学校都无法提供给你的，只能是你自己。所以，成为你自己并不是心灵鸡汤，而是正真通往幸福的道路。  希望题主能早日过上开心地生活，祝好。
为什么中国人对清华北大几乎有一种盲目崇拜？,抱歉，我并不觉得中国是一个“学历社会”。中国人表面上对Top2的人十分的追捧，内心其实是十分的不服的。所以中国人会表现出自卑和自负矛盾的复合，一方面在私底下为自己不是Top2的而感到自卑和耻辱，一方面在表面上又对Top2的人充满不屑。所以中国人一旦有机会抓住Top2的把柄，从来都不会吝惜这个机会来羞辱对方。比如文革期间，大批Top2的高级知识分子被下放牛棚，被一群小学学历的泥腿子羞辱，你在他们身上哪里能看得到半点对Top2的尊重？又比如施一公的父亲遭遇车祸，因为医院见死不救而不幸遇难。纵然施一公是参加数学竞赛保送清华的也没用，人家护士就是不鸟他。又比如这个问题 如何评价清华北大毕业生在北京难立足的现象？科研和工程人才目前的境遇如何？你们还好吗？ - 知乎 ，即便是在对Top2推崇备至的知乎，还是免不了变成知乎全体群嘲Top2学生。所以中国表面上是一个学历社会，骨子里还是泥腿子的那套，从来就没有把Top2真正当回事。  在我看来真正称得上“学历社会”的就是法国和日本。法国人对学历的推崇可以看看这个回答和下面的评论 清北的学历的遗憾真的能被藤校的研究生学历弥补吗？ - 知乎 。法国是一个等级森严的国家，法国大公司的高管基本上就是那几个学校出来的。在法国，一个小小的公务员都知道要尊重精英，普通大学的学生飞机临起飞才办好签证，而名校的只要打个电话，当天就可以把签证办好。而日本人对东大更是全方位的膜拜，就是大公司的社长，对东大毕业的小职员都是客客气气。日本人从来就认为东大人配得上最好的工作，最好的待遇，从来不觉得这样有什么不公平。而法国和日本对学历的推崇并没有禁锢科学文化的发展。法国诞生了一大批伟大的数学家，是启蒙运动的发源地。日本在21世纪以来就拿了17个诺贝尔奖，平均每年就有一位。正是这些国家真正做到了对精英的尊重，考上名校的从此没有后顾之忧，普通人安心做绿叶，每个人各司其职，社会井然有序，才取得了如此瞩目的成就。  所以我每次看到Top2的学生晒优越感，我对他们其实是有些同情的。如果他们在法国，日本这种真正的学历社会，是完全可以有优越的资本的。他们唯一的错误，就是生在了中国。
在清华大学当校长是怎样一番体验？,提出了一个只有几个人能回答的问题…并且能回答的都不会理你。
如何评价清华大学力学系符松教授？,湍流FLT模式，能独立提出一个湍流模式并被广泛承认的，你往现在中国里再挑一个出来？
清华大学校友会是什么样的组织，大体是怎么运作的？,我也想知道， 毕业的时候发了校友信用卡，还有校友邮箱。 除了强调为学校捐款之外，还不知道有什么其他内容。
如何评价清华大学2016届网红霍靖烜？,真正的nc  走到哪里 泡妹子加微信都要先问一句 你认识基龙不（微笑
怎么在清华大学经营好一个咖啡厅?,赛氪咖啡，创业圣地！
澳洲国立大学硕士相比于清华大学硕士哪个好？,看你目标啥吧…
当年你为什么不上北大，或者清华？, 讲真，当年我也考虑过这个问题。    在我还小的时候，我喜欢看着天上的白云发呆。   云卷云舒，风来风去。   年少的心总是惆怅，总是茫然。   清华园中，多少初心童梦。   未名湖畔，多少挥斥方遒。   我爸觉得，清华理工科好一些，将来找工作特容易。   爷爷觉得，北大出了多少才子呀，唯真名士自风流。   呐，我从小喜欢诗词歌赋，可能北大更适合我。   但我又觉得清华酷酷的，跟我的气质很搭。   我尊重我爷爷，我也爱我爸爸。   但我的人生，注定要在这个岔路口做出选择。   向左还是向右？   我常常辗转反侧，难以成眠。   春的心事秋的心事，我的心事。                   后来长大了，我发现我们都想多了……              （谢肉包子邀。  我真不想回答这个问题，感觉你在怼我啊……） 
在清华大学当学霸是种怎样的体验？,12年进入T大，大一刚刚入学，微积分不会，线代不会，上课听一会就坐不住要出去走走。线代机考平均分90，我机考70。高中时，从来没有遇到过做不出来的物理，化学和数学题(竞赛题除外)，现在居然有我不会做的题，我曾经一度怀疑自己是不是智商下降了，然后每天吃核桃坚果，泡图书馆，刷题，每门课都借了好几本辅导书，每天上午六点居然能自然醒，然后起床刷题，我曾经可是个爱吃爱喝的胖子啊，刚进校的时候198斤，一学期后170斤，但是期末考完后的成绩证明这一切都是然并卵，平均分刚刚80，年纪排名后40%(总人数100过一些)。       看到成绩的那一刻，整个人都不好了，那一夜，彻夜未眠，给暗恋两年的高中同桌打电话求安慰，讲了一个多小时电话，换来她的一句“你是我遇到最好的人，我还是当你妹妹吧！”，再次无情被拒，简直是人倒霉，鬼吹灯，放屁都打脚后跟。哭累了，不知不觉睡着了，半夜又惊醒了，后来发现我神经衰弱了，一天到晚懵懵懂懂，特别困，但是躺倒床上却睡不着，感觉脑子里的神经崩的紧紧的，稍微有一点声音都听的清清楚楚，如:室友抖腿，吃东西吧唧嘴，打游戏点鼠标的声音，我都觉得非常难受，真想和他打一架大干一场，但是最后理智抑制了冲动。   我每天都反思为什么这样，但是没有结果，最终我选择了放弃目标。在放弃前，我对自己每门课的目标是90，无论如何不能低于85，在清华保研就差不多这个分数。现在我只要求70以上就行了，天无绝人之路，考试不好，多提高能力，大不了毕业直接工作，肯定饿不了我。于是这之后课上随意听听，作业抱大神大腿，不会的到考试周再说吧。       平时一下子有了很多闲时间，哎呀，好闲啊，好无聊，该干什么呢，打LOL吧，于是浸入LOL的世界，打了一周，忽然发现基本是零杀好几死，每次排名都倒数，哎。。。这什么破游戏，一点都不好玩，其实是自己手速慢，但打别人的欲望很强烈，就毫不犹豫向前冲，然后还没放完QWER就被秒了。后来在票圈看到别人都在秀健身，摸摸自己弹性模量超小的中央大肥肉，我还是去跑步，这确实是出于无奈，不想看书，不想听歌，看视频连看两天也会烦，只能去跑步了。    刚开始，跑三圈就跑不动了，为了激励自己，一般先放眼望去，瞅准漂亮的妹子，跟在她后面，快要接近时一阵加速，风一样的超越，留给妹子一个旋风般的背影。超完一个，继续搜索目标，换下一个妹子。就这样，自个玩的不亦乐乎，也许学业太渣，只能在这里找回点自信了。不过每天至少锻炼在一个小时以上，被超越的的妹子可以组个加强团了吧。很快，接近期末了，玩了一个学期，也该好好复习一个月了。       我从15周开始复习，因为之前一段时间过得非常潇洒轻松，所以此时复习的格外认真，但是心里并没什么压力，就把课后题做会，作业做会，例题看懂，期末上70肯定没问题。就这样，一直到考试，我都很轻松，考试也很轻松，写字都像练书法一样，不慌不忙，一切都是那么惬意。。。   ～～～～～～～～～～～～～～～~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~      让你们和我大跌眼镜的事情发生了，考后问老师成绩，居然工程制图83分，我都打算考70了，你居然给我83。。。我当时一直以为老师批卷批错了，最后出成绩后有5门主课，大多数80刚过，最差的一门79。我至今难以忘记我看到成绩的那一刻，我不是在梦南柯一梦吧，还是教务系统出bug了，过了几天，我又查了一下，确定各科成绩没变，我才放心了。   后来每个深夜，我又陷入了辗转反侧，为什么会这样，是老天在和我开玩笑嘛？但是始终没想懂，其实我也不需要懂，好事往往是不需要理由的。       三年来，我就坚持这样过，每学期有3/4过得逍遥自在，还选了双学位，跑步现在一次性能跑10公里了，游泳蛙仰碟爬都会了，社团也玩了不少，减肥大业已卓有成效，现在148斤，平板脸也具有了立体感，每学期只是最后一个月突击一把，最难以捉摸不透的是为什么居然百试不爽，老师考的都恰巧是我做过的或者我看过的相似的题呢，其实我并没有学多少啊？感觉有点撞大运，但是六个学期来好运接连袭来，成绩一直在进步，平均学分绩80，84，87，90，93，92，大三和大四还获得了奖学金，推研时排名年纪10名左右，如愿以偿，顺利直博。虽然不算是学霸，但对我自己来讲，仿佛我已经脱胎换骨，这怎么可能是我呢？不会是哪位大牛投胎投错了吧，半路投到了我身上。        其实我一直在找原因，到底为什么会如此戏剧性。大四推研后闲了，又重操LOL打发一下时间，玩战士很菜，后来玩ADC尝试打辅助。  ～～～～～～～～～～～～～~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~      让你们和我大跌眼镜的事情有发生了，我居然legendary了，我只是想打个辅助，你居然让我两死八九杀，让我体验了杀英雄的快感，我只不过看到敌人来了赶紧跑，没人时打打小兵推推塔，看到半死不活的残血，我躲在草里放个大招收个人头，居然可以legendary。       后来我忽然发现这和学习中的我出奇的相似，没有了杀英雄的欲望，不会盲目向前冲后被砍，反而有所收获。也许可以一言以蔽之:无欲一身轻吧。      高中时我们在象牙塔尖呆惯了，不满足自己已经获得的，一旦掉下象牙塔，就有迫切的欲望想回去，甚至有强烈的欲望把别人挤下去，然后会不由自主的焦虑，躁动，但是象牙塔尖的空间是有限的，容不下所有的人，那些曾经上来过，又掉下去再没能够上来的人，就陷入了恶性死循环，越焦虑越糟，越糟越焦虑，如果不主动break，那么只能被恶性循环消耗殆尽，放弃曾经的欲望，因为那只适用于曾经，适当降低目标，给自己一个台阶下，把学习这个过程做好了，做充实了，不要在做的时候老想着结果，为自己做好最坏的打算，踏踏实实走完就好。其实最终证明，这样做的结果并不会太差。放下欲望，抛弃给自己施加的心里负担，也许阴霾就会散去，迎来一片晴天。       最后，无论如何，活着最重要！      --------------------------------------------------------------------------------------------------------------------------------------------      更新与2016年1月2日    我回答这问题完全没有炫耀之意，我没有欺骗大家，只是希望为陷入“恶性循环”的同学们提供一种解脱的方法，至于是否奏效，也许要因人而异，老子在《道德经》中讲道“无所为而无所谓，无所谓而无所不为  ”，当用尽浑身解数而止步不前时，何不试试以退为进，也许就会绝地逢生，不是吗？         大学期间最后一批课的成绩今天终于出来了，如果你身边有T大的同学，请你们善待他们，以往的时候学校都很体谅他们，选在大年三十出成绩，这样的话还可以收到红包聊表安慰，可是今年不知道为什么提前了。。。   
清华人是如何评价马冬晗的？,Choose life. Choose a job. Choose a career. Choose a family. Choose a f**king big television， ........  我看到的是一个满级学霸，每个学校都有这样的人，我身边就有。你能做到一周只有礼拜五下午和礼拜六休息，其余时间除去每天跑步一小时就是8am-11pm不是在学校上课lab，就是图书馆学习或者project么？和马的时间表差不了多少吧。如果你以上的图书馆时间没有贡献给facebook微博知乎或者现实扯淡的话，你已经保证了一个全系年级前30的席位。   与此同时还有party animal还有sports freak还有花花公子，most of them survive the years。 我们不是在这里站着说话不腰疼地评论人家的生活方式如何如何，这是人家的选择，人家爱这么过日子你管得着么？她乐意精确计算旗杆长度让她乐意计算，这是她做事的方式，效果达到了并且很靠谱为什么还需要反思。  一句话来说：她的生活方式给我的感觉和一个天天开着超跑去夜店公子哥一样，it's another life style，我个人可以不喜欢这种生活方式，但是不会是我去指责她的理由。
为什么有人会有清华北大情结？,我觉得清北情节主要还是知道的太少吧。  5岁时候住在一个离北京150km的小城市，奶奶告诉我，你以后会上小学、中学、高中，然后高考，上大学。大学有俩，一个清华一个北大。我说高考考100分能上清华北大不？奶奶笑着说高考750分满分。我说那我要考750分去上清华北大。所以我觉得我的清北情节是那个时候有的。。  另一个原因大概是高中进了一个眼里只有清北、90%的同学都会进清北的班，从此就有了人生第四大错觉——我是注定要进清北的。其实那个时候甚至连清北有什么区别都不知道。  大概是到了参加自主招生的时候，我才第一次问我爸妈清北有啥区别。他俩也说不清楚，或者知道但是是说得不清楚我也没懂。但是我知道了北大是一个搞理论的学校，清华是一个下工地的学校。我喜欢动手啊，就去清华自招了。（最终也没拿到加分）  然后在报志愿的时候我第一次犯了选择困难症。什么有“经济”“医学”字眼的学科我是完全没兴趣，但是有“机械”“自动”之类字眼的学院又太多了。我问我妈哪个好，她说我不知道去问你爸；我问我爸哪个好，他说他就知道机械工程自动化电力好，也好找工作；然后我问他机械和自动化有啥区别，他解释半天也说不清楚。  一个月后学校组织了清华的前辈来给我们普及专业知识，宣传每个专业是干什么的。花里胡哨的宣传册除了好看之外一点用都没有。（我倒是真希望能用两三个词或一句话好好解释一下每个专业，你每个专业跟写一篇paper似的谁看啊）然后学长学姐们来了，经济系的被维得水泄不通，土木的一个男生在那孤零零的玩手机。我找了半天没找到机械的，但是发现了自动化，就去问。（旁白：大二大三的也行啊，你请大一的学长来给我们讲，他自己知道自己是学啥的吗？）我得到了大约10句话的回答，大意是自动化就是做能自动工作的东西的学科，然后加上各种专业名词，重复5遍。（可能没那么糟，但是对于一个即将高考的高三的无知的孩子来讲，大学学长说什么他大概都没心思听吧）  我当时迷信高考，没在乎什么专业的事，听了半天介绍最后还是只看名字选了个机械工程。（不知道其他人选专业啥感觉，我现在的感觉是不花上十天半个月好好查查资料不可能知道一个专业是干什么的。当时的选择简直糟糕透顶，还好没考上。）  高考之前我还做了一个梦，突然意识到自己要是万一考不上怎么办？当时的感觉是整个人一下被架空了，但是后来一想，怎么可能考不上，就没管它。然后就被雷劈了。   事实证明，高三的孩子大多还是too naive，自己中二不过脑子自己还不知道，更严重的是很多家长也不知道。（有能力考清北的）对大学、专业一点概念都没有。就知道清北好，其他学校全是渣。同班各位考上清北的同学对不住了，你们一路虽然坎坷但总体顺利，我不知道你们的心理。   还有一拨不少的人是出国党，他们意识比较超前。我以前觉得那些人怎么就看不到清北的好呢？现在觉得你们清北的怎么就没意识到世界有多大呢？   终究还是、眼界太小才有了清北情节。   美国学校确实好，而且真的好，好出声。但是欧洲南亚日本澳大利亚加拿大也有好学校好不好？我后来回学校探望老师的时候跟老师说我出国了，老师说澳大利亚？（临时出国的人一般去不了美国）我说不是，是日本。老师说是东京大学吗？我说不是，是京都大学。老师说京都大学咋样啊？我说挺好的，也不错。老师：啥专业啊？我：土木工程。老师：那不错，你得努力学，以后争取回来考清华研究生！我愣了一下：为什么要考清华……（京大土木大概能秒杀清华）老师没理我，我只好说好好好我会努力考回来的！然后走掉了。  是不是有点太拉仇恨了……感谢各位看着我装逼不打之恩
