从理工专业，考研或出国前景，消费和环境来说上海大学和苏州大学哪个好一点？,家里蹲
在苏州大学（Soochow University）就读是怎样一番体验？,   手机里找了一张图镇楼……安静的暑假夏日里安静地路过安静的钟楼草坪。既似初来乍到，又像不曾远离。    2017年8月更新： 这个回答从首答到现在已经两年了，收到不少知友的私信与评论，在此一并感谢大家的关注与阅读。 也比较诚惶诚恐，我这么一个流水回答也获得一些赞与评论，希望可以抛砖引玉，有更多校友提供更精彩的回答。 答主目前研二下，苏大第六年。  我先说一下我心中的苏州大学：一所江苏省内知名，地理位置上乘、处于稳步进步中的211中段的省属综合性大学。 纺织、血液、放射、外科是国家重点学科。2012年教育部学科评估70分以上的有纺织、中国语言文学、光学、设计学、政治学、基础医学、体育学、外国语言文学、法学、数学、化学、公共卫生、哲学、中国史、材料科学、软件工程、药学、护理学、临床医学、教育学、统计学。这些可以说都是苏大比较尚可的一级学科。如果报考苏大但是不知道选择什么专业可以多多关注以上专业。此外苏大纳米现在非常强但是12年没有参加学科评估，金融等专业也有学科博士点不过是肯定比不上两财一贸这种牛校的，在江苏省内还不错，因为江苏应用经济学基本就南大还是毫无疑问的一哥，其他各校就各有优势没有十分突出的。 一句话概括就是苏大走的是综合性、大规模的路线，学校体量比较庞大，高精尖专业十分少（与邻市的江南大学基本是相反的），基础的文理专业“还行”的却占据一定比例。如果想到苏州来、定居在这座城市，或者在江苏求学，分数合适并且没有首选省内其他各校的优势专业，苏大是可以报考的。  囿于个人姿势水平与精力，有收到很多私信没有及时回复，有些问题重复率比较高，先集中解答一下。有的疑惑或许去「苏州大学」贴吧、「苏州大学研究生」贴吧可以得到解答。  Q1：苏大的宿舍分布如何，研究生宿舍怎么样？ A1：苏大的宿舍是根据学院的分布而确定，不同学院在不同校区，不同校区有不同的硬件设施。唯一相同的是99%的地方都有空调。 目前苏大的校区比较多，遍布苏州东西北部。共有苏大本校区、苏大东校区（本部东区有桥相连）、苏大北校区、苏大独墅湖校区、苏大阳澄湖校区（共计五个），还有文正学院（在石湖附近）以及应用技术学院（在周庄）两个独立学院。 本部每个学院所在的校区也不太一样。 比如本部有物科院、计科院、数科院、光电与信息学院、外院、法学院等。 东区有商学院、体育学院、海外教育学院等。 北校区有纺织学院、沙钢学院等。 独墅湖有医学部、材化部、社会学院、教育学院、政管学院、文学院、凤凰传媒学院、纳米学院等。 阳澄湖主要是城轨学院。 本科生的宿舍分配很复杂，不能一言而尽，每年分到的也不一样。 但是总而言之，独墅湖阳澄湖基本都是四人间宿舍，条件不错。 本部东区完全看造化。最便宜500元一年，条件大家自行脑补。 在本部，研究生宿舍比本科生略好，基本都集中于东15-18楼之间，上床下桌独立卫浴空调等。独墅湖阳澄湖不太清楚，但是不会比本部差。 之前苏大本六宿舍曾经上过微博热搜，后来本六宿舍重新整修了。  Q2：苏大学风如何？ A2：学风这个不知如何评价，因为没有读过其他大学，也不是对每个院都那么了解。但是知道医学部、外院等院系的同学都比较刻苦。  Q3：苏大有对外交流的机会吗？ A3：有。 现在学校整体趋势是努力做科研发Paper，在高颜值的熊帅上台后，苏大的ESI、泰晤士报世界大学Top800一些排行榜上的国际排名屡有攀升（也因为这个，苏大在知乎被提了很多对比类问题，回答里争论的不可开交），学校也在大力对学生的出国深造这方面投资，不过我感觉好像大部分还是理工科专业（？） 每个院去每个国家的机会和标准都不太一样，以我院为例，台湾有台湾大学、东吴大学、台北大学等交换机会。美国有圣约翰大学，英国有班戈大学等。 还有其他一些地区的大学的交换机会没有怎么关注与了解（因为我很穷），就不误导大家了。如有兴趣，可以去各院与苏大官网进行了解。 每个院情况都不一样，对口友好学校的学术水平、国际排名、总体花费都不一样，大家可以先行了解、自行斟酌、认真对比、慎重选择。  Q4：苏大的研究生好考吗？ A4：这是一个非常多人问的问题……又是一个一言难尽的问题。 苏大考研热度算是高的，这是各种因素综合下的一个结果。苏大是一个综合性大学，专业很多，各种类目各种序列。大部分会选择苏大考研的同学是本科学校的本专业排名比苏大略后一些的，但全国各个学校考研风格都是如此。我觉得苏大大部分专业，是报考苏大的大部分同学通过认真复习，加上稳定发挥与一点点运气可以考上的。 仿佛说了一句废话。 落实到个人，还请大家主动关注自己意向的专业的各种报录比，分数线等。有的时候找直系学长姐或许更有用……  以下是最初的答案。 在苏大就读的体验大概可以归结为以下几点：  一是周围同学大部分都是江苏的，因为苏大是省属高校，江苏招生最多。外省人数比例不大，出了江苏苏大的知名度很受限制。 让孙杨来读研，多少有点想宣传自己的意思。江苏的学生，学习能力普遍较强，苏大的投档线也每年也比本一投档线高15分左右，在江苏省高考480分的年代，苏大的生源其实对得起它省属大学的名头，苏大是江苏省211里招生体量最大的学校，招生常是省内其他兄弟211学校的1.5-2倍，我想苏大的生源主要是由理科本一中段与文科的中前段同学组成的。  二是宿舍太差，非常非常之差，和苏州的经济完全不符。我本科住在东区，学院在本部。宿舍没有阳台没有柜子没有独卫，书桌还是两大张拼在一起，狭隘的空间还是六人住。 八十年代校友返校时，说宿舍和他们那时候几乎没有区别。 独墅湖，阳澄湖校区宿舍是极好的。 现在研究生宿舍好了很多很多，上床下桌，什么都有，空间足够，阳台很大，连床铺和桌子的质量都非常好。加上本部依旧优越的地理位置，生活质量见长。  三是我们院硬件设施十分完善。中央空调冬暖夏凉，尤其是别的院同学都要去占领图书馆我们只需要在自己院看书就行。 据说也是本部唯一一个自带物业自带车库自带茶室的学院。上次车钥匙没拔还被有心的巡逻大叔给收走（可是我的电瓶车今年暑假还是被偷了）。  四是苏大完全放养，从大一开始就是不断水不断电不断网无自习无早读无晨跑（好像各院有差异），不犯事辅导员一年到头也不会来视察……基本完全靠自己。 苏大活动还算比较多，上「大学」的感觉还是比较强烈的。我们院学风称不上浓厚但是正经考试临头大家还是挺认真，毕业工作不算难找，但工作待遇真的就看个人水平了。学校不能许诺你什么，也不保证你的出路。就我切身体会而言，我们专业虽然常年是大家口中的“红牌专业”，但就业真的不能说差。研究生阶段四人间宿舍，另三位室友因是两年制法硕，已刚于六月毕业。一位九月去清华读博，一位已去上海金杜律所，还有一位五月考取苏州某区检察院，即将入职。  五是苏州这个城市真的为苏大添光无数，如果苏大能有三颗星至少两颗星是苏州给它的。这真的是一座很棒的城市——小城市有小城市的味道（评论里有人理解成我看不起苏州或者是我认为苏州面积小，其实完全不是这样的。我只想说一个城市在每个人的眼中有不同的面貌。我眼中、心中的苏州更多是特指的姑苏城，也就是姑苏区这一块，我觉得它是苏州意象的代表，曲溪傍山、人家枕河。每天都会看到这样的光景，心中自然也是觉得安详恬静。低矮的房屋、平实的街道，加上姑苏区面积确实不大，所以我说苏州是小城市，这个只是我自己眼中极其主观的意见，完完全全是我个人极尽扭曲又坐井观天的狭隘看法。与事实无关、与苏州经济无关，请不要再因为这个问题争论了，我知道论面积苏州是江苏Top4，GDP更不用说了）。这是一座很宜居的城市，比全国很多城市都要干净、整洁，我走在苏州第六年，还是这么喜欢这座城市，经常从法学院南门出去十全街吃东西，总是感慨，苏州太有味道了。 本科同学约有60-70%毕业留在了苏州。大部分还是从事本专业有关工作。  六是本部的地理位置真是占尽地利，超级方便，离观前，万科，欧尚，印象城都不是很远，交通也极其便利。吃喝玩乐的地方非常多，我大学胖了不少。苏州真的是一座经济发展与文化建设都做的很好的城市。在此私心给大家推荐两个好玩意儿。 一是大家都知道的园林卡，120元园林免费进入100次，真的很合算。学校周围的耦园网师园沧浪亭都很值得一去，现在网上已经从原来的6月与12月办理改成全年办理，可以下载「苏州市民卡」APP办理。 二是「书香苏州」这个APP，是由苏州图书馆做的。苏大同学可以绑定自己的社保卡，免费从苏图借书，会有专门快递送到指定的服务点（本部最近的服务点在西门出去的莉莉小炒进去的那个双塔社区里，其他服务点大家可以去APP上查阅，全市有不少），搜索与物流都比较高效便捷，是除学校图书馆借书外的新选择。  七是在本部感觉不到其他大学的存在，没什么高校竞争的压力，但苏大经常在网上被拿来和南京师范大学，上海大学，西南大学，西北大学，郑州大学等高校PK。 我相信这和在北京上海南京西安武汉这些大学林立的城市求学是截然不同的感受。  八，吐槽一下学校，好像自我感觉十分良好。 奖学金也拆掉了只发证书不发钱，进门必查证件（呆了五年每次还是忍不住吐槽）。东区浴室烫得没数冬天水温能快烫掉一层皮。还有苏州温度也是冬天湿冷，夏天炎热（江浙沪气候都类似这样）。  读完本科方知道，大学终究只是个平台，一切都是靠自己，有大一就苦学英语立志出国LLM的学妹，也有大四毕不了业的学长。 苏大虽然不是多么一流，但是能提供的资源也不是那么那么稀缺，虽然不比北上的高校赋予学生的视野，但这里的学生努力的也并不少。在苏大的很多人，并没有好好利用学校给的资源（我也是）。  苏大文理尚可，工科一般（但不代表不好找工作）。江苏省内就业便利，出省名气与认可度受限。建议一下，如果是非江苏生源或者以后不在江苏发展的话还是慎选，因为真的很多非江浙沪的人完全没有听过苏大，我还知道有人没听过苏州这个地方……  最后，选择苏大的非常多同学其实是选择苏州，苏大本身的水平反倒不是第一考虑的因素。 大学在哪里读值得每个高考好好想想，毕竟四年的青春时光托付给哪座城市也是有讲究的，哪怕是换个地方打掼蛋，人间天堂也是不错的选择。 《我们的法兰西岁月》中的里昂大学景就在苏大拍的，而《我们的苏州岁月》，也即将无处安放了。
苏州大学城旁的sm广场新开的刘老根美食城里没人气咋办？多少人来吃小吃或主食？我在里面开了个脆皮玉米店,抽空来更新下，今天礼拜五现在时间7点50，但是我今天的备货卖完了，虽然不多但是我开始觉得有信心了，因为今天来了好多回头客。总共就卖了20根左右！但是我现在在煮，希望能来的急能多做几个生意！
17年广东理科考生选深圳大学，西南交大，还是苏州大学？,同17年广东理科考生，也在纠结中。我们校长说深大不错，确实上升较快，出国也比较方便，苏大的话文科较强。。。 我也不太了解，随便扯了几句，希望对你有帮助，主要是看到广东考生比较亲切
生活在苏州科技大学敬文书院是一种怎样的体验？,宿舍环境很好。能遇到很多有才华，有能力，有思想的人。可能制度方面还不太全面，但渐渐走向成熟。开办了很多活动，促进学生全面发展。
怎么看待今晨苏州大学跳楼事件？,大四狗，每天在图书馆也不怎么关注校园的事，但是知道十一月好像跳了两个。  苏大处理事情的态度一直不敢恭维，之前文学院教授、医学部宿舍各种大大小小的事情都是无脑堵。整天吹自己排名前多少多少，学生利益攸关的事却很少在意。图书馆管理混乱，宿舍网络环境差到影响正常学习是自己切身感受到的，之前取消奖学金也让人觉得很无厘头。  学院里还有好多恶心事，辅导员是被家属照顾过来的，情商工作能力为负，专业课老师也不乏操蛋之人，但这些与学校整体关系不大，不说了。  总之现在学校给我的印象就是对外好大喜功，对内畏畏缩缩放任主义，能息事宁人绝不光明磊落，而且这招还挺好用。  我没上过其他大学，不知道苏大与其他学校比如何，反正我不觉得学校做得好。
现在的苏州大学宿舍条件如何？,独墅湖的宿舍很好 上床下桌 空调 独立卫浴 宿舍楼下还有24小时全家 很方便 大三来本部之后就看运气? 每年都在翻修宿舍 本七翻修完毕和东13这个暑假翻修
2018苏州大学通信工程专业考研情况？, 苏大的录取情况可以去看看报录比，这几年的都可以去看看！不知道哪里看的话可以去这里 苏州大学考研报录比_苏大研究生报录比_聚英考研网   ，对于难度如何就可以多方面去了解下，像分数线，考试科目，复习书等等都可以去了解下！对比下这几年分数状况和考试难度都了解下，苏大官网有真题可以去找下通信工程的，看看是否很难！ 
苏州大学优势专业？,苏大理科专业都很好，本人数学系，还是有很多大牛的，江苏考生比较青睐，有些高考发挥失常的就到苏大来了…
苏州大学未来有希望坐稳江苏省内第三的宝座吗？,你有何居心！故意黑我苏大！ 苏大怎么和东南比？！ 从汉子的整体颜值到汉子的整体海拔到汉子的整体智商！苏大基本都完败好嘛！  就让苏大安安静静地做一个苏州地头蛇就好啦。
苏州大学文正学院的苏婉婷有男朋友了没？,上图
苏州大学文正学院和浙江越秀外国语学院哪一个更好？,我是文正的，对本校谈谈感觉还行吧 住宿不错空气蛮好 不是上床下桌 但是宿舍还蛮敞亮 就是环境依山 夏天虫子太多 。。。  老师是苏大本部的 其实，老师没那么重要 重要的是自己  图书馆还不错 期末得抢位子   学校路挺差的 修了个新楼还蛮好 可惜没什么用处   然后这边挺偏的。。。。 恩 食堂 不说了 都这样吧 油水多 又不好吃。。。 凑合凑合
大学毕业想去苏州新东方学厨师，可行吗？, 这个问题我想我还是有点发言权的，我就是在新东方烹饪学校学习的，我报的是一年班，我们班有三个大学生，也是为了生活啊～；说实在的教的还不错，毕竟学费在哪摆着哪～但是也要分老师教，最好是上年纪的老师，社会经验比较多，懂得也多，食材和技术都比年轻老师知道的多；还有一个观点，有些人说在酒店当学徒比在学校好，要是自家亲戚开的店他会教你技术，要是和你非亲非故的基本还是拿你当打杂的时候多，其实去学校学是走的捷径，学到的菜品也多，各有各的好处：一个是花钱学东西，学的时间短，但学到的东西多。另一个是学的时间长，学到的东西不一定多，但是赚着钱。希望能帮到，望采纳！！！   
东南大学和苏州大学金融研究生，哪个就业实力更强？,我是苏大金融新生，学姐交个朋友吧 
苏州大学排名上升至全国第13位，超过人大、哈工大，你怎么看？, 在以往的一些大学排行榜中，印象中苏州大学的排名比较靠后，记得以前就知道校友会和武书连两个大学排行榜。  不好说这些排行榜哪个更专业，应该说排名的维度不一样。  今年听说比较多的是软科发布的 “中国最好大学” 排名。这个排行榜也和往年的两个排行榜区别比较大。在这份榜单中，除了苏州大学，对外经济贸易大学、中央财经大学、上海财经大学等也都在排名上比往年的两个榜单排名靠前很多。有兴趣的可以看一下：  
在苏州大学独墅湖校区就读是什么体验？,本人毕业两年，在独墅湖校区待了四年，偶尔看到这篇帖子，作为苏大学子，有义务把母校带给我的温暖和青春同学弟学妹们一起分享，希望我的回答能让你进一步了解苏大。 独墅湖生活：毕业两年多，除了回忆大学时光的那些感叹外，似乎没有这么认真的做下来将这些感受用文字表达。细想四年的大学生活，是无比幸福的。独墅湖校区坐落于独墅湖畔，校区周围有文星广场、邻里中心、月亮湾、邻瑞广场等吃饭、逛街、休闲的四方。周围都是高教区，整体氛围比较好，大多数都是学生群体。校区内的生活也是比较舒适的。首先，最重要的食堂：一期3个食堂，二期3个食堂。价格适中，样式也比较多，当然当时吃惯了也就不觉得那么好吃了，当离开后才会想念那里的饭菜。最有名的就是烤鸭泡饭了，每每要排很长的队，关于烤鸭泡饭有的是为它写的文章。超市门口有烧烤摊，那是我们经常深夜聚集的地方！水果店啊也特别火爆，样式很多，也卖一些煮玉米啊、肉粽啊，味道都很不错。一起有咖啡厅，可以约个小午茶时间。 住宿：不得不说，苏大独墅湖的住宿绝对是在中国这些大学中靠前的！（仅限独墅湖校区，其他校区是老区，条件比较落后）。24小时不断电、24小时随时可以刷卡进入宿舍。独立卫生间，热水器、空调。每间宿舍4人，研究生宿舍每间2人，男女楼区分开。里面的装修干净整洁。总之。。完美！ 学习环境：独墅湖坐落着一个超棒的图书馆：炳麟图书馆，呈莲花造型（虽然我们都叫它马桶），图书馆一层有咖啡厅，可以边喝茶边读书，地下一层是书库，想当年，在那里度过了好多日子，真是怀念。三层以上就是自习室和专业图书室了，里面很安静，很多人早早就去占座看书，几乎被考研大军占领了。 图书馆南边是公共教学楼，一部分公共课会在那里，到了晚上，就全部变成了自习教室。那里会有很多猫在自习室窗边晒太阳，那一刻，总感觉很美好。 苏大这几年在中国大学中的排名靠前了，11年是35名，16年就变成24名了，看到母校不断向前自身也很骄傲。 要说的还很多，对于我这个已经毕业两年的人来说，更多的是怀念了，我很庆幸我美好的青春在苏大度过。 如果还有其他细节的问题可以随时联系我哦，很开心能帮到你～祝高考顺利！
苏州大学心理学312真题？,我就想问南京大学，北京大学，浙江大学，厦门大学，武汉大学，都不如苏州大学？
苏州大学和南京师范大学哪个好考些？,这两个学校差不多的，都是211，地理位置都不错，不过你要考教学方向的话还是南师比较好点，竞争也差不多的，南师相对来说名气稍大，苏大的江苏省内也是很受欢迎的，考取难度差不多。至于就业江浙沪一块儿的这些差不多档次的学校也蛮好的，读南师或苏大怎么也比浙师强啊，要想再高点的建议可以考虑考虑华东师大。
报考苏州大学建筑系没美术基础的话会被退档吗？, 一般都是入学后加试的。  暑假里抽两周到一个月时间，去学学素描吧。 
怎么混进苏州大学？,只要不出于恶意，在门口稍远处找个同学能不能把自己带进去。。。
急求！！！苏州大学的本部宿舍具体情况，求回答，带图的最好！！！？,同新生。。。
苏州大学算是比较好的211吗？,说好，跟东南南理华东政法比，他只是个面向苏南的省属211。和双非比，他绝对很牛，体量庞大。但在那个不高不低的分数段中，又占据苏州这块高速发展，gdp是江苏各市总和的，仅此一家。
苏州大学新闻传播研究生分方向吗？, 苏州大学的新闻与传播（新传专硕）是分为（全日制）新闻学、传播学、 和不区分研究方向的；苏大的新闻传播学（新传学硕）是分为（全日制）新闻学、传播学的。 
苏州大学的贴吧为什么会删除言论？让某些渣男得道，算不算助纣为虐？,有渣男就有渣女，渣女多渣男少，有钱就是有个性，没钱就是渣男
山东大学和苏州大学 出国读研 比较 谢谢？,显然山大
苏州科技大学大一新生让带电脑吗?求各位学长解惑？,理论上不许带。。但是你带也没人管
想问下 苏州大学和常熟理工联合培养的研究生能不能去上？,能，文凭是苏大的。
现苏州大学大一，可以在大二或大三申请英国留学吗？, 谢谢邀请。  可以的。题主可以转学到英国大学，不过现在开始申请的话，基本是大三才能转过去，还涉及到学分的问题。你想转学申请英国大学的事情家里都同意吗？是申请什么专业？ 
苏州大学艺术学院研究生是否有插画相关的专业？,本科有插画专业 分在美术学。研究生没有的 
人民大学苏州校区宿舍上床下桌吗？,不是的，床是上下铺的那种，两张床在房间一侧，另一侧是连在一起的四张书桌。
苏州大学自主招生应该如何准备，和三大联盟的有何不同？,文科考语文数学，理科数学英语，总体很简单
法硕（非法学）西南财经大学 ，中南财经政法大学，苏州大学如何选择？, 建议在东南沿海+211高校中选择 
苏州大学就读体验？,新能源吗，知乎上有在苏州大学就读是怎样的体验的问答
南航计算机研究生和苏州大学计算机研究生，该选哪一个？, 如果是在这两个里面选的话，我个人倾向于南航。  无论是从知名度还是地理优势角度来讲，南航都更突出。而且落实到计算机专业，南航作为我们兄弟院校最近也确实日益成长。  南航计算机信息看下图（貌似年份已经比较老了）   计算机学科评估排名（仅供参考）：  
苏州大学会计专业硕士难考吗，学费高吗？,反正分数和实力的比差劲得很，如果不想在苏州和附近工作的话还是不要去了，学费招生公告上有，每年都说不定有变化。
加入苏州大学青年志愿者协会志愿者管理部是怎样的一种体验？,强行钓鱼，666666666666666666666666666666666  我就问问你们一个月钓鱼多少钱啊？钓鱼还钓到知乎来了，真是厉害啊！
怎样看待苏州大学排名迅速上升问题？,本来就被低估了，又有苏州优越的地理位置，本身又是211，排名上升是理所当然
广州美院／湖北美院／苏州大学考研真题在哪买？, 我是苏大新闻学专业的，当年我是在研途宝苏大考研网上买了复习精编，觉得书的效果都很不错，给大家推荐下，想了解苏大资料的可以这里去看看， 苏州大学考研资料购买|苏大考研资料免费下载|苏州大学研究生院|研途宝苏州大学考研资料网    
苏州大学文正学院和中国传媒南广学院那个比较好？,我只能告诉你，苏州文正学院位置比较偏嗯…
为什么苏州大学近年大学排名提升那么快？大家怎么看,目测此问题将要变成对我苏的一番批判(手动滑稽) 但我们苏大的学生不会表态的 因为我们知道一句中国的俗语.......
在苏州大学商学院大四单身是什么水平？,看完问题我这一脸懵逼，你可以想象是什么水平了……
如何评价苏州大学？,我更希望看到的是苏大慢慢孕育出自己的精神内涵，像复旦的自由而无用，北大的情怀，清华的实事求是，上交的务实，这才是一所大学最棒的吸引力。 养天地正气，法古今完人。
三本女生，本科学电子商务，想跨考会计学硕，没确定报考哪所大学，发现苏州大学挺喜欢，可是目前还没确定？,如果你本科是苏大附属三本还有一丝希望吧，因为据我了解苏大真的水太深
如何看待苏州大学在2017中国最好大学排名中排28位，超过了许多985高校？,谢谢邀请 首先你说的湖南大学 重庆大学 虽说不能概括全部 但是东部省份高校比中西部省份高校强已经是不争的事实 东部生源也强于西部 昨天看到个新闻 说东部高校因为经济实力与条件的优越 在挖西部高校教师资源 由此可见一斑 其次 苏大本来就不差 别的省不知道怎么样 在江苏省省内 录取分数线一直很高 艺考的可能低一些 但是也差不到哪儿去 所以 没有你说的那么惊讶  有个匿名的人说 去苏大的都是考不上南航南理工才去苏大的 你这素质也就告别大学吧 苏大学子就不需要尊严？我如果要学法 学医 难道让我报南航南理工？excuse me ？还说我们江苏省就是这样的！别闹 谁不是江苏省的 你糊弄谁呢？南航南理工 这名字看着就不综合啊 看看学校简介都是以工科见长 多学科共同发展   懂这意思么？
在苏州上大学是怎样的一种体验？,谢邀。 长话短说。 在苏州念到大二，几乎把苏州旅游景区、商业区步行街都转了一个遍，新鲜感的确多有流逝，但总体来说是个很美妙的城市。  虽然厌倦梅雨季、炎夏酷暑、寒冬湿冷，但不得不说，苏州的好处是能让人忍受这些的。苏州拥有美好的城市氛围，环境幽雅，湖山皆备，现在地铁出行也较之前方便了。  两个字，漂亮。苏州很漂亮，就像你不会抗拒一个美女一样。  经济较为发达，给人的体验是相当不错的。  作为大学生，花钱会比较多……  虽然逛街的地方吧，照我看来是少了，但是免费公园啦一大堆，带着学生证到处都是半价，假如偏爱国学经典啦戏曲工艺艺术等等，苏州是个好地方，苏州是个旧书店、工艺市场、戏曲欣赏集聚地。  许多苏州本地人，去外地念书的，都念着苏州好。许多出去旅游的，回来感慨，还得加一句，还是苏州好。  市民卡简直万能～  苏州园区也是相当棒的，金鸡湖一带非常漂亮，诚品书店比台湾本地的要漂亮，毕竟苏州地大...  大学生拥有社保看病之类都有报销，然而苏州的医疗在我看来不算好，花钱多，看病难。  大学期间就是到处闲逛，整个苏州都逛遍了，但还是愿意花上很多时间去湖边散步，会坐地铁很久去市区吃碗绿杨，就什么街都不逛，往园子里或者书店里坐一下午。  当然啦大学生就是这样没钱却闲，比如我曾经坐三个小时公交车去西山岛采枇杷.....有车有钱的另当别论啦。  在苏州念书还是很美滋滋的，假如生性乐观简直没有可以打倒的。只是这个城市雨季太多，容易影响情绪。  虽然我表示对苏州已经没有太多新鲜感了，但是我还是会想留在这里。
苏州大学临床医学在国内排名怎么样？,泻药，可以看一下12年的学科评估，全国20名左右。苏大医学部跟武大医学部差不多。在江苏省内排第二，比南医大略低一些。
苏州大学与上海大学比如何？,谢邀 这两个大学当年都差一点，嗯，就差那么几十分 不过在苏州和上海都长住过，相比较而言比较喜欢苏州 上海给人一种赶时间的样子，每个人每一班车每班地铁都显得忙忙碌碌 苏州给人一种田园的感觉，环境也好，家里就是因为上海压力太大去年移居苏州的，感觉整个人都放松了许多 大学专业之类的建议去贴吧问问吧，反正我是不太清楚这两个学校的专业之类的，只能从地域给你点建议了( *・ω・)✄╰ひ╯
本人无锡人，大学苏州，认识一个淮安妹子，求用统计学原理说明一下我们谈恋爱以及结婚的可能性？, 看到这个话题想到了我跟他  能在一起就好好在一起吧 真情可贵 
如何看待苏州大学学费暴涨一事？,我认为，学校所做的处理，无外乎澄清事实，摆出一些一般人没有兴趣看的数据，得出一个结论，叫做:我们的收费是合乎标准的。另一方面，让辅导员啦，学生代表啦，跳出来私聊同学，安抚同学之类的。         为什么会这样，因为这是情势所迫，不靠学费，20亿贷款怎么还上？学校通告说得好:谁也不是傻子，发出决定来等着人来骂，所以这个决定一定已经深思熟虑过，不会轻易更改。          学校新老校区住宿条件差距很大:独墅湖校区的住宿，设施都已达到全国先进水平，加上秀美的苏州风景。但是老校区，无论是住宿还是教学楼设备都很差。前段时间的苏大本6宿舍也说明这个问题。          学校的新区条件好，学校有敬文书院，唐文治书院是学霸集中营，学校大力支持学生出国留学，最高报销50%，学校没有补考，只有重修，学校奖学金有奖无金，一学分100（新学期要涨）           这一切实际上都是说明苏大太想发展，太快太急。急于扩建校区，急于培养尖子生，资金链上出了问题，也要先把钱投入到那些能快速见到效果的场合。我是苏大学生，不是新区，不是敬文，只是普普通通一个学生，面对学校的这一切不公正，我刚到学校时是失望且愤怒的，但随着时间的推移，我是心疼苏大的，这几年步子太大已经扯到跨了。两级分划这么严重，当然有了矛盾就会很快爆发。         但其实我觉得，最大的问题，出在教学上，可能中国普遍大学如此吧。但是我切实感觉到，考核标准越来越低，老师讲的差，完全不重视教学反馈，学生混日子，考前突击，文科、艺术系同学没有科学常识，理工科同学没有人文素养。         一直觉得，这才是学校真正的发展战略，而且根本用不了多少钱
苏州大学 研究生含金量高？,好像我认识的人去苏大都是为了苏州这座城市。  至于苏大怎么样，谁在乎呢？
苏州大学跨院转专业？,只要你不挂科，大一学年成绩排年级前20%，英语比较好，还是有机会申请转专业的。
在苏州大学读书四年的你，毕业前想对母校说些什么？有哪些遗憾？,谢邀，楼主……先吐槽一下这个贴吧时代的称谓。 and，宝宝今年才大二啊，宝宝还要上五年才能毕业啊！宝宝心里苦但是宝宝不说啊！ 成为苏大er两年，鄙人还是略有体会的。 1.医学生不是亲生的啊不是亲生的啊！看看我们的课表，看看我们的宿舍（我是说本部后庄），宝宝心里苦但是宝宝不说啊 2.讲真，说到学院校长，我不是骄傲，我的意思是在座的各位，都是渣渣。看看wuli思东哦吧，帅不帅！帅不帅！就问你帅不帅！海量美图，注意流量。      3.刨去苏大种种政策上的问题（这事关起家门自家人说，家丑不外扬）苏大是一个人文性浓烈的学校，和苏州绵软的气质很契合，不论是学校的老师还是学生，在苏大无论多匆忙总会留有一点闲适安逸的空间。 4.我相信不管经历多久，苏大的美依然会被我铭记，不夸张的说，我第一次去数科院楼的时候，一踏上木质地板我都快哭出来了，这尼玛就是宝宝追寻了18年最喜欢的房子啊！一股腐朽的陈旧的民国木质房子，好想穿着旗袍戴着鸽子蛋在大厅里搓麻将哦～ 以上，可能5年后再更新。
苏州大学学财政管理的学生可以申请敬文书院么？,可以....好好看要求，已经写的很详细了
苏州的大学旁开个内衣店，如何规划？,我也想开的，还在计划中，但是觉得定位很困难，毕竟学生在这方面的消费不好琢磨啊
苏州大学供应链管理（中外合办）的 出国回来工作待遇怎么样？,回来的待遇和你去哪和以什么身份出去没有半毛钱关系
江南大学和苏州大学相比哪一个更好一些呢？,1)知名度。苏州大学名气大过江南大学，从江苏省内分数可以看出，在江苏省一般是考不上苏州大学才来江南大学的。  2)大学排名。2015年中国校友会的大学排行榜苏州大学排名70名，江南大学没进前100。2014年武书连大学排行榜 苏州大学35名，江南大学47名。可以看出不论什么排名苏大完虐江大。  3)综合性:苏州大学博士点167个，江南大学博士点32个(数据来源:百度百科)，可见苏大名副其实的综合性大学。  4)优势专业:江南大学的生工、食品、设计很牛，但找工作方面生工食品没发现有什么太多优势，顶多就是来学校招聘时，好的食品企业多一点，关键招聘是不限专业的啊。  5)江南大学学生学术氛围不高，食堂比较棒。
18考研，考工业设计工程。问一下大神们苏州大学如何？, 初试考史论加快题哦，今年刚刚考过。你也可以打艺术学院研究生院的电话哦，值班老师都会耐心解答的 
山东科技大学和苏州科技大学哪个更好些？,自己查，要看排名
西南大学与苏州大学哪个更好？,当时高考填报志愿纠结了好久西南大学和苏大，最后选择了苏大。西南大学是什么情况我不是很了解，下面就说说苏大吧。 优势： 1、地域优势太明显，苏州的经济江苏省第一，机会多，眼界相对比较广。苏州这座城市的文化底蕴本身就比较有魅力 2、苏大某学理工科专业发展得很好，尤其是科研方面。省财政和国家财政投入的力度都比较可观。 3、纳米，纺织，医学都是几个比较炙手可热的专业。  劣势： 1、本科生的培养。就在读的本科生来说，苏大总体还是比较重科研的，好的老师不一定下来教学。但是其实这是全国高校普遍存在的问题。 2、除了本部东区以外的校区基本感受不到苏大百年名校的校园文化。 3、文科专业相对比较弱势。
