请问怎么看待南开大学津南校区浴室的设计理念？,拐    弯    那两个喷头的位置已然告诉我们一切~~~~
如何评价方舟子《南开大学能不能有点节操》与《再问南开大学能不能有点节操》两文？,昨天在QQ上被南开同学问到此事，前去关注了一下。才知道是方舟子新一波怼人开始了，只是不小心顺便怼到了学校，然而知乎上居然没有人抬抬，比较好奇，于是自己发表一下意见。 我个人认为，第一篇文章是没有什么大问题的，第二篇文章就纯属是和“校卫兵”干架了。这件事无非有两个结果，一个方舟子无罪，一个方舟子有罪，那么怎么判定呢？在于这个“徐荣详”到底是不是没有水平。而这也正是方舟子第一篇文章的重点所在。如果徐荣祥是个骗子，我认为方舟子无罪，南开大学接受了骗子的儿子的捐款建了一个生命研究中心，对一个名校而言的的确确是一件没有面子的事情。怎么说？南开大学可以接受捐款，没有任何问题。既然南开敢接，那他也要自己准备好被骂。博尔赫斯赶去智利会见皮诺切特将军，并接受了贝尔纳多·奥希金斯十字大勋章，结果被南美骂得狗头淋血，据说因此五元诺贝尔奖，同一个道理。          中国高校干这种事情也不是一次两次了，前有蛤交“凯原法学院”，后有大清“罗斯柴尔德继承人”。中国高校始终剑走偏锋，干着刀尖舔血的买卖。你开也不需要太沮丧，毕竟大环境如此。顺便想起前几天某省长把“滇”念成“镇”的老梗。只能说高校负责人对于捐款审查还是不够严密，自己了解真不清楚。近几年来中国高校良性发展，社会捐款占高校收入的比例逐渐增大，这是好事情，但也不应该什么钱都收吧。希望还是能够脚踏实地，别被太多虫蝇趁虚而入。          2010年9月10日，美国廖凯原基金会主席、美国国际软件屋公司创办人和主席、美籍华裔廖凯原与清华大学签订协议，为推动清华大学法学学科的发展捐资一亿元人民币。捐赠仪式在工字厅东厅会议室举行。廖凯原、校长 顾秉林   、 清华大学教育基金会   理事长 贺美英   共同签署捐赠协议。副校长 袁驷   主持捐赠仪式。         2011年4月22日上午，在喜迎百年校庆的欢乐气氛中，清华大学法学院法律图书馆——廖凯原楼在清华大学奠基。         清华大学官方网站此前报道说，2月1日校长会见来访的罗斯柴尔德家族继承人之一、罗斯柴尔德家族英国资产主要管理人奥利弗·罗斯柴尔德（Oliver Rothschild）一行。同文介绍说，奥利弗是国际金融投资家、企业战略家，同时也是国际慈善家，曾任联合国儿童基金会、英国红十字会等十多家公益基金会和慈善组织机构负责人。曾于2013年、2014年多次到访中国，出席由中国国际技术转移中心、亚洲产业科技创新联盟主办的国际金融与产业科技创新合作座谈会等活动。         当然，如果方舟子的“批评对象”徐荣祥先生是真的有水平，是大实诚人。那方先生就只能像几年前怼韩寒一样碰壁了，再加上南开法学之强，非让方先生长记性为止。方先生打假之路大家也都看在眼里，七功三过不过分。关于徐荣祥的身份真假问题，还是需要生物方向的同学多做调查，如果我有了什么新消息，会更新出来与大家分享。         提前说一点：要是有人告诉我：“徐荣祥就算是骗子，他捐钱给南开，南开收起来用于科学研究和他无关！没必要替他背负骂名！”那我就不同意了：骗子骗来的钱要捐给南开，南开和他无关？要是南开能一脸严肃的收钱，不办仪式不做新闻，最好钱收完之后还凌厉的说一句：“我不认可徐荣祥先生的人品！但是我有收钱的权利！”那我还是爱南开的。有一句话叫什么牌坊来着？在这件事上我个人倾向于方舟子，只因为：  徐荣祥状告负责评选和颁发 诺贝尔   生理学或医学奖的瑞典 卡罗林斯卡学院   诺贝尔委员会及50名委员，该诉讼于当地时间2012年12月3日下午在美国加州高等法院立案。          补上凯源先生的“轩辕反熵运行体系2.0”。图侵删。  
高考志愿 武汉大学与南开大学的比较选择？,成都人 南开在读 对武大不了解 但是妹子还是去武汉吧 天津不适合四川人…而且南开学生的质量真的真的真的没有想象当中那么高 近几年一直在吃老本 不如武大明显的上升趋势 反正我来了是很后悔的 
天津大学南开大学搬新校区后老校区的具体用途是什么?,我是南开的在校生，曾经去过新校区，也听过学校的规划。 2015年搬迁的是没有大楼的学院，这些学院都会在新校区有自己的大楼。 学校在座谈会，或者说是规划的时候说是津南，泰达，八里台联动发展。诸如此类。不过其实也是暂时的。 如果题主是南开的，可以去二主楼看沙盘。 新学活以东的二期工程是为了没有搬迁的商学院，文学院，化学院等学院准备的，也就是我们学校会整体搬走。 和我的辅导员关系比较好，私底下讨论，说八里台将成为偏向研究的部分。具体怎么安排，还有待讨论。 个人觉得这是部署大学和地方的博弈。天津市对于南开天大地盘的开发之心，已经是司马昭之心了。不过对于南开整体发展而言，依旧是利大于弊。 但我个人觉得，南开根基在八里台，八里台必须存在，否则海内外弟子回校以何处怀缅旧时光？
如何像南开大学校长龚克一样优秀？,首先，要学会在小宿舍做出大文章。其次，需要会一道道龚能素质测评。此外，读书一定要不以就业为最终目的。最后，无论在南开还是在天大，都要把自己当成清华人。
南开大学的GAY们生活状态如何？,这是我在学校某个地方blued的定位——可以去猜是哪个位置  二主 西区公寓 一主 新图书馆 老图书馆 21宿舍  有一瞬间我会觉得学校的男同学都是gay的错觉感。        
南开大学工商管理类专业在全国怎么样？,工商管理还是很不具体的一个概念，财务、人力、会计、营销等各有不同，含混地问工商管理类没有意义（就像大学排名本身就没有意义一样）。
南开大学金融工程研究生考试需要注意的地方？,注意事项是初试成绩一定要高，复试也要拼尽全力。毕竟竞争太激烈。专业课之前只考宏微观经济学，据说现在加计量了。具体的可以去官网查询。
南开大学找女朋友是怎样一番体验？,写了好多，又删了，这是一个悲伤的故事  就是她接受了别人的暧昧追求，还觉得自己没错，这是她的权利。  我首先把我恋爱里做的不对的拿出来道歉，不管怎么样，我肯定有不完美的地方。我说最后了，你认个错吧，就当是一个补偿，这个要求不过分吧。结果就是一句对不起，面对其他的质问都是沉默再沉默。还一副很傲娇的立牌坊的模样。（就是那种理所当然的优越感和我有资本做我想做的，其他人等等再考虑吧）OK，那就散吧。真的是我狠心散了。我不想让我觉得还有机会。这是原则  没什么不一样，就是以后的毕业证和别人不一样而已。都是人，都是女人，这个女友是什么样的由她本身决定的，不是由她学校决定的
加入南开大学经济学院学生会是一种怎样的体验？, 谢邀。  作为一名与学生会“纠缠”了多年的大三主席，以下是我的看法。   就像是一段旅程的开始。    你会遇到许许多多有趣的朋友。 每一个朋友都身有所长内心丰富，他们与你志同道合、他们与你患难与共。你们将会一起筹办活动，体验着从策划——现场的全过程；你会学到很多新的技能，修图写稿都能信手拈来；你们将会一起轰趴K歌，大学生活不再孤独。   你会举办丰富有趣的活动。 无论你是大一的干事、大二的中层、大三的主席，学生会的生活都是忙碌的，也是自由的。戏剧节、舞会、知识竞赛、辩论赛、院长杯比赛......每一个下半年学生会的活动档期都会排满。而每一个上半年都是留给学生会人自由发展的天地，优秀的伙伴、出色的团队，让你的每一个灵感都能成为现实。   你会感受到服务的力量。 学生会是为了服务师生而存在的组织。日常中收集学生意见，联系师生情谊；举办冬日暖温情活动，捐献爱心物资；参加股权大会，撰写提案切实改善生活条件；甚至只是新生群里的答疑，军训场的西瓜。你会收获到笑脸、也会付出汗水。你不再是经院光环的使用者，你是守护者、甚至是缔造者。  总之，我在这里等你。  以上 
参加南开大学哲学夏令营是怎样的体验？,轻轻松松过的体验。（老师都很欢迎同学们，真的会给你很多帮助！希望参加的同学也有点自我进取的精神）毕竟学哲学因为生活太安逸一不小心就堕落了。再说一遍，不支持生活条件不好的学哲学，不支持全身心想要折腾的人学哲学，天天在外宣扬什么人生哲学，把好好的学术风气带得乱七八糟）。没有任何指向，但是应该会有人明白我指什么。
如何看待南开大学公共数学课讲义错误频出？,根据和各种出物理书、数学书的教授交流……书里的错误特别是符号错误。。。主要是编辑和校对的锅。。。中国出版业就这水平而已，不能要求更多。。。十x五规划教材之类的也是这种情况
高考志愿填报安徽文科217名，武大还是南开？综合类大学还是专业类大学？,哈哈哈，贵开学子改回答、删不利评论的水平简直无人能及啊。有胆量把自己原始版本的评论留下吗？有意思也是［手动斜眼］ ——————————————————————————— 点名  @Lawrence Wang  1、这位南开同学开始就对武大加以谩骂和嘲讽来凸显贵开的优秀，被指出后删除自己的辱骂性语言； 2、该同学删除评论中对南开不利的评论，虽然这些评论都是客观真实的；还有就是，据一位上财的同学@ Harris 反映，这位上财的同学点评了一下南开，结果被这位南开的同学追着骂。大家难道想和这种南开的同学做同学吗？ 3、该同学将自己对武大的辱骂性语言删除后，改说南开生源质量高武大1-1.5档，关于这点，我表示并不同意。基于以下3点：      （1）文科，南开在大多数省份的投档线低于武大；      （2）理科，即使南开分数高，也不会高的很多，并不能形成明显的差距；      （3）南开每年招生不到4000人，武大每年招生近8000人，我想，真正要对比生源质量应该拿进武大的前4000名来跟南开对比才合适吧；并且，在现在武大招生人数近南开2倍的情况下，大多数的省份文科投档线高于南开，理科也与南开差距并不大；我想谁的生源优劣，大家可以想清楚吧？说实话，高考分数差距十几分的同学之间实力往往没有什么差距，非清北的学校差距也不是很大，关键是自己在大学如何学习。我想，读完大学的同学都会有这种体会吧。 4、该同学还列举了最容易出国的十所学校，但是并未给出来源和具体数据。我想，出国情况最有说服力的还是教育部，教育部教育涉外监管信息网据显示，国内出国留学最多的十所大学分别是：浙大、武大、中山、北大、同济、复旦、上交、清华、人大、南大，并没有南开，具体数据可见教育部教育涉外监管信息网育，想省事也可查看： 教育部:出国留学人数最多的10所中国大学!-搜狐    5、关于该同学给出的新生质量排名，这个排名取自最好大学排行榜，这个排行榜的发布机构的介绍见：  高考志愿填报安徽文科217名，武大还是南开？综合类大学还是专业类大学？ - 匿名用户的回答 ，看完这个我想大家能知道是怎么回事了。  上面是我对该同学言论的反驳，下面我们来分析一下@ @Lawrence Wang  这位同学： 1、该同学出口便是侮辱性的话语，可见其并不是一个懂礼貌的好同学；追着骂人说明其不仅仅是不懂礼貌，更易怒，情商低。我猜这是一名南开的低年级学生，要是南开高年级学生还这个样子的话，那我真的得对贵开刮目相看了； 2、他的回答充满着偏见，字里行间看不起其他的学校，说明该同学心气过高，只可惜实力配不上心气，只能搞得自己白白受气；总想通过证明南开是多么的优秀，以此来证明自己优秀，可见在他在现实的学习生活中并不优秀，并且缺少自信。 3、他所说的内容，缺少恰当的数据支撑，更谈不上数据权威的信息来源支撑，然而他却想拿这些东西来当作论据，可见其分析判断、论证的能力一般，没有经过科学的培训，根本都不知如何写让人信服的东西，更不用说写paper了。  上面说了这么一些，其实，这些都不是重点，重点是我更想问一下@ @Lawrence Wang  这位同学： 你真的是南开学生吗？确定不是来黑南开的？？？ 
南开大学水污染情况是怎样造成的，该如何治理？,小引河以前是活水，现在是死水 设施老化 人工清理太少 天津的水质本身就完蛋
南开大学的英语系是全英教学吗？,不是。楼上两位别乱说。 外教全英，因为不会说中文，中教要用中文解释一些事情，比如发音，告诉你舌头放在哪儿，牙齿放在哪儿，这种时候怎么可能说英文。 最简单的，老师上课有时还走神聊天呢，“二主楼那那么多人什么事？” 这时候怎么可能用英文说？
请问南开大学自主招生经济学类的笔试数学是什么难度？,不好意思，我是法学专业，不考数学，没办法很好的回答你的问题。
本科南开大学国际政治专业，现大三，因为感觉本专业核心竞争力不强，想跨专业考研，请问我该怎么决定？,上本科的时候觉得，选了专业就等于选了一生的事业。 毕业了才知道，据统计京津地区本科毕业生60%没有从事自己大学所学的专业相关工作。 题主可以试着考一下外交部（玩笑），企业就业，除非是专业性强的岗位，其它（对本科生）没什么差别的，当然外语好求职有很大加分。 经济金融就提一句，在国内你的上限基本取决于你的背景。
请问天津大学或者南开大学的同学是怎么看待你们旁边的天津中医药大学的？,南开文科女一枚 ―――――――――――――――――――背景： 大一时在郁闷中度过……自怨自艾自己专业实用性不强，将来没有一技之长难找工作； 刚来天津水土不服一年时间几乎大半都在生病，校医院无效、小诊所无效、一中心去不起（来自较贫困地区，天津的医疗成本着实把我吓到了……）、每天被病折磨着…… 后来误打误撞，在中医药大学贴吧发了一个求助贴，下边很多同学回复推荐保康医院，于是我就跟保康医院，跟中医药大学结缘啦。  大一一年去了中医药大学无数次。北院进门的小路，我常常取完药坐在路边，羡慕地看着来来往往的妹子们，羡慕她们是学医的，有一技之长； 被一位老师减免过治疗费； 医院里跟着老师见习的同学们都很和气； 保康医院的费用真的好便宜； 中医药大学的风格古朴内敛，让人觉得这样的学校培养出的人也是让人放心的吧。  后来身体渐好、也认识到自己的专业跟医学比起来并不是那么没用，很少去中医药大学了。但是如果提到天津的高校，我第一反应就是天大，南开，中医药这三所。 谢谢这所大学~帮助我走过最困难的一年
如何看待南开大学“一人砸刷卡器，全楼禁用洗衣机”？,保甲连坐制度的进阶版而已  利益相关：工大屌丝
在南开大学历史学院学习是一种怎样的体验？,我的经历就是在一个三线城市，到了12年夏的时候，我在想我估计也快报志愿了，我想我应该去学学历史（高中文综强项），于是我就找市博物馆曹主任，跟她聊聊学历史和文博的出路。 曹主任说我还too young，too simple，sometimes naive，不要见得风就是雨，看了书和杂志，我们自己也要判断。她是身经百战了，见得多了，省里哪个博物馆她没去过？她做为长者有必要教我一些人生的经验。中国有句古话闷声发大财一句话不说是最好的，她说这专业没出路，我又不高兴，她怎么办？她替我着急啊。当然我自己的决定权也是很重要的。 我提高了自己的姿势水平，报志愿时文史哲一律不报！我觉得这是很重要的，这个对我以后的收入多少有很大的关系。 人呐就都不知道，自己也不可以预料，一个人的命运啊当然要靠自我奋斗，但也要考虑到历史的行程。我绝对不知道，我按照经管法贸政社顺序报的专业怎么把我调剂到历史学院去了。所以，老师家长同我讲话，说南开都录取了，你去读博物馆学，我说换个专业吧，实在也不是装哔…我一个没报这个专业的学生怎么就被调剂了？但是老师讲，南开通知书已经决定了。后来我就念了两句诗，叫“黄金榜上，偶失龙头望“。所以我就来了历史学院。 到了史院我学了这三四年也没干什么别的，大概三件事，第一个是想转专业没转出去，第二个是想双修没申请上，第三个就是准备考研现在心里也没底。 让我学历史，其实我一开始是拒绝的。不能让我学我就去学，学完了出来找工作别人说你学的东西都没有用，是空洞的，进入社会就碰壁duang~大一时候对专业课好抵触，重建三观太痛苦了，大二又太自信了，觉得自己看看书什么都会，中二病犯了好几年，老是在想学历史为了什么，学这个以后干什么，把这些有的没的想了一通后觉得自己还是有点喜欢这个专业的，还是往上念吧。但这时候已经大三了，发现大学生活快结束了自己也没有保研。  念了三四年，一套学科体系接受下来，觉得确实学到了好多东西，上了许多好课，认识了许多好老师，从中领悟了些许历史智慧，有了点点历史情怀。我们学历史，并不能直接拿去改变自然、改变社会，但可以改变我们自己。这个社会向前发展，但遗留下来的东西总要有人去清理、去发现、去记录，我们研究历史的人就是在这方面做一些微小的工作。如果我们人类连我们这个物种过去几百年几千年的历史都不能明了，又如何展望未来呢？扯个远的，程心如果像罗辑一般了解历史，怎么会把人类领向灭亡呢？言归正传，这些年我还结识了不少同学，他们虽不全是学霸学神，也未必愿意以后继续研究历史，但都是有自己理想并愿意为之去行动的人，这说明史院的氛围总体是好的嘛。我自己也是逐渐的接受了这门学科，喜欢上了这门学科，当然我以后可能会选择做些务实的事，但这显然需要我去念个研究生。这就是我的体验吧 。 总有人给南开泼脏水，给史院泼脏水，给历史学科泼脏水。学历史以后深造难、就业难、出成果难，我们有思想准备。年轻人就是要豪迈，惟真惟新，求通致用！
上海交通大学大学法律硕士和南开大学金融硕士哪个更有竞争力？,学法律的也可以成为金融市场的一份子是必然的，不少优秀的法律专业都可以去做风控和合规。但是题主的比较方法不是很理解，如果考虑日后的实习，且希望留在上海，交大无疑是最优选择，前提是你能上。南开的性价比很高，也许是由于自身地域影响所以相比发展放缓，但是如果是要进入金融业，基本的金融知识必不可少，考个CFA有时候可能比金融硕还顶用。
作为南京人，你为啥去了南开大学？不选南京大学？,我一直想上大学去个有海的城市 所以选了“渤海之滨，白河之津” 去了之后发现离海还有好几十公里…  差不多就是这样哈哈哈。  但是去那里很好， 现在的人生都是因为这个决定。 去南开太棒了。  还有就是关于楼下的诸君觉得是高考分数上不了南京大学 这是一个想当然的答案，不过对我来说其实不是这样 原因有二： 1.我是保送生。 2.人们常常会擅自认定A好于B，并且在另一个人选择B的时候武断地认为他只是无法选择A，而不是以自己意志选择了B。这个叫做评价体系一元化，他们可能并不能理解对于有些17岁的小孩来说，“那个城市有海”是一件比“这所学校全国第三”更有魅力的事情。这完全可以理解，可以原谅，就是有点没趣。  我们很难和评价体系一元化的人解释自己违反这一体系的一些决定，也没有必要。 毕竟是我的人生嘛。
在南开大学住宿是什么体验？,前几天校庆日，女票跟我说，一个大妈走在她们的宿舍里，说道：“好几十年了啊，一点都没变啊！”
为什么南开大学有很多人愿意在知乎黑本校？,这些匿名用户都是在校学生吧 你们匿名有个卵用 南开信息办能轻轻松松联系到任何网站网管 再查到你发帖的ip地址 再查到你上网用的学号 再找到你本人 再约你来学工部喝茶 不要问我怎么知道 我在校的时候就被这么约过  Too simple， naive!  引用我本科时一位老师说过的话 “趁南开这几年名气还在 赶紧出国深造 以后有出息了回国多多帮助南开”  上面这段话是几年前说的 现在不知道南开名气还在不在了 不过出国后靠着南开血统的确认识了很多牛人 得到很多帮助 不过他们大都是重庆/天津南开中学的  补充一句 信息办连你们平时上什么网站都一清二楚 所以翻墙或者上黄网的 好自为之 还是用移动硬盘寝室间传阅比较好
考研选择南开大学国际商务还是新闻专业？,谢邀，非国商非新闻硕士，经济学学硕一枚。对新闻不太了解，对国商稍微了解一些，其实是不敢答题的，怕说的不对误导题主，但本着南开人热心的传统，还是就我知道的说一下，题主辩证看待。 国商在经济学院，就业还是不错的，有许多进券商的，在南开也算就业很好的一批硕士了，钱途不错，难度的话，不知道新闻怎么样，但感觉现在信息已经比较充分了，越好的专业越难考取。 个人感觉国商和其它经济类的硕士差别也没有太大，经济学类感觉还是比较浮躁，好多学生刚上研究生第一学期就出去实习了，在学校待不了太长时间，专硕又比学硕严重一点，但也木办法，都是为了就业。也有一些执着于学术的学霸，令人敬佩。 最后，加油！ 匿了
人人网红南开大学的李殿武还活着吗？, (´･ω･`)原文如下:   2015年我在人人网解释甲氟磷酸异丙脂的毒性时，有人把李殿武当做化工高手请到我的主页让他驳斥我  。    然后李殿武居高临下的驳斥我，他说沙林毒性很弱，洒在林地里十来分钟就能过人。我忘了他就是当初领着一群小学生在化学吧政变的贴吧ID卖试剂的铊了，毕竟是好几年前的事情了。    我以为被人请来的这个“化工高手”不懂化学，一张嘴全是没学过化学的胡话。我就指明他没谈环境风速温度日照等因素，指出了他没谈具体洒出的剂量也没谈撒在什么上就谈毒性，还举大量例子和数据反驳他。    然后李殿武用他那[李殿武.mkv]的人人网账号居高临下的驳斥我，说我说这些数据都没用，然后竟然骂我是“数据帝”.【他居然认为数据帝是骂人。。】我当时无比震惊，竟然见到一位靠第六感做实验还没死的奇人。。。。    【谢大佬提醒时间描述错误，已经将“去年”字样更正成“2015年”】   然后李殿武张口就说了如下三句话：  “我们南开农科院都不敢那么说！”  “我化学本事有多高。你搜搜我的名字你就知道了！”  “我炼金水平谁不知道？你知不知道中央台都采访过我？”  我当时立马就认出来了，开口三句话不离“南开”“”炼金术“”化学本事高”，这不就是当年炸了化吧的那个南开的小学生卖试剂的铊么？  我打这篇文章的时候2015年12月   直到2015年11月李殿武事发被警察带走失踪，我那时居然还能看到很多给李殿武洗地的化学文盲，我深感震惊。就算到了2017年的现在，依然有大量化学文盲在给李殿武洗地。    每次看见这种还不知道发生了什么就要先扑上去给人洗地的人，我都会笑出声来。   居然有人认为李殿武发明了硫脲炼金【正统的称呼是硫脲提金法】，还说李殿武不行是因为没有把这炼金术写成论文。  卧槽我听了这句话真想把说这话的人打成猪头。  首先我们看李殿武出名的这个炼金术，即硫脲炼金术。李殿武自称这硫脲炼金术是他发明的，这是在大放厥词。硫脲浸出法是从有色金属的二次物料当中回收黄金， 硫脲提金早在1941在年就出现了 ，由前苏联的普拉克辛等人提出，以危险和超高成本著称。  七十年代中期格罗恩对酸性硫脲深入研究，解释了硫脲提金的整个过程。同时期普拉克辛等人开始致力于硫脲法的洋垃圾炼金回收以满足前苏联的军工需求。 八十年代我国章健民等人进行了大量研究工作，至今已经近四十年。七十年代的矿石提金率已经达到了百分之95，贵金属回收率已经高达百分之95.8。 也就是说李殿武本身就不是在研究，更别说什么实验成本，他只是拿出一种几十年前别人就用烂的提金法提了个金，还提的特别特别烂。有多烂我下面也用数据解释了。。。  他搞其他化学研究不知道硫脲炼金也许他还能自圆其说。但是他搞硫脲炼金居然不知道几十年前就有人完爆他了。。。李殿武这个化学水平也就是初中的样子了。而且硫脲炼金术已经在高中新课本和课外读物上有出现。  更可笑的是!!!，他的炼金术居然还不如四十年前前苏联研究的废旧金属回收的提金率高。。。。。  提金术最重要的就是提金率。什么意思呢？就是一个矿石或者废品里含有多少量黄金，而我能提出这些量黄金的多少出来。  而李殿武反复晒他提炼的金的纯度，这本身就是说明他是化学文盲，当然也可能是为了掩盖他那比初中生还低提金率。  假设一吨废品里含1000克金，而李殿武消耗了这吨废品，然后提炼出1克百分之99.9999的高纯黄金。。。这说明李殿武炼金水平高么？恰恰相反啊，说明他浪费了999克，炼金术烂的不能更烂了。  更好笑的是，他提金居然完全入不敷出。而且他自己的行为就是在拿南开的资源炼成钱满足他自己的腰包。 不相信？我们来看看李殿武炼金的详细数据，一部分李殿武自己提供的。另一部分是南开大学实验室方面未告知李殿武，而直接对省报记者报了李殿武炼金数据的老底。  你们可以自己找报纸刊物新闻看，我所有的资料都是南开和他本人提供的。   首先是成本:五个CPU一个五块=25元 我看了李殿武马弗炉是SX_5/10-12规格实验室专用马弗炉。 首先马弗炉功率换算一小时1.6的电钱《不信自己算》燃烧四小时=6.4元 李殿武用的这个马弗炉是sx型号里有名的烂马弗炉，燃烧四小时1100度炉体耐久损耗=10元以上《不信的人自己搜这款马弗炉，看看该牌马弗炉出厂后使用寿命是多少小时》  实验化材成本:稀硫酸0.3，双氧水和水可忽略不计，硫脲差不多0.01，高粉活性炭1.2元【当然他也可能用的普通货色】，硼酸1元。总共可能用了1.11元到2.31元之间。取高概率2.31元。【按当年南开收购的价格计算】 实验中出现的烧杯等等实验耗材不算。《大约价值近四十圆》   人工费不算《算上就更可怜了》。  唯一成功炼出金的这次实验的成本是25+6.4+10+2.31即至少43.71元。  李殿武此次炼金从五块cpu里炼出黄金共计0.065克。按照他那年炼金时的金价每克280元，计算得到0.065克金价值18.2元。   当然只有0.065g的金，金店大概都不会收。就算收了，也是按照远低于黄金市价的价格收，不然金店就不赚钱了。  能卖出去卖八块钱都算烧高香。更可能被人从金店里赶出来。    43.71-18.2=25.51元。即李殿武唯一一次成功的实验至少赔钱了25.51元。连五块cpu的本钱都没摸回来。    而在李殿武这次成功的实验之前，他在新闻上声称已经失败了几十次。有记者采访南开李殿武那个实验室从他老师那里确定了李殿武失败了23次。23*43.71+25.51=1030.84元。即李殿武不算人工费和实验室耗材损耗，他炼了市价18.2元的黄金，花了至少1030.84元，实际上可能花的更多。然而李殿武自称炼出价值四十到六十元的金，真是满嘴是翔。。。吹的草原上牛满天飞。   硫脲提金属于高中知识，但是步骤简单小学生都能炼出来。要是谁不信大可以找那些专业炼洋垃圾的人咨询一下。  李殿武用几十年前别人的炼金术连续24次提金才提出一次金。。。提金率毫无疑问是低于初中水平。。。真是”高水平高技术“。。。我都不知道该怎么形容。。。 提金率是多少呢？他自称金纯度99.99。。既提供没单子也没照片。。。好吧虽然没证据就算他提出的金纯度是99.99的金，但是金的纯度和提金率有鸟毛的关系？  就和我刚才说的，一吨废品假如含1000g金，李殿武浪费完这一吨废品炼出1g纯度高达百分之99.999的金，这能说明他炼金水平高？这只能他浪费了999克金。。。  提出来的金的纯度和炼金半点关系都没有啊！这不是转移话题么？  记者问李殿武炼金术的提金率，李殿武则十分十分业余的告诉记者黄金的纯度。我当时看到这里就察觉到不对劲，然后我就找到了李殿武炼金用的几款芯片的含金量一换算，当场就笑出声来。  李殿武为什么决口不提回收率呢？486cpu含金最少也有0.030【最高0.1】。586最少含金也有0.019【最高0.11】。直板的金手指0.010。金含量和品相也就是磨损程度和老旧程度有关。  咨询了一些提金老手，某些常用提金的cpu里面品相完好的含金量一块可以高达0.8克。  李殿武炼金用了两块486两块586一块直板，总含金量最少0.108克【最高0.202】。而他仅仅提炼出0.065克。   也就是说李殿武炼金术的回收率  最高  也仅仅只有百分之六十 ，远远低于我国八十年代的硫脲提金的95收率，更低于四十六年前前苏联硫脲提金百分之85的收率。这还是往高里说，往低里说那可能只提出来二十分之一。。。。。。。  也就说李殿武花了挥霍了南开一千多块的资源，做出的实验成绩不如四十六年前前苏联的硫脲提金。而且炼出来的金他自己塞在他自己腰包里。他偷南开的资源不要紧，满足他自己的私欲不要紧，但李殿武居然自认为发现了前所未有的炼金方法，还骄傲起来，这就蠢到恐怖了。  李殿武到现在三句话不离他的炼金术上，逢人必提。  后来就发生一开始我说的那件事。李殿武跑到我人人网主页装b，让我一眼认出来是当年带领一串小学生炸了化吧的百度id卖试剂的铊。  后来被我拉黑，过了几个月然后e组“保”事发，铊就被警察带走了。  得等到2017年中下旬，e组“保”的事情法院才会慢慢审理完。铊乙烷是肯定的了，档案肯定嗝屁了。   【睡前吐槽一句，不愧是大天朝，人就是多，发生什么事都有可能。。。。。。。。。铊这种人都有人跪舔，那仪仗队齐全到就差打出“李铊老仙，法力无边，化功盖世，法驾中原”的口号了。就连被抓进班房跪搓衣板时人人网上都有人给他洗地吹捧，简直是星宿派门人。  不过我认为铊老仙的仙法不叫“化功大法”，而是“话功大法”。化功大法最多毒死几个牛把牛腐蚀成一滩脓水，而铊仙的“话功大法”一开口就把大草原上所有的野牛全部刮上天了，就连炼金提炼的历史都被他吹歪了。。。说实话，如果不是中央台采访的太快了，早就有提金行业的教授研究员气急败坏的跳出来向媒体指正揭露了。这是我亲口去问的。  可惜中央台采访了，紧接着还有一大堆省级媒体吹捧，如果这个时候跳出来指正，岂不是说中央台地方台全是连百度搜一下“硫脲提金”都懒得搜的无知化学文盲？？？所以大家都装作没看见。说实话，如果不是李殿武跑到我人人主页上装b后又多次私下在人人网骂我被我和我徒弟截图发现，我才懒得揭露这个大傻俾。  他品德不怎么样，技术还差，骂我还多次被我撞见了，我就得报复。于是我就把他真正的老底揭了。而且看到有人问他我就会揭露一次。】    (´･ω･`)(´･ω･`)(´･ω･`)(´･ω･`)(´･ω･`)(´･ω･`)留言如下:  【给铊洗地的先看看评论里认识他的人都看他干过什么事再洗也不迟。。。别洗完了才发现导致沉默不语。。。】   看到有回复的人居然认为李殿武这是在做实验，认为李殿武用南开的资源的实验损耗属于前期投入。。。。。。 说如果把李殿武实验的投入产出来说明效益是不合适的。。。大佬你告诉我李殿武是在做实验？那么您老理不理解什么是做实验？什么是提金实验？提金实验都有什么详细的步骤？你这质疑的我烤地瓜都拿不稳了。。。    好吧，就算你说他是在做提金实验，那么你告诉我他在研究什么？做的什么类型什么方向的提金实验？    你见过提金实验什么数据也没搜集，什么新提金剂也没使用，也没做学术论证探讨实验的合理性和具体研究方向，而是用了四十年前就被人淘汰的烂提金法像高中生一样提了一遍金，提金完了丝毫不提及他的提金收率，反而晒他提出来那0.065g金的纯度高。。。4个cpu一个主板哪怕都是一成新，卧槽至少也含有约0.11克的金。。。九成新最高含金量五块甚至高达0.8克金，他就提炼出0.065g，还不肯谈提金的收率也不做实验总结！！！这个提金的过程一点都没有实验研究的行为，你们告诉我他这是在搞研究？    20170330 20：31任航留    我从未见过如此厚颜无耻之铊！    20170330 20：38任航留   
