上海外国语大学自主招生流程？,初审 通过之后在6月笔试及面试
上海外国语大学与北京外国语大学相比怎样?, 先解释一下，上外本地学生差不多占30%~40%不到。其实也没有很多。可能一个班20来人中会有四五个是上海的，其他同学也是来自祖国各地，一开始各地口音的普通话都能听得到，班上有时候会有外国同学来插班。 上外语言类学费是5000一年，非语言类也是5000，楼上说的贵应该是在前些年，学费是10000一年，现在改回来了。北外语言类貌似我那年看的时候是6000一年，非外语类是5000.这一点不是很确定，记不太清。所以也不存在上外比较贵的说法。  住宿方面 上外是今年收回了大学城公寓的产权，四人间，暑假正在装空调，所以九月份开学的学弟学妹就会有空调了。 寝室里wifi全覆盖，不限时长流量。（我一直以为全国各地高校的校园wifi都是这样的，后来知道很多大学都是要按流量，或者小时付费的。但是学校的shisufree、是对娱乐网点有些限制的，比如不能看直播，这个时候就需要登陆学校shisuwireless，速度非常快，按分钟计算，也挺便宜的）还有就是学校的wifi覆盖度比较高，走在路上，躺在草坪上，在操场上跑步，在情人坡晒太阳，wifi都不会断，所以在学校根本不需要流量套餐。 晚上没有宵禁，毕业前跟基友在学校喝酒喝到了很晚，出来时候遇上巡逻的保安大叔，大叔闻着酒味问我们是不是马上毕业了，只是叮嘱我们赶紧回去洗个澡睡觉，也没有骂我们或者怎么样。 北外寝室貌似人比较多一点，但是也便宜，七八百的样子。上外是1200。 上外食堂其实我觉得还行，刚开学的时候觉得还蛮好吃，后来就麻木了。 北外食堂也还行，跟上外一样，挺贵的。所以要想吃好吃的大学食堂，请再加把劲，考清华吧。  四年下来，跟北外的同学也有些交往。觉得两校最大的区别就是北外同学确实更加偏向政治外交方面一点，（某些）可以为了进外交部从大一每天看新闻联播，练习申论什么的。但是上外同学从大一起关注的就是500强外企咨询快消四大什么的。四年来我被学校里各种活动模拟招聘大赛和各种外企宣讲会灌输了无数原来从来没有听过的外企名字，对行业有些了解。上外学生对进部委的热情没有那么高，似乎比较喜欢赚到钱之后过高洋上的日子。可能是长期的文化影响吧。 上外北外的本科生生源质量都还能算不错，我个人感觉上外的学术氛围不是很浓，毕竟上外是一个就是一个就业导向型学校，本科在校期间学习对学校还是会有很多吐槽。但是据说在沪上的就业市场上外还是一个很不错的牌子的。是绝大部分用人单位的目标院校。 当然说上外学学术氛围不浓，每年出国的同学申请的到的学校各种高大上，据我所知藤校的大部分里都有上外的学长学姐在听起来十分唬人的专业中读phd。所以还是事在人为。上外考研的学校也不错，但是貌似和北外一样大部分就是本校了，还有就是北大复旦这种。外语狗考研也没什么特别好的选择。  在学校给了每一个非英语专业同学考英语专八的机会之后，我觉得母校对我不薄，虽然还没用这个证，听说以后会有用吧。 北外地理位置在皇城根下，所以走政治外交这条道路确实还挺合适的，加上中国学而优则仕的原则，很多人都是蛮喜欢这条道路。还是一句话事在人为，可是人各有志吧。上外的金融之类复合专业好像就业很棒，学术水平不知道。上外的外语类进新华社的不少，还有些某些保密单位之类的也会来。 类似外交部中联部央视这样的用人单位在做宣讲会时都是会来上外的。这方面讲机会差不了很多。但是对于非通用型的小语种还是北京的环境比较好。。。上海这边很可能级根本用不到这一点啊。大家最后都各显神通，也有很好的出路。北京外派的国企比较多。这方面上外的孩子来回飞北京面试有点吃亏。 上外有外教社 。好像是国内各大高校的英语专业的教材都是这边出的。因为英语专四专八就是上外出的。 其实还是看你像去工作的地方吧，要是以后希望在江浙沪一带这边工作，那上外还是很不错的选择。包括在户口打分的时候也是最高级别的，要是想留京，或者在北方工作，那当然是北外好。 差不多是两个城市的区别吧。  学术方面 别的专业不清楚，大部分的语言类专业都有很多年的历史了，专业水平应该还不错吧。重点是我觉得我遇到的几个老师，公共课的，通选课的，专业课的，都很棒。有耐心跟学生交流，听学生吐槽。帮学生一些自己能帮到的忙。 阿语系的几个老师都很有魅力的，挺有文人风骨遗世独立的有，对学生关心超过高中班主任的有，年逾六十宝刀不老声如洪钟的男神也有。据说很牛，反正一个本科生我也不是很了解，我能鉴别的就是好像外语教学委员会主任好像是在我们学校的。 或者说这个可以去看看北外跟上外的全国重点语言学科分布就知道了。 其实外语界学术最好的还是北京大学的外国语学院，在历次教育部学科评级都是第一，上外北外南京大学在并列第二。这一点其实足够外国语大学汗颜了，专业做都没人家做得好。 有些点是错开的。比如北外有土耳其语专业的硕士点，上外只有本科。上外有希腊语硕士点，北外只有本科（北外的情况是听北外同学讲的）。北外语种比较多，这是北外的优势。只是认识北外豪萨语斯瓦西里语这种专业的同学，也很想为他们哭一场的。这种专业听起来酷炫，轮到自己了就哭晕了。因为很多小语种专业都不是年年都招生，所以两个学校很多专业都是错开年份招生的，一些专业那一年全国就北外一个班的毕业生，下一年只有上外一个班的毕业生，再下一年只有北大的一个班毕业生，这样。所以很多时候两个学校的毕业生是不会直接在就业市场上竞争的。年年都招生的通用语种除外。 上海只有一所外国语大学，所以上外很多专业在上海就是独一无二的，找工作不需要特别辛苦去跑招聘会，要人的单位都还是会来的，有的会直接到学院，更有甚者听说去了男生寝室。。。（不是我们专业） 北外的同志们就要面对北语二外中传这些学校的竞争，虽然北外比这些学校强一些，但是外语这东西还是看个人水平比较多，同一个班的差距也会很大。 上海有足够大的就业市场，如果你学了四年发现其实不想用语言就业，找个别的工作也不是很难。北京应该也差不多吧。     最后，我想说，还是选个综合性大学吧。人生无限可能，干嘛要把自己绑在小语种道路上。小语种就业辛苦自知。看着拿着几十万年薪，四海为家，浪迹天涯。其实没那么潇洒。而且你其实算不到四年之后会想做什么。一个综合型大学应该是一个更好的平台的吧，认识的人也相对较多。  当然也有综合性大学的同学吐槽四年下来连基本的用来求职的技能都没能学会。就淘了个空名而已。  所以可能只是得不到的永远在骚动吧。  ------------------------------------------------------------  今年硕士研究生毕业，感谢母校的培养。  学校带来的更多的是个人层次的提升，欢迎报考上海外国语大学。 
上海外国语大学，华东师范大学，北京外国语大学，东南大学选哪个？,建议北外上外 选择的话看你喜欢北京还是上海咯 华师就业太差 直接 out 东南文科和北外上外根本不是一个档次好嘛。。我们那儿北外上外最低分都比东南最高分高（当然是文科）
大一学生，英语专业，读二本院校，想通过考研考取上海外国语大学，考研时间是否过早？该做何准备？,大一的话其实想法还是有点简单，希望楼主能仔细思考下，一，楼主是否非常热爱英语这个专业，因为二本院校想考到英专的名校需要莫大的努力，包括有足够的自控力来要求自己；二，为什么非要选择这个院校，三，是否有其他的特长或优势来打败相同优秀的人? 比如楼主的二外非常好(最好是二外口语)，比如有很多实习经验，或是比如对哪一领域很有研究?(请务必是真的很有兴趣，要让导师感受到你对某一领域的书籍read!  a! lot! 在面试中回答问题时可以举例你擅长的领域，不经意透露你的特长)   每年都有考上的情况发生，如果楼主决心要考 那么一定相信自己! 好好努力一定可以的! 
在上海外国语大学附属双语学校就读是种怎样的体验？,A NIGHTMARE.
关于上海外国语大学宿舍的一些问题？,谢邀？第一次被邀请回答受宠若惊。  上外男生寝室和女生寝室配置一样的，平时没问题，每年暑假开学的时候不安全，会有校外的人混进去偷东西，至于平时完全不会放生人进去的（这是我最佩服的一点，楼下的大妈一个月之内就会记住所有人，你是哪个寝室的你室友是谁，平时同性朋友进寝室楼都要登记，安全的很）。保安的话寝室大门口有个保安亭一天24小时有大爷，我貌似还在凌晨四点多的时候看到过大爷巡逻，他们都很负责的。另外寝室区还有一个那种一键报警之类的装置，主要是怕女生碰到变态啥的，题主应该不用担心   桌子的两个抽屉和柜子都可以用小锁，你自己买几把带去锁一下就可以的，（其实后面我们都懒得锁了）我们很多同学电脑都在寝室放一假期没问题的，你要是实在不放心保险柜也可以租，问楼下阿姨就好。  寝室是上床下柜旁边桌子的，毕业走之前新鲜照的照片，对了，抽屉最大只能放下14寸的电脑，大一些只能放柜子里了，现在就想到这些，我是刚刚上外毕业继续上外读研的老学姐，有其他问题欢迎私信，上外欢迎你～   ）
在上海外国语大学国际关系与公共事务学院就读是怎样的体验？,写不完的论文 记不完的理论 做不完的pre 以及隔壁国公班保送生们的无情碾压 确实对我思辨能力的提高很有效
上海外国语大学有多难考？,题主好 我不请自来 因为宝宝心里太苦了 本人山东文科2017级考生  目标SISU 只知 2015    9人    633分 2014    7人    645分 2013    6人    630分 2012    6人    636分  而2016年山东省考生人数已经超过了70万 :-) （手动微笑）  买彩票我他喵早都发了！！！
学术型和专业型硕士学费的区别？上海同济大学和上海外国语大学的,泻药~ 不过我是本科生，不太了解研究生的事情，so sorry~~~ 我帮你邀请了一个研究生的学姐，她也许会知道。。。。。。。
在上海外国语大学附属外国语小学（SFLPS）就读是怎样一番体验？,同第一届，4班毕业。目前是交换生在老美。   http://www.  zhihu.com/question/2912  9111/answer/93308947      就这评价。但不可否认上外给了我很多。 我最喜欢刑洁（Jane）老师。多亏她帮我打下这么好的英文底子，拿到offer会回去看她的。 问题里姓莫的网友，到让我想到了我们班那位大队长。呵呵。
上海外国语大学要多努力才能考上？,我考上了……但不知道该怎么说……上外的分还是挺高的，大约因为地处上海，而且是语言类大学中的佼佼者。就我们省的情况来说，正常录取需要排在全省两千多名。
新世界日语和上海外国语大学哪个培训机构好？,上外的校园里有一个外语培训中心，你是指那个吗？如果是的话，我感觉上外的价格应该会比你那个新世界日语低，因为我看过宣传单，价格非常感人～日语自学的话就看你想要学到什么什么水平了，如果基本会话的话感觉上外那个应该不错，我下半年也想学一个小语种，到时候应该会考虑上外的。那个新世界日语我没了解过，但是在上外的外语培训中心那个也要看你分到的老师好不好了，虽然都是上外的老师，但是有的个别班会有研究生来教课，就学得比较浅吧～
中山大学，华中科技大学，上海外国语大学如何抉择？, 题主的需求改变，回答只给后人参考  --------------------------------------------------------------------------------------------------------------------------  我是中大的，室友是管理学院的，也认识岭南学院的同学。  首先，那些以厦大风景好为理由劝人来厦大是坑人吗，风景不能当饭吃。再说武大中大风景难道不好。厦门有几家基金、券商？都是官富二代不需要找实习就能直接进好部门吗？面向就业的话，(correct: 在可选专业相同或高相关度的前提下，除非容易转专业或者自己有清晰的规划和执行力， which means 自学)选城市。去了二线城市读本科，研究生还是要跑到北京上海深圳广州，所以提前问好就业升学情况，岭院管院精确到每个公司的就业数据学院官网有，去比较一下。以身边人的经历来看，一线城市回二线容易，从二线来一线可要费点力气咯。拿广州说 我一个理科的本科生，同学们找广发 易方达实习的挺多，更何况商院？  //插句话，顶级的实习靠内推或自己找，正常水准的实习在 学院的网站（不是学校） 上是有的。高中生不清楚行情，就上学院官网看看招聘信息（注意招聘信息的频率），哪家的招聘信息高大上一点就哪家就业好。其实学院好不好内行看看官网就知道...如果一个学院官网几年不更新，实习信息寥寥，就业报告遮遮掩掩，呵呵。我觉得会计事务所和一些银行的offer以及非主流的留学去向要以正常心看待，四大和银行不比从前了，反正高中生别那么容易被骗吧  就业报告-中山大学岭南（大学）学院    中山大学管理学院职业发展网    学生信息 - WISE    我很想甩一大串领英账号，给各位看看二线城市能不能刷出这种简历，想想还是不暴露同学信息。我们院今年出国有MIT的金融（mfin），NYU UChicago Cornell 等等不错的金融相关项目（金工金数）。其实读经济的学硕特别是博士，偏向于搞理论（数学模型）了。金融项目偏应用一些  中大的商学院有三家，岭院分最高，（我认为）管院其实和岭院差不多，特别注意大二会分流，所以你现在只要进去了就好——所谓的大类培养，我室友和我吐槽过这一点很坑考生因为专业的录取分有高低但最后没差别。国金不推荐。  如果能达到管院的最低分专业，建议来中大。如果不能，去厦大经济。中大转专业还是有点难，绩点要前百分之多少，额忘了，然后笔试面试，一群冷门文科专业的指望这个咸鱼翻身，当然我觉得管院也很好，不要紧盯岭院，国内基本都那几门课（宏微观货币金融公司理财等），用那几本英文经典教材 差别不大…  // 既然可以选中大法学，我觉得就看你兴趣咯。读法律也可以去金融业的（IPO上市之类的也要法务），也别局限金融，读了金融经济不代表就能进好公司。他们宁愿要其他专业的优等生也不会放水招金融经济专业的差生，所以结合个人的长处和兴趣选。当然，优生差生不是单靠GPA区分，看企业或者研究生生院的需求  //考研保研的事我可以给你介绍一下。首先，考研尤其是跨专业跨地区考确实很难（跨专业跨学校跨地区俗称三跨考生）。但基本上成绩排前20％（或者更松，因为我不在这之后所以不了解下限:）就有保研名额。其实大学不要太混好好学，拿中上成绩不难，拿顶尖的成绩还是挺难。。。要考虑到中大武大华科这种都在本省大量招生，你的水平比那些本省擦线录取的考生强。有了保研名额还要有接受你的学院。你对其他学科有了解+绩点不错跨专业保研就没啥问题，优等生通杀一切差生没人权哎。。。由于中大出国或者工作的挺多 保研名额还ok。总之一句话，本校的研究生招生对自己人会抬一手，跨学校还跨专业的不要怪别人下狠手。注意一下，考研一般是去考比自己本科更好的学校或者更好的地域，比如中大考清北(北京或深研院)复交，不要高估自己的本科学校在别人心中的地位。。。  //新校长是华科过来的，比不上许校长（现复旦校长）这种中大自己培养出来的校长开明。中央巡视组评价中大“意识形态领域问题较多”。新校长要讲政治了也是好事，算是一次弯道超车的机遇了。要超的是哪些学校呢，反正不会是现在和中大平级的学校吧:)  //中大 武大 华科（厦大不清楚）都是巨无霸型高校 学生特多。纠结哪个高校不如好好琢磨下在哪个领域能脱颖而出。每个学校的上限都很高，下限就有点惨不忍睹…  //厦大的同学不服说我们景色就是好，可惜我去过你们本部自然有比较。我也懒得和你再去争论了，拿中大珠海校区和南校区做比较吧。珠海校区风景美，设施新，妹纸非常多。南校临珠江，民国风，一部分宿舍老旧但是位置非常好。和广东标杆高校谈空调 谈服务意识 难道这些不是默认都有的么。知乎上有关于珠海校区的问题。“宁要海珠一张床 不要珠海一间房”，这就是不推荐国金的一个原因。 
请问上海外国语大学研究生毕业一般能解决上海户口吗？（并没有什么获奖项）,先给你看一下上海市的积分落户政策：（加粗划线是我模拟你的分数，你参考一下）    毕业生要素分     　　(一)基本要素   　　1.最高学历  　　博士 27分    　硕士 24分★    　　本科 21分  　　2.毕业学校    教育部重点建设高校即985高校、在沪“211工程”高校、科学院在沪各研究所15分★           其它“211工程”高校、中央直属研究生培养单位、上海各高校及研究生培养单位12分  　　其他高校及研究生培养单位 8分  　　3.学习成绩  　　(按照毕业生在校期间学习成绩专业(班级)综合排名对其等级进行评定)    　　一级(成绩综合排名前25%) 8分★    　　二级(成绩综合排名26%-50%) 6分  　　三级(成绩综合排名51%-75%) 4分  　　四级(成绩综合排名76%-100%) 2分  　　4.外语水平    　　通过CET-6级、六级成绩达到425分(含425分)或专业英语八级 8分★    　　通过CET-4级、四级成绩达到425分(含425分)或专业英语四级 7分  　　外语类、艺术类或体育类专业外语课程合格 7分  　　5.计算机水平    　　毕业研究生 7分★    　　理科类计算机高级水平或免予此项要求的专业(数学类、电子科学类、电气信息类、 管理科学与工程类)7分  　　文科类专业计算机中级(省级二级)水平 7分  　　理科类专业计算机中级(省级二级)水平 6分  　　文科类专业计算机初级(省级一级)水平 6分  　　艺术、体育类专业相关课程合格 6分   　　(二)导向要素   　　1.荣誉称号  　　(校级及以上级“三好学生”、“优秀学生”、“优秀学生干部”、“优秀毕业生”)  　　经认定的国家级 10分  　　省(自治区、直辖市)级 5分  　　学校级(每次1分，不超过2分) 2分  　　2.学术、文体竞赛获奖  　　(在全国大学生电子设计竞赛、全国大学生数学建模竞赛、全国大学生英语竞赛、全国大学生“挑战杯”赛等国际性或全国性比赛(含地方赛区)获奖)  　　⑴经认定的国际性比赛或上述全国性比赛奖项：  　　一等奖 10分  　　二等奖 8分  　　三等奖 6分  　　⑵上述全国性比赛地方赛区奖项：  　　一等奖 5分  　　二等奖 3分  　　三等奖 1分  　　(1.以上奖励表彰仅限在高校最高学历就读期间所获奖励表彰，2.同类奖励取最高分，3荣誉类和竞赛类奖励可以累计加分，最高分不超过15分。)  　　3.科研创新  　　⑴拥有专利证书： 　　拥有  发明专利  证书 5分  /* 注意是“”“发明专利”，近几年取消了外观专利等，最新要求，发明专利还要与所学专业对应！注意，这不是捷径，这不是捷径！ */  　　⑵已申请发明专利的，并拥有专利申请受理通知书 1分  　　4.自主创业  　　⑴创办市大学生科技创业基金资助的科技企业  　　获得科技创业基金资助企业的法定代表人 5分  　　获得科技创业基金资助企业团组成员 2分  　　⑵创办其他企业的  　　担任法定代表人 5分  　　担任董事 2分  　　5.参加大学生志愿服务西部计划  　　上海高校参加西部计划回沪的毕业生按照其毕业当年的进沪政策予以评分，并在此基础上给予加分 5分    单位要素分     一）基本要素     用人单位招聘高校毕业生行为诚信规范，并与毕业生直接签订录用协议5分     二）导向要素   1.引进重点领域人才   用人单位录用上海市重点发展领域所需学科（专业）（见附件3）毕业生3分    用人单位录用上海市重点发展领域所需学科中的教育部、上海市、上海市教委重点学科毕业研究生3分   2.承担重大项目  用人单位承担国家和上海经济社会发展重大项目且录用的毕业生专业与行业相匹配3分  用人单位为远郊地区教育、卫生、农业等社会公益事业单位3分  （上述用人单位由各有关行业主管部门进行推荐，并报上海市高校毕业生就业工作联席会议办公室确认后予以公布）  3.自主创业（创业企业注册资金须到账（不含受让股份）且经营状况良好）⑴创办市大学生科技创业基金资助的科技企业获得科技创业基金资助企业的法定代表人5分⑵创办其他企业担任法定代表人5分     三、标准分    标准分为非上海生源进沪就业申请上海市户籍的基本资格分。进沪就业的非上海生源高校毕业生，其各项要素累积分值不低于标准分的，可办理上海市户籍；低于标准分的，可按照相关规定申请办理《上海市居住证》并获得相应的积分。  标准分由市教委、市人力资源社会保障局、市发展改革委联合发布，  2014年至今为72分  。  -----------------------------------------------------------------------------------------------------------------------------------  研究生阶段基本没有竞赛项目，这个众所周知，所以最终积分应该在70分上下，基本上最后积分就是压死骆驼的最后一根稻草，前几年还支持外观专利等加分，现在取消的取消，严格的严格，71的标准分悄悄提高到了72分，就这样说吧，上交，复旦的优秀毕业生都够呛72分，主要是因为要看单位要素分，真正合适的单位企业不多，自己的专业是不是上海急需重点专业，是不是国家、市重点学科，另外加上研究生阶段没有合适的竞赛，而且加分必须要求在最高学历期间的竞赛获奖，这，就尴尬了。没有这些的话70分也不够。当然，尽管如此，每年还是有很多人才通过打分落户。 ----------------------------------------------------------------------------------------------------------------------------------- 另外说一句， 大部分毕业生落户上海的途径都是先居住证积分120分申请人才引进居住证，然后缴纳社保7年居转户才能转户口 ，这已经是最便捷的方式了，你要知道许多务工人员，低学历人士，120分都攒不够，不能申请居住证，只能是暂住证，天壤之别~ ----------------------------------------------------------------------------------------------------------------------------------- 上海户口（子女中高考，买房均无限制） &gt; 上海居住证（子女无法落户，缴纳社保3年可买房） &gt;&gt;(远大于)   上海暂住证（无任何上海市社会福利，只提供基本便利）  还有个严重的问题，就是打分落户的具体户口类型，是否和一般户口有区别，这个问题我没仔细研究，但是希望题主关注一下，因为我最近发现这个问题确实没有想象的简单！
上海外国语大学自主招生门槛要求是？,您好谢邀 查了一下关于上外2016自招的东西，贴给您 2016年上海外国语大学自主招生简章     希望有所帮助
保送选择天津大学还是厦门大学还是上海外国语大学或者南京大学还有外交学院（个人形象还不错）？ ？,现在是6月份，目测题主是外语类保送，而且资格还没拿到。现在考虑这个真的没有太大意义。而且把天津大学和后面几所学校放在一起真的有点违和感。（我是不是在黑母校。。。）后四所都差不多，相对厦大应该更容易保送。但是南大和厦大的地理位置是比不上外交学院和上外的。 有志于走仕途的，去外交学院；想到企业里的，去上外。 根据我当年保送的情况，在我校，外交学院属于接近北大的那种难度，北外低于外交学院，上外略低于北外。 但是上外有一些实验班，比如说国际公务员实验班什么的，感觉还是很高大上的。 祝11月份保送资格考试顺利。
我是文科生，想要参加上海外国语大学的自主招生，但是没有什么特长，只是有创新英语大赛的全国一等奖，初审通过几率是不是比较小？,我也报了，和答主比起来简直是渣。毕竟全国一等奖，我已经被吓到了。我猜我初审都过不了，不过还是试试吧
上海外国语大学国际公务员人才实验班怎样?,我看到小鲜肉2015年的评论我就知道作为一个国公班下架学姐说出来的话已经没有什么参考价值了。。。anyway还是负责任地说几句吧。  一直到2014年我毕业的时候，我们还是归在英语学院下面的。 老实说我们这一届还是很坑爹的咯，因为根本没有那些人文政治类的专业课（印象中只有一门新闻学和一门传播学），英语翻译专业的课也是水水的（论文都是要毕业了自己k书写的不知什么鬼）。虽然这样，但还是忙到飞起，因为毕竟也算是两个专业了orz……  修二专，我当时是可以的。当年，学姐还是个文艺青年的时候- -，修了东华的新媒体方向的艺术设计。但因为大三出国，所以中断了学业。虽然也是兴趣驱使，不过我还是有点后悔，那时候的绩点报个复旦的法律真是绰绰有余……但少年，请不要给自己太多负担，如果你真的觉得自己hold得住再去报吧，因为对国公班的同学来说，那可能已经是你的三专or四专了。  要说真的学到点什么，一是日语接受了纯正的本科教学，不得不感叹上外教语言到底还是有两把刷子，二是大三那年去英国交换了一年，也是不小的收获。 学姐毕业后没有做什么公务员，更别提什么国际公务员了。只考了一个国考（后来去北京面试被刷了）和一个作死的司法考试（相信你们归在国关下面应该更有这种动力了）。现在在香港本着对翻译专业的热情和爱（这种话我也说得出口，但是是实话）读MA，毕业后要去东京了。  想说的是，本科的专业真的不是什么决定生死的。。。 趁着18-22岁这段最好的时光多读读书（我是文科生我不做实验）、多看看世界（非！常！重！要！），才是真的。
上海外国语大学英语专业的研究生和复旦大学英语专业的研究生，哪个更受欢迎？哪个更容易就业？,  如果纯粹的以英语专业来就业的话 ，上海外国语大学的英语专业肯定要比复旦的更受欢迎，而且更容易就业。因为在英语这个领域，上外无论是在师资还是在研究水平上，都要比复旦优秀。研究方向也更加全面，资源也更丰富。无论是在专家排名中还是在民众自发的排名中，上外的英语专业都不会掉出前三，而复旦则跟上外不在一个梯队上；   如果不是纯粹以英语来就业的话 ，可能复旦会更占优势一点，毕竟从名气上讲，复旦的综合性确实是要比上外高。   其实我来回答这个问题是因为看到了前面两个答主的答案······  上海外国语大学与北京外国语大学在学英语的各位考生中都是非常向往的地方。要知道，上海外国语大学是中口高口，专四专八的主办方，以虐英语专业学生为乐。每年上外英语专业考研都可以见识到各地学校的英语牛人，因为顶尖的学生都希望能够在这个专业的顶尖学府中占有一席之地，所以说第一个答主说的“能上复旦英语研究生必然能上上外英语研究生，反之还不能太确定”是不准确的，很大程度上是相反的。当然，这还要看招人的数量，大家意会就好。   而第二个答主说的也有些偏差的，其实上外与复旦英语专业的比较，跟上财与复旦财经专业的比较是相似的，都是专业院校与综合性院校的对比。至于上海交大的安泰经管，我个人觉得只是最近几年比较火，并不能跟老牌院校相提并论。 
上海外国语大学法语专业招理科生吗？分数大概多少？,法语专业招啊，我就是今年刚考上的上外法语理科生，每个省不一样吧，得看招的人数和一本线了吧，我是河南理科考生，今年上外在河南理科招的最后一名考了624，你看着办吧
请问电子科技大学中山学院和上海外国语大学贤达经济人文学院哪个好？,我是电子科技大学中山学院的学生，大一，来到这个学校呢，我很荣幸，这里的师兄师姐会对你很热情很耐心，相处氛围真的真的很好。宿舍大部分都是四人一间，其实有点宅，但是够用的，师资呢我不太了解，但只要对学习上心的人，都会觉得老师们都很幽默风趣（包括辅导员）。环境……这里被称为城市中央花园式大学…不过……学校很小……五百多亩而已……我们自己都觉得欲哭无泪，让人欣慰的是，学校在市中心地带，出去哪里玩很方便。我很荣幸能来到这里……这里的师兄师姐真的为大一做了好榜样。（对不起……毕竟不是专家……不了解另外一间大学的情况）
在上海外国语大学读新闻是怎样一种体验？,我是上外2015级新闻学生，上外的新闻(国际方向)是英语新闻双专业，但是课程很水很水，不如去复旦学新闻或者在上外学英语专业。不然很可能英语和新闻都学不好。
高三毕业生 想在上海外国语大学 南京航天航空 重庆大学排序 有什么建议吗？,如果已经考虑好要学语言类的，当然要选上外 如果是冲着985211的牌子就选重 我是重大的，可是调配进了外语系，如果我早就知道自己要学外语，我就选上外了
上海财经大学3+2acca预科班和上海外国语大学2+2留学班哪个更具优势？,如果是会计专业当然要选择财大啦，毕竟人家是专业的。我是上外的，好朋友是财大的，也算是对两个学校都有些了解。首先财大比上外牌子响，其次，上外的会计金融这些专业受重视程度也就那样。
分数够了 是去浙江大学学西班牙语还是去上海外国语大学学西班牙语或者意大利语等更小的语种？,别来意大利了，浙江人的话你应该有亲戚朋友啥的在意大利。听听他们的意见。意大利是个破地方。有本事的话还是去美国法国德国澳大利亚加拿大英国这些地方吧，艺术去法国，音乐去维也纳。意大利破国家来了你肯定后悔
本人二本学校英语专业大一想考上海外国语大学研究生 要做哪些准备??怎样规划自己的学习??,本人来了 2016年10月份 推免到了上外英语学院英语语言文学语言学专业  说起学习方法的法 大多不外乎  听 我大二到大三两年基本上每天都在精听VOA 从一开始慢速 到后来常速 再到后来为了口译比赛 听1.5倍速 甚至2倍速  平常也爱看美剧 美剧的名字你就说吧 我没看过算我输 听力的提升 我感觉是潜移默化的 也是显而易见的  基本到了大三 没太有听不明白的句子了   说 口语是英语专业的门面 很多人看你水平 就是看你口语好不好 这不全面 但确实是一种检验方法 口语的提升 我觉得要通过各种机会 以我为例 你自己参考一下哈 外教的英语角 我是必去的 辩论赛 演讲比赛 我是必参加的 赴美带薪实习在北卡兼职四个月 另外当过外事活动的志愿者 和外国演员的小助理翻译  真正去跟外国人交流 大大大大的提升了我的口语和英语思考水平   读 读外刊  超级不爱读文学作品 爱读时事政治 说的就是我本人了 经济学人 纽约时报 也是大二大三两年 每天必看 上面地道的词汇和用法 完完全全就是上外最喜欢的套路   写 额……其实我没太写过哎… 除了应付作业和写作文…… my bad 别学我 大量的输入后 确实也要输出   译 就是笔译和口译了 我们本科口笔译课程还蛮丰富的 基本上每天也会保持一定的笔译量 加上本人超级喜欢口译 所以和一个小伙伴 大二一年都在互相练口译 她参加过北京新东方的口译课程 我们用的都是老师教的科学的方法 比如 shadowing和分心法 等等  大二考了三口 实务过了 但综合却没过 尴尬   最后还有单词吧 尽早尽早多积累词汇 大四大六专四专八雅思托福GRE 快开始背吧   学习方法吧 其实网上千千万万种 只有经过自己的摸索 才会发现最适合自己的一种 我从来也没有刻意去怎么做 最后成功了 回过头来 才发现 自己以前的每一个不经意的努力 都慢慢积累起来 帮助形成今天的自己   学习就是一句话 贵在坚持 Those who sow shall reap  共勉
求上海外国语大学教育技术学研究生的相关信息，本人现在就读计算机专业，正在复习311中？,我也想考，现在开始复习还来得及吗 
为什么上海外国语大学在浙江的招生名额偏少？,您好 谢邀 不知是我大浙江的学弟还是学妹。今年是咱们省改革第一年吧，小白鼠。 我还记得我高考那年看了看上海的学校在浙江的招生都很少，当年脑子一热为了211就去了哈尔滨，体会了一下四年的异乡生活。 个人建议：改革第一年什么都会发生、就坚持梦想试一试呗说不定就成功了…还有十个月时间，哪还有完不成的任务。立好目标低头就努力。 加油 带着我这老骨头曾经的梦  可以的话关注下我的公众号好嘛：andyxue4 开心 比心 
上海外国语大学 日语本科就业怎么样？,废话不多说，直接上图。  上外作为一所语言类大学，在综合排名和专业综合性上和国内很多重点高校相比没有任何竞争力。但是要是说道就业率和毕业后薪酬，上外就傲视群雄了。以下是2015年毕业生薪酬排行。    上外在其中排名第六，平均5年后的薪酬如下。    按照图中所示，上外学生在毕业5年后的平均薪酬在10453元，高出全国毕业生平均线近100%，10年后的平均薪酬在20000元左右，同样比全国毕业生薪酬高出超过100%。  然后是答主关心的日语专业的就业薪酬和情况。    相比上外综合薪酬数据，日语专业就业薪酬显得稍逊风骚，特别是在毕业10年以后，与全国日语本科毕业生之间的差距已经很小了，优势明显不足。（日语专业数据不包括国际经贸日语这一专业）  同时对比一下上外就业的王牌-金融专业。    看到这个数据的时候我已经说不出话了，只想狠狠抱紧金院学霸们的大腿。9年毕业平均薪酬已然破30000，是全国平均水平的3倍，也将近是日语专业的3倍。无愧就业王的美誉。  以上。
