南京理工大学生活怎么样？,不怎么样
南京理工大学和上海财经大学自主招生怎么取舍？,谢邀  1、财大自招15年16年基本上差不多 投报一万多人 初审通过两千多人 （初审要求财大每年都会发布在阳光教育平台 基本上有两个省级二等奖都行了 江苏学生通过率很高）。 2、然后参加笔试  笔试分为数学120分 英语80分 总分200。15年是177过线 卷子较简单 16年123.5过线 相对较难 题量较大。过线150人 即两千人里面有150人可以参加之后的面试。数学均为选择题 分为两种 一种是选错不倒扣分 另一种是选错倒扣分 难度参考江苏数学填空题的压轴题难度 可以说是填空压轴题的集合 16年是这样 15年比较简单。英语有阅读理解 完形填空 单项选择 难度不是很大 如果英语基础扎实并且对四级词汇有一定掌握更好。建议先做英语 后做数学  但是还是因人而异的。 3、150人参加面试 面试分为三个部分 经管潜质 科学素养 综合能力 分别100分 总分300分 最后笔试加上面试的前100人获得降分录取资格 并且指定专业 会计金融热门专业名额较少 需要名次靠前。 每个人在各个面试部分会随机抽取一道题目 然后和老师一对一作答 经管潜质会问和经济有关问题 比如 如何走出中等收入国家陷阱 需要对相关知识有一定了解 不过老师一般不会为难同学 不太了解可以向老师询问 老师会提供一定提示和引导 不必紧张 科学素养会问和科技科学有关问题 比如为什么天上的云有不同形状 比如如何看待企业创新能力排名  综合素质问题不是特别固定 比如会问如何提高创新能力 如何看待一带一路等等  自信从容不慌张 面试应该不会差     如果说取舍的话 可以冲上财
18年考研 想考南京理工大学？,本来不想答 转念想到去年这时候自己考研时的茫然无措还是说一点自己的看法 上个星期刚录取的化院材料学 非本校 初试建议选无机因为简单 复试不建议选物化因为我不信邪然后栽上面了 回顾这一年多的时间 私以为心态最重要 其次是所掌握的信息 化院除了应化材料学 感觉其他专业的竞争压力相对较小 有些专业（如材料物理化学）听说复试进了5个 录取4个 分数也都不高 所以还是比较好录取的 考研的难度很低 不比高考花样多套路深 它只考核公共课和专业课最基础的知识 只要把握方向 认真复习就好了 最后送18考研的学弟学妹们一句话 自助者 天助之 共勉  因为关于考研的感慨实在太多 所以写的很乱 见谅 如有疑问 欢迎留言讨论
2017高考云南考生，想问南京理工大学的学长学姐们新生宿舍怎么样？,住宿条件都不错。南区北区区别较大的就是北区地上没有铺砖，其他就都还好啦。四人间，上床下桌
南京理工大学热动的研究生就业怎么样啊？,华电热动主要是电厂方向，来学校老牌子，各大电力集团都认；南理工热动主要是传热，偏向军工，纳米传热和红外辐射，当然也有做新能源的，比如生物质锅炉什么的，希望能帮到你
哈工大威海校区与西南交大、西安电子科技、南京航空航天、南京理工、武汉理工这些大学相比较哪个更好？,感觉这个问题会引战，本人在哈工大威海，个人认为总体说来南京理工和武汉理工好一些。 西安电子科大其次，工大再其次，再是西南。 我个人认为报志愿的话考虑区位因素多一些比较好，从区位看的话南京最占优势，还有就是南京有钱啊，城市有钱学校才能有钱啊，有钱了硬件才好，才能有资本聘请好老师哪(现在深深感受到资本在学校实力方面发挥的巨大作用)。 但是如果题主对某一专业特别感兴趣，比如计算机，那电子科大肯定首选，如果想做飞行器设计，那肯定优先考虑南航。但据我的观察，大多数人是没有一定要报某个专业的执念的，只是对自己有一个大致的方向，所以这种情况下学校的综合实力(尤其区位优势)就要考虑在内了。 当然，我认为如果你需要一个舒适的学习生活环境的话，工大威海还是很合适的，威海的环境非常适合学习。还有就是这边转专业特别容易，今年是允许成绩在前50%的转，所以我们专业走了五分之二，-_-||。 因为本人专业是船舶与海洋工程，就这个专业来说，武汉理工是比我们学校要好的。其他专业不做评价。 就题主提出的这些参考大学来看，题主预计的成绩应该在620分左右吧，那么题主的情况和我有些相似，本人625，我给题主说一下我去年填报的志愿作为参考，1.中国海洋，2.湖南大学，3.中国农业大学，4.哈工大威海，5.中石油华东，6.中国矿业大学。 真心希望这个问题不要变成各个大学互喷的现场，大家有话好好说。
浙江理工大学和南京信息工程大学哪个好？,不知道怎么翻到了这个问题。现在回答估计没用了，不过可以给其他人参考。 本人是浙江理工大学的毕业生。江苏人，志愿第一个就是浙江理工，第二个就是南京信息工程大学。 如果你的分数够这两所学校，其实已经很幸运也不用纠结了，因为两个选择都是很好的。 选择理工，你会在杭州，浙江顶尖高校只有一所，在浙江就业理工竞争力大，不会因为学校的劣势而影响太多。 选择信息工程大学，4年在南京，江苏牛逼的高校云集，南信虽然也不错，但自然不是最优秀的，竞争力和杭州比弱一些。 当然，喜欢哪个城市就去哪里吧，因为平台都不会很差，未来如何，靠的是自己而非一个名字。 祝好运。
如何评价南京理工大学发表的一系列金属五唑水合物？,同在化院，感觉2017年化院真是大新闻接连不断，先是胡教授的Science和Angew，后来是王泽山院士的国家科技进步一等奖(王院士已经被选为中共十九大代表，还上过新闻联播，并被推荐为明年的国家最高科学技术奖候选人，真是我辈楷模)，今天又听说化院又中了一篇nature，估计这下化院是要崛起了，后续的资金投入肯定会更多，希望化院能出来更多的高水平文章。PS:认真埋头搞科研的人，才能出来更大的成果，这几篇文章的作者，是很值得我等学习的。
如何评价南京理工大学双十一四号门快递事件？,不谈观点，只讲事实。  1.学校曾组织过所有快递公司谈快递代取点问题，并商定：给租金才能在校内设点，否则只能在校外设点。顺丰、圆通愿意出租金，于是在三号门有了店面；中通、申通、韵达等不愿意出钱，于是在四号门外露天摆摊。  2.四号门外露天摆摊属于违规行为，但校保卫处一直采取包容态度。此外，四号门外这条路，北边是玄武区，南边是秦淮区（也可能是白下，记不清楚），处在两区交接地带，职责不明确，于是两个区互相推诿，无人管理。  3.大佬去熊猫公司视察的安排出来之后，熊猫公司周边进行了店面整治和道路整修。此区域的职责也就此明确，四号门外这条路归玄武区管理。  4.玄武区城管依法取缔了四号门外的快递摊点。快递遂打算进校摆摊，但按照之前的约定，不出租金只能在校外摆摊，于是被保卫处阻止。  5.此事发生正值双十一快件收发高峰。快递公司在朋友圈里诉苦，声称城管和保卫处禁止他们发快递。众多同学双十一快递无处可领，群情激愤，纷纷指责学校不为学生着想，校领导不作为，保卫处是辣鸡。  6.大批同学到学校交流平台，向校保卫处、后勤服务等部门质询快递事件。 保卫处回应：“您好，取缔4号门外快递是政府行为，学校后勤收发室是学校收发部门，已建议快递公司与其联系。我处也正在设法采取临时措施。谢谢。” 后勤服务回应：“同学你好，快递进校园问题涉及学校多个部门，我们会将该建议反馈给相关单位。”  7.一家快递在老图后面落脚，开始发快递，目前为止正常。另一家快递先在艺文馆落脚，后被赶走，疲累不堪，表示停运。“数次沟通没能换一点地方送快递”，“要快递的问校领导要吧”。为什么一家正常另一家却会被赶走，原因不详。  8.空间、朋友圈内开始有批评该快递小哥的声音。 
如何评价南京信息工程大学滨江学院搬迁至无锡并更名为无锡理工学院？,       据我所知，由于17年江苏取消本三，外加滨江被外迁无锡，小道消息可能出事。 1:无锡市政府只是买走了滨江的办学资格，并没有承担滨江后续的学生和教师安排，无锡市用滨江的办学资格打造无锡理工大学或者无锡理工学院。原有的滨江招生名额经本部消化。 2:学校扩招。滨江名额经过本部消化，据我所知。以某专业为例，扩招了接近一倍，原来招生的正规生人数大概不变。四分之一的人数是来源于专转本，直接安排进来读大三啊； 外加部分职高的 对口升学的学生。   小道消息，若是谣言，概不负责。
2015新生南京理工大学宿舍怎么样?,我是11级入学，刚刚毕业的学姐，你们住南区，我们刚刚搬出的宿舍群。是全校最好的宿舍，三室一厅，上床下桌。洗澡在楼下公共浴室，没有电视机，平时也用不上。空调是租赁形式，不贵，一年好像100
哈尔滨理工大学和南京工程学院哪个好？,南京工程学院有博士点吗？
理科 上海大学or南京理工大学？, 南理工，上海大学排名在南理工之前，怎么可能 
考研失利，调剂是选择非全日制的南京理工还是全日制的大连海事大学。？,这个我建议还是选择全日制的。非全日制和全日制比差很多，虽然校方说按全日制培养，但在学术，奖学金等各方面都有差别的，未来用工单位也要全日制的。你有没有问清楚毕业后发放的证书。一般全日制是有毕业证和硕士学位证的，而非全日制就没有学位证，这个是最重要的，要问清楚。
南京理工大学有多少个门？,自问自答。直接上图 PS:纯手工制作，转载请注明出处。    
江苏考生313分理科，选择淮海工学院还是南京理工大学紫金学院？,同问
急求大学对比：南京航天航空大学金城学院和南京理工大学紫金学院？,金城啊 
志愿填报我是山东文科考生特别想上南京农业大学但父母想让我选一些投档线高的理工大学，？,其实文科生不应该勉强在理工类大学学习
如何看待南京理工大学军训男生强制头发3毫米？,一定在说我孝陵卫皇家理工大学，是的，一定是的，南理工光头党们，团结起来！！！！  好吧，我只能对题主说，南理工过去是部队院校，现在学校还保留着太多的军队传统，剃光头？感觉也就那回事…………  南理工的看到了不点赞，小心期末遇到四大名捕！！！！！
请问西南交通大学和南京理工大学哪个好？急？,同2017福建文科考生，考虑放弃新闻传媒读外语…
关于南京理工大学武器类专业为什么知乎和贴吧里都是黑它的呢?, 谢邀。  我这么给你说吧 支持我选择武器发射工程的原因有二  1、我喜欢 军 政 经 ，然后理工科 所以选择这个。  2、我认为每个人都可以做自己的英雄，同时，我相信这样的一句话 “只有一种英雄主义，就是在认清生活的真相后依旧热爱生活。”   我也知道它被黑 ，但我依旧喜欢他，我依旧觉得我自己的中二没毛病~         至于你问为什么黑他， 是因为你只看到了黑它的言论，真正在为其奋斗与付出的人，会无视这些黑它的话。    本科就业形势一般这句话没有错，是因为这个专业本来就应该考研。没有足够的专业知识与技能，为什么要给你好的工作呢？ 军工和其他产业不一样的， 
南京工业大学和浙江理工大学，去哪个学校好？,我在2015-2016学年（大三）期间通过学校交流项目有幸在南京工业大学学习一年，这一年算是我大学生活最值得回味的一年，不了解浙江这所学校，就说说我知道的南工大吧。 南工大非985 211，是首批2011计划高校，当时第一批入选共14所学校，其余学校大多是985高校，全国 高校综合实力排名大概在50左右。南工大和南京大学、东南大学等南京众多知名高校均是1902年创立的三江师范学院的分支，也算出身“显赫”。现任校长黄维，毕业于北大，中国科学院院士、俄罗斯科学院外籍院士，在他担任校长的这几年，南工大的发展十分迅速，南工大和南洋理工大学、谢菲尔德大学建立了合作关系，他本人也有获得国家科学进步奖，去年在自然杂志上也发表过文章。南工大的王牌专业为化工专业，出过数位院士，现在南工大任职的院士也有十余位。温家宝总理曾来视察，去年政协常委俞正声前来时，和大家一起喊在“欢迎俞爷爷来工大”的场景历历在目。我看来，南工大虽然在全国知名度不高，但在黄维校长的带领下，发展潜力巨大。 南工大校园占地3000余亩，依山而建，校园呈长方形状，从校园正门进入，是一条贯穿整个校园的大道，两旁分布教学楼、宿舍、食堂。当时我的宿舍在校园尽头，正门到宿舍步行30分钟左右，校内有公交车，五毛一次，很方便。南工大在2015被评为南京最美高校，四季景色分明，夏赏花，夏观荷，秋看梧桐飘落（梧桐飞絮对过敏体质的人简直是灾难），冬待雪花飞舞。在学校摘过枇杷、李子、杏子、桃子等等，看过曼陀沙华红遍校园，在深夜穿过被漫山萤火虫点亮的中央森林公园山头，在路过时也恰巧碰到神兽孔雀开屏。        在学校的衣食住行也挺方便，学校虽然很大，但是教学楼一般都安排在宿舍附近。学校一共七个食堂，我认为无论口味怎么挑，都能在校内得到满足。学校位于浦口区浦口镇，最近几年才开发，出校内步行10分钟可到地铁站，地铁40分钟左右可到CBD新街口；骑自行车十分钟之内可到附近大型超市、电影院。 听名字就知道南工大属于僧多粥少类学校，一对情侣三对基说的大概就是他。但是学校隔壁便是小天堂南京审计大学，两学校男女比例互补。有两个小段子，一是每周五南工大学生出门上出租车，不用说话，司机直接开到南审。二是2015年南京最美高校投票时，南审输给了南工大，南审学生就说不再找南工大男朋友～～ 暂时写到这里，以后再添加，南工大是我大学第二母校，我爱南工大～
如何看待南京理工大学教务管理系统存在大量问题至今仍得不到解决？,我也不想看 表示选课系统真的很渣 找老师的时候态度不好 可是作为学生又能怎么办
我要留研后移民 28周岁 南京理工大学211本科自动化专业 未从事相关工作 找学校跟专业？,要移民方便的话还是厨师或木工吧。从现在起好好锻炼身体，因为以后这就是你吃饭的本钱了。至于自动化和机械相关的东西还是别惦记了。
如何看待南京理工大学（与清华上交并列）获得第十四届挑战杯？,我是南京理工大学特等奖作品SCscope显微镜的指导老师，我想还是用一名旁观志愿者的话来回答最具说服力吧    当然，非常感谢我的学生们，你们台下默默的辛勤努力与万众瞩目下完美展现真的让我骄傲万分。          不过话说回来，从我个人角度而言，不论是拿特等奖，还是捧回挑战杯，都还真的没什么好骄傲的。
如何看待2016年100强建筑学院华南理工大学没有入榜而南京大学入榜？,高考能去华南理工读建筑的人，会考虑南京大学的建筑？  排名有什么用？  对了，南京大学居然也有建筑？跟交大的建筑一样是靠挖人墙脚的吧？
南京理工大学计算机专业的大一学生为什么不让带电脑？, 利益相关：南理工16级计算机院学生           首先直接回答题主的问题：并不是一直不让带，15级大一的时候是可以带的，但是15级的挂科率突破天际，为了防止挂科率太难看，所以16级的辅导员今年不让带电脑了。更深层次的原因，是学校会不断对各个学院的各种成绩进行评比。  对于本专业，动手能力真的是非常重要的，很多问题你看很久的书听很多课，都及不上电脑上码一遍。  解决办法：带。           原因非常简单，虽然大一不让带电脑在南理工甚至许多同档次学校是一种十分普遍的现象，但是并没有哪个学校把这条规定写进校规，这只是学院内部或者说辅导员个人的想法。  既然不违反校规，那么作为一个成年人（也可能是马上就要成年的人）来讲，我觉得带电脑是你的自由。想带就带，上有政策，下有对策，她突击查寝收充电器，你就用完电脑把充电器收起来，而且避开查寝的时间来使用电脑。  ————————————————————分隔线————————————————————  其实下面的才是我要说的重点：   学院和辅导员通过“洗脑大法+  利益诱惑+  强制参加活动”的三板斧来控制学生，从而在学校内部刷指标争名次。            可以直观的来说：目前夏某的模式基本上就是大学生当成高中生来管理，后果就是会把学生都打造成一个模子里出来的流水线产品。（这个问题在南理工别的学院里或者别的学校不一定有这么夸张，但是在16级这一届，就是这么严重）  下面来具体说明：           从入学起，在各种会议与讲话中，从来都不会忘记强调保研相关的事情，诸如“不要挂科因为挂了科没法保研、不参加XXX活动会影响你的平时分影响保研、违XXX纪会扣分影响保研 、大四的学长在争取保研过程中竞争多么多么激烈因为平时分而怎么怎么吃亏”之类的话被不断重复，似乎保研是我们唯一的坦途。我承认，保研的确算一条比较轻松且稳妥的道路，但是对于大部分大一新生，他们对未来的道路是知之甚少的，更不要谈什么明确清晰的规划了，在辅导员和助理们的轮番轰炸下，很多人的思维就被限制在了“好好学习不挂科拿个不错的分数→参加各种活动遵守所有规定拿够平时分→保研”这条道路上。更令人作呕的是，为了洗脑，不惜用捏造事实，告诉学生你的绩点会影响你的就业，去鼓励学生走上流水线。 知乎上最多的就是  IT  界的精英了，大家也都清楚，关乎你将来薪资水平与个人发展的是你的思维能力，代码能力，而不是被一堆水课刷上去的虚无缥缈的绩点。 遵循这种模式变成了这所学校里的“政治正确”这不应该是作为学生引路人的辅导员所应该做的事情，这也不应该是一所大学培养人才的模式。  （Ps1：之前还有过某助理因工作能力不强选择保研被同学嘲笑而引发的撕逼大战hhhhhhh）           经过一番洗脑工作，便有了控制学生的手段。学院组织了各式各样有（很）意（无）思（聊）的活动，当然，我们的同学们都感觉时间宝贵人生苦短，没有人愿意参加。怎么办呢？不去的扣综合分影响你保研评优秀！每个班强制摊派名额！（笑）那么已经被洗脑眼里只有保研的同学，你去不去呢？而令人恶寒的是这些活动，目的都是为了作秀，小到写信写诗，大到讲座年级大会，事后都会在年级公众号上展示，当然也会向学校上报，给谁添政绩一目了然，对学生的发展有多少益处也一目了然。           组织早自习晚自习、为一门一学分的课延长晚自习到十点十五、组织各种与如今考试模式想去甚远的模拟测试、年级干部例会从9点半开到晚上12点、军训是因为歌唱比赛没拿奖从而引发长达两个小时的“批斗大会”、工程制图计算机导论已经结课仍强制学生在相应时间段自习、组织学生会成员用备用钥匙打开宿舍门查留寝收电脑充电器……诸如此类的可笑现象不断发生着。即使没有课也不能回宿舍只是因为是在规定时间，并不是违章的充电器你随便拿走，这么多自创的条条框框我只想问一句你凭什么？           因为夏某自己是一个要强的人，在洗脑过程中，她时不时地透露着自己的成绩优秀，某人文学院第二名，体育优秀，不难看出她想在辅导员位置上做出一番事业的野心。一切荒唐的种种，都是出自于一个人想争第一的欲望而已。而这种欲望，却可以被一句冠冕堂皇的“我是为了你们好”所掩盖。可笑的模拟考试与自习，是因为对计算机学院的课程与就业特点知之甚少。究其根源，无非还是学校的锅。学校为何要用这种简单比较挂科率优秀率平均分的方式来让各个学院评比竞争？为什么要选拔一个人文学院的学生去当工科院系的辅导员？           从数字上看，不会有任何问题，夏某上任会降低16级的挂科率，提高平均分（也未必会真正提高多少），可是这样真的是一所大学培养人才应该有的模式吗？在这个大型流水线上，充斥着所谓的“政治正确”对“异类”的不宽容。但凡你想有不同与普遍认知的发展，都会遇到重重阻力：学校图书馆里艺术文学历史类的书籍不多（也没多少人借），艺文馆的设备简陋，Enactus这样的社团没有存在感，这样的对于兴趣类社团的参加学校里是上面不鼓励下面不积极……一旦有人多从事一些课外“没有用”的活动，就会有人以过来人的身份告诉你，这是理工大学，你应该blablabla这样做才是正确的。可是， 人生的问题没有标准答案 。    大学之所以称之为大学，便是缘于其大，能够包容各类人不同的发展。大学里一个人的发展如果只限制在专业内部，那么和技校有什么区别？    而一所职业技术学校，是走不出一个能改变世界的优秀人才的。            我喜欢下午4点上完课回宿舍躺一会，或者取个东西去洗澡，关你什么事？           我喜欢编程，XXX课我不喜欢我觉得对我没用，我为什么非要去努力学它？我不学关你什么事？           我喜欢摇滚，我愿意去为我狂热的事情奉献时间，只要我能毕业，投入多少关你什么事？           我喜欢写东西，我愿意去阅读去写文章写小说，又关你什么事？           如果你说毕业之后薪水怎么怎么样，前途怎么怎么样，不又是用流水线产品的眼光来看人了？你对金钱有渴望，不代表别人也都有着相同的想法，拿着一般薪水过着平庸甚至潦倒的生活的人，未必就不幸福，钱多钱少成绩高低学历高低，不都是用一双筷子吃三顿饭睡一张床吗？自己内心充实才是最重要的。    想把这幅图送给我的每一位南理工的同学    最后， 每个人都有权利安排自己生活中的一切，不管对与错。              每个人都有权利安排自己生活中的一切，不管对与错。              每个人都有权利安排自己生活中的一切，不管对与错。  
文科生应该在南京航空航天大学和华南理工大学中如何选择？,我能想到的任何一方面，都是华工强于南航阿，广州比南京好，综合实力华工比南航好，工科整体实力华工比南航好，唯一华工处于劣势的是，华工的分数要求高些
南京理工大学兵器类2016年新生？,有空调，有辣椒，你们今年应该是住宁静轩，离你们要上课的第四教学楼很近，很方便。至于专业呢，得看你们是机械院的兵器还是能源动力学院的兵器。机械兵器大概分了几个类，主要有两个卓越工程师班，智能弹药与先进发射技术；六个普通班，弹药、引信、自动武器、火箭弹、火箭炮、火炮；可能还有个装甲车辆。能动院兵器主要是内弹道与外弹道。至于保研呢，大概15%，但要看每年政策，加上考研出国，根据我当年弹药班情况，最后读研人数不少于50%，大一结束可以转专业，大二结束分小方向。本科就业嘛，除去改行的，大多去企业和研究所下的基地工厂吧。
如何让一个普通本科生考上南京理工大学的土木研究生?,一起努力吧
在南京理工大学和北京理工大学特有的武器相关专业就读是一种怎样的体验?,作为一个南理工的弹道男，诚实来说，是出门日了狗的感觉……相信北理工的武器的筒子们也会有这样的感觉
南京理工大学新生需要注意什么（报道，军训，学习…）？第一次用知乎请多多包涵。提问必须用问号结尾么？,同17届新生，楼主啥专业
武汉理工大学 华东理工大学 南京理工大学对于文科语言 法学专业学生，哪个更好？, 京沪vs非京沪的同等学校，选京沪的学校。 
如何评论南京理工大学陈如山教授？, 可以说相当人渣了。美其名曰，长江学者。国家的眼睛都瞎了吗！从学术，生活以及精神上都在压榨学生。看哪个女学生要毕业了，就带她去爬山，走小路。自己的别墅喊学生去拔草，拔你妹啊。还他妈的电光院副院长。真他妈恶心到吊炸天了 
如何评价南京理工大学机械院的学生被全院通报批评照样可以评为优秀学生共产党员？,太无耻了
南京理工大学武器类专业?,大四补充，其实就业面相对来说，还是比较广的。因为属于本科属于机械大类，武器专业涉及不是很深，完全可以去跟武器关系不大的公司工作。而选择读本专业的研究生的话，那就为国防事业做贡献的可能性比较高了~而且研究方向也很广，就像我同级还有去研究小卫星的    本人南理工最后一届gfs，武器火炮专业。 至于以后的毕业工作，我知道的，仅限于本科生比较难找对口专业，研究生，不愁工作。因为我们是同普通生一起学习的，所以平时的学习，可以谈一下。 首先，功课比较累人，答主大三上，一周十二节大课有没有～～考试前，要疯了(ps答主马上三天要复习一门课，可悲的是上课几乎没听，而且这三天还都有课)不过，不用担心，虽然没怎么听，只要认真复习，刷完文印室的卷子，都没问题的。 其次，推荐考研，因为确实本专业缺少市场，如果不考研多学习其他感兴趣的知识。 最后，自由和世界都是你们的。
南京理工大学有什么学生组织良心推荐？,当然是电声乐团啦～ 嗯？你问我什么是电声乐团？          南京理工大学大学生艺术团电声乐团是一个艺术类学生组织，由大学生艺术团直接管理，创办于2014年。          电声乐团由电光院副教授倪辰荫老师留法后归国创建，旨在为校内的音乐爱好者们提供一个便于交流、学习的和谐组织。          此外，倪教授身为一名优秀的音乐人（后面会有倪总的全面介绍）还利用自己的人脉圈，致力于帮助学生乐手建立向南京优秀职业乐手学习的平台。          电声乐团还有自己专属排练房供团内乐队排练、鼓手日常练鼓，解决了学生乐队常有的练习场地问题。  大把大把大把大把大把的演出机会！        电声乐团一直是南理工校内以乐队形式演出的著名组织，团内乐队常常接到来自校内校外的演出邀约！        院系迎新晚会、社巡晚会、艺术团汇报演出、不插电演出、摇滚音乐节、电声乐团专场等等等。                            （以上照片来自@Kabo 、@Dean 、@一层 。图四为南农木塞子乐队受邀参演）   不定期开办的音乐公开课       内容涉及设备使用和养护、歌曲创作、经验分享。授课的都是南京知名音乐人！      科学和音乐的结合：倪老师运用他的专业知识介绍鼓皮     如何建立自己的音乐风格：布鲁斯大拿高泽深老师的经验分享              公开课合照  （以上照片来自@Dean、@李本卿）    非艺术类院校领先的设备支持        电声乐团排练房现有设备可以支持各种编制的乐队进行排练，排练时有独立的耳分监听系统可供使用，还可以进行日常录音，本学期录音工作正在紧张进行中。（南京浪打浪乐队最新专辑就是在电声乐团排练房录制的，效果好的一笔！！）   Sonor Select Force套鼓   排练房全景   YAMAHA STAGEPAS     Orange        排练系统围绕百灵达XR18数字调音台组成，设备包括：Orange吉他音箱、Fender箱头、Line6音箱、EBS贝斯音箱、雅马哈STAGEPAS音箱、Sonor Select Force全枫木六鼓、知音镲片…… 而且，设备还将不断更新！！  这么长看到这里绝对是真爱。那么你一定想问如何加入电声乐团。这里提供两个方案。2017.9.8之前可以扫描下面的二维码进入17级新生群，这里有志同道合的小伙伴一起组队，还有经验丰富的学长学姐为你解密电声乐团！               如果9.8之后，以上二维码失效，可以扫描以下二维码添加乐团团长。加好友时请备注“姓名-院系-感兴趣的方向（如：鼓手）   
南京理工大学图书情报专硕历年报录比，就业情况？,在纠结报不报 
南京理工大学与cmu的联合培养项目值不值得参加?,只能说之前参加项目的那些学长都赚到了，现在想参加也参加不了了
本人在南京中医药大学读眼视光学（4年理学学士），想申请香港理工大学该专业的研究生，需要准备哪些东西。？,香港理工大学读master首先需要的是语言成绩；雅思最好了，理工科类的专业对于雅思的要求相对低一点，专业要求最好能跟校方直接沟通咨询，申请研究生还是需要你准备G成绩的，你的GPA最好是能在3.5以上，这是香港理工的标准至于有些专业的要求相对会低一点还是直接咨询一下比较好，建议你还是提前准备一下比较好，后期的文书跟推荐信自己也稍微重视一下，希望你可以成功申请的到，祝你好运！ ————全库网(  http://  365zhiku.com      )提供
如何评价南京理工大学陈光教授团队在新型航空航天材料钛铝合金方面取得重大跨越性突破？,谢邀，不熟悉不了解不回答，谢谢！
南京理工大学浦江学院能申请到UCL吗，本科院校背景不好是不是就没机会了？, TESOL Education GPA85+  雅思上7倒是有机会，其他机会很少 
如何评价南京理工大学理学院老师刘素梅考试漏题一事？, 谢邀，漏题不是等于划重点吗？很好啊 
南京理工最好的专业是啥？,南理工好像就两个全国重点学科，其中一个是光学工程（本科没有这个专业），，，然而本科中的光电信息工程作为光学工程最直系的专业，并没有多少人说好     电光院的人好像大部分都觉得通信电信都比光电好，，，作为一个当初专业任选却入了光学坑的也就只能笑笑。。。不过光电信息工程分数线还是挺高的。去搜光学工程或者光电信息工程的百度百科，南理工都是排在前十的。
南京理工大学和江南大学报哪个？,任何一种交叉学科都不能读。读了基本上就是被坑死。 1、物联网工程是个筐，什么都往里面装，计算机、电子、通信、控制、机电、微电子等工科，还有物流、管理等。任何一个方向都学不深，只能在表面浅浅地学一点。 2、大学四年，课时只有2100到2400学时，这其中1/3强还是非专业课程。要知道，外面java培训都是1000个学时左右，而且1000个学时还有很多东西讲不到。 3、大学时间宽松而不宽裕。大学时间很宽松啊，想怎么干都可以，都是成年人了，你想干什么，没有人真正能够拦住你。但是，当你要想精通一个东西的时候，你就会发现，时间完全不够用啊。更可怕的是，大学跟中学完全不一样，在中学的时候，老师和家长把一切都准备好了，你只管“吃”就可以了。大学，是你自己找啊探索啊，那点课堂学时根本不够，老师根本讲不了什么，因此，你要想学好，就必须自个学吧。那么，自己找“吃”的，非常花时间啊，起码要占一半以上的学习时间。 4、大学课程的难度绝不是高中可以比较的，适应大学的学习，是一个艰难的过程，因为这需要思想、观念、态度、情感、方法等发生根本转变，对于一个生理刚刚成年、心理远远没有成熟的人来说，这是一个非常重要的阶段。对于一般人来说，等于意识到这些的时候，已经就快要离开大学了。要想压缩这个阶段，就必须在课下付出大量的努力。 5、想要真正学通（还不是精通）一门课程，起码要200个学时（课堂学时+2倍的课外学时），这还是对于能够积极转变思想观念、主动去适应大学的人来说的。 6、思想、观念、态度、情感、方法、理念等的转变，必须在钻进去一个方向，体会、感受、熏陶、实践：如何观察某种世界中的一个现象、如何描述某种世界中的一个现象、如何从某种世界中的现象当中提炼出问题，如何发现和形式化描述某种世界的结构、关系规则、机制机理、演变过程、内在性质、外部特征。如何从这个学习过程提炼学习方法，升华思想、转变观念等等。只有专注一个方向，做进去，做深，才可能在学习策略、认识策略等思想观念有所得。 7、做的时候，不能大、泛、空。大、泛、空的项目，对于一个刚刚进入大学学习的学生，如同让一个幼儿去挥舞大铁锤，必然把自己砸死。只有专一、小、精炼，才是可控的，才能做进去。
为什么ofo单车没有南京理工大学的学生认证？,ofo公司把南理工当成了南理工紫金的分校……用南理工紫金认证就可以。不过现在好像没有认证入口了。  另外，楼上那个匿名，脑洞太发达了吧。要是学校和乐行校园关系那么好，为啥不禁止ofo进校园呢？
上过南京理工大学王文军老师的课是一种什么样的感受？,他的选修课我全都上过，应该还是有发言权的，就简单讲讲吧。 ㈠课程内容很充实         他在介绍战史的时候，基本上参战国家的地理经济宗教等等国家基本情况都会讲解，武器装备国家领导人以及将领也会介绍，总之就是很杂，不拘泥于战争本身。不过近几年课时压缩，他的课也有点念ppt的味道了。 ㈡上课风格诙谐幽默         他上课发挥起来还是可以的，介绍正史的时候会插点野史，也会讲点类似于网上的段子，比如黑黑意大利什么的。兴致高起来就讲点他自己小时候在理工大的事，还有他当军校学员时的趣闻。总之，课堂气氛很活跃。 ㈢学分好拿         反正选修课都这样，但是他考勤是很积极的。最后考核，我们那时二战史是开卷考试，而且他一个人监考两个大教室。二战后史是写论文。定向越野是他给你地图和提示，你去学校各处把他藏的纸条抄回来，挺有意思的。        军盲、地理盲上他的课可以补补常识，军事爱好者可以来混学分，反正也不无聊。              最后，要特别说一下他的军事定向越野课。这堂课是有户外实践的，他会带你到中山陵附近的地方逛逛，还会组织一次夜爬紫金山。如果你厌倦天天在教室里听老师念经，这种风格独特的课还是值得你牺牲双休日的一个半天的。
南京理工大学怎么样？保研容易吗？保到985学校的比例高吗？有出国留学机会吗？,从我那年（2003级）来看，保研还是挺容易的，我们班大概有3到5个人保研，一个是学分的要求，一个是和年级主任搞好关系，报到985的学校的比例要稍微低点，大部分是保送到本校的，出国留学的机会也有，当然了， 前提都是你要在大学继续好好学习，天天向上。其实大学的课程一点都不难，每天保证上两个小时的自习就够了，比起考进南理工来，那都不叫事。
